,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.57642936706543,13125,0,0,0.0,0
1,'m,AUX,22.117019653320312,13125,He,AUX,34.666133880615234,13125
2,here,ADV,19.134544372558594,13125,a,ADP,32.749755859375,13125
3,to,PART,23.355159759521484,13125,contarles,ADJ,34.37678146362305,13125
4,tell,VERB,24.68659210205078,13125,venido,VERB,33.09412384033203,13125
5,you,PRON,22.165945053100586,13125,0,0,0.0,0
6,how,ADV,21.66008186340332,15167,que,PRON,34.04145431518555,15167
7,change,NOUN,20.535131454467773,15167,cambio,NOUN,30.630369186401367,15167
8,is,AUX,24.92234230041504,15167,está,AUX,36.8149528503418,15167
9,happening,VERB,22.171167373657227,15167,ocurriendo,VERB,35.38393783569336,15167
10,at,ADP,22.760974884033203,15167,a,ADP,34.202354431152344,15167
11,a,DET,22.95786476135254,15167,el,DET,34.85142517089844,15167
12,local,ADJ,21.850961685180664,15167,local,ADJ,34.113040924072266,15167
13,level,NOUN,22.779794692993164,15167,nivel,NOUN,34.003665924072266,15167
14,in,ADP,22.375225067138672,15167,en,ADP,33.19129180908203,15167
15,Pakistan,PROPN,21.84593963623047,15167,Pakistán,PROPN,36.460723876953125,15167
16,",",PUNCT,19.781606674194336,15167,",",PUNCT,30.630128860473633,15167
17,because,SCONJ,21.195796966552734,19042,porque,SCONJ,36.03636932373047,19042
18,their,DET,24.81570053100586,19042,las,DET,32.99394226074219,19042
19,women,NOUN,22.128950119018555,19042,mujeres,NOUN,35.02243423461914,19042
20,are,AUX,25.12319564819336,19042,están,AUX,35.95568084716797,19042
21,0,0,0.0,0,empezando,AUX,34.298309326171875,19042
22,in,ADP,20.878183364868164,19042,a,ADP,34.16400909423828,19042
23,finding,VERB,24.41377830505371,19042,encontrar,VERB,36.826847076416016,19042
24,the,DET,22.633670806884766,19042,su,DET,35.14476013183594,19042
25,place,NOUN,21.809431076049805,19042,lugar,NOUN,34.35498046875,19042
26,0,0,0.0,0,en,ADP,33.02949142456055,19042
27,0,0,0.0,0,el,DET,35.77783966064453,19042
28,process,NOUN,20.125957489013672,19042,proceso,NOUN,33.3346061706543,19042
29,political,ADJ,19.93266487121582,19042,político,ADJ,33.977970123291016,19042
30,.,PUNCT,22.35051727294922,19042,.,PUNCT,31.809886932373047,19042
31,I,PRON,25.07615089416504,24000,llevarlos,NOUN,30.821069717407227,24000
32,want,VERB,24.162485122680664,24000,Quiero,VERB,34.30430603027344,24000
33,to,PART,22.42923355102539,24000,a,ADP,32.65542984008789,24000
34,take,VERB,25.18546485900879,24000,0,0,0.0,0
35,you,PRON,21.876174926757812,24000,donde,PRON,32.55249786376953,24000
36,all,DET,20.220373153686523,24000,un,DET,36.60517501831055,24000
37,on,ADP,18.769821166992188,24000,al,ADP,36.330142974853516,24000
38,a,DET,20.88680076599121,24000,0,0,0.0,0
39,journey,NOUN,19.459365844726562,24000,lugar,NOUN,31.404903411865234,24000
40,to,ADP,22.611989974975586,24000,0,0,0.0,0
41,the,DET,22.689401626586914,24000,0,0,0.0,0
42,place,NOUN,19.069223403930664,24000,viaje,NOUN,30.128604888916016,24000
43,I,PRON,22.59381675720215,24000,me,PRON,32.86753463745117,24000
