,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.125185012817383,16273,0,0,0.0,0
1,want,VERB,24.095003128051758,16273,hablar,VERB,34.95144271850586,15260
2,to,PART,23.849842071533203,16273,0,0,0.0,0
3,talk,VERB,25.914627075195312,16273,Quiero,VERB,35.0390625,15260
4,about,ADP,21.410961151123047,16273,de,ADP,29.556184768676758,15260
5,my,DET,22.354204177856445,16273,mis,DET,34.146183013916016,15260
6,investigations,NOUN,18.007631301879883,16273,investigaciones,NOUN,33.838008880615234,15260
7,into,ADP,19.97507667541504,18835,sobre,ADP,33.055694580078125,18260
8,what,DET,20.399682998657227,18835,lo,DET,34.19095230102539,18260
9,0,0,0.0,0,que,PRON,32.56578063964844,18260
10,our,DET,24.548660278320312,18835,la,DET,31.82438850402832,18260
11,technology,NOUN,20.506084442138672,18835,tecnlogía,NOUN,31.4374942779541,18260
12,means,VERB,21.531389236450195,18835,significa,VERB,35.28773880004883,18260
13,in,ADP,20.896419525146484,18835,en,ADP,31.898550033569336,18260
14,0,0,0.0,0,nuestras,DET,32.558433532714844,18260
15,lives,NOUN,20.345182418823242,18835,vidas,NOUN,34.097320556640625,18260
16,--,PUNCT,20.376014709472656,18835,",",PUNCT,30.525957107543945,18260
17,just,ADV,24.39327049255371,23403,no,ADV,33.477176666259766,23260
18,not,PART,22.58660316467285,23403,en,ADP,32.341304779052734,23260
19,our,DET,21.849149703979492,23403,nuestra,DET,35.3406982421875,23260
20,life,NOUN,19.56281280517578,23403,vida,NOUN,34.16788101196289,23260
21,0,0,0.0,0,más,ADV,38.84846496582031,23260
22,immediate,ADJ,21.44480323791504,23403,inmediata,ADJ,33.21871566772461,23260
23,",",PUNCT,21.793588638305664,23403,",",PUNCT,31.736343383789062,23260
24,but,CCONJ,22.59787940979004,23403,sino,CONJ,33.10249710083008,23260
25,in,ADP,21.232900619506836,23403,en,ADP,33.63169479370117,23260
26,the,DET,22.631044387817383,23403,un,DET,37.93175506591797,23260
27,sense,NOUN,19.15903663635254,23403,sentido,NOUN,33.3413200378418,23260
28,cosmic,ADJ,20.53792953491211,23403,cósmico,ADJ,34.44297409057617,23260
29,",",PUNCT,21.569263458251953,23403,",",PUNCT,30.188125610351562,23260
30,in,ADP,19.839155197143555,26635,en,ADP,33.15443801879883,26260
31,the,DET,23.21909523010254,26635,el,DET,32.70728302001953,26260
32,kind,NOUN,17.61269760131836,26635,0,0,0.0,0
33,of,ADP,22.33155632019043,26635,de,ADP,28.147212982177734,26260
34,long,ADJ,19.542510986328125,26635,larga,ADJ,33.55739212036133,26260
35,history,NOUN,19.33378028869629,26635,historia,NOUN,32.72502899169922,26260
36,of,ADP,23.0639705657959,26635,del,ADP,35.015384674072266,26260
37,the,DET,22.142255783081055,26635,una,DET,34.3948974609375,26260
38,world,NOUN,17.86539649963379,26635,mundo,NOUN,31.173248291015625,26260
39,and,CCONJ,20.15825653076172,29801,y,CONJ,33.162017822265625,29260
40,our,DET,23.40726089477539,29801,nuestro,DET,34.59697723388672,29260
41,place,NOUN,20.333141326904297,29801,lugar,NOUN,29.950660705566406,29260
42,in,ADP,19.84741973876953,29801,en,ADP,32.909912109375,29260
43,the,DET,22.752046585083008,29801,él,PRON,32.493202209472656,29260
