,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,0,0,0.0,0,Estas,PRON,29.697477340698242,12777
1,are,AUX,22.075109481811523,12777,son,AUX,31.646656036376953,12777
2,The,DET,22.35883331298828,12777,mis,DET,35.16633224487305,12777
3,opinions,NOUN,19.779579162597656,12777,opiniones,NOUN,34.656551361083984,12777
4,0,0,0.0,0,y,CONJ,33.4584846496582,14562
5,",",PUNCT,19.90847396850586,12777,no,ADV,33.342559814453125,14562
6,following,VERB,20.534059524536133,12777,reflejan,VERB,36.128929138183594,14562
7,my,DET,21.05430793762207,12777,las,DET,33.98365783691406,14562
8,0,0,0.0,0,opiniones,NOUN,35.48885726928711,14562
9,0,0,0.0,0,o,CONJ,32.39832305908203,14562
10,0,0,0.0,0,las,DET,34.56126022338867,14562
11,0,0,0.0,0,políticas,NOUN,36.0802001953125,14562
12,and,CCONJ,21.35630989074707,14686,de,ADP,31.704002380371094,16673
13,do,AUX,21.23180389404297,14686,0,0,0.0,0
14,not,PART,23.446229934692383,14686,0,0,0.0,0
15,reflect,VERB,23.318437576293945,14686,en,ADP,34.480220794677734,16673
16,the,DET,21.106826782226562,14686,ninguna,DET,33.951290130615234,16673
17,opinions,NOUN,20.26573944091797,14686,fiscalía,NOUN,32.26447677612305,16673
18,or,CCONJ,25.604732513427734,14686,.,PUNCT,34.40886306762695,16673
19,policies,NOUN,19.75758171081543,14686,particular,NOUN,31.967443466186523,16673
20,(,PUNCT,19.138301849365234,18725,(,PUNCT,28.748825073242188,18731
21,Laughter,PROPN,20.165264129638672,18725,Risas,PROPN,34.865478515625,18731
22,),PUNCT,20.96363067626953,18725,),PUNCT,32.331058502197266,18731
23,am,AUX,23.097749710083008,21452,Soy,AUX,30.803203582763672,21469
24,I,PRON,25.732297897338867,21452,fiscal,ADJ,35.19292449951172,21469
25,.,PUNCT,21.618764877319336,21452,.,PUNCT,34.0304069519043,21469
26,0,0,0.0,0,Creo,VERB,36.77947998046875,23126
27,0,0,0.0,0,en,ADP,32.883079528808594,23126
28,a,DET,23.655555725097656,21452,la,DET,32.8685302734375,23126
29,prosecutor,NOUN,18.652353286743164,21452,ley,NOUN,30.530174255371094,23126
30,0,0,0.0,0,y,CONJ,31.74502944946289,23126
31,0,0,0.0,0,el,DET,34.697208404541016,23126
32,0,0,0.0,0,orden,NOUN,29.7713565826416,23126
33,0,0,0.0,0,.,PUNCT,32.286529541015625,23126
34,I,PRON,24.816919326782227,23146,Soy,AUX,28.244338989257812,24686
35,believe,VERB,22.542865753173828,23146,el,DET,35.56857681274414,24686
36,law,NOUN,19.04541778564453,23146,hijo,NOUN,31.485042572021484,24686
37,and,CCONJ,23.777650833129883,23146,adoptivo,ADJ,35.27955627441406,24686
38,in,ADP,21.29754066467285,23146,de,ADP,31.20628547668457,24686
39,0,0,0.0,0,un,DET,35.3986701965332,24686
40,order,NOUN,19.366071701049805,23146,policía,NOUN,33.51991271972656,24686
41,.,PUNCT,23.174528121948242,23146,",",PUNCT,30.380163192749023,24686
42,0,0,0.0,0,un,DET,32.83145523071289,24686
43,0,0,0.0,0,marine,NOUN,31.717754364013672,24686
44,0,0,0.0,0,",",PUNCT,30.618980407714844,24686
45,0,0,0.0,0,y,CONJ,32.69865798950195,24686
46,0,0,0.0,0,una,DET,33.381622314453125,24686
47,0,0,0.0,0,peluquera,NOUN,29.245376586914062,24686
48,0,0,0.0,0,.,PUNCT,32.70509338378906,24686
49,believe,VERB,22.48058319091797,29139,Creo,VERB,36.78750228881836,29151
50,in,ADP,21.26113510131836,29139,en,ADP,33.00726318359375,29151
51,0,0,0.0,0,la,DET,33.5089225769043,29151
52,accountability,NOUN,20.339906692504883,29139,responsabilidad,NOUN,31.143234252929688,29151
53,0,0,0.0,0,y,CONJ,32.97203826904297,32093
54,0,0,0.0,0,en,ADP,30.873916625976562,32093
55,0,0,0.0,0,que,SCONJ,32.96826171875,32093
56,I,PRON,24.839731216430664,29139,todos,PRON,33.79960632324219,32093
57,0,0,0.0,0,deberíamos,AUX,33.278812408447266,32093
58,0,0,0.0,0,vivir,VERB,35.68034362792969,32093
59,0,0,0.0,0,seguros,ADJ,34.6799430847168,32093
60,0,0,0.0,0,en,ADP,30.64635467529297,32093
61,0,0,0.0,0,nuestras,DET,33.89675521850586,32093
62,0,0,0.0,0,comunidades,NOUN,34.90463638305664,32093
63,0,0,0.0,0,.,PUNCT,33.40110778808594,32093
64,I,PRON,24.471561431884766,36145,Me,PRON,31.911331176757812,36145
65,love,VERB,22.76309585571289,36145,encanta,VERB,34.81508255004883,36145
66,my,DET,22.98417091369629,36145,mi,DET,33.391029357910156,36145
67,job,NOUN,20.27501106262207,36145,trabajo,NOUN,32.384979248046875,36145
