,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.45661163330078,15260,Yo,PRON,33.75910186767578,15260
1,grew,VERB,25.656723022460938,15260,crecí,VERB,33.55585479736328,15260
2,up,ADP,19.59497833251953,15260,0,0,0.0,0
3,in,ADP,19.290374755859375,17260,en,ADP,34.46693801879883,17260
4,a,DET,21.720623016357422,17260,un,DET,39.103065490722656,17260
5,very,ADV,25.822547912597656,17260,0,0,0.0,0
6,small,ADJ,22.559213638305664,17260,pequeño,ADJ,35.58248519897461,17260
7,village,NOUN,21.199119567871094,17260,pueblo,NOUN,33.873992919921875,17260
8,in,ADP,19.908000946044922,17260,de,ADP,28.135570526123047,17260
9,Canada,PROPN,21.537517547607422,17260,Canadá,PROPN,37.34983444213867,17260
10,",",PUNCT,21.289588928222656,17260,",",PUNCT,31.28988265991211,17260
11,and,CCONJ,20.05748176574707,20260,y,CONJ,32.33940887451172,20260
12,I,PRON,24.798490524291992,20260,0,0,0.0,0
13,'m,AUX,21.908349990844727,20260,soy,AUX,33.02582931518555,20260
14,an,DET,22.27130699157715,20260,un,DET,35.250694274902344,20260
15,undiagnosed,ADJ,19.919157028198242,20260,disléxico,ADJ,32.809513092041016,20260
16,dyslexic,PROPN,18.34442901611328,23260,no,ADV,35.13926696777344,23260
17,0,0,0.0,0,diagnosticado,ADJ,32.725074768066406,23260
18,.,PUNCT,20.16547203063965,23260,.,PUNCT,33.64796447753906,23260
19,I,PRON,24.363691329956055,25260,Lo,PRON,31.3275089263916,25260
20,had,AUX,24.768341064453125,25260,pasé,VERB,33.8203125,25260
21,a,DET,21.58795738220215,25260,la,DET,32.208030700683594,25260
22,really,ADV,26.234411239624023,25260,mal,ADV,37.16279220581055,25260
23,hard,ADJ,22.315393447875977,25260,muy,ADV,36.7239990234375,25260
24,time,NOUN,20.517709732055664,25260,0,0,0.0,0
25,in,ADP,22.31627082824707,25260,en,ADP,32.440818786621094,25260
26,school,NOUN,20.23378562927246,25260,escuela,NOUN,31.45169448852539,25260
27,.,PUNCT,21.0351505279541,25260,.,PUNCT,33.50529098510742,25260
28,In,ADP,21.33609390258789,28260,De,ADP,33.50141525268555,28260
29,fact,NOUN,20.785873413085938,28260,hecho,NOUN,30.011219024658203,28260
30,",",PUNCT,20.302717208862305,28260,",",PUNCT,30.450260162353516,28260
31,my,DET,22.104278564453125,28260,mi,DET,33.77522659301758,28260
32,mother,NOUN,21.023517608642578,28260,madre,NOUN,33.45077896118164,28260
33,0,0,0.0,0,una,DET,32.26621627807617,28260
34,eventually,ADV,23.208087921142578,28260,vez,NOUN,32.01252746582031,28260
35,me,PRON,25.043134689331055,28260,me,PRON,32.78535842895508,28260
36,told,VERB,24.334117889404297,28260,contó,VERB,36.188880920410156,28260
37,that,SCONJ,20.232351303100586,30260,que,SCONJ,31.232807159423828,30260
38,I,PRON,24.75861930847168,30260,yo,PRON,32.446170806884766,30260
39,was,AUX,24.150461196899414,30260,era,AUX,33.10664749145508,30260
40,the,DET,23.72712516784668,30260,ese,DET,36.42507553100586,30260
41,little,ADJ,20.217710494995117,30260,0,0,0.0,0
42,kid,NOUN,18.402666091918945,30260,niñito,NOUN,32.90709686279297,30260
43,in,ADP,21.616519927978516,30260,del,ADP,34.71882629394531,30260
44,the,DET,22.96209144592285,30260,0,0,0.0,0
45,village,NOUN,18.73252296447754,30260,pueblo,NOUN,32.65439987182617,30260
46,who,PRON,21.051063537597656,32260,que,SCONJ,31.85936164855957,32260
47,all,DET,21.20331382751465,32260,siempre,ADV,37.03053283691406,32260
48,cried,VERB,24.837011337280273,32260,lloraba,VERB,35.77995681762695,32260
49,0,0,0.0,0,de,ADP,31.375091552734375,32260
50,way,NOUN,19.882841110229492,32260,camino,NOUN,30.546091079711914,32260
51,to,ADP,20.599483489990234,32260,a,ADP,31.53026008605957,32260
52,the,DET,23.051712036132812,32260,la,DET,31.997163772583008,32260
53,school,NOUN,20.626445770263672,32260,escuela,NOUN,31.048538208007812,32260
54,.,PUNCT,21.448463439941406,32260,.,PUNCT,33.3914680480957,32260
55,I,PRON,24.842334747314453,37260,Me,PRON,31.601625442504883,37260
56,ran,VERB,25.050195693969727,37260,alejé,VERB,36.30585861206055,37260
57,0,0,0.0,0,de,ADP,32.09954071044922,37260
58,away,ADV,23.90973663330078,37260,allí,ADV,33.2528190612793,37260
59,.,PUNCT,21.360904693603516,37260,.,PUNCT,32.482261657714844,37260
60,I,PRON,23.70464515686035,39260,A,ADP,34.027587890625,39260
61,left,VERB,23.9178524017334,39260,los,DET,34.5749397277832,39260
62,when,ADV,21.319271087646484,39260,0,0,0.0,0
63,I,PRON,24.603696823120117,39260,me,PRON,32.04865264892578,39260
64,was,AUX,23.454465866088867,39260,0,0,0.0,0
65,25,NUM,24.404115676879883,39260,25,NUM,35.33335876464844,39260
66,years,NOUN,23.53742790222168,39260,años,NOUN,34.18449783325195,39260
67,old,ADJ,20.44348907470703,39260,0,0,0.0,0
68,to,PART,22.207210540771484,39260,0,0,0.0,0
69,go,VERB,22.641592025756836,39260,fui,VERB,31.30207633972168,39260
70,to,ADP,18.511898040771484,39260,a,ADP,31.38102149963379,39260
71,Bali,PROPN,21.987102508544922,39260,Bali,PROPN,36.93449401855469,39260
72,",",PUNCT,21.71047592163086,39260,.,PUNCT,31.68340301513672,39260
73,and,CCONJ,20.706594467163086,44260,Y,CONJ,33.807716369628906,44260
74,there,ADV,17.4306583404541,44260,allí,ADV,34.766754150390625,44260
75,met,VERB,22.90471839904785,44260,conocí,VERB,34.43400192260742,44260
76,I,PRON,25.168365478515625,44260,a,ADP,33.778987884521484,44260
77,my,DET,20.943429946899414,44260,mi,DET,33.00334930419922,44260
78,incredible,ADJ,18.874967575073242,44260,increíble,ADJ,31.956892013549805,44260
79,wife,NOUN,20.200735092163086,44260,esposa,NOUN,32.79585266113281,44260
80,",",PUNCT,20.846033096313477,44260,",",PUNCT,28.862863540649414,44260
81,Cynthia,PROPN,20.271657943725586,44260,Cynthia,PROPN,34.95109558105469,44260
82,",",PUNCT,20.68702507019043,44260,",",PUNCT,31.023422241210938,44260
83,and,CCONJ,21.201393127441406,47260,y,CONJ,34.30978012084961,47260
84,together,ADV,18.762718200683594,47260,juntos,ADJ,31.931812286376953,47260
85,",",PUNCT,20.105371475219727,47260,",",PUNCT,29.244443893432617,47260
86,over,ADP,19.63082504272461,47260,a,ADP,33.11546325683594,47260
87,0,0,0.0,0,lo,DET,30.216785430908203,47260
88,years,NOUN,22.075834274291992,47260,largo,NOUN,33.19744873046875,47260
89,0,0,0.0,0,de,ADP,32.002315521240234,47260
90,20,NUM,23.95106315612793,47260,20,NUM,35.23261642456055,47260
91,0,0,0.0,0,años,NOUN,35.37746047973633,47260
92,",",PUNCT,19.944597244262695,47260,",",PUNCT,31.16452980041504,47260
93,built,VERB,23.58470344543457,50260,dirigimos,VERB,34.11537551879883,50260
94,an,DET,25.9571590423584,50260,un,DET,35.161842346191406,50260
95,amazing,ADJ,20.30109214782715,50260,precioso,ADJ,35.07191467285156,50260
96,jewelry,NOUN,20.33221435546875,50260,negocio,NOUN,31.587173461914062,50260
97,we,PRON,24.081830978393555,50260,de,ADP,32.31825637817383,50260
98,business,NOUN,21.247060775756836,50260,joyería,NOUN,31.366073608398438,50260
99,.,PUNCT,22.14907455444336,50260,.,PUNCT,33.21357727050781,50260
100,was,AUX,24.98113250732422,53260,Fue,AUX,32.75041198730469,53260
101,a,DET,24.397748947143555,53260,un,DET,35.3432502746582,53260
102,fairy,NOUN,21.777179718017578,53260,cuento,NOUN,30.219242095947266,53260
103,It,PRON,24.52216148376465,53260,de,ADP,31.1344051361084,53260
104,tale,NOUN,18.79448699951172,53260,hadas,NOUN,32.10185241699219,53260
105,",",PUNCT,20.38274383544922,53260,",",PUNCT,31.8099308013916,53260
106,and,CCONJ,22.05316925048828,53260,y,CONJ,33.03108215332031,53260
107,then,ADV,20.48007583618164,53260,después,ADV,34.65607452392578,53260
108,we,PRON,23.48214340209961,53260,nos,PRON,30.854686737060547,53260
109,retired,VERB,22.554502487182617,53260,retiramos,VERB,36.121891021728516,53260
110,.,PUNCT,21.692813873291016,53260,.,PUNCT,33.305992126464844,53260
111,Then,ADV,21.984731674194336,56260,Cierto,DET,33.876121520996094,56260
112,0,0,0.0,0,día,NOUN,35.267578125,56260
113,to,PART,21.309370040893555,56260,",",PUNCT,30.225971221923828,56260
114,me,PRON,25.59331512451172,56260,ella,PRON,31.042774200439453,56260
115,she,PRON,26.000715255737305,56260,me,PRON,33.40182113647461,56260
116,see,VERB,23.990232467651367,56260,llevó,VERB,36.16762161254883,56260
117,0,0,0.0,0,a,ADP,33.87871170043945,56260
118,took,VERB,27.101530075073242,56260,ver,VERB,36.34354019165039,56260
119,a,DET,21.239988327026367,56260,una,DET,35.2939567565918,56260
120,film,NOUN,20.308719635009766,56260,película,NOUN,32.28229522705078,56260
121,that,SCONJ,20.11617660522461,58260,que,SCONJ,30.507965087890625,58260
122,I,PRON,24.081995010375977,58260,yo,PRON,32.589874267578125,58260
123,really,ADV,24.62913703918457,58260,ni,CONJ,33.21333312988281,58260
124,did,AUX,24.25063133239746,58260,siquiera,NOUN,32.88518142700195,58260
125,n't,PART,23.543245315551758,58260,0,0,0.0,0
126,want,VERB,22.52062225341797,58260,ver,VERB,35.264827728271484,58260
127,to,PART,23.18474006652832,58260,0,0,0.0,0
128,see,VERB,23.722612380981445,58260,quería,VERB,31.727140426635742,58260
129,.,PUNCT,21.163415908813477,58260,.,PUNCT,33.7889404296875,58260
130,It,PRON,23.95659065246582,61260,0,0,0.0,0
131,ruined,VERB,24.29781723022461,61260,Destrozó,VERB,34.882591247558594,61260
132,my,DET,22.797828674316406,61260,mi,DET,35.42296600341797,61260
133,life,NOUN,20.2788028717041,61260,vida,NOUN,30.50033950805664,61260
134,--,PUNCT,19.852283477783203,61260,...,PUNCT,31.091772079467773,61260
135,(,PUNCT,19.138301849365234,64260,(,PUNCT,28.748825073242188,64260
136,Laughter,PROPN,20.165264129638672,64260,Risas,PROPN,34.865478515625,64260
137,),PUNCT,20.96363067626953,64260,),PUNCT,32.331058502197266,64260
138,0,0,0.0,0,Era,AUX,36.16305160522461,66260
139,"""",PUNCT,19.468395233154297,66260,:,PUNCT,33.481346130371094,66260
140,Inconvenient,PROPN,21.081491470336914,66260,"""",PUNCT,31.141305923461914,66260
141,The,DET,19.81311798095703,66260,Una,DET,33.71706771850586,66260
142,Truth,PROPN,19.928869247436523,66260,verdad,NOUN,33.014129638671875,66260
143,and,CCONJ,22.0452880859375,66260,incómoda,ADJ,33.8394889831543,66260
144,"""",PUNCT,20.317768096923828,66260,"""",PUNCT,32.54026794433594,66260
145,.,PUNCT,19.766700744628906,66260,",",PUNCT,32.93678283691406,66260
146,Mr.,PROPN,22.875158309936523,66260,del,ADP,34.358123779296875,66260
147,0,0,0.0,0,señor,NOUN,29.35129737854004,66260
148,Gore,PROPN,24.882686614990234,66260,Gore,PROPN,35.16082763671875,66260
149,0,0,0.0,0,.,PUNCT,31.410070419311523,66260
150,I,PRON,25.055892944335938,69260,Tengo,VERB,32.758460998535156,69260
151,have,AUX,22.98883628845215,69260,0,0,0.0,0
152,four,NUM,22.672014236450195,69260,cuatro,NUM,35.54466247558594,69260
153,kids,NOUN,21.706750869750977,69260,hijos,NOUN,32.70874786376953,69260
154,",",PUNCT,20.100910186767578,69260,0,0,0.0,0
155,and,CCONJ,21.43476676940918,72260,y,CONJ,33.18418502807617,72260
156,if,SCONJ,22.1953182220459,72260,aunque,SCONJ,36.55607986450195,72260
157,part,NOUN,19.573272705078125,72260,parte,NOUN,33.05155563354492,72260
158,of,ADP,24.774005889892578,72260,de,ADP,29.45278549194336,72260
159,even,ADV,20.46246910095215,72260,lo,DET,33.694740295410156,72260
160,what,PRON,21.342086791992188,72260,que,PRON,32.75318908691406,72260
161,he,PRON,24.014039993286133,72260,él,PRON,32.463462829589844,72260
162,says,VERB,25.957460403442383,72260,dice,VERB,34.43428039550781,72260
163,is,AUX,24.42120933532715,72260,es,AUX,34.65895462036133,72260
164,true,ADJ,19.313777923583984,72260,cierto,ADJ,35.158512115478516,72260
165,",",PUNCT,20.454561233520508,72260,",",PUNCT,29.31666374206543,72260
166,they,PRON,24.721023559570312,75260,ellos,PRON,33.779964447021484,75260
167,'re,AUX,22.947782516479492,75260,van,AUX,35.087093353271484,75260
168,not,PART,24.285871505737305,75260,no,ADV,32.815032958984375,75260
169,going,VERB,25.879629135131836,75260,tener,VERB,38.00045394897461,75260
170,to,PART,21.87538719177246,75260,a,ADP,33.63158416748047,75260
171,have,AUX,24.523717880249023,75260,0,0,0.0,0
172,the,DET,22.430866241455078,75260,la,DET,33.15913009643555,75260
173,life,NOUN,20.09824562072754,75260,vida,NOUN,33.063880920410156,75260
174,that,DET,20.098066329956055,75260,que,PRON,33.4231071472168,75260
175,I,PRON,24.639474868774414,75260,yo,PRON,34.65974426269531,75260
176,had,AUX,23.431224822998047,75260,tuve,VERB,34.197959899902344,75260
177,.,PUNCT,20.538551330566406,75260,.,PUNCT,33.25962448120117,75260
178,And,CCONJ,19.873641967773438,79260,Y,CONJ,34.68016815185547,79260
179,I,PRON,26.710315704345703,79260,decidí,PROPN,35.612510681152344,79260
180,decided,VERB,24.085186004638672,79260,",",PUNCT,31.674314498901367,79260
181,at,ADP,22.245813369750977,79260,en,ADP,34.695377349853516,79260
182,that,DET,20.90081024169922,79260,aquel,DET,36.09110641479492,79260
183,moment,NOUN,20.413570404052734,79260,momento,NOUN,31.296796798706055,79260
184,that,SCONJ,20.171249389648438,82260,que,SCONJ,30.908489227294922,82260
185,I,PRON,24.925016403198242,82260,0,0,0.0,0
186,would,VERB,27.029525756835938,82260,pasaría,VERB,33.72768020629883,82260
187,spend,VERB,26.613969802856445,82260,0,0,0.0,0
188,the,DET,22.182815551757812,82260,el,DET,35.218082427978516,82260
189,rest,NOUN,22.386816024780273,82260,resto,NOUN,29.866413116455078,82260
190,of,ADP,24.778736114501953,82260,de,ADP,30.651451110839844,82260
191,my,DET,21.826553344726562,82260,mi,DET,35.09443283081055,82260
192,life,NOUN,17.859071731567383,82260,vida,NOUN,30.63191795349121,82260
193,doing,VERB,23.7982234954834,85260,haciendo,VERB,33.11865997314453,85260
194,whatever,DET,21.70037078857422,85260,todo,DET,35.09205627441406,85260
195,could,VERB,23.28165626525879,85260,lo,DET,32.699642181396484,85260
196,I,PRON,26.728801727294922,85260,que,PRON,31.54752540588379,85260
197,0,0,0.0,0,pudiera,AUX,34.173484802246094,85260
198,to,PART,22.696590423583984,88260,para,ADP,36.03462600708008,88260
199,improve,VERB,26.495752334594727,88260,mejorar,VERB,37.82353591918945,88260
200,their,DET,24.29863929748535,88260,sus,DET,33.227447509765625,88260
201,possibilities,NOUN,23.65617561340332,88260,posibilidades,NOUN,35.813804626464844,88260
202,.,PUNCT,20.41697120666504,88260,.,PUNCT,33.504024505615234,88260
203,So,ADV,19.830854415893555,92260,Así,ADV,35.58195877075195,92260
204,'s,AUX,21.908912658691406,92260,que,SCONJ,30.844005584716797,92260
205,here,ADV,21.263164520263672,92260,aquí,ADV,35.70378875732422,92260
206,the,DET,19.92953872680664,92260,esta,DET,31.849918365478516,92260
207,0,0,0.0,0,el,DET,33.21879196166992,92260
208,world,NOUN,17.803281784057617,92260,mundo,NOUN,30.864543914794922,92260
209,",",PUNCT,21.747886657714844,92260,",",PUNCT,29.665163040161133,92260
210,and,CCONJ,19.92022705078125,94260,y,CONJ,34.108848571777344,94260
211,here,ADV,21.58818817138672,94260,aquí,ADV,34.000640869140625,94260
212,are,AUX,25.214027404785156,94260,estamos,AUX,33.96123123168945,94260
213,we,PRON,25.117403030395508,94260,nosotros,PRON,30.207948684692383,94260
214,0,0,0.0,0,",",PUNCT,30.81523895263672,94260
215,in,ADP,19.354602813720703,94260,en,ADP,30.10712432861328,94260
216,Bali,PROPN,21.66332244873047,94260,Bali,PROPN,36.653812408447266,94260
217,.,PUNCT,21.245298385620117,94260,.,PUNCT,31.81926155090332,94260
218,It,PRON,23.81209373474121,97260,0,0,0.0,0
219,'s,AUX,23.248640060424805,97260,Es,AUX,34.82143783569336,97260
220,a,DET,22.065967559814453,97260,una,DET,35.89229202270508,97260
221,tiny,ADJ,18.31144142150879,97260,pequeña,ADJ,36.33323287963867,97260
222,",",PUNCT,20.039276123046875,97260,",",PUNCT,30.12956428527832,97260
223,little,ADJ,19.36248207092285,97260,0,0,0.0,0
224,island,NOUN,20.165542602539062,97260,isla,NOUN,33.975399017333984,97260
225,--,PUNCT,21.273893356323242,97260,0,0,0.0,0
226,miles,NOUN,19.527008056640625,99260,de,ADP,31.586193084716797,99260
227,60,NUM,22.43060302734375,99260,100,NUM,34.23673629760742,99260
228,by,ADP,22.795886993408203,99260,por,ADP,33.113685607910156,99260
229,90,NUM,24.43955421447754,99260,150,NUM,35.924468994140625,99260
230,miles,NOUN,21.57758903503418,99260,kilómetros,NOUN,34.734458923339844,99260
231,.,PUNCT,20.398324966430664,99260,",",PUNCT,30.384729385375977,99260
232,It,PRON,22.61332130432129,101260,donde,SCONJ,32.5522575378418,101260
233,an,DET,23.653593063354492,101260,la,DET,33.19850540161133,101260
234,culture,NOUN,19.504465103149414,101260,cultura,NOUN,31.814973831176758,101260
235,has,AUX,23.08038330078125,101260,hindú,ADJ,34.829044342041016,101260
236,Hindu,PROPN,22.597869873046875,101260,sigue,VERB,33.75554656982422,101260
237,intact,ADJ,20.655696868896484,101260,intacta,ADJ,31.679513931274414,101260
238,.,PUNCT,20.744733810424805,101260,.,PUNCT,33.01185607910156,101260
239,Cynthia,PROPN,19.655048370361328,104260,Cynthia,PROPN,33.36583709716797,104260
240,and,CCONJ,19.786697387695312,104260,y,CONJ,33.4045524597168,104260
241,I,PRON,24.24161148071289,104260,yo,PRON,31.232126235961914,104260
242,were,AUX,24.2520809173584,104260,estabamos,VERB,34.55857849121094,104260
243,there,ADV,19.21632957458496,104260,allí,ADV,34.16822052001953,104260
244,.,PUNCT,21.921215057373047,104260,.,PUNCT,32.02714157104492,104260
245,We,PRON,24.397159576416016,106260,0,0,0.0,0
246,had,AUX,24.71690559387207,106260,0,0,0.0,0
247,had,VERB,21.546260833740234,106260,Teníamos,VERB,27.505203247070312,106260
248,a,DET,24.922252655029297,106260,una,DET,32.73939514160156,106260
249,wonderful,ADJ,22.032642364501953,106260,maravillosa,ADJ,33.768836975097656,106260
250,life,NOUN,21.34027862548828,106260,vida,NOUN,32.00659942626953,106260
251,there,ADV,21.650985717773438,106260,0,0,0.0,0
252,",",PUNCT,22.516983032226562,106260,0,0,0.0,0
253,and,CCONJ,20.616931915283203,109260,y,CONJ,34.247005462646484,109260
254,we,PRON,25.193511962890625,109260,decidimos,VERB,34.148223876953125,109260
255,decided,VERB,23.75704002380371,109260,hacer,VERB,34.208309173583984,109260
256,to,PART,21.75267219543457,109260,0,0,0.0,0
257,do,AUX,23.822532653808594,109260,poco,ADV,34.54988098144531,109260
258,something,PRON,23.53659439086914,109260,algo,PRON,33.05508804321289,109260
259,unusual,ADJ,23.15222930908203,109260,común,ADJ,32.250038146972656,109260
260,.,PUNCT,22.39363670349121,109260,.,PUNCT,33.2523078918457,109260
261,We,PRON,24.705047607421875,112260,algo,PRON,33.08143997192383,112260
262,decided,VERB,23.76113510131836,112260,hacer,VERB,33.90019607543945,112260
263,to,PART,23.160364151000977,112260,0,0,0.0,0
264,give,VERB,23.072954177856445,112260,Decidimos,VERB,31.69025421142578,112260
265,back,ADP,21.23320198059082,112260,0,0,0.0,0
266,locally,ADV,22.02437973022461,115260,por,ADP,34.695194244384766,115260
267,0,0,0.0,0,la,DET,34.22392272949219,115260
268,0,0,0.0,0,comunidad,NOUN,34.28728103637695,115260
269,0,0,0.0,0,local,ADJ,33.62118148803711,115260
270,.,PUNCT,20.910663604736328,115260,.,PUNCT,33.08012390136719,115260
271,And,CCONJ,20.4787540435791,117259,Y,CONJ,32.69996643066406,117259
272,here,ADV,20.616533279418945,117259,aquí,ADV,36.281166076660156,117259
273,it,PRON,22.910051345825195,117259,está,VERB,33.64067840576172,117259
274,is,AUX,24.79033088684082,117259,0,0,0.0,0
275,:,PUNCT,21.183481216430664,117259,:,PUNCT,31.369150161743164,117259
276,it,PRON,21.84141731262207,117259,la,PRON,30.691396713256836,117259
277,'s,AUX,20.081073760986328,117259,0,0,0.0,0
278,called,VERB,20.93606185913086,117259,llamamos,VERB,33.23155212402344,117259
279,the,DET,21.6458683013916,117259,la,DET,30.603166580200195,117259
280,Green,PROPN,20.42013931274414,117259,Verde,PROPN,36.1963005065918,117259
281,School,PROPN,20.577045440673828,117259,Escuela,PROPN,36.805320739746094,117259
282,.,PUNCT,20.186147689819336,117259,.,PUNCT,32.20608901977539,117259
283,I,PRON,24.782140731811523,120260,Sé,AUX,32.44579315185547,120260
284,know,VERB,24.619672775268555,120260,0,0,0.0,0
285,it,PRON,24.591543197631836,120260,no,ADV,34.663108825683594,120260
286,does,AUX,25.738168716430664,120260,parece,AUX,36.72640609741211,120260
287,n't,PART,26.26589584350586,120260,0,0,0.0,0
288,look,VERB,24.335935592651367,120260,0,0,0.0,0
289,like,SCONJ,20.432403564453125,120260,que,SCONJ,34.57324981689453,120260
290,a,DET,21.495256423950195,120260,una,DET,35.3438720703125,120260
291,school,NOUN,17.34608268737793,120260,escuela,NOUN,29.877573013305664,120260
292,",",PUNCT,19.923912048339844,120260,",",PUNCT,31.58832550048828,120260
293,but,CCONJ,21.74586296081543,122260,pero,CONJ,34.01087188720703,122260
294,it,PRON,23.945356369018555,122260,algo,PRON,33.897216796875,122260
295,is,AUX,25.544649124145508,122260,es,AUX,35.10639953613281,122260
296,something,PRON,20.461868286132812,122260,que,PRON,31.203290939331055,122260
297,we,PRON,23.73970603942871,122260,decidimos,VERB,32.80996322631836,122260
298,decided,VERB,24.270709991455078,122260,hacer,VERB,34.51170349121094,122260
299,to,PART,21.284893035888672,122260,0,0,0.0,0
300,do,AUX,22.83694076538086,122260,0,0,0.0,0
301,",",PUNCT,22.06831932067871,122260,",",PUNCT,29.02895164489746,122260
302,and,CCONJ,21.00933074951172,125260,y,CONJ,34.03146743774414,125260
303,it,PRON,24.175722122192383,125260,0,0,0.0,0
304,is,AUX,26.200885772705078,125260,es,AUX,33.8654670715332,125260
305,extremely,ADV,22.021760940551758,125260,extremadamente,ADV,34.97932052612305,125260
306,",",PUNCT,20.20435905456543,125260,",",PUNCT,31.022178649902344,125260
307,extremely,ADV,22.971843719482422,127260,extremadamente,ADV,34.34794998168945,127260
308,green,ADJ,21.495973587036133,127260,verde,ADJ,33.59708023071289,127260
309,.,PUNCT,21.996902465820312,127260,.,PUNCT,33.89236831665039,127260
310,The,DET,22.566194534301758,130260,Las,DET,31.682933807373047,130260
311,classrooms,NOUN,23.307207107543945,130260,aulas,NOUN,34.76313400268555,130260
312,have,AUX,22.831153869628906,130260,no,ADV,36.09715270996094,130260
313,no,DET,22.964157104492188,130260,tienen,VERB,35.86482620239258,130260
314,walls,NOUN,21.5654296875,130260,paredes,NOUN,33.01102828979492,130260
315,.,PUNCT,20.49968719482422,130260,.,PUNCT,32.32572555541992,130260
316,The,DET,22.721031188964844,133260,El,DET,35.417877197265625,133260
317,teacher,NOUN,22.089509963989258,133260,maestro,NOUN,33.060768127441406,133260
318,writing,VERB,22.668912887573242,133260,escribe,VERB,35.29758834838867,133260
319,is,AUX,26.45001220703125,133260,en,ADP,34.41529083251953,133260
320,a,DET,21.954084396362305,133260,un,DET,37.371952056884766,133260
321,bamboo,NOUN,19.94228172302246,133260,pizarrón,NOUN,33.022674560546875,133260
322,on,ADP,21.422119140625,133260,de,ADP,31.199745178222656,133260
323,blackboard,NOUN,19.241504669189453,133260,bambú,PROPN,34.27737808227539,133260
324,.,PUNCT,21.212406158447266,133260,.,PUNCT,32.98566436767578,133260
325,The,DET,22.33344268798828,136260,Los,DET,34.887351989746094,136260
326,desks,NOUN,23.013700485229492,136260,pupitres,NOUN,34.450836181640625,136260
327,not,PART,23.038829803466797,136260,no,ADV,34.69926452636719,136260
328,are,AUX,24.945484161376953,136260,son,AUX,33.90360641479492,136260
329,square,ADJ,20.462059020996094,136260,cuadrados,ADJ,33.91204071044922,136260
330,.,PUNCT,22.082490921020508,136260,.,PUNCT,32.34572219848633,136260
331,At,ADP,20.89961814880371,139260,En,ADP,32.67939376831055,139260
332,Green,PROPN,21.414718627929688,139260,Escuela,PROPN,37.59545135498047,139260
333,School,PROPN,20.174190521240234,139260,Verde,PROPN,34.62437057495117,139260
334,",",PUNCT,22.2288818359375,139260,la,DET,31.321369171142578,139260
335,the,DET,21.117961883544922,139260,los,DET,33.69709396362305,139260
336,children,NOUN,22.240158081054688,139260,niños,NOUN,36.26260757446289,139260
337,are,AUX,24.41887092590332,139260,sonríen,ADJ,35.5778923034668,139260
338,smiling,VERB,21.758655548095703,139260,0,0,0.0,0
