,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,On,ADP,20.167747497558594,12454,de,ADP,32.226234436035156,12454
1,June,PROPN,24.198806762695312,12454,El,DET,31.08917999267578,12454
2,12,NUM,20.885971069335938,12454,12,NUM,32.79932403564453,12454
3,",",PUNCT,23.74564552307129,12454,junio,NOUN,31.0842342376709,12454
4,2014,NUM,21.608627319335938,12454,2014,NUM,29.33306884765625,12454
5,",",PUNCT,22.0799560546875,12454,",",PUNCT,29.557003021240234,12454
6,precisely,ADV,21.171180725097656,12454,precisamente,ADV,31.53974151611328,12454
7,at,ADP,23.410917282104492,12454,de,ADP,32.1494255065918,12454
8,3:33,NUM,22.28434944152832,12454,las,DET,31.277578353881836,12454
9,in,ADP,20.561939239501953,18966,a,ADP,33.02435302734375,12454
10,a,DET,23.924745559692383,18966,una,DET,34.01251220703125,18966
11,balmy,ADJ,19.64902114868164,18966,tibia,ADJ,32.85491180419922,18966
12,winter,NOUN,18.309104919433594,18966,15:33,NOUN,30.083847045898438,12454
13,afternoon,NOUN,19.65009307861328,18966,tarde,NOUN,32.7192497253418,18966
14,in,ADP,21.169937133789062,18966,en,ADP,34.390953063964844,18966
15,São,PROPN,21.469663619995117,18966,de,ADP,31.61363410949707,18966
16,Paulo,PROPN,20.327116012573242,18966,Paulo,PROPN,36.59797286987305,18966
17,",",PUNCT,20.77885627746582,18966,en,ADP,32.42976760864258,18966
18,Brazil,PROPN,21.360095977783203,18966,São,PROPN,34.879669189453125,18966
19,",",PUNCT,21.968246459960938,18966,",",PUNCT,30.197179794311523,18966
20,a,DET,21.0931453704834,23106,una,DET,34.807525634765625,23106
21,typical,ADJ,19.694721221923828,23106,Brasil,PROPN,35.8696174621582,18966
22,South,ADJ,19.219955444335938,23106,",",PUNCT,29.756643295288086,18966
23,American,ADJ,22.38284683227539,23106,típica,ADJ,32.927181243896484,23106
24,winter,NOUN,18.902362823486328,23106,invierno,NOUN,30.90964698791504,18966
25,afternoon,NOUN,19.165590286254883,23106,tarde,NOUN,33.764251708984375,23106
26,",",PUNCT,19.36982536315918,23106,de,ADP,31.86170768737793,23106
27,this,DET,22.06415367126465,26632,en,ADP,31.923824310302734,23106
28,kid,NOUN,17.86998748779297,26632,invierno,NOUN,30.67269515991211,23106
29,",",PUNCT,17.98301887512207,26632,",",PUNCT,30.99846076965332,23106
30,this,DET,23.351299285888672,26632,del,ADP,33.698158264160156,23106
31,young,ADJ,22.194507598876953,26632,Sur,PROPN,35.42155838012695,23106
32,man,NOUN,20.73297119140625,26632,chico,NOUN,31.813922882080078,26632
33,that,DET,18.99612808227539,26632,este,DET,36.87017822265625,26632
34,you,PRON,24.352907180786133,26632,América,PROPN,37.04669189453125,23106
35,see,VERB,24.00083351135254,26632,",",PUNCT,30.919052124023438,26632
36,celebrating,VERB,22.554536819458008,26632,ven,VERB,37.00072479248047,26632
37,here,ADV,21.154897689819336,26632,aquí,ADV,37.37293243408203,26632
38,like,SCONJ,21.262941360473633,29612,como,SCONJ,34.5863037109375,29612
39,he,PRON,23.182126998901367,29612,que,PRON,34.330078125,26632
40,had,AUX,24.40296173095703,29612,hubiera,AUX,35.94475555419922,29612
41,scored,VERB,22.308773040771484,29612,celebrando,VERB,35.135215759277344,26632
42,a,DET,21.844669342041016,29612,este,DET,35.75011444091797,26632
43,goal,NOUN,20.357498168945312,29612,joven,NOUN,33.90807342529297,26632
44,",",PUNCT,21.387691497802734,29612,si,SCONJ,35.50166702270508,29612
45,Juliano,PROPN,21.323572158813477,31131,Juliano,PROPN,31.922426223754883,31131
46,Pinto,PROPN,19.974964141845703,31131,Pinto,PROPN,32.914878845214844,31131
47,",",PUNCT,22.30782127380371,31131,",",PUNCT,30.45351791381836,29612
48,29,NUM,23.32740020751953,31131,29,NUM,34.21213150024414,31131
49,years,NOUN,23.635311126708984,31131,gol,NOUN,33.285335540771484,29612
50,old,ADJ,20.854726791381836,31131,de,ADP,31.703516006469727,31131
51,",",PUNCT,21.8005313873291,31131,",",PUNCT,30.058197021484375,31131
52,accomplished,VERB,20.63027000427246,31131,anotado,VERB,35.265106201171875,29612
53,a,DET,21.567747116088867,31131,un,DET,34.802974700927734,29612
54,magnificent,ADJ,20.342201232910156,31131,magnífica,ADJ,35.545040130615234,31131
