,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Now,ADV,23.507139205932617,25000,Bueno,INTJ,33.53495407104492,25000
1,",",PUNCT,20.012680053710938,25000,",",PUNCT,30.204099655151367,25000
2,have,AUX,18.952051162719727,25000,ha,AUX,33.72306442260742,25000
3,any,DET,21.55776023864746,25000,¿,PUNCT,30.317398071289062,25000
4,of,ADP,20.724451065063477,25000,de,ADP,27.453025817871094,25000
5,y',PRON,20.061967849731445,25000,alguno,PRON,33.25115203857422,25000
6,all,ADV,19.757564544677734,25000,Uds.,PROPN,36.66897201538086,25000
7,ever,ADV,23.374765396118164,25000,esta,DET,35.40993881225586,25000
8,looked,VERB,21.69629669189453,25000,buscado,VERB,34.37722396850586,25000
9,up,ADP,22.28324317932129,25000,palabra,NOUN,33.63044357299805,25000
10,this,DET,23.436742782592773,25000,alguna,DET,33.42131042480469,25000
11,word,NOUN,19.132652282714844,25000,vez,NOUN,31.533967971801758,25000
12,?,PUNCT,21.01146125793457,25000,?,PUNCT,33.251953125,25000
13,You,PRON,23.95366096496582,29000,¿,PUNCT,29.03594398498535,29000
14,know,VERB,23.792116165161133,29000,0,0,0.0,0
15,",",PUNCT,20.15695571899414,29000,?,PUNCT,29.50823211669922,29000
16,in,ADP,18.670412063598633,29000,En,ADP,31.2625732421875,29000
17,a,DET,21.49605941772461,29000,un,DET,36.469940185546875,29000
18,dictionary,NOUN,18.414278030395508,29000,diccionario,NOUN,31.549537658691406,29000
19,?,PUNCT,22.627548217773438,29000,(,PUNCT,27.33123779296875,29000
20,(,PUNCT,19.526884078979492,29000,),PUNCT,31.96302032470703,29000
21,Laughter,PROPN,19.65878677368164,29000,Risas,PROPN,33.08431625366211,29000
22,),PUNCT,20.102548599243164,29000,.,PUNCT,31.430971145629883,29000
23,Yeah,INTJ,22.649274826049805,29000,Sí,ADV,30.081932067871094,29000
24,",",PUNCT,19.80218505859375,29000,0,0,0.0,0
25,that,DET,19.15311622619629,29000,lo,DET,33.81757736206055,29000
26,'s,AUX,23.562450408935547,29000,es,AUX,31.693042755126953,29000
27,what,PRON,23.67307472229004,29000,que,PRON,31.132957458496094,29000
28,I,PRON,25.6160888671875,29000,Eso,PRON,33.555145263671875,29000
29,thought,VERB,24.438095092773438,29000,pensé,VERB,32.32198715209961,29000
30,.,PUNCT,21.435781478881836,29000,.,PUNCT,34.13894271850586,29000
31,How,ADV,21.507469177246094,33000,¿,PUNCT,29.670780181884766,33000
32,about,ADP,20.529644012451172,33000,Y,CONJ,32.09687042236328,33000
33,this,DET,23.641252517700195,33000,esta,DET,35.13240051269531,33000
34,word,NOUN,19.442951202392578,33000,palabra,NOUN,33.004661560058594,33000
35,?,PUNCT,20.965211868286133,33000,?,PUNCT,33.08293151855469,33000
36,Here,ADV,21.840402603149414,35000,Miren,PROPN,34.82799530029297,35000
37,",",PUNCT,20.61382293701172,35000,",",PUNCT,29.95189666748047,35000
38,I,PRON,25.026554107666016,35000,les,PRON,32.06696701049805,35000
39,'ll,VERB,21.5113582611084,35000,mostraré,VERB,33.79690170288086,35000
40,show,VERB,24.595272064208984,35000,0,0,0.0,0
41,it,PRON,23.20332145690918,35000,0,0,0.0,0
42,to,ADP,19.948244094848633,35000,0,0,0.0,0
43,you,PRON,24.30811309814453,35000,0,0,0.0,0
44,.,PUNCT,21.116422653198242,35000,:,PUNCT,31.994258880615234,35000
45,Lexicography,NOUN,18.963966369628906,36000,Lexicografía,PROPN,30.303112030029297,36000
46,:,PUNCT,19.730073928833008,36000,:,PUNCT,29.87880516052246,36000
47,the,DET,20.55126953125,36000,la,DET,31.617931365966797,36000
48,practice,NOUN,18.070974349975586,36000,práctica,NOUN,31.987079620361328,36000
49,of,ADP,24.478416442871094,36000,de,ADP,30.96245002746582,36000
50,compiling,VERB,21.269643783569336,36000,compilar,VERB,33.51003646850586,36000
51,dictionaries,NOUN,20.91399574279785,36000,diccionarios,NOUN,34.40534973144531,36000
52,.,PUNCT,20.907920837402344,36000,.,PUNCT,32.430049896240234,36000
53,Notice,NOUN,19.60171127319336,39000,Fíjense,PROPN,33.79433822631836,39000
54,--,PUNCT,19.19936752319336,39000,",",PUNCT,30.469669342041016,39000
55,we,PRON,23.3007869720459,39000,0,0,0.0,0
56,'re,AUX,23.778743743896484,39000,somos,AUX,33.201568603515625,39000
57,very,ADV,27.356494903564453,39000,muy,ADV,37.93435287475586,39000
58,specific,ADJ,23.325042724609375,39000,específicos,ADJ,35.873130798339844,39000
59,--,PUNCT,20.82253646850586,39000,.,PUNCT,32.75482177734375,39000
60,that,DET,18.467256546020508,39000,La,DET,34.71710968017578,39000
61,word,NOUN,16.746654510498047,39000,palabra,NOUN,29.373966217041016,39000
62,"""",PUNCT,21.412324905395508,39000,"""",PUNCT,31.817148208618164,39000
63,compile,NOUN,19.62188720703125,39000,compilar,ADJ,33.006370544433594,39000
64,.,PUNCT,20.21078872680664,39000,"""",PUNCT,30.479772567749023,39000
65,"""",PUNCT,22.338895797729492,39000,0,0,0.0,0
66,The,DET,19.800962448120117,42000,El,DET,34.77825927734375,42000
67,dictionary,NOUN,20.662199020385742,42000,diccionario,NOUN,29.661352157592773,42000
68,is,AUX,24.041465759277344,42000,no,ADV,31.98430061340332,42000
69,not,PART,23.612075805664062,42000,se,PRON,33.06813049316406,42000
70,carved,VERB,20.503873825073242,42000,esculpe,VERB,35.278038024902344,42000
71,out,SCONJ,21.398149490356445,42000,a,ADP,33.72383499145508,42000
72,0,0,0.0,0,partir,NOUN,33.35281753540039,42000
73,of,ADP,23.276460647583008,42000,de,ADP,32.30934524536133,42000
74,a,DET,22.29996681213379,42000,una,DET,34.07756042480469,42000
75,piece,NOUN,21.36046028137207,42000,pieza,NOUN,32.540069580078125,42000
76,of,ADP,24.42496681213379,42000,de,ADP,30.74610137939453,42000
77,granite,NOUN,19.483383178710938,42000,granito,NOUN,31.122577667236328,42000
78,",",PUNCT,22.383644104003906,42000,",",PUNCT,31.0222225189209,42000
79,out,SCONJ,19.072050094604492,45000,0,0,0.0,0
80,of,ADP,23.535507202148438,45000,de,ADP,32.09257888793945,45000
81,a,DET,23.350645065307617,45000,un,DET,37.821632385253906,45000
82,lump,NOUN,20.588665008544922,45000,pedazo,NOUN,30.15959930419922,45000
83,of,ADP,24.96141815185547,45000,de,ADP,31.310298919677734,45000
84,rock,NOUN,19.508731842041016,45000,piedra,NOUN,31.023740768432617,45000
85,.,PUNCT,20.69430160522461,45000,.,PUNCT,33.07647705078125,45000
86,It,PRON,24.06404685974121,45000,Se,PRON,32.97451400756836,45000
87,'s,AUX,21.22610092163086,45000,un,DET,35.130836486816406,45000
88,made,VERB,22.577653884887695,45000,compone,VERB,36.57255554199219,45000
89,up,ADP,21.454971313476562,45000,de,ADP,32.50471496582031,45000
90,of,ADP,22.25394058227539,45000,de,ADP,31.09788703918457,45000
91,lots,NOUN,21.52074432373047,45000,pedacitos,NOUN,33.16356658935547,45000
92,of,ADP,24.090633392333984,45000,0,0,0.0,0
93,little,ADJ,21.302797317504883,45000,0,0,0.0,0
94,bits,NOUN,20.645164489746094,45000,montón,NOUN,29.854707717895508,45000
95,.,PUNCT,21.568063735961914,45000,.,PUNCT,31.853525161743164,45000
96,It,PRON,23.296672821044922,48000,Pedacitos,NOUN,32.73397445678711,48000
97,'s,AUX,23.15568733215332,48000,discretos,NOUN,33.851749420166016,48000
98,little,ADJ,21.05018424987793,48000,0,0,0.0,0
99,discrete,ADJ,21.360767364501953,48000,0,0,0.0,0
100,--,PUNCT,20.832605361938477,48000,.,PUNCT,34.13944625854492,48000
101,that,DET,18.485084533691406,49000,Esto,PRON,33.64710235595703,49000
102,'s,AUX,21.400697708129883,49000,se,PRON,31.415950775146484,49000
103,spelled,VERB,19.17713737487793,49000,deletrea,VERB,35.87648010253906,49000
104,D,PROPN,19.373844146728516,49000,así,ADV,35.16749954223633,49000
105,-,PUNCT,19.11711311340332,49000,:,PUNCT,32.11083984375,49000
106,I,PROPN,19.45115852355957,49000,D,NOUN,29.189001083374023,49000
107,-,PUNCT,20.967056274414062,49000,-,PUNCT,34.15066146850586,49000
108,S,PROPN,20.598880767822266,49000,I,CONJ,31.618499755859375,49000
109,-,PUNCT,21.435218811035156,49000,-,PUNCT,34.032203674316406,49000
110,C,PROPN,20.32786750793457,49000,S,NOUN,28.729042053222656,49000
111,-,PUNCT,20.46328353881836,49000,-,PUNCT,35.276710510253906,49000
112,R,NOUN,20.70245361328125,49000,C,NOUN,30.818614959716797,49000
113,-,PUNCT,22.387697219848633,49000,-,PUNCT,35.63360595703125,49000
114,E,NOUN,20.614665985107422,49000,R,NOUN,29.359228134155273,49000
115,-,PUNCT,19.14469337463379,49000,-,PUNCT,32.71922302246094,49000
116,T,NOUN,20.399694442749023,49000,E,CONJ,31.151012420654297,49000
117,-,PUNCT,21.178794860839844,49000,-,PUNCT,34.14303207397461,49000
118,E,NOUN,20.440752029418945,49000,T,NOUN,31.909608840942383,49000
119,--,PUNCT,18.722728729248047,49000,-,PUNCT,34.061702728271484,49000
120,0,0,0.0,0,O,CONJ,32.21749496459961,49000
121,.,PUNCT,20.837635040283203,49000,-,PUNCT,32.96355438232422,49000
122,bits,NOUN,20.57516860961914,49000,S,NOUN,29.674283981323242,49000
123,0,0,0.0,0,pedacitos,ADJ,33.52562713623047,49000
124,0,0,0.0,0,.,PUNCT,32.167781829833984,49000
125,And,CCONJ,20.947927474975586,53000,Y,CONJ,32.24246597290039,53000
126,those,DET,23.476377487182617,53000,esos,DET,34.640010833740234,53000
127,bits,NOUN,21.860143661499023,53000,pedacitos,NOUN,32.72393035888672,53000
128,are,AUX,26.061491012573242,53000,son,AUX,35.2345085144043,53000
129,words,NOUN,23.330059051513672,53000,palabras,NOUN,32.08474349975586,53000
130,.,PUNCT,20.510177612304688,53000,.,PUNCT,32.95772933959961,53000
131,Now,ADV,21.82984161376953,55000,Una,PRON,30.571720123291016,55000
132,one,NUM,20.076494216918945,55000,0,0,0.0,0
133,of,ADP,24.264230728149414,55000,de,ADP,30.118410110473633,55000
134,the,DET,22.893571853637695,55000,las,DET,32.650604248046875,55000
135,perks,NOUN,20.269792556762695,55000,ventajas,NOUN,35.755863189697266,55000
136,of,ADP,23.264375686645508,55000,de,ADP,31.36357307434082,55000
137,being,AUX,24.741191864013672,55000,ser,AUX,35.82650375366211,55000
138,a,DET,21.927316665649414,55000,lexicógrafa,ADJ,32.74771499633789,55000
139,lexicographer,NOUN,21.433916091918945,55000,0,0,0.0,0
140,--,PUNCT,22.022897720336914,55000,",",PUNCT,30.93387222290039,55000
141,0,0,0.0,0,además,ADV,35.764095306396484,59000
142,getting,VERB,22.37401580810547,59000,de,ADP,30.924400329589844,59000
143,besides,SCONJ,22.365039825439453,59000,que,SCONJ,33.71487808227539,59000
144,to,PART,20.017236709594727,59000,me,PRON,34.61469650268555,59000
145,come,VERB,22.800554275512695,59000,inviten,VERB,33.989200592041016,59000
146,to,ADP,19.64684295654297,59000,a,ADP,34.84156799316406,59000
147,get,VERB,22.539186477661133,59000,venir,VERB,35.64731216430664,59000
148,to,PART,20.325336456298828,59000,a,ADP,34.04048538208008,59000
149,TED,PROPN,22.314619064331055,59000,TED,PROPN,36.391387939453125,59000
150,--,PUNCT,20.540733337402344,59000,",",PUNCT,29.540205001831055,59000
151,is,AUX,19.738218307495117,59000,es,AUX,33.574684143066406,59000
152,that,SCONJ,19.92336654663086,59000,que,SCONJ,32.8482780456543,59000
