,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.091354370117188,14841,0,0,0.0,0
1,'ve,AUX,21.303974151611328,14841,conexión,NOUN,33.19231033325195,14841
2,naturally,ADV,24.813526153564453,14841,naturalmente,ADV,35.41215133666992,14841
3,developed,VERB,20.50838279724121,14841,desarrollé,VERB,34.869632720947266,14841
4,a,DET,22.95807647705078,14841,una,DET,34.30049133300781,14841
5,connection,NOUN,20.746463775634766,14841,río,NOUN,32.25836181640625,14841
6,to,ADP,22.792882919311523,14841,con,ADP,31.225412368774414,14841
7,the,DET,22.234764099121094,14841,el,DET,32.063072204589844,14841
8,Mississippi,PROPN,20.81361961364746,14841,Misisipi,PROPN,35.043399810791016,14841
9,River,PROPN,21.776582717895508,14841,0,0,0.0,0
10,.,PUNCT,20.51314353942871,14841,.,PUNCT,32.0135383605957,14841
11,When,ADV,23.12141990661621,19167,Cuando,SCONJ,34.882076263427734,19167
12,I,PRON,24.825592041015625,19167,0,0,0.0,0
13,was,AUX,25.686861038208008,19167,era,AUX,35.5494499206543,19167
14,little,ADJ,20.880186080932617,19167,pequeña,ADJ,31.697952270507812,19167
15,",",PUNCT,19.82550048828125,19167,",",PUNCT,30.944149017333984,19167
16,my,DET,22.232940673828125,20365,mi,DET,34.6135368347168,20365
17,sister,NOUN,17.279373168945312,20365,hermana,NOUN,32.708065032958984,20365
18,and,CCONJ,20.137338638305664,20365,y,CONJ,34.263526916503906,20365
19,I,PRON,25.625072479248047,20365,yo,PRON,31.90102767944336,20365
20,would,VERB,26.16004753112793,20365,competíamos,VERB,36.146400451660156,20365
21,have,AUX,24.543325424194336,20365,ver,AUX,37.54393768310547,20365
22,contests,NOUN,21.107250213623047,20365,para,ADP,36.667198181152344,20365
23,to,PART,21.77751922607422,20365,0,0,0.0,0
24,see,VERB,22.93404769897461,20365,podía,AUX,34.961029052734375,20365
25,who,PRON,22.57687759399414,20365,quién,PRON,32.92724609375,20365
26,could,VERB,22.840553283691406,20365,deletrear,VERB,36.10852813720703,20365
27,spell,VERB,22.77243995666504,20365,0,0,0.0,0
28,"""",PUNCT,18.58683967590332,24536,"""",PUNCT,31.042842864990234,24536
29,M,PROPN,19.1329288482666,24536,M,NOUN,32.9983024597168,24536
30,-,PUNCT,20.429235458374023,24536,-,PUNCT,32.96388626098633,24536
31,i,PROPN,20.033872604370117,24536,i,CONJ,29.358339309692383,24536
32,-,PUNCT,20.960983276367188,24536,-,PUNCT,33.64351272583008,24536
33,s,PROPN,19.801252365112305,24536,s,NOUN,26.731985092163086,24536
34,-,PUNCT,20.15622329711914,24536,-,PUNCT,33.39901351928711,24536
35,s,PROPN,18.503488540649414,24536,i,CONJ,29.887269973754883,24536
36,-,PUNCT,19.419281005859375,24536,-,PUNCT,33.72694396972656,24536
37,i,PROPN,20.126277923583984,24536,s,NOUN,26.74278450012207,24536
38,-,PUNCT,21.014087677001953,24536,-,PUNCT,33.36057662963867,24536
39,s,PROPN,19.80400276184082,24536,i,CONJ,29.86214828491211,24536
40,-,PUNCT,20.15622329711914,24536,-,PUNCT,33.776268005371094,24536
41,s,PROPN,18.50478744506836,24536,p,NOUN,28.442520141601562,24536
42,-,PUNCT,19.6215763092041,24536,-,PUNCT,32.533790588378906,24536
43,i,PROPN,20.631561279296875,24536,i,CONJ,29.2629451751709,24536
44,-,PUNCT,21.141313552856445,24536,"""",PUNCT,31.789493560791016,24536
45,p,PROPN,21.234331130981445,24536,más,ADV,35.46034622192383,24536
46,-,PUNCT,21.587968826293945,24536,.,PUNCT,33.2758903503418,24536
47,p,PROPN,19.08794403076172,24536,0,0,0.0,0
48,-,PUNCT,19.686017990112305,24536,0,0,0.0,0
49,i,PROPN,20.885160446166992,24536,0,0,0.0,0
50,"""",PUNCT,20.58173179626465,24536,0,0,0.0,0
51,the,DET,18.0799617767334,24536,0,0,0.0,0
52,fastest,ADJ,20.178945541381836,24536,rápido,ADJ,34.60063171386719,24536
53,.,PUNCT,22.57479476928711,24536,0,0,0.0,0
54,When,ADV,23.08917999267578,29115,Cuando,SCONJ,35.39332580566406,28945
55,I,PRON,24.87835121154785,29115,la,DET,32.47127151489258,28945
56,was,AUX,23.364124298095703,29115,estaba,AUX,36.73185729980469,28945
57,in,ADP,22.421606063842773,29115,en,ADP,32.6639289855957,28945
58,elementary,ADJ,20.803909301757812,29115,primaria,ADJ,33.48421859741211,28945
59,school,NOUN,17.769420623779297,29115,escuela,NOUN,31.295053482055664,28945
60,",",PUNCT,19.98833465576172,29115,",",PUNCT,29.61656951904297,28945
61,I,PRON,25.07781219482422,30703,0,0,0.0,0
