,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,'s,AUX,23.475143432617188,12915,Es,AUX,34.04264450073242,12915
1,very,ADV,26.857704162597656,12915,muy,ADV,38.264747619628906,12915
2,nice,ADJ,21.871952056884766,12915,agradable,ADJ,37.78432083129883,12915
3,It,PRON,23.18395233154297,12915,estar,VERB,36.786277770996094,12915
4,here,ADV,21.978946685791016,12915,aquí,ADV,37.72444152832031,12915
5,to,PART,21.289278030395508,12915,esta,DET,33.38224792480469,12915
6,tonight,NOUN,19.472732543945312,12915,noche,NOUN,32.609291076660156,12915
7,.,PUNCT,22.010231018066406,12915,.,PUNCT,33.17749786376953,12915
8,be,AUX,23.68332862854004,12915,He,AUX,35.04521179199219,14880
9,'ve,AUX,21.915864944458008,14880,estado,AUX,36.30107879638672,14880
10,working,VERB,24.067951202392578,14880,trabajando,VERB,35.56029510498047,14880
11,I,PRON,24.510934829711914,14880,en,ADP,32.76942443847656,14880
12,So,CCONJ,17.865673065185547,14880,la,DET,33.17227554321289,14880
13,been,AUX,26.44746208190918,14880,historia,NOUN,32.391483306884766,14880
14,on,ADP,21.70220184326172,14880,de,ADP,31.97512435913086,14880
15,the,DET,21.11930274963379,14880,la,DET,32.281864166259766,14880
16,history,NOUN,18.521501541137695,14880,distribución,NOUN,31.397483825683594,14880
17,of,ADP,22.08208465576172,14880,del,ADP,33.311302185058594,18596
18,income,NOUN,21.26140785217285,14880,ingreso,NOUN,29.460439682006836,18596
19,and,CCONJ,20.60487174987793,18596,y,CONJ,32.254241943359375,18596
20,wealth,NOUN,19.129661560058594,18596,la,DET,33.86339569091797,18596
21,distribution,NOUN,20.547958374023438,18596,riqueza,NOUN,30.511146545410156,18596
22,for,ADP,22.350631713867188,18596,en,ADP,31.245344161987305,18596
23,the,DET,20.92583656311035,18596,los,DET,33.98480987548828,18596
24,past,ADJ,17.905376434326172,18596,últimos,ADJ,33.322914123535156,18596
25,15,NUM,23.461305618286133,18596,15,NUM,35.262413024902344,18596
26,years,NOUN,22.20172882080078,18596,años,NOUN,35.579219818115234,18596
27,",",PUNCT,19.91519546508789,18596,",",PUNCT,31.193607330322266,18596
28,and,CCONJ,20.285985946655273,21915,y,CONJ,34.76862716674805,21915
29,one,NUM,21.095067977905273,21915,una,PRON,31.404483795166016,21915
30,of,ADP,24.016286849975586,21915,de,ADP,30.559011459350586,21915
31,the,DET,21.33389663696289,21915,las,DET,33.94246292114258,21915
32,lessons,NOUN,20.35675621032715,21915,lecciones,NOUN,36.34731674194336,21915
33,interesting,ADJ,20.3967342376709,21915,interesantes,ADJ,36.84098815917969,21915
34,there,PRON,21.757810592651367,29530,que,PRON,33.293861389160156,25016
35,coming,VERB,23.686044692993164,25016,proviene,VERB,37.26514434814453,25016
36,from,ADP,23.27811622619629,25016,de,ADP,32.89702606201172,25016
37,this,DET,22.608686447143555,25016,esta,DET,33.79665756225586,25016
38,evidence,NOUN,19.846956253051758,25016,evidencia,NOUN,31.202451705932617,25016
39,historical,ADJ,21.180179595947266,25016,histórica,ADJ,35.3557243347168,25016
40,is,AUX,22.588651657104492,27517,es,AUX,36.836421966552734,27517
41,indeed,ADV,20.50251579284668,27517,de,ADP,31.221271514892578,27517
42,run,NOUN,19.270463943481445,27517,hecho,NOUN,30.883358001708984,27517
43,that,SCONJ,19.547945022583008,27517,que,SCONJ,31.7580623626709,27517
