,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.763471603393555,16014,eso,PRON,35.68882751464844,20260
1,'m,AUX,23.230321884155273,16014,podría,AUX,31.268922805786133,20260
2,going,VERB,25.125612258911133,16014,parecer,VERB,35.696041107177734,20260
3,to,PART,22.640663146972656,16014,Y,CONJ,32.40496063232422,20260
4,talk,VERB,24.389650344848633,16014,un,DET,31.990463256835938,20260
5,today,NOUN,21.04400062561035,16014,poco,ADV,34.601966857910156,20260
6,about,ADP,21.78825569152832,16014,sorprendente,ADJ,34.56401443481445,20260
7,energy,NOUN,20.313140869140625,16014,trabajo,NOUN,33.72926330566406,22260
8,and,CCONJ,21.989013671875,16014,porque,SCONJ,32.888973236083984,20260
9,climate,NOUN,19.363853454589844,16014,tiempo,NOUN,35.248992919921875,22260
10,.,PUNCT,21.7789306640625,16014,a,ADP,32.987552642822266,22260
11,And,CCONJ,18.89200210571289,20363,completo,ADJ,34.41390609741211,22260
12,that,DET,19.48033332824707,20363,mi,DET,34.441341400146484,22260
13,might,VERB,22.94144630432129,20363,en,ADP,31.424570083618164,22260
14,seem,VERB,23.954479217529297,20363,es,AUX,33.37068557739258,22260
15,a,DET,21.367084503173828,20363,la,DET,34.2257080078125,22260
16,bit,NOUN,21.98246955871582,20363,fundación,NOUN,33.14994430541992,22260
17,surprising,ADJ,21.95608901977539,20363,principalmente,ADV,34.771766662597656,22260
18,",",PUNCT,20.884183883666992,20363,sobre,ADP,32.72844314575195,22260
19,because,SCONJ,21.041095733642578,22165,vacunas,NOUN,33.516883850097656,22260
20,my,DET,22.61746597290039,22165,las,DET,33.1906623840332,27260
21,full,ADJ,20.347854614257812,22165,y,CONJ,32.935855865478516,22260
22,-,PUNCT,21.898210525512695,22165,",",PUNCT,30.82605743408203,22260
23,time,NOUN,21.828765869140625,22165,semillas,NOUN,33.169273376464844,22260
24,work,NOUN,19.85613441467285,22165,cosas,NOUN,33.982208251953125,27260
25,at,ADP,23.052570343017578,22165,sobre,ADP,33.54740905761719,27260
26,the,DET,21.535030364990234,22165,que,PRON,34.27240753173828,27260
27,foundation,NOUN,18.735795974731445,22165,necesitamos,VERB,32.31686019897461,27260
28,is,AUX,23.349380493164062,25338,inventar,VERB,35.42597961425781,27260
29,mostly,ADV,23.593059539794922,25338,y,CONJ,32.327762603759766,27260
30,about,ADP,21.684310913085938,25338,para,ADP,36.24999237060547,30260
31,vaccines,NOUN,21.4666805267334,25338,cumplir,VERB,34.502105712890625,27260
32,and,CCONJ,24.480941772460938,25338,mejorar,VERB,37.3251953125,30260
33,seeds,NOUN,19.281253814697266,25338,vida,NOUN,32.176395416259766,30260
34,",",PUNCT,19.917736053466797,25338,2000,NUM,36.265289306640625,30260
35,about,ADP,20.089303970336914,27397,de,ADP,32.140716552734375,30260
36,the,DET,20.355846405029297,27397,los,DET,31.941312789916992,30260
37,things,NOUN,21.621129989624023,27397,millones,NOUN,33.61790084838867,30260
38,that,DET,23.100154876708984,27397,la,DET,33.49280548095703,30260
39,we,PRON,24.51083755493164,27397,más,ADV,38.16261291503906,30260
40,need,VERB,23.07511329650879,27397,pobres,ADJ,35.98811340332031,30260
41,to,PART,21.87338638305664,27397,.,PUNCT,33.583526611328125,30260
42,invent,VERB,23.983057022094727,27397,Pero,CONJ,34.0716552734375,35260
43,and,CCONJ,23.842798233032227,27397,",",PUNCT,30.304683685302734,35260
44,deliver,VERB,21.03400421142578,27397,la,DET,32.031951904296875,35260
45,to,PART,21.356660842895508,30989,energía,NOUN,30.294950485229492,35260
46,help,VERB,24.146652221679688,30989,y,CONJ,31.906837463378906,35260
47,the,DET,21.212970733642578,30989,el,DET,34.910301208496094,35260
48,poorest,ADJ,22.148319244384766,30989,clima,NOUN,31.30099868774414,35260
49,two,NUM,23.964290618896484,30989,son,AUX,31.169321060180664,35260
50,billion,NUM,23.604061126708984,30989,extremadamente,ADV,36.71955871582031,35260
51,live,VERB,20.364931106567383,30989,para,ADP,33.99933624267578,35260
52,better,ADJ,21.506771087646484,30989,importantes,ADJ,35.89490509033203,35260
53,lives,NOUN,22.15603256225586,30989,personas,NOUN,35.79307174682617,35260
54,.,PUNCT,21.9293212890625,30989,",",PUNCT,31.173681259155273,35260
55,But,CCONJ,22.04545021057129,35741,estas,DET,33.713016510009766,35260
56,energy,NOUN,20.879718780517578,35741,de,ADP,32.14359664916992,40260
57,and,CCONJ,22.866308212280273,35741,",",PUNCT,29.530376434326172,40260
58,climate,NOUN,19.771425247192383,35741,hecho,NOUN,29.861326217651367,40260
59,are,AUX,25.460790634155273,35741,que,SCONJ,32.695343017578125,40260
60,extremely,ADV,27.902128219604492,35741,más,ADV,35.80839920043945,40260
61,important,ADJ,24.303787231445312,35741,importante,ADJ,37.11265563964844,40260
62,to,ADP,22.29825782775879,35741,para,ADP,33.4407958984375,40260
63,these,DET,22.75714111328125,35741,cualquier,DET,34.378440856933594,40260
64,people,NOUN,20.994958877563477,35741,planeta,NOUN,31.512638092041016,40260
65,;,PUNCT,18.60637664794922,35741,el,DET,34.489776611328125,40260
66,in,ADP,20.92635154724121,40260,en,ADP,30.6027889251709,40260
67,fact,NOUN,18.493396759033203,40260,cambio,NOUN,30.456892013549805,45260
68,",",PUNCT,20.609905242919922,40260,.,PUNCT,32.55868148803711,40260
