,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.126131057739258,12944,hablarles,ADJ,33.07019805908203,12944
1,want,VERB,24.110898971557617,12944,Quiero,VERB,32.43507385253906,12944
2,to,PART,23.716840744018555,12944,esta,DET,32.327919006347656,12944
3,talk,VERB,26.09775161743164,12944,0,0,0.0,0
4,to,ADP,19.703527450561523,12944,0,0,0.0,0
5,you,PRON,23.536447525024414,12944,0,0,0.0,0
6,tonight,NOUN,21.38550567626953,12944,noche,NOUN,32.13078689575195,12944
7,about,ADP,20.045080184936523,14991,sobre,ADP,31.87491226196289,14991
8,the,DET,21.78584861755371,14991,el,DET,34.55805206298828,14991
9,work,NOUN,20.567113876342773,14991,trabajo,NOUN,32.58525848388672,14991
10,0,0,0.0,0,que,PRON,34.91264343261719,14991
11,makes,VERB,26.042789459228516,14991,hace,AUX,35.84510040283203,14991
12,that,DET,23.172229766845703,14991,todos,DET,31.619033813476562,14991
13,all,DET,20.941972732543945,14991,los,DET,34.97150421142578,14991
14,other,ADJ,21.334714889526367,14991,demás,DET,35.59203338623047,14991
15,work,NOUN,22.725122451782227,14991,trabajos,NOUN,36.49778747558594,14991
16,possible,ADJ,21.589967727661133,14991,posibles,ADJ,35.361907958984375,14991
17,",",PUNCT,20.771337509155273,14991,",",PUNCT,31.317779541015625,14991
18,about,ADP,19.820173263549805,19279,sobre,ADP,32.0251350402832,19279
19,the,DET,21.0611629486084,19279,el,DET,33.50324630737305,19279
20,millions,NOUN,20.43306541442871,19279,millón,NOUN,29.978466033935547,19279
21,of,ADP,24.36673355102539,19279,de,ADP,31.81365203857422,19279
22,women,NOUN,22.24979591369629,19279,mujeres,NOUN,34.88853454589844,19279
23,who,PRON,25.710447311401367,19279,que,PRON,34.34200668334961,19279
24,go,VERB,22.41848373413086,19279,trabajan,VERB,37.08784484863281,19279
25,to,PART,20.66419792175293,19279,0,0,0.0,0
26,work,VERB,21.949281692504883,19279,0,0,0.0,0
27,in,ADP,21.903467178344727,19279,en,ADP,32.017486572265625,19279
28,our,DET,24.268455505371094,19279,nuestros,DET,32.9510612487793,19279
29,homes,NOUN,19.102609634399414,19279,hogares,NOUN,35.64217758178711,19279
30,every,DET,22.05729103088379,23662,todos,DET,33.658729553222656,23662
31,single,ADJ,21.17635726928711,23662,los,DET,35.091556549072266,23662
32,day,NOUN,20.199583053588867,23662,días,NOUN,34.86133575439453,23662
33,",",PUNCT,20.42136573791504,23662,",",PUNCT,30.9686279296875,23662
34,caring,VERB,21.14362144470215,25867,cuidando,VERB,35.25193405151367,25867
35,for,ADP,22.317916870117188,25867,a,ADP,33.77830505371094,25867
36,0,0,0.0,0,los,DET,36.62554931640625,25867
37,children,NOUN,20.84553337097168,25867,niños,NOUN,35.958595275878906,25867
38,as,SCONJ,23.77003288269043,25867,como,SCONJ,35.38678741455078,25867
39,nannies,NOUN,21.56821060180664,25867,niñeras,NOUN,31.8065128326416,25867
40,",",PUNCT,20.80952262878418,25867,",",PUNCT,30.687435150146484,25867
41,caring,VERB,19.474071502685547,29672,cuidando,VERB,35.08399200439453,29672
42,for,ADP,21.75813102722168,29672,a,ADP,32.263458251953125,29672
43,our,DET,22.674575805664062,29672,nuestros,DET,34.24571228027344,29672
44,loved,ADJ,22.072275161743164,29672,queridos,ADJ,34.07659912109375,29672
45,ones,NOUN,21.506717681884766,29672,seres,NOUN,36.87210464477539,29672
46,with,ADP,22.610118865966797,29672,con,ADP,33.09920120239258,29672
47,disabilities,NOUN,21.165409088134766,29672,discapacidades,NOUN,34.85885238647461,29672
48,and,CCONJ,23.406953811645508,29672,y,CONJ,32.2053108215332,29672
49,our,DET,21.9981689453125,29672,los,DET,36.7140007019043,29672
50,elders,NOUN,19.998985290527344,29672,ancianos,NOUN,35.71759033203125,29672
