,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,We,PRON,24.574825286865234,12864,0,0,0.0,0
1,live,VERB,22.89082145690918,12864,Vivimos,VERB,32.79890060424805,12864
2,in,ADP,21.920421600341797,12864,en,ADP,35.002540588378906,12864
3,a,DET,21.33195686340332,12864,un,DET,35.1551399230957,12864
4,very,ADV,24.974740982055664,12864,muy,ADV,37.322044372558594,12864
5,complex,ADJ,21.981664657592773,12864,complejo,ADJ,35.92156219482422,12864
6,environment,NOUN,21.643001556396484,12864,medioambiente,NOUN,32.9821891784668,12864
7,:,PUNCT,19.929594039916992,12864,:,PUNCT,31.481834411621094,12864
8,complexity,NOUN,21.85258674621582,15187,complejidad,NOUN,31.689199447631836,15187
9,and,CCONJ,21.944231033325195,15187,y,CONJ,32.859867095947266,15187
10,dynamism,NOUN,19.46370506286621,15187,dinamismo,NOUN,32.367801666259766,15187
11,and,CCONJ,22.48783302307129,17091,y,CONJ,34.756656646728516,17091
12,patterns,NOUN,22.282962799072266,17091,patrones,NOUN,31.484004974365234,17091
13,of,ADP,24.259103775024414,17091,de,ADP,32.04115295410156,17091
14,evidence,NOUN,20.03509521484375,17091,evidencia,NOUN,30.080141067504883,17091
15,from,ADP,20.662220001220703,19154,de,ADP,30.91091537475586,19154
16,satellite,NOUN,18.666383743286133,19154,fotografías,NOUN,36.05524826049805,19154
17,photographs,NOUN,21.262121200561523,19154,satelitales,ADJ,35.68204116821289,19154
18,",",PUNCT,21.65696144104004,19154,",",PUNCT,30.218564987182617,19154
19,from,ADP,20.90180778503418,19154,de,ADP,30.78485679626465,19154
20,videos,NOUN,20.250276565551758,19154,videos,NOUN,35.13883972167969,19154
21,.,PUNCT,20.287677764892578,19154,.,PUNCT,33.34356689453125,19154
22,You,PRON,24.17154884338379,22039,0,0,0.0,0
23,can,VERB,24.623788833618164,22039,pueden,AUX,32.756126403808594,22039
24,even,ADV,23.887176513671875,22039,Incluso,ADV,34.78129959106445,22039
25,see,VERB,23.87755012512207,22039,verlo,VERB,35.678016662597656,22039
26,it,PRON,23.266054153442383,22039,0,0,0.0,0
27,outside,ADP,20.132747650146484,22039,desde,ADP,34.47333908081055,22039
28,your,DET,23.571393966674805,22039,sus,DET,34.042049407958984,22039
29,window,NOUN,20.925216674804688,22039,ventanas,NOUN,35.484405517578125,22039
30,.,PUNCT,21.93799591064453,22039,.,PUNCT,33.4189338684082,22039
31,'s,AUX,22.7271728515625,25050,Es,AUX,35.65220642089844,25050
32,endlessly,ADV,26.878578186035156,25050,infinitamente,ADV,34.968326568603516,25050
33,complex,ADJ,22.18545150756836,25050,complejo,ADJ,32.810997009277344,25050
34,",",PUNCT,23.36859893798828,25050,",",PUNCT,29.40677261352539,25050
35,It,PRON,22.75718116760254,25050,pero,CONJ,31.85292625427246,25050
36,but,CCONJ,21.52455711364746,25050,de,ADP,31.145355224609375,25050
37,somehow,ADV,20.860349655151367,25050,alguna,DET,35.558143615722656,25050
38,0,0,0.0,0,manera,NOUN,35.494178771972656,25050
39,familiar,ADJ,21.21912384033203,25050,familiar,ADJ,36.78922653198242,25050
40,",",PUNCT,20.037229537963867,25050,",",PUNCT,31.302091598510742,25050
41,but,CCONJ,20.49207878112793,28910,pero,CONJ,32.991180419921875,28910
42,the,DET,22.11515998840332,28910,los,DET,33.29710006713867,28910
43,patterns,NOUN,20.855615615844727,28910,patrones,NOUN,34.4996337890625,28910
44,kind,ADV,20.82227897644043,28910,parecen,VERB,32.83767318725586,28910
45,of,ADP,22.41967010498047,28910,repetirse,PROPN,30.430648803710938,28910
46,repeat,NOUN,18.597152709960938,28910,0,0,0.0,0
47,",",PUNCT,20.70415687561035,28910,",",PUNCT,31.795494079589844,28910
48,but,CCONJ,20.424636840820312,30870,aunque,SCONJ,34.49885559082031,30870
49,they,PRON,23.73103904724121,30870,se,PRON,32.99324035644531,30870
50,never,ADV,26.375268936157227,30870,nunca,ADV,35.02470016479492,30870
51,repeat,VERB,21.274385452270508,30870,repiten,VERB,38.40360641479492,30870
52,exactly,ADV,22.890771865844727,30870,exactamente,ADV,33.96764373779297,30870
53,.,PUNCT,22.021188735961914,30870,.,PUNCT,32.154945373535156,30870
54,It,PRON,23.790800094604492,33360,Entenderlo,PROPN,34.24374771118164,33360
55,'s,AUX,23.010072708129883,33360,es,AUX,34.55364990234375,33360
56,a,DET,23.02872085571289,33360,un,DET,37.01274490356445,33360
57,huge,ADJ,22.289743423461914,33360,enorme,ADJ,35.88911819458008,33360
58,challenge,NOUN,20.212743759155273,33360,reto,NOUN,34.839168548583984,33360
59,to,PART,22.871469497680664,33360,0,0,0.0,0
60,understand,VERB,22.94015884399414,33360,0,0,0.0,0
61,.,PUNCT,22.129615783691406,33360,.,PUNCT,32.39881896972656,33360
62,The,DET,22.73360252380371,37487,Los,DET,33.137943267822266,37487
63,patterns,NOUN,21.1962833404541,37487,patrones,NOUN,36.2791748046875,37487
64,that,DET,22.781539916992188,37487,0,0,0.0,0
65,you,PRON,24.586687088012695,37487,que,PRON,33.642120361328125,37487
66,see,VERB,22.554468154907227,37487,vemos,VERB,32.395809173583984,37487
67,are,AUX,22.524688720703125,39619,están,VERB,33.36336898803711,39619
68,there,PRON,21.393457412719727,39619,0,0,0.0,0
69,at,ADV,20.47065544128418,39619,ahí,ADV,34.76250076293945,39619
70,all,DET,21.166051864624023,39619,distintas,DET,36.51683044433594,39619
71,of,ADP,22.90072250366211,39619,en,ADP,32.52774429321289,39619
72,the,DET,21.142818450927734,39619,0,0,0.0,0
73,different,ADJ,19.784107208251953,39619,0,0,0.0,0
74,scales,NOUN,21.523710250854492,39619,escalas,NOUN,36.86521911621094,39619
