,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Does,AUX,19.309051513671875,20160,¿,PUNCT,30.187698364257812,20160
1,your,DET,24.94989776611328,20160,su,DET,34.84600830078125,20160
2,mindset,NOUN,22.624361038208008,20160,mentalidad,NOUN,32.73550033569336,20160
3,correspond,VERB,22.065311431884766,20160,Corresponde,VERB,32.822566986083984,20160
4,to,ADP,20.6079158782959,20160,con,ADP,33.88493347167969,20160
5,my,DET,22.67693328857422,20160,mi,DET,33.902767181396484,20160
6,dataset,NOUN,18.202835083007812,20160,conjunto,NOUN,28.81217384338379,20160
7,?,PUNCT,20.494112014770508,20160,de,ADP,30.925769805908203,20160
8,(,PUNCT,19.138301849365234,24160,?,PUNCT,32.63042449951172,20160
9,Laughter,PROPN,20.165264129638672,24160,Risas,PROPN,34.865478515625,24160
10,),PUNCT,20.96363067626953,24160,(,PUNCT,28.748825073242188,24160
11,If,SCONJ,22.64528465270996,25160,Si,SCONJ,33.093318939208984,25160
12,not,PART,22.20553970336914,25160,datos,NOUN,32.528926849365234,20160
13,",",PUNCT,21.200571060180664,25160,),PUNCT,32.331058502197266,24160
14,one,NUM,20.903430938720703,25160,no,ADV,35.242549896240234,25160
15,or,CCONJ,21.42753791809082,25160,",",PUNCT,29.382495880126953,25160
16,the,DET,20.670379638671875,25160,los,DET,33.445556640625,25160
17,other,ADJ,20.09380531311035,25160,de,ADP,31.107465744018555,25160
18,needs,NOUN,21.72466278076172,25160,necesita,NOUN,30.578632354736328,25160
19,upgrading,VERB,20.922300338745117,25160,dos,NUM,33.458438873291016,25160
20,",",PUNCT,21.333663940429688,25160,",",PUNCT,30.347881317138672,25160
21,is,AUX,23.351015090942383,25160,renovarse,ADJ,32.70473861694336,25160
22,n't,PART,23.496347427368164,25160,cierto,ADJ,34.01903533935547,25160
23,it,PRON,21.367448806762695,25160,uno,PRON,34.776329040527344,25160
24,?,PUNCT,22.577899932861328,25160,¿,PUNCT,30.13379669189453,25160
25,When,ADV,22.442310333251953,28160,Cuando,SCONJ,33.43730545043945,28160
26,I,PRON,24.513568878173828,28160,les,PRON,31.129629135131836,28160
27,talk,VERB,23.169193267822266,28160,hablo,VERB,33.75458908081055,28160
28,to,ADP,20.30941390991211,28160,a,ADP,33.219112396240234,28160
29,my,DET,24.00959587097168,28160,mis,DET,34.70557403564453,28160
30,students,NOUN,20.097759246826172,28160,estudiantes,NOUN,36.11534118652344,28160
31,about,ADP,20.691265106201172,28160,sobre,ADP,33.91697692871094,28160
32,global,ADJ,21.871231079101562,28160,globales,ADJ,34.61831283569336,28160
33,issues,NOUN,20.596336364746094,28160,asuntos,NOUN,32.91999435424805,28160
34,",",PUNCT,21.141019821166992,28160,?,PUNCT,33.86261749267578,25160
35,and,CCONJ,19.483518600463867,32160,y,CONJ,34.05769348144531,32160
36,I,PRON,26.206073760986328,32160,luego,ADV,33.36407470703125,32160
37,listen,VERB,22.41417121887207,32160,escucho,VERB,33.524295806884766,32160
38,to,ADP,21.80875015258789,32160,en,ADP,33.778587341308594,32160
39,them,PRON,25.807357788085938,32160,les,PRON,29.054576873779297,32160
40,in,ADP,20.743152618408203,32160,de,ADP,31.14577293395996,34160
41,the,DET,22.328516006469727,32160,el,DET,33.81031036376953,32160
42,coffee,NOUN,18.396997451782227,32160,descanso,NOUN,30.835939407348633,32160
43,break,NOUN,18.426002502441406,32160,",",PUNCT,29.948945999145508,32160
44,",",PUNCT,20.26028823852539,32160,"""",PUNCT,32.40840148925781,34160
45,they,PRON,24.786670684814453,34160,nosotros,PRON,33.76333999633789,34160
46,always,ADV,25.45124053955078,34160,siempre,ADV,35.005855560302734,34160
47,talk,VERB,23.71745491027832,34160,hablan,VERB,36.99032974243164,34160
48,about,ADP,21.118186950683594,34160,y,CONJ,32.032432556152344,34160
49,"""",PUNCT,20.1318416595459,34160,"""",PUNCT,30.806602478027344,34160
50,we,PRON,19.444271087646484,34160,ellos,PRON,32.92343521118164,34160
51,"""",PUNCT,21.02385902404785,34160,"""",PUNCT,31.60687255859375,34160
52,and,CCONJ,21.959779739379883,34160,cuando,SCONJ,36.469303131103516,37160
53,"""",PUNCT,19.695697784423828,34160,.,PUNCT,33.37009048461914,34160
54,them,PRON,21.970745086669922,34160,Y,CONJ,32.19287872314453,37160
55,.,PUNCT,20.42598533630371,34160,"""",PUNCT,30.460346221923828,34160
56,"""",PUNCT,22.59385871887207,34160,vuelven,VERB,37.006649017333984,37160
57,And,CCONJ,21.071163177490234,37160,a,ADP,32.16625213623047,37160
58,when,ADV,22.440061569213867,37160,sala,NOUN,32.53470993041992,37160
59,they,PRON,27.159204483032227,37160,les,PRON,29.582242965698242,40160
60,come,VERB,24.264122009277344,37160,pregunto,VERB,35.35105514526367,40160
61,back,ADV,21.634462356567383,37160,",",PUNCT,30.531991958618164,37160
62,into,ADP,20.68206214904785,37160,de,ADP,31.786212921142578,37160
63,the,DET,22.528362274169922,37160,la,DET,32.02601623535156,37160
64,lecture,NOUN,17.04863739013672,37160,clase,NOUN,29.38918113708496,37160
65,room,NOUN,19.679527282714844,37160,:,PUNCT,32.736236572265625,40160
66,I,PRON,25.28997039794922,40160,¿,PUNCT,30.368928909301758,40160
67,ask,VERB,24.277883529663086,40160,significa,VERB,34.172122955322266,40160
68,them,PRON,25.1915283203125,40160,Qué,PRON,31.43245506286621,40160
69,",",PUNCT,21.614282608032227,40160,"""",PUNCT,31.343530654907227,40160
70,"""",PUNCT,21.692289352416992,40160,"""",PUNCT,30.812644958496094,40160
71,What,PRON,21.48263168334961,40160,nosotros,PRON,33.088233947753906,40160
72,do,AUX,23.972576141357422,40160,y,CONJ,32.02883529663086,40160
73,you,PRON,24.22357177734375,40160,ellos,PRON,33.01964569091797,40160
74,mean,VERB,22.944318771362305,40160,dicen,VERB,32.8924446105957,42160
75,with,ADP,20.92112922668457,40160,"""",PUNCT,31.740684509277344,40160
76,"""",PUNCT,20.16221046447754,40160,?,PUNCT,32.47626495361328,40160
77,we,PRON,20.056583404541016,40160,Y,CONJ,34.752037048339844,42160
78,"""",PUNCT,21.02702522277832,40160,"""",PUNCT,31.65835189819336,40160
79,and,CCONJ,22.29570960998535,40160,:,PUNCT,33.312110900878906,42160
80,"""",PUNCT,19.90974235534668,40160,"""",PUNCT,32.51237106323242,42160
81,them,PRON,22.79729652404785,40160,fácil,ADJ,37.025726318359375,42160
82,"""",PUNCT,21.385398864746094,40160,¡,PUNCT,34.332210540771484,42160
83,?,PUNCT,22.01609992980957,40160,!,PUNCT,29.84214210510254,42160
84,"""",PUNCT,20.659893035888672,42160,",",PUNCT,31.491085052490234,42160
85,Oh,INTJ,23.554912567138672,42160,Ah,INTJ,31.129541397094727,42160
86,",",PUNCT,20.620582580566406,42160,.,PUNCT,33.97857666015625,42160
87,it,PRON,23.0020751953125,42160,el,DET,34.80592346191406,42160
88,'s,AUX,22.352293014526367,42160,Es,AUX,33.40082931518555,42160
89,very,ADV,26.01224136352539,42160,muy,ADV,35.44645309448242,42160
90,easy,ADJ,23.99256706237793,42160,occidental,ADJ,33.1515998840332,42160
91,.,PUNCT,20.605459213256836,42160,mundo,NOUN,32.0545654296875,42160
92,It,PRON,23.980113983154297,42160,y,CONJ,32.333290100097656,42160
93,'s,AUX,23.058748245239258,42160,mundo,NOUN,31.17858123779297,42160
