,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Please,INTJ,22.684789657592773,13723,Les,PRON,28.143447875976562,13722
1,meet,VERB,23.09044647216797,13723,presento,VERB,34.60111618041992,13722
2,0,0,0.0,0,a,ADP,31.315780639648438,13722
3,Jane,PROPN,22.328516006469727,13723,Jane,PROPN,36.937461853027344,13722
4,.,PUNCT,19.937530517578125,13723,.,PUNCT,31.8060359954834,13722
5,She,PRON,22.325231552124023,15644,Tiene,VERB,33.94135284423828,15644
6,has,AUX,22.589092254638672,15644,0,0,0.0,0
7,a,DET,23.340011596679688,15644,un,DET,37.07390213012695,15644
8,high,ADJ,22.925174713134766,15644,alto,ADJ,34.8447151184082,15644
9,-,PUNCT,22.7600040435791,15644,de,ADP,28.5069580078125,15644
10,risk,NOUN,22.741605758666992,15644,riesgo,NOUN,32.76295471191406,15644
11,pregnancy,NOUN,21.031770706176758,15644,embarazo,NOUN,31.807275772094727,15644
12,.,PUNCT,21.84596824645996,15644,.,PUNCT,32.16735076904297,15644
13,Within,ADP,20.912065505981445,17663,A,ADP,33.14530944824219,17633
14,0,0,0.0,0,las,DET,33.274375915527344,17633
15,24,NUM,22.3700008392334,17663,24,NUM,33.8665771484375,17633
16,weeks,NOUN,22.461132049560547,17663,semanas,NOUN,35.84980010986328,17633
17,",",PUNCT,20.102214813232422,17663,de,ADP,31.20819091796875,17633
18,0,0,0.0,0,embarazo,NOUN,32.042118072509766,17633
19,she,PRON,23.954219818115234,19444,ingresada,ADJ,34.89845275878906,19414
20,'s,AUX,21.856273651123047,19444,está,AUX,37.42720413208008,19414
21,on,ADP,18.300399780273438,19444,en,ADP,32.536460876464844,19414
22,bed,NOUN,19.6881046295166,19444,0,0,0.0,0
23,rest,NOUN,18.97987937927246,19444,hospital,NOUN,31.291112899780273,19414
24,at,ADP,23.599498748779297,19444,0,0,0.0,0
25,the,DET,21.699560165405273,19444,el,DET,33.43687057495117,19414
26,hospital,NOUN,18.610580444335938,19444,0,0,0.0,0
27,",",PUNCT,19.880359649658203,19444,0,0,0.0,0
28,being,AUX,22.929630279541016,21629,poder,AUX,35.84038543701172,21609
29,monitored,VERB,22.266027450561523,21629,monitorizar,VERB,34.578826904296875,21609
30,for,ADP,23.106517791748047,21629,para,ADP,35.869346618652344,21609
31,her,DET,23.52070426940918,21629,sus,DET,32.62854766845703,21609
32,preterm,ADJ,22.25446891784668,21629,0,0,0.0,0
33,contractions,NOUN,21.383928298950195,21629,contracciones,NOUN,35.66094207763672,21609
34,.,PUNCT,20.72545623779297,21629,.,PUNCT,33.87068176269531,21609
35,She,PRON,23.5953311920166,25024,No,ADV,33.68336486816406,25024
36,does,AUX,25.924962997436523,25024,parece,AUX,37.316951751708984,25024
37,n't,PART,27.047197341918945,25024,muy,ADV,38.23976516723633,25024
38,look,VERB,24.150327682495117,25024,contenta,VERB,33.89662170410156,25024
39,the,DET,23.180744171142578,25024,0,0,0.0,0
40,happiest,ADJ,20.005352020263672,25024,0,0,0.0,0
41,.,PUNCT,21.96727752685547,25024,.,PUNCT,33.090877532958984,25024
42,That,DET,18.97864532470703,26942,Y,CONJ,34.374359130859375,26942
43,'s,AUX,20.5051326751709,26942,es,AUX,33.54095458984375,26942
44,in,ADP,19.968780517578125,26942,en,ADP,32.79667282104492,26942
45,part,NOUN,20.428621292114258,26942,parte,NOUN,31.236957550048828,26942
46,because,SCONJ,21.166105270385742,26942,porque,SCONJ,35.065975189208984,26942
47,it,PRON,25.79265785217285,26942,que,SCONJ,31.54403305053711,26942
48,requires,VERB,24.831010818481445,26942,requiere,VERB,34.651058197021484,26942
49,technicians,NOUN,22.002552032470703,26942,técnicos,NOUN,32.59407424926758,26942
50,and,CCONJ,24.8890438079834,26942,y,CONJ,33.93440246582031,26942
51,experts,NOUN,18.235248565673828,26942,expertos,NOUN,34.221622467041016,26942
52,to,PART,20.642072677612305,30187,0,0,0.0,0
53,apply,VERB,24.894208908081055,30187,pongan,VERB,37.66472625732422,30187
54,these,DET,22.704965591430664,30187,estos,DET,34.41764831542969,30187
55,clunky,ADJ,20.342267990112305,30187,pesados,ADJ,33.3057746887207,30187
56,belts,NOUN,21.674909591674805,30187,cinturones,NOUN,32.54808044433594,30187
57,on,ADP,21.11060905456543,30187,para,ADP,35.952022552490234,30187
58,her,PRON,20.217262268066406,30187,le,PRON,31.169696807861328,30187
59,to,PART,22.066293716430664,30187,0,0,0.0,0
60,monitor,VERB,21.928016662597656,30187,monitorizar,VERB,36.934288024902344,30187
61,her,DET,22.23835563659668,30187,0,0,0.0,0
62,uterine,ADJ,19.789945602416992,30187,uterinas,ADJ,34.78070068359375,30187
63,contractions,NOUN,21.440811157226562,30187,contracciones,NOUN,34.230438232421875,30187
64,.,PUNCT,20.770639419555664,30187,.,PUNCT,33.264644622802734,30187
65,Another,DET,23.265636444091797,35550,Otra,DET,35.153709411621094,35550
66,reason,NOUN,21.0347843170166,35550,razón,NOUN,35.749141693115234,35550
67,Jane,PROPN,21.6309871673584,35550,Jane,PROPN,35.43830871582031,35550
68,is,AUX,23.545164108276367,35550,de,ADP,29.643131256103516,35550
