,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,In,ADP,20.40717887878418,12480,En,ADP,32.16522216796875,12480
1,2015,NUM,21.622228622436523,12480,0,0,0.0,0
2,",",PUNCT,23.712217330932617,12480,",",PUNCT,30.77958869934082,12480
3,the,DET,20.962766647338867,12480,el,DET,32.540584564208984,12480
4,leaders,NOUN,19.600954055786133,12480,2015,NOUN,34.07869338989258,12480
5,of,ADP,23.581829071044922,12480,mundiales,ADJ,34.8897590637207,12480
6,the,DET,22.897916793823242,12480,los,DET,37.255653381347656,12480
7,world,NOUN,18.103519439697266,12480,líderes,NOUN,37.72355651855469,12480
8,made,VERB,23.160640716552734,12480,hicieron,VERB,34.90414047241211,12480
9,a,DET,23.724029541015625,12480,una,DET,35.330535888671875,12480
10,big,ADJ,22.279050827026367,12480,gran,ADJ,35.45358657836914,12480
11,promise,NOUN,21.669384002685547,12480,promesa,NOUN,32.16786193847656,12480
12,.,PUNCT,22.57421112060547,12480,.,PUNCT,33.28874588012695,12480
13,A,DET,23.263996124267578,18000,La,DET,35.61133575439453,18000
14,promise,NOUN,22.085847854614258,18000,promesa,NOUN,31.306228637695312,18000
15,that,SCONJ,21.82638931274414,18000,que,SCONJ,32.122310638427734,18000
16,over,ADP,21.2653865814209,18000,de,ADP,31.00619888305664,18000
17,the,DET,20.695676803588867,18000,los,DET,34.449302673339844,18000
18,next,ADJ,19.48583221435547,18000,en,ADP,33.145912170410156,18000
19,15,NUM,22.53093910217285,18000,15,NUM,33.841209411621094,18000
20,years,NOUN,21.784696578979492,18000,próximos,NOUN,31.598812103271484,18000
21,",",PUNCT,19.892013549804688,18000,años,NOUN,36.18534851074219,18000
22,the,DET,20.258346557617188,20760,las,DET,32.88686752319336,20760
23,lives,NOUN,19.709470748901367,20760,vidas,NOUN,33.548343658447266,20760
24,of,ADP,24.06483268737793,20760,de,ADP,32.541385650634766,20760
25,billions,NOUN,22.283586502075195,20760,millones,NOUN,33.93042755126953,20760
26,of,ADP,23.516855239868164,20760,de,ADP,31.564144134521484,20760
27,people,NOUN,21.537206649780273,20760,persona,NOUN,30.461528778076172,20760
28,are,AUX,25.939172744750977,20760,miles,NUM,34.87984085083008,20760
29,going,VERB,24.912948608398438,20760,mejorarían,VERB,30.526987075805664,20760
30,to,PART,22.96308708190918,20760,de,ADP,33.62874984741211,20760
31,get,AUX,26.692855834960938,20760,0,0,0.0,0
32,better,ADJ,21.26841926574707,20760,0,0,0.0,0
