,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,-,PUNCT,21.986316680908203,12833,De,ADP,33.218265533447266,12833
1,18-year,NUM,20.921903610229492,12833,18,NUM,34.799224853515625,12833
2,old,ADJ,21.601356506347656,12833,años,NOUN,35.133792877197266,12833
3,",",PUNCT,18.25990104675293,12833,",",PUNCT,31.90921974182129,12833
4,An,DET,22.03436851501465,12833,un,DET,35.54136276245117,12833
5,male,NOUN,21.62674903869629,12833,afroamericano,NOUN,32.66327667236328,12833
6,African,ADJ,21.99041748046875,12833,se,PRON,31.848491668701172,12833
7,joined,VERB,22.86385154724121,12833,alistó,VERB,36.140499114990234,12833
8,American,ADJ,20.68917465209961,12833,en,ADP,32.79732894897461,12833
9,the,DET,22.026968002319336,12833,la,DET,30.267446517944336,12833
10,United,PROPN,21.558521270751953,12833,Fuerza,PROPN,37.243980407714844,12833
11,States,PROPN,20.477724075317383,12833,Aérea,PROPN,35.23163604736328,12833
12,0,0,0.0,0,de,ADP,31.434476852416992,12833
13,0,0,0.0,0,los,DET,34.064945220947266,12833
14,Force,PROPN,19.96527671813965,12833,EE,PROPN,33.57948684692383,12833
15,-,PUNCT,19.778451919555664,12833,.,PUNCT,32.64004135131836,12833
16,Air,PROPN,21.64582633972168,12833,UU,PROPN,30.69997215270996,12833
17,0,0,0.0,0,.,PUNCT,32.724369049072266,12833
18,and,CCONJ,20.677488327026367,18331,y,CONJ,33.25089645385742,18331
19,was,AUX,23.275943756103516,18331,fue,AUX,34.15681457519531,18331
20,assigned,VERB,22.430416107177734,18331,asignado,VERB,34.466434478759766,18331
21,to,ADP,21.34114646911621,18331,a,ADP,32.430320739746094,18331
22,Mountain,PROPN,22.06522560119629,18331,la,DET,33.0551872253418,18331
23,Home,PROPN,19.203147888183594,18331,Base,PROPN,36.870574951171875,18331
24,0,0,0.0,0,de,ADP,29.032333374023438,18331
25,0,0,0.0,0,la,DET,29.09408950805664,18331
26,Base,PROPN,22.14407730102539,18331,Fuerza,PROPN,36.973236083984375,18331
27,Air,PROPN,20.34938621520996,18331,Aérea,PROPN,35.70607376098633,18331
28,0,0,0.0,0,en,ADP,32.051475524902344,18331
29,Force,PROPN,19.445966720581055,18331,Mountain,PROPN,35.617069244384766,18331
30,0,0,0.0,0,Home,PROPN,35.55178451538086,18331
31,and,CCONJ,20.257375717163086,21585,y,CONJ,36.1716423034668,21585
32,was,AUX,22.320491790771484,21585,formó,VERB,34.77283477783203,21585
33,a,DET,23.774362564086914,21585,0,0,0.0,0
34,part,NOUN,21.917030334472656,21585,parte,NOUN,33.90039825439453,21585
35,of,ADP,25.34367561340332,21585,del,ADP,33.85689163208008,21585
36,the,DET,21.785432815551758,21585,de,ADP,30.595630645751953,21585
37,air,NOUN,17.500301361083984,21585,policía,NOUN,35.64232635498047,21585
38,police,NOUN,17.097301483154297,21585,escuadrón,NOUN,29.906522750854492,21585
39,squadron,NOUN,19.187002182006836,21585,aérea,ADJ,32.56552505493164,21585
40,.,PUNCT,20.523414611816406,21585,.,PUNCT,32.528160095214844,21585
41,Upon,SCONJ,21.335771560668945,24472,Tan,NOUN,34.25892639160156,24472
42,first,ADV,19.989242553710938,24472,pronto,ADV,34.6750602722168,24472
43,arriving,VERB,24.755615234375,24472,llegué,VERB,34.07880401611328,24472
44,there,ADV,19.781558990478516,24472,allí,ADV,35.38479232788086,24472
45,",",PUNCT,20.902233123779297,24472,",",PUNCT,29.702322006225586,24472
46,the,DET,22.11410140991211,24472,mi,DET,33.00733947753906,24472
47,first,ADJ,20.24042510986328,24472,primera,ADJ,33.80034255981445,24472
48,goal,NOUN,22.16362190246582,24472,meta,NOUN,32.41898727416992,24472
49,that,DET,20.117740631103516,24472,0,0,0.0,0
50,I,PRON,24.158403396606445,24472,0,0,0.0,0
51,had,AUX,24.073726654052734,24472,0,0,0.0,0
52,was,AUX,21.280920028686523,28121,fue,AUX,35.93437576293945,28120
53,for,ADP,21.177640914916992,28121,0,0,0.0,0
54,me,PRON,24.150821685791016,28121,0,0,0.0,0
55,to,PART,22.947765350341797,28121,0,0,0.0,0
56,identify,VERB,23.97620391845703,28121,conseguir,VERB,36.530452728271484,28120
57,an,DET,22.81569480895996,28121,un,DET,35.436798095703125,28120
58,apartment,NOUN,20.617765426635742,28121,apartamento,NOUN,32.99626159667969,28120
