,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,in,ADP,18.816858291625977,12760,A,ADP,34.893798828125,12760
1,Late,ADV,21.348613739013672,12760,finales,NOUN,34.7581672668457,12760
2,January,PROPN,23.500150680541992,12760,de,ADP,31.338401794433594,12760
3,0,0,0.0,0,enero,NOUN,30.700990676879883,12760
4,0,0,0.0,0,de,ADP,34.653343200683594,12760
5,1975,NUM,21.680526733398438,12760,1975,NUM,30.132402420043945,12760
6,",",PUNCT,20.36586570739746,12760,",",PUNCT,31.307926177978516,12760
7,a,DET,20.50691032409668,15400,una,DET,33.9311637878418,15400
8,0,0,0.0,0,chica,NOUN,33.488338470458984,15400
9,old,ADJ,23.129003524780273,15400,alemana,ADJ,35.96772003173828,15400
10,called,VERB,20.943050384521484,15400,de,ADP,31.238117218017578,15400
11,17-year,NUM,20.56232452392578,15400,17,NUM,34.58146286010742,15400
12,girl,NOUN,20.942636489868164,15400,años,NOUN,34.03045654296875,15400
13,-,PUNCT,23.26454734802246,15400,",",PUNCT,31.5158748626709,15400
14,German,ADJ,22.515817642211914,15400,llamada,ADJ,33.501792907714844,15400
15,Brandes,PROPN,20.40038299560547,15400,Vera,PROPN,35.295894622802734,15400
16,Vera,PROPN,21.184602737426758,15400,Brandes,PROPN,35.36592483520508,15400
17,walked,VERB,20.353458404541016,19840,salió,VERB,35.615516662597656,19840
18,out,ADV,20.347307205200195,19840,escenario,NOUN,29.72658348083496,19840
19,onto,ADP,22.991220474243164,19840,al,ADP,36.246124267578125,19840
20,the,DET,23.362689971923828,19840,de,ADP,29.954668045043945,19840
21,stage,NOUN,20.981876373291016,19840,Ópera,NOUN,32.153934478759766,19840
22,of,ADP,23.615856170654297,19840,de,ADP,29.633859634399414,19840
23,the,DET,18.94936180114746,19840,la,DET,30.925443649291992,19840
24,Cologne,PROPN,22.112674713134766,19840,Colonia,PROPN,36.03068542480469,19840
25,Opera,PROPN,20.151599884033203,19840,0,0,0.0,0
