,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Everyone,PRON,22.543033599853516,16371,0,0,0.0,0
1,",",PUNCT,20.661523818969727,16371,.,PUNCT,33.470558166503906,17260
2,please,INTJ,23.302928924560547,16371,0,0,0.0,0
3,think,VERB,22.850313186645508,16371,0,0,0.0,0
4,of,ADP,21.2549991607666,16371,en,ADP,34.014015197753906,17260
5,your,DET,21.565811157226562,16371,su,DET,33.267696380615234,17260
6,biggest,ADJ,21.609777450561523,16371,personal,ADJ,35.8836555480957,17260
7,personal,ADJ,21.887409210205078,16371,mayor,ADJ,36.73567199707031,17260
8,goal,NOUN,21.013309478759766,16371,meta,NOUN,33.668914794921875,17260
9,.,PUNCT,21.079477310180664,16371,0,0,0.0,0
10,For,ADP,20.755481719970703,20117,En,ADP,32.43806838989258,20260
11,second,NOUN,20.560672760009766,20117,serio,NOUN,33.80803298950195,20260
12,--,PUNCT,20.278074264526367,20117,.,PUNCT,33.1787109375,20260
13,you,PRON,23.298721313476562,20117,Pueden,AUX,31.395030975341797,20260
14,can,VERB,23.738956451416016,20117,tomarse,VERB,32.5550651550293,20260
15,a,DET,19.932138442993164,20117,un,DET,31.730775833129883,20260
16,real,ADJ,18.475059509277344,20117,segundo,ADJ,30.751996994018555,20260
17,.,PUNCT,21.03221893310547,20117,.,PUNCT,33.54066467285156,20260
18,take,VERB,25.476680755615234,20117,Tienen,VERB,33.97555923461914,20260
19,You,PRON,23.507408142089844,20117,que,SCONJ,31.799467086791992,20260
20,'ve,AUX,20.995174407958984,20117,sentirlo,PROPN,32.44642639160156,20260
21,got,VERB,22.762353897094727,20117,para,ADP,36.15353775024414,20260
22,feel,VERB,24.8273983001709,20117,aprender,VERB,35.94538497924805,20260
23,.,PUNCT,22.532611846923828,20117,.,PUNCT,34.54962921142578,20260
24,to,PART,22.250261306762695,20117,Tómense,PROPN,30.056358337402344,23260
25,this,DET,20.626144409179688,20117,unos,DET,33.18865966796875,23260
26,to,PART,21.698287963867188,20117,segundos,NOUN,33.768924713134766,23260
27,it,PRON,22.82676124572754,20117,y,CONJ,34.42039489746094,23260
28,learn,VERB,24.66487693786621,20117,piensen,VERB,32.82810974121094,23260
29,0,0,0.0,0,en,ADP,35.40968704223633,23260
30,0,0,0.0,0,su,DET,34.842689514160156,23260
31,0,0,0.0,0,meta,NOUN,33.185970306396484,23260
32,0,0,0.0,0,personal,ADJ,34.467254638671875,23260
33,0,0,0.0,0,más,ADV,38.09955596923828,23260
34,0,0,0.0,0,grande,ADJ,35.5352897644043,23260
35,0,0,0.0,0,",",PUNCT,30.339664459228516,23260
36,0,0,0.0,0,¿,PUNCT,31.29197120666504,23260
37,0,0,0.0,0,sí,ADV,31.201576232910156,23260
38,0,0,0.0,0,?,PUNCT,33.185935974121094,23260
39,Take,VERB,21.786436080932617,23689,Imaginen,VERB,33.04414367675781,26260
40,a,DET,21.3635311126709,23689,que,SCONJ,33.95519256591797,26260
41,few,ADJ,21.869291305541992,23689,0,0,0.0,0
42,seconds,NOUN,21.153547286987305,23689,ahora,ADV,33.483238220214844,26260
43,and,CCONJ,21.59208869934082,23689,mismo,PRON,33.803104400634766,26260
44,think,VERB,21.44098663330078,23689,deciden,VERB,35.72019577026367,26260
45,of,ADP,21.076608657836914,23689,0,0,0.0,0
46,your,DET,21.320650100708008,23689,0,0,0.0,0
47,personal,ADJ,20.313522338867188,23689,0,0,0.0,0
48,biggest,ADJ,20.469261169433594,23689,0,0,0.0,0
49,goal,NOUN,20.59735679626465,23689,0,0,0.0,0
50,",",PUNCT,20.32968521118164,23689,0,0,0.0,0
51,okay,ADJ,20.611005783081055,23689,0,0,0.0,0
52,?,PUNCT,21.530982971191406,23689,0,0,0.0,0
53,Imagine,ADJ,19.999208450317383,27427,0,0,0.0,0
54,deciding,VERB,24.013158798217773,27427,van,VERB,35.671932220458984,28260
55,right,ADV,21.78304672241211,27427,a,ADP,33.10630798339844,28260
56,now,ADV,24.663246154785156,27427,realizarla,PROPN,32.00764846801758,28260
57,that,SCONJ,20.04319953918457,27427,que,SCONJ,31.415271759033203,28260
58,you,PRON,23.366174697875977,27427,0,0,0.0,0
59,'re,AUX,23.618310928344727,27427,0,0,0.0,0
60,going,VERB,25.903499603271484,27427,0,0,0.0,0
61,to,PART,20.866024017333984,27427,0,0,0.0,0
62,do,AUX,24.48858070373535,27427,0,0,0.0,0
63,it,PRON,22.71016502380371,27427,0,0,0.0,0
64,.,PUNCT,21.9382381439209,27427,.,PUNCT,32.742942810058594,28260
65,Imagine,VERB,19.214134216308594,30132,Imaginen,VERB,33.21644592285156,30260
66,0,0,0.0,0,que,SCONJ,32.58805465698242,30260
67,someone,PRON,22.73651123046875,30132,le,PRON,31.838624954223633,30260
68,telling,VERB,22.832536697387695,30132,cuentan,VERB,37.91706466674805,30260
69,today,NOUN,20.63718032836914,30132,a,ADP,32.70786666870117,30260
70,you,PRON,24.060304641723633,30132,alguien,PRON,33.03327941894531,30260
71,what,PRON,21.564369201660156,30132,que,PRON,31.427467346191406,30260
72,meet,VERB,19.899213790893555,30132,conocieron,VERB,36.09693908691406,30260
73,'re,AUX,23.6676025390625,30132,hoy,ADV,37.523475646972656,30260
74,that,DET,19.764080047607422,30132,lo,DET,31.635223388671875,30260
75,you,PRON,23.21143913269043,30132,que,PRON,32.328025817871094,30260
76,do,AUX,23.454055786132812,30132,van,AUX,34.76914596557617,30260
77,to,PART,21.045942306518555,30132,a,ADP,34.43873596191406,30260
78,going,VERB,25.679853439331055,30132,hacer,VERB,36.519588470458984,30260
79,.,PUNCT,22.574745178222656,30132,.,PUNCT,33.88482666015625,30260
80,0,0,0.0,0,Imaginen,VERB,32.689029693603516,33260
81,0,0,0.0,0,sus,DET,34.90349578857422,33260
82,0,0,0.0,0,felicitaciones,NOUN,35.87238311767578,33260
83,0,0,0.0,0,y,CONJ,34.12006759643555,35260
84,their,DET,23.18526268005371,33425,la,DET,33.66304397583008,35260
85,",",PUNCT,19.6039981842041,33425,gran,ADJ,35.69540786743164,35260
86,congratulations,NOUN,21.621793746948242,33425,imagen,NOUN,32.63370132446289,35260
87,0,0,0.0,0,que,PRON,35.2083740234375,35260
88,0,0,0.0,0,se,PRON,31.499258041381836,35260
89,Imagine,VERB,20.48975944519043,33425,hace,VERB,38.38080978393555,35260
90,0,0,0.0,0,de,ADP,30.19599151611328,35260
91,0,0,0.0,0,Uds.,PROPN,36.02781295776367,35260
92,Does,AUX,21.621431350708008,37260,¿,PUNCT,29.449512481689453,37260
93,n't,PART,24.083967208862305,37260,No,ADV,32.5064811706543,37260
94,it,PRON,24.28717613220215,37260,se,PRON,33.654258728027344,37260
95,feel,VERB,25.555456161499023,37260,siente,VERB,36.44486999511719,37260
96,it,PRON,23.1898250579834,37260,uno,PRON,34.183231353759766,37260
97,good,ADJ,23.209049224853516,37260,bien,ADV,32.97270965576172,37260
98,to,PART,21.082923889160156,37260,de,ADP,31.10822105407715,37260
99,say,VERB,24.981124877929688,37260,gritarlo,VERB,34.740238189697266,37260
100,out,ADP,21.42000961303711,37260,a,ADP,33.76013946533203,37260
101,0,0,0.0,0,los,DET,35.06886291503906,37260
102,0,0,0.0,0,cuatro,NUM,35.3941650390625,37260
103,0,0,0.0,0,vientos,NOUN,34.226776123046875,37260
104,?,PUNCT,21.04637908935547,37260,?,PUNCT,32.91971206665039,37260
105,0,0,0.0,0,¿,PUNCT,29.449512481689453,39260
106,loud,ADV,21.49921226501465,37260,No,ADV,32.50667953491211,39260
107,0,0,0.0,0,se,PRON,33.582374572753906,39260
108,0,0,0.0,0,siente,VERB,36.49927520751953,39260
109,0,0,0.0,0,uno,DET,32.36913299560547,39260
110,0,0,0.0,0,un,DET,34.58546829223633,39260
111,0,0,0.0,0,paso,NOUN,30.778079986572266,39260
112,0,0,0.0,0,más,ADV,34.78593826293945,39260
113,0,0,0.0,0,cerca,ADV,34.558006286621094,39260
114,0,0,0.0,0,ya,ADV,34.599853515625,39260
115,0,0,0.0,0,",",PUNCT,31.12203025817871,39260
116,like,SCONJ,21.50082015991211,42123,como,SCONJ,34.349849700927734,42260
117,it,PRON,22.060129165649414,42123,si,SCONJ,34.12355422973633,42260
118,'s,AUX,20.989707946777344,42123,fuese,AUX,33.24573516845703,42260
119,already,ADV,26.975223541259766,42123,ya,ADV,34.18682098388672,42260
120,becoming,VERB,23.184919357299805,42123,0,0,0.0,0
121,part,NOUN,21.91673469543457,42123,parte,NOUN,35.29749298095703,42260
122,of,ADP,24.406890869140625,42123,de,ADP,30.1790828704834,42260
123,your,DET,22.379179000854492,42123,nuestra,DET,35.34095764160156,42260
124,identity,NOUN,18.41728973388672,42123,identidad,NOUN,33.49873733520508,42260
125,?,PUNCT,21.441909790039062,42123,?,PUNCT,34.50493240356445,42260
126,Well,INTJ,25.78328514099121,44601,Bueno,INTJ,33.00028991699219,45260
127,",",PUNCT,21.602596282958984,44601,",",PUNCT,29.27049446105957,45260
128,bad,ADJ,20.34710693359375,44601,malas,ADJ,33.27288818359375,45260
129,news,NOUN,17.828275680541992,44601,noticias,NOUN,36.18918991088867,45260
130,:,PUNCT,20.078847885131836,44601,:,PUNCT,29.18477439880371,45260
131,you,PRON,23.126752853393555,44601,deberían,AUX,29.739797592163086,45260
132,have,AUX,24.247285842895508,44601,haber,AUX,39.24446105957031,45260
133,should,VERB,24.121990203857422,44601,cerrado,VERB,35.099605560302734,45260
134,kept,VERB,22.195068359375,44601,su,DET,33.12058639526367,45260
135,mouth,NOUN,19.312074661254883,44601,boca,NOUN,31.438457489013672,45260
136,shut,VERB,19.07278060913086,44601,porque,SCONJ,36.51517868041992,48260
137,your,DET,23.81277847290039,44601,esa,DET,34.07405090332031,48260
138,",",PUNCT,20.54450035095215,44601,buena,ADJ,35.59379577636719,48260
139,0,0,0.0,0,sensación,NOUN,34.86476135253906,48260
140,now,ADV,21.945634841918945,50074,ahora,ADV,33.31096267700195,50260
141,will,VERB,22.720542907714844,50074,hará,VERB,32.61336898803711,50260
142,make,VERB,25.313295364379883,50074,hacerlo,VERB,31.92708969116211,50260
143,you,PRON,22.093788146972656,50074,que,SCONJ,34.042938232421875,50260
144,less,ADV,23.52135467529297,50074,menos,ADV,35.61869812011719,50260
