,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,begins,VERB,24.201906204223633,12960,cuando,SCONJ,35.461299896240234,15780
1,in,ADP,21.957801818847656,12960,a,ADP,31.826791763305664,15780
2,This,DET,22.632118225097656,12960,mis,DET,32.75592803955078,15780
3,1985,NUM,22.942466735839844,12960,22,NUM,35.50961685180664,15780
4,story,NOUN,22.263822555541992,12960,años,NOUN,34.97734451293945,15780
5,",",PUNCT,21.17182731628418,12960,",",PUNCT,31.228212356567383,15780
6,when,ADV,23.25266456604004,15960,gané,VERB,33.15056228637695,17780
7,0,0,0.0,0,el,DET,32.29461669921875,17780
8,age,NOUN,18.687929153442383,15960,Campeonato,PROPN,37.57635498046875,17780
9,22,NUM,19.71675682067871,15960,Mundial,PROPN,36.034454345703125,17780
10,at,ADP,22.526504516601562,15960,de,ADP,29.43487548828125,17780
11,",",PUNCT,21.05242919921875,15960,Ajedrez,PROPN,36.736812591552734,17780
12,I,PRON,24.999435424804688,17960,tras,ADP,34.364749908447266,20180
13,became,VERB,27.246870040893555,17960,vencer,VERB,35.575355529785156,20180
14,the,DET,20.8731746673584,17960,a,ADP,31.25188636779785,20180
15,World,PROPN,21.248817443847656,17960,Anatoli,PROPN,36.070831298828125,20180
16,Chess,PROPN,20.334957122802734,17960,Kárpov,PROPN,35.98975372314453,20180
17,Champion,PROPN,21.364465713500977,17960,.,PUNCT,31.033309936523438,20180
18,after,ADP,21.643728256225586,20360,A,ADP,34.75895690917969,24300
19,beating,VERB,22.922367095947266,20360,principios,NOUN,31.89889144897461,24300
20,Anatoly,PROPN,17.85014533996582,20360,de,ADP,30.737491607666016,24300
21,Karpov,PROPN,21.149673461914062,20360,ese,DET,34.16611099243164,24300
22,0,0,0.0,0,año,NOUN,32.99699020385742,24300
23,.,PUNCT,19.557273864746094,20360,",",PUNCT,29.208415985107422,24300
24,Earlier,ADV,21.58643913269043,24480,jugué,VERB,36.238311767578125,25580
25,that,DET,21.86476707458496,24480,lo,DET,32.07394027709961,25580
26,0,0,0.0,0,que,PRON,33.4077262878418,25580
27,",",PUNCT,21.94508171081543,24480,se,PRON,32.7415657043457,25580
28,0,0,0.0,0,llama,VERB,35.08537292480469,25580
29,year,NOUN,19.990957260131836,24480,partidas,NOUN,34.839900970458984,25580
30,0,0,0.0,0,simultáneas,ADJ,35.529232025146484,25580
31,I,PRON,23.885160446166992,25760,contra,ADP,31.1981143951416,29220
32,played,VERB,25.482948303222656,25760,32,NUM,32.355186462402344,29220
33,what,PRON,20.738025665283203,25760,de,ADP,32.66793441772461,29220
34,is,AUX,24.985549926757812,25760,las,DET,33.19305419921875,29220
35,simultaneous,ADJ,18.743242263793945,25760,mejores,ADJ,35.454978942871094,29220
36,called,VERB,23.0551700592041,25760,máquinas,NOUN,34.98914337158203,29220
37,0,0,0.0,0,de,ADP,32.15407180786133,29220
38,exhibition,NOUN,18.621597290039062,25760,ajedrez,NOUN,30.380905151367188,29220
39,0,0,0.0,0,en,ADP,32.441986083984375,29220
40,0,0,0.0,0,el,DET,34.31430435180664,29220
41,0,0,0.0,0,mundo,NOUN,31.438432693481445,29220
42,against,ADP,21.134790420532227,29400,en,ADP,32.83612060546875,33540
43,32,NUM,22.86920928955078,29400,Hamburgo,PROPN,37.09382629394531,33540
44,of,ADP,23.926105499267578,29400,",",PUNCT,30.281349182128906,33540
45,the,DET,23.058412551879883,29400,Alemania,PROPN,35.181697845458984,33540
46,world,NOUN,17.956680297851562,29400,0,0,0.0,0
47,'s,PART,20.883039474487305,29400,0,0,0.0,0
48,best,ADJ,20.531429290771484,29400,0,0,0.0,0
49,chess,NOUN,19.828298568725586,29400,0,0,0.0,0
50,-,PUNCT,23.0407772064209,29400,.,PUNCT,31.831974029541016,33540
51,playing,VERB,22.273984909057617,29400,0,0,0.0,0
52,machines,NOUN,21.486236572265625,29400,0,0,0.0,0
53,in,ADP,18.5771427154541,33720,todas,PRON,34.25241470336914,35980
54,Hamburg,PROPN,21.3867244720459,33720,Gané,PROPN,32.72111892700195,35980
55,",",PUNCT,20.951045989990234,33720,",",PUNCT,29.714757919311523,35980
56,Germany,PROPN,24.190811157226562,33720,0,0,0.0,0
57,.,PUNCT,19.897811889648438,33720,0,0,0.0,0
58,0,0,0.0,0,y,CONJ,33.741458892822266,38380
59,all,DET,21.155685424804688,36160,no,ADV,34.0020751953125,38380
60,I,PRON,25.49626350402832,36160,se,PRON,32.95366287231445,38380
61,won,VERB,26.152053833007812,36160,consideró,VERB,36.07795715332031,38380
62,the,DET,21.49593734741211,36160,una,DET,34.9336051940918,38380
63,",",PUNCT,18.434783935546875,36160,gran,ADJ,36.71744155883789,38380
64,games,NOUN,21.138639450073242,36160,sorpresa,NOUN,32.0572624206543,38380
65,and,CCONJ,20.397541046142578,38560,que,SCONJ,31.17719078063965,41580
66,was,AUX,24.207382202148438,38560,pudiera,AUX,33.932674407958984,41580
67,considered,VERB,21.832523345947266,38560,ganarle,VERB,31.62537384033203,41580
68,it,PRON,23.81822967529297,38560,a,ADP,33.68496322631836,41580
69,then,ADV,19.83144760131836,38560,32,NUM,32.837646484375,41580
70,not,PART,25.871572494506836,38560,computadoras,NOUN,33.033451080322266,41580
71,of,ADP,24.077659606933594,38560,al,ADP,35.603973388671875,41580
72,a,DET,20.545818328857422,38560,mismo,DET,35.19742202758789,41580
73,surprise,NOUN,21.321048736572266,38560,tiempo,NOUN,33.12858963012695,41580
74,much,ADJ,21.445085525512695,38560,.,PUNCT,31.469316482543945,41580
75,that,SCONJ,20.42223358154297,41760,(,PUNCT,28.748825073242188,46300
76,I,PRON,25.02747917175293,41760,Risas,PROPN,34.865478515625,46300
77,could,VERB,24.649520874023438,41760,),PUNCT,32.331058502197266,46300
78,beat,VERB,24.16729736328125,41760,0,0,0.0,0
79,32,NUM,24.366058349609375,41760,0,0,0.0,0
80,computers,NOUN,23.432910919189453,41760,0,0,0.0,0
81,at,ADP,20.52004623413086,41760,0,0,0.0,0
82,the,DET,21.410144805908203,41760,0,0,0.0,0
83,same,ADJ,21.65581703186035,41760,0,0,0.0,0
84,time,NOUN,21.165983200073242,41760,0,0,0.0,0
85,.,PUNCT,20.7534122467041,41760,0,0,0.0,0
86,(,PUNCT,19.138301849365234,49080,Las,DET,31.295490264892578,51020
87,Laughter,PROPN,20.165264129638672,49080,máquinas,NOUN,34.8022346496582,51020
88,0,0,0.0,0,eran,AUX,34.49464416503906,51020
89,0,0,0.0,0,débiles,ADJ,35.072715759277344,51020
90,),PUNCT,20.96363067626953,49080,",",PUNCT,30.31648826599121,51020
91,0,0,0.0,0,y,CONJ,34.10016632080078,53500
92,0,0,0.0,0,mi,DET,33.21529006958008,53500
93,Machines,NOUN,25.0814151763916,51200,cabello,NOUN,32.194026947021484,53500
94,were,AUX,22.51460075378418,51200,era,AUX,33.36125946044922,53500
95,weak,ADJ,22.782146453857422,51200,fuerte,ADJ,34.82538604736328,53500
96,",",PUNCT,18.09568977355957,51200,.,PUNCT,33.068145751953125,53500
97,and,CCONJ,19.92350959777832,53680,(,PUNCT,28.748825073242188,54860
98,my,DET,20.555644989013672,53680,Risas,PROPN,34.865478515625,54860
99,hair,NOUN,19.42084503173828,53680,0,0,0.0,0
100,was,AUX,25.51874351501465,53680,0,0,0.0,0
101,strong,ADJ,22.84000587463379,53680,0,0,0.0,0
102,.,PUNCT,21.919357299804688,53680,),PUNCT,32.331058502197266,54860
103,(,PUNCT,19.138301849365234,55040,Doce,NUM,33.613990783691406,58540
104,Laughter,PROPN,20.165264129638672,55040,años,NOUN,34.79742431640625,58540
105,0,0,0.0,0,después,ADV,36.791770935058594,58540
106,),PUNCT,20.96363067626953,55040,",",PUNCT,31.214719772338867,58540
107,I,PRON,24.67867660522461,58720,muerte,NOUN,31.37228012084961,60620
108,was,AUX,25.63796043395996,58720,a,ADP,32.9379768371582,60620
109,fighting,VERB,21.57072639465332,58720,luchaba,VERB,34.715274810791016,60620
110,for,ADP,20.81917953491211,58720,contra,ADP,33.454750061035156,60620
111,my,DET,22.655824661254883,58720,una,DET,34.19615936279297,60620
112,life,NOUN,19.804670333862305,58720,computadora,NOUN,31.58716583251953,60620
113,against,ADP,19.243507385253906,58720,en,ADP,34.978172302246094,65260
114,just,ADV,22.272493362426758,58720,una,DET,32.889102935791016,65260
115,one,NUM,19.249359130859375,58720,0,0,0.0,0
116,computer,NOUN,18.49659538269043,58720,partida,NOUN,29.52643585205078,65260
117,0,0,0.0,0,llamada,ADJ,33.977622985839844,67180
118,in,ADP,19.880441665649414,65440,en,ADP,34.013797760009766,67180
119,a,DET,22.750215530395508,65440,la,DET,33.38148498535156,67180
120,match,NOUN,18.45453453063965,65440,portada,NOUN,32.03415298461914,67180
121,0,0,0.0,0,de,ADP,30.917964935302734,67180
122,0,0,0.0,0,"""",PUNCT,31.599992752075195,67180
123,0,0,0.0,0,Newsweek,PROPN,31.548126220703125,67180
124,0,0,0.0,0,"""",PUNCT,29.937742233276367,67180
125,called,VERB,21.2316837310791,67360,"""",PUNCT,32.28341293334961,69260
126,the,DET,23.07145118713379,67360,El,DET,29.883281707763672,69260
127,by,ADP,21.02911949157715,67360,último,ADJ,35.69172286987305,69260
128,cover,NOUN,19.853431701660156,67360,combate,NOUN,33.35377883911133,69260
129,of,ADP,23.449424743652344,67360,del,ADP,32.79021072387695,69260
130,Newsweek,PROPN,21.437089920043945,67360,cerebro,NOUN,29.225914001464844,69260
131,"""",PUNCT,20.13811492919922,67360,"""",PUNCT,31.301847457885742,69260
132,"""",PUNCT,21.50596809387207,67360,.,PUNCT,32.71072769165039,69260
133,"""",PUNCT,20.165088653564453,69440,.,PUNCT,33.33358383178711,71060
134,The,DET,20.138164520263672,69440,Sin,ADP,33.83762741088867,71060
135,Brain,PROPN,19.354455947875977,69440,0,0,0.0,0
136,'s,PART,21.209531784057617,69440,0,0,0.0,0
137,Last,ADJ,22.733322143554688,69440,0,0,0.0,0
138,Stand,NOUN,21.76804542541504,69440,presión,NOUN,30.856691360473633,71060
139,.,PUNCT,19.863197326660156,69440,0,0,0.0,0
140,"""",PUNCT,21.758129119873047,69440,0,0,0.0,0
141,No,DET,22.686996459960938,71240,(,PUNCT,28.748825073242188,72300
142,pressure,NOUN,18.289615631103516,71240,Risas,PROPN,34.865478515625,72300
143,.,PUNCT,21.890392303466797,71240,),PUNCT,32.331058502197266,72300
144,(,PUNCT,19.138301849365234,72480,De,ADP,34.306671142578125,74860
145,Laughter,PROPN,20.165264129638672,72480,la,DET,30.734519958496094,74860
146,0,0,0.0,0,mitología,NOUN,32.014930725097656,74860
147,0,0,0.0,0,a,ADP,32.32791519165039,74860
148,0,0,0.0,0,la,DET,33.55347442626953,74860
149,0,0,0.0,0,ciencia,NOUN,30.80021858215332,74860
150,0,0,0.0,0,ficción,NOUN,31.246814727783203,74860
151,),PUNCT,20.96363067626953,72480,",",PUNCT,30.415910720825195,74860
152,From,ADP,20.3626766204834,75040,el,DET,34.88971710205078,77460
153,mythology,NOUN,21.85757827758789,75040,humano,NOUN,30.432655334472656,77460
154,to,ADP,21.17241668701172,75040,contra,ADP,29.67906379699707,77460
155,science,NOUN,18.907230377197266,75040,la,DET,33.67445373535156,77460
156,fiction,NOUN,17.795398712158203,75040,máquina,NOUN,31.331401824951172,77460
157,",",PUNCT,21.057533264160156,75040,0,0,0.0,0
158,human,ADJ,19.05795669555664,77640,se,PRON,34.401790618896484,80220
159,0,0,0.0,0,ha,AUX,36.86825942993164,80220
160,0,0,0.0,0,retratado,VERB,34.67448043823242,80220
161,versus,ADP,19.554035186767578,77640,a,ADP,32.724578857421875,80220
162,machine,NOUN,17.583019256591797,77640,menudo,NOUN,30.47989845275879,80220
163,0,0,0.0,0,como,SCONJ,36.179405212402344,80220
164,0,0,0.0,0,una,DET,34.666526794433594,80220
165,0,0,0.0,0,cuestión,NOUN,32.09706497192383,80220
166,0,0,0.0,0,de,ADP,32.285709381103516,80220
167,0,0,0.0,0,vida,NOUN,33.238365173339844,80220
168,0,0,0.0,0,o,CONJ,32.970420837402344,80220
169,0,0,0.0,0,muerte,NOUN,30.307300567626953,80220
170,0,0,0.0,0,.,PUNCT,33.266048431396484,80220
171,has,AUX,22.4439640045166,80400,John,PROPN,32.157920837402344,83780
172,been,AUX,24.272329330444336,80400,Henry,PROPN,35.30275344848633,83780
173,often,ADV,25.24050521850586,80400,",",PUNCT,30.16925048828125,83780
174,portrayed,VERB,22.096675872802734,80400,0,0,0.0,0
175,as,SCONJ,22.06007957458496,80400,0,0,0.0,0
176,a,DET,22.83808135986328,80400,0,0,0.0,0
177,matter,NOUN,19.779142379760742,80400,0,0,0.0,0
178,of,ADP,23.67539405822754,80400,0,0,0.0,0
179,life,NOUN,18.94612693786621,80400,0,0,0.0,0
180,and,CCONJ,23.3615779876709,80400,0,0,0.0,0
181,death,NOUN,19.373825073242188,80400,0,0,0.0,0
182,.,PUNCT,21.79627227783203,80400,0,0,0.0,0
183,John,PROPN,21.770427703857422,83960,llamado,ADJ,32.5267333984375,85380
184,Henry,PROPN,23.509265899658203,83960,el,DET,31.925336837768555,85380
185,",",PUNCT,21.18285369873047,83960,"""",PUNCT,31.634933471679688,85380
186,0,0,0.0,0,martillo,NOUN,31.943906784057617,85380
187,0,0,0.0,0,de,ADP,29.909252166748047,85380
188,0,0,0.0,0,acero,NOUN,28.246511459350586,85380
189,0,0,0.0,0,"""",PUNCT,30.565834045410156,85380
190,called,VERB,20.347997665405273,85560,contra,ADP,30.536378860473633,87100
191,the,DET,22.38699722290039,85560,un,DET,34.93303298950195,87100
192,-,PUNCT,22.585378646850586,85560,"""",PUNCT,33.24716567993164,87100
193,steel,NOUN,19.549930572509766,85560,martillo,NOUN,31.950857162475586,87100
194,driving,VERB,20.807992935180664,85560,de,ADP,31.538305282592773,87100
195,man,NOUN,19.423357009887695,85560,vapor,NOUN,30.51828956604004,87100
196,0,0,0.0,0,"""",PUNCT,30.88345718383789,87100
197,powered,VERB,22.128625869750977,92480,perforando,VERB,34.42170333862305,95060
198,a,DET,21.320880889892578,92480,un,DET,36.946414947509766,95060
199,steam,NOUN,21.580249786376953,92480,túnel,NOUN,33.29668426513672,95060
200,against,ADP,21.052209854125977,92480,a,ADP,33.76925277709961,95060
201,hammer,NOUN,21.009201049804688,92480,través,NOUN,32.407806396484375,95060
202,0,0,0.0,0,de,ADP,31.502212524414062,95060
203,0,0,0.0,0,la,DET,29.993680953979492,95060
204,0,0,0.0,0,roca,PROPN,31.83701515197754,95060
205,0,0,0.0,0,en,ADP,32.65757751464844,95060
206,0,0,0.0,0,la,DET,32.44683074951172,95060
207,0,0,0.0,0,montaña,NOUN,31.463361740112305,95060
208,-,PUNCT,23.765830993652344,92480,.,PUNCT,33.70682907104492,95060
209,a,DET,21.35770034790039,95240,La,DET,35.325035095214844,98620
210,tunnel,NOUN,17.990379333496094,95240,leyenda,NOUN,32.411773681640625,98620
211,through,ADP,21.11240005493164,95240,de,ADP,28.80976676940918,98620
212,bashing,VERB,24.988525390625,95240,John,PROPN,36.325286865234375,98620
213,0,0,0.0,0,Henry,PROPN,34.88383483886719,98620
214,0,0,0.0,0,es,AUX,32.53862380981445,98620
215,rock,NOUN,18.177907943725586,95240,parte,NOUN,32.04802322387695,98620
216,.,PUNCT,21.905916213989258,95240,de,ADP,29.421527862548828,98620
217,0,0,0.0,0,una,DET,34.43656921386719,98620
218,0,0,0.0,0,larga,ADJ,34.17151641845703,98620
219,mountain,NOUN,19.25879669189453,95240,narrativa,NOUN,32.334877014160156,98620
220,0,0,0.0,0,histórica,ADJ,36.35927963256836,98620
221,John,PROPN,21.616594314575195,98800,Y,CONJ,33.99557113647461,103500
222,Henry,PROPN,24.216129302978516,98800,0,0,0.0,0
223,'s,PART,23.355499267578125,98800,ahora,ADV,33.89181900024414,103500
224,legend,NOUN,21.475006103515625,98800,retórica,NOUN,35.070858001708984,103500
225,is,AUX,22.766666412353516,98800,es,AUX,34.21782684326172,103500
226,a,DET,23.440921783447266,98800,esa,DET,35.50905227661133,103500
227,part,NOUN,21.760684967041016,98800,algo,ADV,34.107601165771484,103500
228,of,ADP,23.93864631652832,98800,0,0,0.0,0
229,a,DET,21.269960403442383,98800,.,PUNCT,33.298336029052734,103500
230,long,ADJ,22.03128433227539,98800,común,ADJ,32.44826126098633,103500
231,historical,ADJ,21.766666412353516,98800,competitiva,ADJ,32.1784782409668,103500
232,narrative,NOUN,18.727876663208008,98800,0,0,0.0,0
233,is,AUX,25.082674026489258,108200,Estamos,AUX,32.024139404296875,111380
234,And,CCONJ,20.217573165893555,108200,en,ADP,35.612274169921875,111380
235,this,DET,22.833656311035156,108200,una,DET,34.84780502319336,111380
236,rhetoric,NOUN,22.22534942626953,108200,carrera,NOUN,31.977989196777344,111380
237,competitive,ADJ,21.431549072265625,108200,contra,ADP,34.12884521484375,111380
238,standard,ADJ,19.88429832458496,108200,las,DET,33.58660888671875,111380
239,now,ADV,21.23562240600586,108200,máquinas,NOUN,34.6676025390625,111380
240,.,PUNCT,22.57481575012207,108200,",",PUNCT,31.57583236694336,111380
241,in,ADP,21.189794540405273,111560,en,ADP,34.635833740234375,114180
242,a,DET,22.532548904418945,111560,una,DET,34.01876449584961,114180
243,race,NOUN,22.907291412353516,111560,lucha,NOUN,31.564891815185547,114180
244,are,AUX,24.463775634765625,111560,o,CONJ,31.90099334716797,114180
245,We,PRON,24.297855377197266,111560,incluso,ADV,36.83329391479492,114180
246,against,ADP,22.574703216552734,111560,en,ADP,33.9275016784668,114180
247,the,DET,22.424631118774414,111560,una,DET,35.031494140625,114180
248,machines,NOUN,21.228336334228516,111560,guerra,NOUN,33.05271530151367,114180
249,",",PUNCT,19.14026641845703,111560,.,PUNCT,33.50818634033203,114180
250,in,ADP,20.147966384887695,114360,se,PRON,32.90796661376953,117700
251,a,DET,23.38816261291504,114360,Los,DET,34.837257385253906,117700
252,fight,NOUN,19.75893783569336,114360,trabajos,NOUN,36.13438034057617,117700
253,or,CCONJ,23.855600357055664,114360,están,AUX,35.91908264160156,117700
254,even,ADV,20.27837562561035,114360,acabando,VERB,35.13479232788086,117700
255,in,ADP,21.417339324951172,114360,0,0,0.0,0
256,a,DET,23.003761291503906,114360,0,0,0.0,0
