,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,When,ADV,23.162769317626953,12868,Cuando,SCONJ,34.82411193847656,12868
1,I,PRON,25.073509216308594,12868,0,0,0.0,0
2,was,AUX,24.551790237426758,12868,era,AUX,34.46311569213867,12868
3,a,DET,25.143604278564453,12868,0,0,0.0,0
4,young,ADJ,21.5980224609375,12868,pequeño,ADJ,33.7369499206543,12868
5,boy,NOUN,20.113950729370117,12868,0,0,0.0,0
6,",",PUNCT,20.891284942626953,12868,",",PUNCT,30.296777725219727,12868
7,I,PRON,23.693561553955078,14654,solía,AUX,34.43163299560547,14654
8,used,VERB,22.910558700561523,14654,mirar,VERB,34.49890899658203,14654
9,to,PART,21.463438034057617,14654,a,ADP,34.01802444458008,14654
10,gaze,VERB,23.671634674072266,14654,través,NOUN,33.21676254272461,14654
11,through,ADP,23.426921844482422,14654,del,ADP,34.8790283203125,14654
12,the,DET,21.77858543395996,14654,0,0,0.0,0
13,microscope,NOUN,16.79584312438965,14654,microscopio,NOUN,27.320024490356445,14654
14,of,ADP,22.535167694091797,14654,de,ADP,28.73550033569336,14654
15,my,DET,21.79750633239746,14654,mi,DET,34.432979583740234,14654
16,father,NOUN,19.093944549560547,14654,padre,NOUN,32.353187561035156,14654
17,at,ADP,22.539113998413086,17262,en,ADP,33.780696868896484,17262
18,the,DET,22.106143951416016,17262,los,DET,34.184017181396484,17262
19,insects,NOUN,18.473209381103516,17262,insectos,NOUN,35.350154876708984,17262
20,in,ADP,20.702383041381836,17262,ámbar,AUX,32.05316162109375,17262
21,amber,PROPN,19.5345401763916,17262,0,0,0.0,0
22,that,SCONJ,19.846797943115234,17262,0,0,0.0,0
23,he,PRON,24.473587036132812,17262,que,PRON,32.02669906616211,17262
24,kept,VERB,23.4751033782959,17262,guardaba,VERB,35.24723815917969,17262
25,in,ADP,21.478158950805664,17262,en,ADP,32.4189338684082,17262
26,the,DET,23.117013931274414,17262,la,DET,32.77365493774414,17262
27,house,NOUN,19.02932357788086,17262,casa,NOUN,31.27095603942871,17262
28,.,PUNCT,21.881938934326172,17262,.,PUNCT,34.121734619140625,17262
29,And,CCONJ,20.474891662597656,20620,0,0,0.0,0
30,they,PRON,23.333452224731445,20620,preservados,ADJ,33.35466384887695,20620
31,were,AUX,24.458271026611328,20620,Estaban,AUX,31.897037506103516,20620
32,remarkably,ADV,25.06783103942871,20620,extraordinariamente,ADV,34.76481246948242,20620
33,well,ADV,20.300411224365234,20620,bien,ADV,35.847198486328125,20620
34,preserved,VERB,20.34682846069336,20620,0,0,0.0,0
35,",",PUNCT,20.05061149597168,20620,",",PUNCT,29.98019790649414,20620
36,morphologically,ADV,20.833093643188477,23177,morfológicamente,ADV,32.595428466796875,23177
37,just,ADV,22.333629608154297,23177,0,0,0.0,0
38,phenomenal,ADJ,16.86520767211914,23177,fenomenales,ADJ,32.56145477294922,23177
39,.,PUNCT,20.38703727722168,23177,.,PUNCT,32.453102111816406,23177
40,And,CCONJ,20.622005462646484,25422,Y,CONJ,33.230560302734375,25422
41,we,PRON,24.795888900756836,25422,imaginar,AUX,37.657901763916016,25422
42,used,VERB,21.491239547729492,25422,solíamos,VERB,32.118621826171875,25422
43,to,PART,23.70479393005371,25422,que,SCONJ,33.08366012573242,25422
44,imagine,VERB,25.91960334777832,25422,0,0,0.0,0
45,that,DET,19.1260929107666,25422,algún,DET,35.25484085083008,25422
46,someday,NOUN,20.224225997924805,25422,día,NOUN,35.54018020629883,25422
47,",",PUNCT,21.11311912536621,25422,",",PUNCT,29.35033416748047,25422
48,would,VERB,27.018798828125,27616,volverían,VERB,34.32790756225586,27616
49,they,PRON,23.665691375732422,27616,en,ADP,36.824066162109375,27616
50,actually,ADV,28.192596435546875,27616,realidad,NOUN,34.922969818115234,27616
51,to,ADP,21.35091209411621,27616,a,ADP,31.615114212036133,27616
52,come,VERB,22.682531356811523,27616,la,DET,33.51484298706055,27616
53,life,NOUN,20.261667251586914,27616,vida,NOUN,31.696809768676758,27616
54,and,CCONJ,19.56891632080078,29225,y,CONJ,33.213783264160156,29225
55,they,PRON,24.865251541137695,29225,0,0,0.0,0
56,would,VERB,27.247934341430664,29225,saldrían,VERB,30.61214828491211,29225
57,crawl,VERB,21.30335235595703,29225,0,0,0.0,0
58,out,SCONJ,21.006391525268555,29225,0,0,0.0,0
59,of,ADP,23.762897491455078,29225,de,ADP,30.409198760986328,29225
60,the,DET,22.20302963256836,29225,la,DET,31.88078498840332,29225
61,resin,NOUN,19.100923538208008,29225,resina,NOUN,30.525907516479492,29225
62,",",PUNCT,20.410799026489258,29225,",",PUNCT,30.7789306640625,29225
63,and,CCONJ,21.30665397644043,31222,y,CONJ,34.364051818847656,31222
64,",",PUNCT,18.583145141601562,31222,",",PUNCT,30.05457878112793,31222
65,if,SCONJ,21.199033737182617,31222,si,SCONJ,32.55400848388672,31222
66,they,PRON,25.407306671142578,31222,0,0,0.0,0
67,could,VERB,24.510204315185547,31222,pudieran,VERB,33.556739807128906,31222
68,",",PUNCT,22.96009063720703,31222,",",PUNCT,29.977985382080078,31222
69,they,PRON,23.28850746154785,31222,0,0,0.0,0
70,would,VERB,26.598480224609375,31222,volarían,VERB,33.70328903198242,31222
71,fly,VERB,24.46784782409668,31222,0,0,0.0,0
72,away,ADV,23.90867805480957,31222,lejos,ADV,34.076515197753906,31222
73,.,PUNCT,21.764856338500977,31222,.,PUNCT,33.32542419433594,31222
74,If,SCONJ,22.07241439819336,33966,Si,SCONJ,32.750244140625,33966
75,you,PRON,24.167495727539062,33966,me,PRON,34.66372299194336,33966
76,had,AUX,24.115705490112305,33966,hubieran,AUX,33.422035217285156,33966
77,asked,VERB,23.11676597595215,33966,preguntado,VERB,35.40225601196289,33966
78,me,PRON,23.604501724243164,33966,hace,AUX,34.682945251464844,33966
79,10,NUM,22.575782775878906,33966,10,NUM,35.430912017822266,33966
80,years,NOUN,24.603979110717773,33966,años,NOUN,35.602134704589844,33966
81,ago,ADV,20.28032684326172,33966,0,0,0.0,0
82,whether,SCONJ,23.059282302856445,33966,si,SCONJ,33.54206848144531,33966
83,or,CCONJ,20.43785285949707,33966,0,0,0.0,0
84,not,PART,23.033348083496094,33966,0,0,0.0,0
85,be,AUX,25.481735229492188,36342,es,AUX,33.41850280761719,36342
86,we,PRON,23.584218978881836,36342,que,SCONJ,33.218505859375,36342
87,ever,ADV,27.195791244506836,36342,alguna,DET,33.19415283203125,36342
88,0,0,0.0,0,vez,NOUN,33.37362289428711,36342
89,would,VERB,26.141098022460938,36342,seríamos,VERB,31.51002311706543,36342
90,able,ADJ,24.175607681274414,36342,capaces,ADJ,35.447784423828125,36342
91,to,PART,25.13628387451172,36342,de,ADP,30.803451538085938,36342
92,sequence,VERB,25.831043243408203,36342,secuenciar,VERB,37.99951171875,36342
93,the,DET,20.806140899658203,36342,el,DET,33.93024826049805,36342
94,genome,NOUN,18.730873107910156,36342,genoma,NOUN,29.334253311157227,36342
95,of,ADP,22.034685134887695,36342,de,ADP,32.41154861450195,36342
96,animals,NOUN,23.9311466217041,36342,animales,NOUN,34.80641555786133,36342
97,extinct,ADJ,22.091764450073242,36342,extintos,ADJ,34.872962951660156,36342
98,",",PUNCT,20.432722091674805,36342,",",PUNCT,30.295738220214844,36342
99,I,PRON,24.692167282104492,39540,les,PRON,31.41858673095703,39540
100,would,VERB,25.613309860229492,39540,dicho,VERB,34.1505126953125,39540
101,have,AUX,24.65113067626953,39540,hubiera,AUX,35.30550765991211,39540
102,told,VERB,22.946399688720703,39540,0,0,0.0,0
103,you,PRON,22.096721649169922,39540,0,0,0.0,0
104,",",PUNCT,20.158771514892578,39540,",",PUNCT,29.284706115722656,39540
105,it,PRON,23.062692642211914,39540,0,0,0.0,0
106,'s,AUX,23.595426559448242,39540,es,AUX,35.864986419677734,39540
107,unlikely,ADJ,23.781984329223633,39540,improbable,ADJ,35.47431945800781,39540
108,.,PUNCT,22.10714340209961,39540,.,PUNCT,32.49740982055664,39540
109,If,SCONJ,22.060264587402344,42015,Si,SCONJ,32.7494010925293,42015
110,you,PRON,24.091983795166016,42015,me,PRON,34.69794845581055,42015
111,had,AUX,24.40300941467285,42015,hubieran,AUX,33.82195281982422,42015
