,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,CCONJ,19.34603500366211,12844,Esta,PRON,32.28105926513672,12844
1,this,DET,22.506135940551758,12844,una,DET,34.31119918823242,12844
2,is,AUX,23.717327117919922,12844,es,AUX,34.12136459350586,12844
3,a,DET,23.81987953186035,12844,la,DET,32.14833450317383,12844
4,talk,NOUN,19.18402862548828,12844,charla,NOUN,33.06539535522461,12844
5,about,ADP,20.091272354125977,12844,sobre,ADP,33.15975570678711,12844
6,gene,NOUN,19.08578872680664,12844,deriva,NOUN,29.55608558654785,12844
7,drives,NOUN,20.497520446777344,12844,genética,ADJ,33.596866607666016,12844
8,",",PUNCT,21.068204879760742,12844,",",PUNCT,31.062786102294922,12844
9,but,CCONJ,20.76402473449707,15330,pero,CONJ,33.75648880004883,15330
10,I,PRON,24.886005401611328,15330,0,0,0.0,0
11,'m,AUX,23.3665714263916,15330,contarles,ADJ,31.188386917114258,15330
12,going,VERB,24.66537857055664,15330,comenzaré,VERB,33.54822540283203,15330
13,to,PART,22.183544158935547,15330,0,0,0.0,0
14,start,VERB,24.74724578857422,15330,0,0,0.0,0
15,by,ADP,23.73841667175293,15330,por,ADP,33.674076080322266,15330
16,telling,VERB,24.04318618774414,15330,0,0,0.0,0
17,you,PRON,21.721752166748047,15330,0,0,0.0,0
18,a,DET,22.742795944213867,15330,una,DET,32.36751937866211,15330
19,brief,ADJ,18.935791015625,15330,breve,ADJ,33.07831954956055,15330
20,story,NOUN,19.738250732421875,15330,historia,NOUN,32.284427642822266,15330
21,.,PUNCT,22.598371505737305,15330,.,PUNCT,34.30073928833008,15330
22,20,NUM,22.993806838989258,18621,20,NUM,36.55319595336914,18621
23,years,NOUN,24.471805572509766,18621,años,NOUN,36.211204528808594,18621
24,ago,ADV,21.023807525634766,18621,Hace,AUX,35.551124572753906,18621
25,",",PUNCT,19.408029556274414,18621,",",PUNCT,31.67226219177246,18621
26,a,DET,21.360305786132812,18621,un,DET,35.58069610595703,18621
27,biologist,NOUN,20.27016258239746,18621,biólogo,NOUN,34.728214263916016,18621
28,named,VERB,22.434986114501953,18621,llamado,ADJ,34.40040588378906,18621
29,Anthony,PROPN,21.76116180419922,18621,Anthony,PROPN,35.41032409667969,18621
30,James,PROPN,20.647136688232422,18621,James,PROPN,37.07001876831055,18621
31,got,VERB,19.271316528320312,21868,se,PRON,33.57661056518555,21868
32,obsessed,VERB,21.466386795043945,21868,obsesionó,VERB,36.76676940917969,21868
33,with,ADP,22.20087242126465,21868,con,ADP,34.06502914428711,21868
34,the,DET,22.642805099487305,21868,la,DET,32.07099151611328,21868
35,idea,NOUN,21.365222930908203,21868,idea,NOUN,30.434080123901367,21868
36,of,ADP,25.085050582885742,21868,de,ADP,30.20740509033203,21868
37,making,VERB,23.674564361572266,21868,crear,VERB,35.832767486572266,21868
38,mosquitos,NOUN,21.140037536621094,21868,mosquitos,NOUN,33.74564743041992,21868
39,that,DET,19.694873809814453,24211,la,DET,32.356807708740234,24171
40,did,AUX,23.193456649780273,24211,no,ADV,34.369815826416016,24171
41,n't,PART,23.52874755859375,24211,que,SCONJ,34.3007698059082,24171
42,transmit,VERB,21.353322982788086,24211,transmitieran,VERB,34.3592529296875,24171
43,malaria,PROPN,18.854690551757812,24211,malaria,NOUN,32.37794494628906,24171
44,.,PUNCT,20.303672790527344,24211,.,PUNCT,33.44515609741211,24171
45,It,PRON,24.459300994873047,27683,0,0,0.0,0
46,was,AUX,25.112070083618164,27683,Era,AUX,34.59763717651367,27683
47,a,DET,24.429670333862305,27683,una,DET,35.57291793823242,27683
