,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,It,PRON,22.976171493530273,20330,Fue,AUX,33.5909309387207,20330
1,'s,AUX,22.49386215209961,20330,hace,AUX,35.092620849609375,20330
2,actually,ADV,26.157236099243164,20330,casi,ADV,36.86886215209961,20330
3,almost,ADV,21.348630905151367,20330,0,0,0.0,0
4,20,NUM,23.257680892944336,20330,20,NUM,33.776634216308594,20330
5,years,NOUN,23.74024772644043,20330,años,NOUN,35.134300231933594,20330
6,ago,ADV,20.725475311279297,20330,0,0,0.0,0
7,when,ADV,23.112388610839844,22330,cuando,SCONJ,36.443214416503906,22330
8,I,PRON,24.429424285888672,22330,0,0,0.0,0
9,wanted,VERB,24.708892822265625,22330,reformular,VERB,34.98565673828125,22330
10,to,PART,23.54395866394043,22330,en,ADP,31.323936462402344,22330
11,reframe,VERB,23.70293426513672,22330,quise,VERB,32.99430847167969,22330
12,the,DET,24.079267501831055,22330,la,DET,34.55263137817383,22330
13,way,NOUN,19.188671112060547,22330,forma,NOUN,32.65969467163086,22330
14,we,PRON,23.544483184814453,22330,que,PRON,33.579647064208984,22330
15,use,VERB,23.690959930419922,22330,usamos,VERB,32.42230987548828,22330
16,information,NOUN,19.390378952026367,22330,información,NOUN,29.590574264526367,22330
17,",",PUNCT,21.73650550842285,22330,la,DET,33.752281188964844,22330
18,the,DET,22.19381332397461,26330,la,DET,34.25593566894531,26330
19,way,NOUN,18.433813095092773,26330,forma,NOUN,32.92388916015625,26330
20,we,PRON,23.52996253967285,26330,en,ADP,31.757701873779297,26330
21,work,VERB,22.169950485229492,26330,trabajamos,VERB,33.71002197265625,26330
22,together,ADV,23.25522804260254,26330,la,DET,35.01750183105469,26330
23,:,PUNCT,21.26801872253418,26330,--,PUNCT,31.908416748046875,26330
24,I,PRON,23.529951095581055,26330,que,PRON,33.332279205322266,26330
25,invented,VERB,26.470075607299805,26330,inventé,VERB,33.568668365478516,26330
26,the,DET,22.46487808227539,26330,la,DET,29.739980697631836,26330
27,World,PROPN,21.735383987426758,26330,World,PROPN,37.159481048583984,26330
28,Wide,PROPN,19.47797393798828,26330,Wide,PROPN,37.03852844238281,26330
29,Web,NOUN,20.583993911743164,26330,juntos,ADJ,31.861305236816406,26330
30,.,PUNCT,20.994653701782227,26330,Web,PROPN,33.92680358886719,26330
31,Now,ADV,22.41998291015625,29330,Hoy,ADV,34.82907485961914,29330
32,",",PUNCT,20.116613388061523,29330,",",PUNCT,30.268400192260742,29330
33,20,NUM,21.758079528808594,29330,20,NUM,34.696327209472656,29330
34,years,NOUN,24.431529998779297,29330,años,NOUN,34.56300354003906,29330
35,on,ADP,17.680423736572266,29330,después,ADV,37.045799255371094,29330
36,",",PUNCT,20.388633728027344,29330,",",PUNCT,29.894752502441406,29330
37,0,0,0.0,0,aquí,ADV,34.23350524902344,29330
38,at,ADP,21.96965789794922,29330,en,ADP,34.288177490234375,29330
39,TED,PROPN,22.423664093017578,29330,TED,PROPN,35.30699157714844,29330
40,",",PUNCT,19.995725631713867,29330,",",PUNCT,30.001466751098633,29330
41,I,PRON,24.979406356811523,32330,0,0,0.0,0
42,want,VERB,23.8179874420166,32330,quiero,VERB,33.5866813659668,32330
43,to,PART,23.855199813842773,32330,pedirles,PROPN,32.329654693603516,32330
44,ask,VERB,27.09624671936035,32330,0,0,0.0,0
45,your,DET,22.525733947753906,32330,una,DET,33.22052764892578,32330
46,help,NOUN,20.74535369873047,32330,ayuda,NOUN,31.562841415405273,32330
47,in,ADP,21.196531295776367,32330,para,ADP,33.16181564331055,32330
48,a,DET,22.346702575683594,32330,0,0,0.0,0
49,new,ADJ,20.807523727416992,32330,nueva,ADJ,35.572940826416016,32330
50,reframing,NOUN,19.891996383666992,32330,reformulación,NOUN,33.037113189697266,32330
51,.,PUNCT,20.065279006958008,32330,.,PUNCT,33.306156158447266,32330
52,So,CCONJ,19.87649154663086,37330,",",PUNCT,34.38957977294922,37330
53,going,VERB,25.04156494140625,37330,volviendo,VERB,36.11710739135742,37330
54,back,ADV,23.4918155670166,37330,Entonces,ADV,34.71498489379883,37330
55,to,ADP,21.313941955566406,37330,a,ADP,31.898773193359375,37330
56,1989,NUM,24.42877769470215,37330,1989,NOUN,33.73117446899414,37330
57,",",PUNCT,20.586423873901367,37330,",",PUNCT,31.54833221435547,37330
58,I,PRON,23.56142807006836,41330,de,ADP,31.333955764770508,41330
59,wrote,VERB,22.790298461914062,41330,escribí,VERB,35.06443786621094,41330
60,a,DET,22.461761474609375,41330,un,DET,35.33070755004883,41330
61,memo,NOUN,19.28717613220215,41330,memo,NOUN,32.607364654541016,41330
62,suggesting,VERB,26.347265243530273,41330,sugiriendo,VERB,36.68211364746094,41330
63,the,DET,19.668506622314453,41330,el,DET,35.03968048095703,41330
64,global,ADJ,20.36220932006836,41330,global,ADJ,32.948707580566406,41330
65,hypertext,NOUN,18.511201858520508,41330,sistema,NOUN,33.83772659301758,41330
66,system,NOUN,21.68954849243164,41330,hipertexto,NOUN,29.774513244628906,41330
67,.,PUNCT,21.554094314575195,41330,.,PUNCT,32.14814376831055,41330
68,Nobody,PRON,21.164026260375977,44330,Nadie,PRON,34.42441177368164,44330
69,really,ADV,25.36450958251953,44330,hizo,VERB,34.09708786010742,44330
70,did,AUX,23.71596336364746,44330,0,0,0.0,0
71,anything,PRON,22.760515213012695,44330,algo,PRON,35.916778564453125,44330
72,with,ADP,20.710901260375977,44330,con,ADP,32.098602294921875,44330
73,it,PRON,22.4576416015625,44330,él,PRON,31.896739959716797,44330
74,",",PUNCT,21.655757904052734,44330,",",PUNCT,28.33005142211914,44330
75,pretty,ADV,24.59557342529297,44330,realmente,ADV,31.9273624420166,44330
76,much,ADV,23.86844253540039,44330,0,0,0.0,0
77,.,PUNCT,21.6525821685791,44330,.,PUNCT,32.61312484741211,44330
