,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,My,DET,23.83759117126465,13042,Mi,DET,31.828670501708984,13042
1,name,NOUN,20.851093292236328,13042,nombre,NOUN,32.29877471923828,13042
2,is,AUX,23.401195526123047,13042,es,AUX,30.484420776367188,13042
3,Glenn,PROPN,21.759252548217773,13042,Glenn,PROPN,32.20707702636719,13042
4,",",PUNCT,18.724353790283203,13042,0,0,0.0,0
5,I,PRON,24.243370056152344,14542,Tengo,VERB,32.208675384521484,14542
6,'m,AUX,20.83513832092285,14542,0,0,0.0,0
7,25,NUM,21.241201400756836,14542,25,NUM,31.797441482543945,14542
8,",",PUNCT,21.379722595214844,14542,0,0,0.0,0
9,and,CCONJ,19.979808807373047,16083,y,CONJ,33.91130828857422,16083
10,I,PRON,25.881532669067383,16083,no,ADV,34.22089385986328,16083
11,do,AUX,23.032501220703125,16083,0,0,0.0,0
12,n't,PART,24.682008743286133,16083,0,0,0.0,0
13,know,VERB,21.608776092529297,16083,sé,VERB,35.35899353027344,16083
14,my,DET,22.64867401123047,16083,mi,DET,34.065406799316406,16083
15,real,ADJ,21.088899612426758,16083,verdadero,ADJ,33.06183624267578,16083
16,last,ADJ,20.948017120361328,16083,0,0,0.0,0
17,name,NOUN,21.43714714050293,16083,apellido,NOUN,33.661705017089844,16083
18,.,PUNCT,21.56300163269043,16083,.,PUNCT,33.39463806152344,16083
19,It,PRON,23.222469329833984,19542,No,ADV,33.239524841308594,19542
20,'s,AUX,23.01388168334961,19542,es,AUX,33.75858688354492,19542
21,uncommon,ADJ,20.191287994384766,19542,raro,ADJ,35.671722412109375,19542
22,in,ADP,20.964862823486328,19542,en,ADP,33.6406135559082,19542
23,not,PART,25.746076583862305,19542,EE,PROPN,34.9794807434082,19542
24,.,PUNCT,20.9329776763916,19542,.,PUNCT,32.164894104003906,19542
25,America,PROPN,24.45469856262207,19542,UU,PROPN,30.69678497314453,19542
26,0,0,0.0,0,.,PUNCT,32.73059844970703,19542
27,Most,ADJ,19.574813842773438,21917,La,DET,35.17520523071289,21917
28,people,NOUN,21.200305938720703,21917,mayoría,NOUN,30.769054412841797,21917
29,in,ADP,21.3187313079834,21917,de,ADP,30.326526641845703,21917
30,this,DET,25.011974334716797,21917,las,DET,34.720306396484375,21917
31,country,NOUN,20.913379669189453,21917,personas,NOUN,36.24292755126953,21917
32,black,ADJ,20.7170467376709,21917,negras,ADJ,33.818973541259766,21917
33,are,AUX,24.20294761657715,21917,en,ADP,31.734771728515625,21917
34,0,0,0.0,0,este,DET,34.95707702636719,21917
35,0,0,0.0,0,país,NOUN,29.839365005493164,21917
36,walking,VERB,25.179582595825195,21917,van,VERB,33.448081970214844,21917
37,around,ADP,22.203861236572266,21917,por,ADP,33.019744873046875,21917
38,0,0,0.0,0,ahí,ADV,33.48785400390625,21917
39,with,ADP,20.136423110961914,24917,con,ADP,32.45414352416992,24917
40,a,DET,21.365934371948242,24917,el,DET,33.755577087402344,24917
41,slave,NOUN,18.649009704589844,24917,apellido,NOUN,29.689990997314453,24917
42,'s,PART,21.761011123657227,24917,del,ADP,34.12807846069336,24917
43,owner,NOUN,20.33454132080078,24917,dueño,NOUN,29.070383071899414,24917
44,last,ADJ,20.146778106689453,24917,del,ADP,32.95656967163086,24917
45,name,NOUN,20.40910530090332,24917,esclavo,PROPN,30.578609466552734,24917
46,.,PUNCT,21.541255950927734,24917,.,PUNCT,31.608543395996094,24917
47,0,0,0.0,0,La,DET,35.56262969970703,27458
48,history,NOUN,21.343515396118164,27458,historia,NOUN,33.469486236572266,27458
49,Black,ADJ,20.934814453125,27458,negra,ADJ,33.16434860229492,27458
50,been,AUX,26.144868850708008,27458,ha,AUX,34.165897369384766,27458
51,has,AUX,24.451919555664062,27458,sido,AUX,35.70070266723633,27458
52,systemically,ADV,28.283132553100586,27458,sistemáticamente,ADV,34.74551773071289,27458
53,and,CCONJ,22.213905334472656,27458,borrada,ADJ,32.572906494140625,27458
54,altered,VERB,21.005483627319336,27458,y,CONJ,34.672969818115234,27458
55,erased,VERB,24.10991096496582,27458,alterada,ADJ,33.01584243774414,27458
56,for,ADP,22.722021102905273,27458,durante,ADP,35.7767448425293,27458
57,centuries,NOUN,21.522560119628906,27458,siglos,NOUN,34.57052230834961,27458
58,.,PUNCT,20.35883140563965,27458,.,PUNCT,32.482513427734375,27458
59,As,SCONJ,20.451889038085938,32750,Mientras,SCONJ,33.95090866088867,32750
60,I,PRON,24.732458114624023,32750,0,0,0.0,0
61,give,VERB,22.701337814331055,32750,doy,VERB,34.444496154785156,32750
62,this,DET,23.66805076599121,32750,esta,DET,32.07045364379883,32750
63,talk,NOUN,19.588987350463867,32750,charla,NOUN,33.41073226928711,32750
64,",",PUNCT,21.177635192871094,32750,",",PUNCT,30.918176651000977,32750
65,are,AUX,23.94887351989746,34042,hay,AUX,35.80603790283203,34042
66,there,PRON,22.63790512084961,34042,más,ADV,36.5635986328125,34042
67,than,SCONJ,24.185047149658203,34042,de,ADP,32.62504196166992,34042
68,700,NUM,22.58989715576172,34042,700,NUM,35.96540832519531,34042
69,monuments,NOUN,19.97269630432129,34042,monumentos,NOUN,32.89016342163086,34042
70,more,ADJ,21.1585693359375,34042,confederados,ADJ,34.164268493652344,34042
71,Confederate,PROPN,20.692033767700195,34042,en,ADP,32.80384063720703,34042
72,0,0,0.0,0,todo,DET,34.61930847167969,34042
73,nationwide,ADV,19.63667106628418,34042,el,DET,35.30919647216797,34042
74,0,0,0.0,0,país,NOUN,30.831087112426758,34042
75,.,PUNCT,22.332517623901367,34042,.,PUNCT,31.957483291625977,34042
76,0,0,0.0,0,Estos,PRON,28.872661590576172,38482
77,0,0,0.0,0,fueron,AUX,36.71284866333008,38482
78,standing,VERB,22.518203735351562,34042,erigidos,VERB,35.22251510620117,38482
79,0,0,0.0,0,para,ADP,36.5973014831543,38482
80,0,0,0.0,0,honrar,VERB,37.71847915649414,38482
81,0,0,0.0,0,a,ADP,33.460182189941406,38482
82,0,0,0.0,0,los,DET,36.03246307373047,38482
83,0,0,0.0,0,soldados,NOUN,36.30775451660156,38482
84,0,0,0.0,0,confederados,ADJ,35.8060188293457,38482
85,These,DET,22.261457443237305,38792,la,DET,34.89061737060547,41343
86,were,AUX,24.540258407592773,38792,quienes,PRON,32.78517532348633,41343
87,erected,VERB,22.307022094726562,38792,lucharon,VERB,34.254634857177734,41343
88,to,PART,23.83648681640625,38792,para,ADP,35.354549407958984,41343
89,honor,VERB,23.362895965576172,38792,mantener,VERB,36.4621696472168,41343
90,Confederate,PROPN,21.396394729614258,38792,0,0,0.0,0
91,soldiers,NOUN,18.99766731262207,38792,esclavitud,NOUN,31.642807006835938,41343
92,mostly,ADV,20.954437255859375,43458,principalmente,ADV,36.74817657470703,43458
93,in,ADP,22.050418853759766,43458,en,ADP,31.785701751708984,43458
94,the,DET,21.68458366394043,43458,el,DET,34.27279281616211,43458
95,South,PROPN,18.23219108581543,43458,sur,NOUN,31.413305282592773,43458
96,--,PUNCT,19.32476043701172,43458,",",PUNCT,30.58406639099121,43458
97,0,0,0.0,0,desde,ADP,35.592323303222656,44662
98,0,0,0.0,0,la,DET,32.263999938964844,44662
99,0,0,0.0,0,década,NOUN,30.463542938232422,44662
100,0,0,0.0,0,de,ADP,30.391132354736328,44662
101,0,0,0.0,0,1890,NOUN,32.8629150390625,44662
102,0,0,0.0,0,hasta,ADP,35.204471588134766,44662
103,0,0,0.0,0,la,DET,32.09226989746094,44662
104,0,0,0.0,0,década,NOUN,30.281469345092773,44662
105,0,0,0.0,0,de,ADP,30.507062911987305,44662
106,0,0,0.0,0,1950,NOUN,33.06207275390625,44662
107,0,0,0.0,0,",",PUNCT,31.040966033935547,44662
108,when,ADV,22.505096435546875,47292,cuando,SCONJ,36.134220123291016,47292
109,0,0,0.0,0,las,DET,33.35527801513672,47292
110,laws,NOUN,22.025774002075195,47292,leyes,NOUN,34.44645690917969,47292
111,0,0,0.0,0,de,ADP,32.062278747558594,47292
112,Crow,PROPN,22.048885345458984,47292,Jim,PROPN,36.67969512939453,47292
113,Jim,PROPN,23.002721786499023,47292,Crow,PROPN,36.00058364868164,47292
114,racial,ADJ,19.94445037841797,47292,que,PRON,30.379114151000977,47292
115,enforcing,VERB,25.868179321289062,47292,imponían,VERB,34.91653060913086,47292
116,0,0,0.0,0,la,DET,34.14885711669922,47292
117,segregation,NOUN,20.190025329589844,47292,segregación,NOUN,33.0044059753418,47292
118,full,ADJ,21.15380859375,47292,racial,ADJ,34.25877380371094,47292
119,were,AUX,22.07318687438965,47292,estaban,AUX,33.33114242553711,51195
120,in,ADP,21.597251892089844,47292,en,ADP,33.60272979736328,51195
121,effect,NOUN,20.71259880065918,47292,pleno,NOUN,31.290864944458008,51195
122,0,0,0.0,0,apogeo,NOUN,32.81298828125,51195
123,.,PUNCT,21.664649963378906,47292,.,PUNCT,31.610689163208008,51195
124,To,ADP,19.300533294677734,52625,Hasta,ADP,34.12873077392578,52625
125,this,DET,26.16668701171875,52625,el,DET,32.992183685302734,52625
126,day,NOUN,19.321916580200195,52625,día,NOUN,31.44704818725586,52625
127,0,0,0.0,0,de,ADP,30.3142032623291,52625
128,0,0,0.0,0,hoy,ADV,31.25151824951172,52625
129,",",PUNCT,20.23404312133789,52625,",",PUNCT,30.0924072265625,52625
130,are,AUX,24.190303802490234,52625,los,DET,32.6137580871582,52625
131,people,NOUN,21.925369262695312,52625,negros,NOUN,33.98255920410156,52625
132,to,PART,23.806690216064453,52625,se,PRON,32.20148849487305,52625
133,confront,VERB,24.375911712646484,52625,ven,VERB,37.554893493652344,52625
134,black,ADJ,20.631351470947266,52625,obligados,ADJ,34.70088577270508,52625
135,of,ADP,24.292057037353516,52625,a,ADP,32.953834533691406,55830
136,forced,VERB,23.664731979370117,52625,confrontar,VERB,34.94515609741211,55830
137,slaveholders,NOUN,22.113142013549805,52625,monumentos,NOUN,34.54230499267578,55830
138,0,0,0.0,0,de,ADP,31.786115646362305,55830
139,monuments,NOUN,21.121402740478516,52625,esclavistas,NOUN,33.073463439941406,55830
140,0,0,0.0,0,en,ADP,31.52751922607422,55830
141,0,0,0.0,0,nuestros,DET,32.60366439819336,55830
142,0,0,0.0,0,espacios,NOUN,35.53920364379883,55830
143,0,0,0.0,0,públicos,ADJ,35.929466247558594,55830
144,0,0,0.0,0,.,PUNCT,32.580875396728516,55830
145,These,DET,22.95331382751465,59417,Estos,DET,30.158567428588867,59417
146,memorials,NOUN,22.59109878540039,59417,memoriales,NOUN,34.1734619140625,59417
147,are,AUX,24.40049171447754,59417,son,AUX,34.99374771118164,59417
148,a,DET,23.35860252380371,59417,una,DET,34.37294006347656,59417
149,representation,NOUN,22.541269302368164,59417,representación,NOUN,34.18406677246094,59417
150,physical,ADJ,21.856964111328125,59417,física,ADJ,36.26084518432617,59417
151,of,ADP,23.37240982055664,59417,de,ADP,31.672874450683594,59417
152,a,DET,21.889074325561523,59417,un,DET,36.282867431640625,59417
153,system,NOUN,19.89670181274414,59417,sistema,NOUN,33.02456283569336,59417
154,0,0,0.0,0,que,SCONJ,33.44525146484375,62917
155,working,VERB,24.98147201538086,62917,trabaja,VERB,38.44816207885742,62917
156,actively,ADV,25.136438369750977,62917,activamente,ADV,36.1731071472168,62917
157,to,PART,23.10767364501953,62917,para,ADP,34.443302154541016,62917
158,define,VERB,23.42511558532715,62917,definir,VERB,34.343292236328125,62917
159,that,DET,18.74106788635254,62917,qué,DET,31.856718063354492,65617
160,lives,NOUN,20.669313430786133,62917,vidas,NOUN,35.82633972167969,65617
161,is,AUX,23.07956314086914,62917,son,AUX,34.16493225097656,65617
162,whose,DET,21.252944946289062,62917,las,DET,32.667938232421875,65617
163,matter,ADV,16.364728927612305,62917,que,PRON,33.51343536376953,65617
164,0,0,0.0,0,importan,VERB,36.821311950683594,65617
165,0,0,0.0,0,y,CONJ,30.674081802368164,65617
166,0,0,0.0,0,qué,DET,32.6239128112793,65617
167,0,0,0.0,0,vidas,NOUN,35.74930953979492,65617
168,0,0,0.0,0,no.,ADJ,32.87226486206055,65617
169,If,SCONJ,22.53404998779297,68625,Si,SCONJ,33.96102523803711,68625
170,we,PRON,24.78093910217285,68625,a,ADP,35.38264465332031,68625
171,are,AUX,27.469789505004883,68625,vamos,AUX,34.465335845947266,68625
172,going,VERB,24.61937713623047,68625,interrumpir,VERB,35.71066665649414,68625
173,to,PART,22.042089462280273,68625,0,0,0.0,0
174,disrupt,VERB,22.556724548339844,68625,0,0,0.0,0
175,the,DET,23.261287689208984,68625,la,DET,32.193634033203125,68625
176,narrative,NOUN,17.4283390045166,68625,narrativa,NOUN,30.014406204223633,68625
177,",",PUNCT,19.783727645874023,68625,",",PUNCT,29.84149932861328,68625
178,we,PRON,25.17304229736328,70917,0,0,0.0,0
179,have,AUX,22.21149444580078,70917,hay,AUX,35.209228515625,70917
180,to,PART,23.471996307373047,70917,que,SCONJ,32.20404052734375,70917
181,start,VERB,25.82788848876953,70917,comenzar,VERB,34.750606536865234,70917
182,at,ADP,24.043880462646484,70917,en,ADP,33.8314323425293,70917
183,the,DET,21.202699661254883,70917,el,DET,35.81977844238281,70917
184,origin,NOUN,19.137914657592773,70917,origen,NOUN,32.59197235107422,70917
185,.,PUNCT,22.031110763549805,70917,.,PUNCT,31.42544174194336,70917
186,Genocide,NOUN,21.757654190063477,73375,El,DET,34.95124435424805,73375
187,slavery,NOUN,20.08250617980957,73375,genocidio,NOUN,31.325267791748047,73375
188,",",PUNCT,22.018705368041992,73375,",",PUNCT,31.46131134033203,73375
189,patriarchy,NOUN,22.096158981323242,73375,esclavitud,NOUN,30.632068634033203,73375
190,and,CCONJ,21.692493438720703,73375,y,CONJ,32.398597717285156,73375
191,0,0,0.0,0,patriarcado,ADJ,34.06245040893555,73375
192,started,VERB,21.143413543701172,73375,comenzaron,VERB,32.374794006347656,73375
193,in,ADP,23.725709915161133,73375,en,ADP,34.26340866088867,73375
194,the,DET,21.601608276367188,73375,las,DET,31.469263076782227,73375
195,Americas,PROPN,20.658369064331055,73375,Américas,PROPN,34.76084899902344,73375
196,with,ADP,20.742351531982422,78292,con,ADP,32.14485549926758,78292
197,Christopher,PROPN,21.808839797973633,78292,Cristóbal,PROPN,36.20853042602539,78292
198,Columbus,PROPN,22.903305053710938,78292,Colón,PROPN,36.129207611083984,78292
199,.,PUNCT,20.06173324584961,78292,0,0,0.0,0
200,Most,ADJ,19.72540283203125,80542,La,DET,35.17520523071289,80542
201,people,NOUN,21.21217155456543,80542,mayoría,NOUN,30.779508590698242,80542
202,in,ADP,21.983434677124023,80542,de,ADP,30.48614501953125,80542
203,the,DET,22.250566482543945,80542,las,DET,34.51118850708008,80542
204,0,0,0.0,0,personas,NOUN,35.68491744995117,80542
205,about,ADP,22.305784225463867,80542,en,ADP,33.2397575378418,80542
206,States,PROPN,21.16575813293457,80542,EE,PROPN,34.849647521972656,80542
207,0,0,0.0,0,.,PUNCT,32.031578063964844,80542
208,United,PROPN,21.303804397583008,80542,UU,PROPN,31.433732986450195,80542
209,.,PUNCT,21.506399154663086,80542,.,PUNCT,32.04877471923828,80542
210,know,VERB,21.92331886291504,80542,saben,VERB,35.96849822998047,80542
211,1492,NUM,21.09347152709961,80542,sobre,ADP,33.01045608520508,80542
212,his,DET,25.06344223022461,80542,su,DET,30.846677780151367,80542
213,voyage,NOUN,20.3286190032959,80542,viaje,NOUN,30.85601806640625,80542
214,of,ADP,24.127037048339844,80542,de,ADP,31.9108829498291,80542
215,0,0,0.0,0,1492,NOUN,33.80739974975586,80542
216,0,0,0.0,0,.,PUNCT,32.048851013183594,80542
217,Fewer,ADJ,20.50118064880371,85167,Menos,ADV,33.628746032714844,85167
218,people,NOUN,23.090055465698242,85167,personas,NOUN,34.80112838745117,85167
219,know,VERB,23.924951553344727,85167,saben,VERB,38.247337341308594,85167
220,that,SCONJ,18.619014739990234,85167,que,SCONJ,33.024925231933594,85167
221,an,DET,21.920045852661133,85167,unos,PRON,31.157169342041016,85167
222,estimated,VERB,21.388046264648438,85167,arawaks,VERB,32.824378967285156,85167
223,"250,000",NUM,21.07798957824707,85167,000,NUM,33.877708435058594,85167
224,indigenous,ADJ,20.616600036621094,85167,250,NUM,32.16571807861328,85167
225,Arawaks,NOUN,22.0650577545166,85167,indígenas,NOUN,32.13045883178711,85167
226,were,AUX,23.179859161376953,85167,fueron,AUX,34.985076904296875,85167
227,wiped,VERB,21.564720153808594,85167,exterminados,VERB,36.631813049316406,85167
228,out,ADP,21.26285171508789,85167,0,0,0.0,0
229,within,ADP,21.134309768676758,91583,en,ADP,33.74690628051758,91583
230,0,0,0.0,0,los,DET,33.443885803222656,91583
231,two,NUM,23.154420852661133,91583,dos,NUM,35.26470184326172,91583
232,0,0,0.0,0,primeros,ADJ,34.93113327026367,91583
233,years,NOUN,23.38924789428711,91583,años,NOUN,35.95526885986328,91583
234,of,ADP,22.889232635498047,91583,de,ADP,32.371273040771484,91583
235,his,DET,23.713937759399414,91583,su,DET,33.82354736328125,91583
236,arrival,NOUN,19.895824432373047,91583,llegada,NOUN,31.328432083129883,91583
237,.,PUNCT,21.076345443725586,91583,.,PUNCT,34.39298629760742,91583
238,Even,ADV,21.403703689575195,94083,Aún,ADV,33.13528060913086,94083
239,fewer,ADJ,20.37017059326172,94083,menos,ADV,33.77858352661133,94083
240,people,NOUN,23.580942153930664,94083,personas,NOUN,34.385929107666016,94083
241,know,VERB,22.600631713867188,94083,saben,VERB,37.98735427856445,94083
242,that,SCONJ,20.903350830078125,95417,que,SCONJ,32.305660247802734,95417
243,Columbus,PROPN,24.307958602905273,95417,Colón,PROPN,35.71257400512695,95417
244,admitted,VERB,22.49917221069336,95417,admitió,VERB,35.13291549682617,95417
245,in,ADP,22.030508041381836,95417,en,ADP,33.78342056274414,95417
246,a,DET,23.844533920288086,95417,una,DET,34.39015197753906,95417
247,letter,NOUN,22.14348602294922,95417,carta,NOUN,32.03622817993164,95417
248,written,VERB,22.581817626953125,95417,escrita,ADJ,31.793275833129883,95417
249,to,ADP,23.12099266052246,95417,a,ADP,29.674821853637695,95417
250,Doña,PROPN,21.551990509033203,95417,Doña,PROPN,35.529762268066406,95417
251,Juana,PROPN,22.41127586364746,95417,Juana,PROPN,35.98839569091797,95417
252,de,ADP,18.81355094909668,95417,de,ADP,31.665056228637695,95417
253,la,X,19.86288070678711,95417,la,DET,28.649654388427734,95417
254,Torre,PROPN,19.66035270690918,95417,Torre,PROPN,36.34762191772461,95417
255,that,SCONJ,20.92572021484375,100042,que,SCONJ,32.28148651123047,100042
256,"""",PUNCT,23.386215209960938,100042,"""",PUNCT,33.4311408996582,100042
257,-,PUNCT,23.089778900146484,100042,las,DET,31.587474822998047,100042
258,and,CCONJ,22.460735321044922,100042,niñas,NOUN,33.180538177490234,100042
259,in,ADP,21.045772552490234,100042,de,ADP,32.837703704833984,100042
260,10-year,NUM,19.751399993896484,100042,nueve,NUM,31.26426887512207,100042
261,old,ADJ,21.694255828857422,100042,y,CONJ,32.1761589050293,100042
262,nine,NUM,20.69801902770996,100042,10,NUM,32.37803649902344,100042
