,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Friday,PROPN,22.68277359008789,16050,Viernes,NOUN,29.14499855041504,16050
1,0,0,0.0,0,por,ADP,33.67091751098633,16050
2,0,0,0.0,0,la,DET,33.446537017822266,16050
3,afternoon,NOUN,19.359956741333008,16050,tarde,NOUN,29.539451599121094,16050
4,",",PUNCT,19.409950256347656,16050,",",PUNCT,30.21221160888672,16050
5,0,0,0.0,0,pocos,DET,33.61627197265625,17170
6,0,0,0.0,0,días,NOUN,36.374900817871094,17170
7,0,0,0.0,0,antes,ADV,36.67766571044922,17170
8,0,0,0.0,0,de,ADP,30.38251495361328,17170
9,0,0,0.0,0,la,DET,31.2450008392334,17170
10,0,0,0.0,0,Navidad,PROPN,36.142478942871094,17170
11,0,0,0.0,0,de,ADP,30.88275909423828,17170
12,0,0,0.0,0,2009,NOUN,31.925561904907227,17170
13,0,0,0.0,0,.,PUNCT,32.35012435913086,17170
14,a,DET,21.881637573242188,17436,el,DET,35.19126892089844,20210
15,few,ADJ,21.034610748291016,17436,Yo,PRON,33.26850128173828,20210
16,days,NOUN,22.26327133178711,17436,director,NOUN,28.811662673950195,20210
17,before,ADP,22.230255126953125,17436,de,ADP,31.080535888671875,20210
18,Christmas,PROPN,24.079687118530273,17436,era,AUX,33.116371154785156,20210
19,2009,NUM,21.634262084960938,17436,operaciones,NOUN,33.398780822753906,20210
20,",",PUNCT,22.091203689575195,17436,0,0,0.0,0
21,I,PRON,24.6124324798584,20626,de,ADP,33.35618209838867,22130
22,the,DET,22.63694953918457,20626,una,DET,35.223995208740234,22130
23,was,AUX,23.675703048706055,20626,empresa,NOUN,31.389856338500977,22130
24,of,ADP,22.209314346313477,20626,de,ADP,31.80780792236328,22130
25,director,NOUN,19.415979385375977,20626,productos,NOUN,33.6369514465332,22130
26,0,0,0.0,0,de,ADP,30.773406982421875,22130
27,operations,NOUN,18.781726837158203,20626,consumo,NOUN,32.44954299926758,22130
28,0,0,0.0,0,en,ADP,33.280189514160156,22130
29,0,0,0.0,0,San,PROPN,35.454166412353516,22130
30,0,0,0.0,0,Francisco,PROPN,38.072914123535156,22130
31,0,0,0.0,0,",",PUNCT,31.030099868774414,22130
32,at,ADP,22.327852249145508,22443,y,CONJ,32.01833724975586,25240
33,consumer,NOUN,17.194242477416992,22443,me,PRON,33.1230354309082,25240
34,products,NOUN,19.680368423461914,22443,llamaron,VERB,34.905479431152344,25240
35,in,ADP,20.501176834106445,22443,a,ADP,33.56039810180664,25240
36,a,DET,23.24483871459961,22443,una,DET,35.27989959716797,25240
37,company,NOUN,18.84271240234375,22443,reunión,NOUN,33.059322357177734,25240
38,San,PROPN,22.29183578491211,22443,que,PRON,34.46525192260742,25240
39,Francisco,PROPN,22.140356063842773,22443,ya,ADV,35.237281799316406,25240
40,0,0,0.0,0,había,AUX,33.99417495727539,25240
41,0,0,0.0,0,empezado,VERB,32.34451675415039,25240
42,",",PUNCT,19.97049903869629,22443,.,PUNCT,34.04155731201172,25240
43,and,CCONJ,19.740921020507812,25800,0,0,0.0,0
44,I,PRON,25.226707458496094,25800,reunión,NOUN,34.24177551269531,29150
45,was,AUX,23.588083267211914,25800,ser,AUX,36.03668975830078,29150
46,called,VERB,20.688411712646484,25800,resultó,VERB,34.93339157104492,29150
47,into,ADP,20.647632598876953,25800,de,ADP,31.77263832092285,29150
48,a,DET,21.50000762939453,25800,mi,DET,35.383544921875,29150
49,meeting,NOUN,20.694347381591797,25800,entrevista,NOUN,31.515615463256836,29150
50,that,DET,20.373737335205078,25800,Esa,DET,33.927513122558594,29150
51,was,AUX,24.851940155029297,25800,0,0,0.0,0
52,already,ADV,24.152767181396484,25800,0,0,0.0,0
53,in,ADP,21.2213191986084,25800,0,0,0.0,0
54,progress,NOUN,20.276323318481445,25800,salida,NOUN,32.62828063964844,29150
55,.,PUNCT,22.820068359375,25800,.,PUNCT,34.62922286987305,29150
56,That,DET,20.50619125366211,29491,unos,DET,33.92265319824219,32150
57,meeting,NOUN,24.127975463867188,29491,despedido,ADJ,33.431026458740234,32150
58,turned,VERB,23.68048858642578,29491,",",PUNCT,28.77479362487793,32150
59,out,ADP,21.41460418701172,29491,con,ADP,31.380104064941406,32150
60,to,PART,22.26091194152832,29491,junto,ADJ,33.129581451416016,32150
61,be,AUX,24.091245651245117,29491,Fui,AUX,28.875133514404297,32150
62,my,DET,22.39429473876953,29491,cuantos,DET,30.83401107788086,32150
63,exit,NOUN,19.645042419433594,29491,más,ADV,36.22035217285156,32150
64,interview,NOUN,19.69063949584961,29491,0,0,0.0,0
65,.,PUNCT,21.783721923828125,29491,.,PUNCT,33.33326721191406,32150
66,I,PRON,24.73880958557129,32507,ese,PRON,32.58498764038086,36090
67,was,AUX,22.767562866210938,32507,entonces,ADV,32.30353927612305,36090
68,fired,VERB,22.816646575927734,32507,tenía,VERB,36.743778228759766,36090
69,",",PUNCT,20.737640380859375,32507,64,NUM,34.844093322753906,36090
70,along,ADP,21.94927406311035,32507,En,ADP,32.51030731201172,36090
71,with,ADP,22.021163940429688,32507,0,0,0.0,0
72,several,ADJ,21.92019271850586,32507,0,0,0.0,0
73,others,NOUN,23.505353927612305,32507,años,NOUN,35.91073989868164,36090
74,.,PUNCT,21.549713134765625,32507,.,PUNCT,33.143585205078125,36090
75,I,PRON,23.835874557495117,36288,No,ADV,32.96604919433594,40020
76,was,AUX,23.100372314453125,36288,fue,AUX,35.22663497924805,40020
77,64,NUM,24.9019832611084,36288,completamente,ADV,38.68694305419922,40020
78,years,NOUN,23.561920166015625,36288,0,0,0.0,0
79,old,ADJ,21.141630172729492,36288,inesperado,ADJ,35.24678039550781,40020
80,at,ADP,22.106271743774414,36288,0,0,0.0,0
81,the,DET,20.682161331176758,36288,0,0,0.0,0
82,time,NOUN,18.667949676513672,36288,0,0,0.0,0
83,.,PUNCT,21.37654685974121,36288,.,PUNCT,32.83047866821289,40020
84,I,PRON,24.50305938720703,42010,Firmé,PROPN,33.33168411254883,42010
85,a,DET,23.566476821899414,42010,una,DET,33.402286529541016,42010
86,signed,VERB,26.308008193969727,42010,pila,NOUN,33.61870193481445,42010
87,of,ADP,23.434226989746094,42010,de,ADP,32.957828521728516,42010
88,stack,NOUN,20.64854621887207,42010,papeles,NOUN,32.949127197265625,42010
89,",",PUNCT,20.25289535522461,42010,",",PUNCT,30.12021255493164,42010
90,0,0,0.0,0,junté,PROPN,32.187068939208984,44140
91,0,0,0.0,0,mis,DET,34.68556594848633,44140
92,papers,NOUN,21.472888946533203,42010,efectos,NOUN,34.63874053955078,44140
93,0,0,0.0,0,personales,ADJ,36.0102653503418,44140
94,0,0,0.0,0,",",PUNCT,30.953182220458984,44140
95,0,0,0.0,0,y,CONJ,31.85919189453125,46070
96,personal,ADJ,20.485977172851562,44488,me,PRON,29.324050903320312,46070
97,gathered,VERB,20.691059112548828,44488,fui,VERB,32.24998092651367,46070
98,",",PUNCT,20.238521575927734,44488,para,ADP,35.561500549316406,46070
99,effects,NOUN,21.052688598632812,44488,encontrarme,NOUN,32.46674346923828,46070
100,0,0,0.0,0,con,ADP,34.18602752685547,46070
101,my,DET,22.037168502807617,44488,mi,DET,33.75238800048828,46070
102,0,0,0.0,0,esposa,NOUN,31.66420555114746,46070
103,and,CCONJ,20.118473052978516,46242,que,SCONJ,32.11409378051758,48030
104,left,VERB,19.927520751953125,46242,estaba,AUX,34.143638610839844,48030
105,to,PART,21.961679458618164,46242,esperándome,PROPN,32.38796615600586,48030
106,join,VERB,22.26445960998535,46242,en,ADP,34.40364074707031,48030
107,my,DET,23.01878547668457,46242,un,DET,36.03276443481445,48030
108,wife,NOUN,19.44284439086914,46242,restaurante,NOUN,32.698089599609375,48030
109,0,0,0.0,0,cerca,ADV,34.99215316772461,48030
110,0,0,0.0,0,de,ADP,31.252605438232422,48030
111,0,0,0.0,0,ahí,ADV,32.96504592895508,48030
112,0,0,0.0,0,",",PUNCT,30.953508377075195,48030
113,who,PRON,20.874605178833008,48083,completamente,ADV,32.75945281982422,50610
114,was,AUX,25.263294219970703,48083,0,0,0.0,0
115,waiting,VERB,23.839941024780273,48083,ajena,VERB,33.024078369140625,50610
116,for,ADP,20.68476676940918,48083,al,ADP,35.86991500854492,50610
117,me,PRON,24.16233253479004,48083,0,0,0.0,0
118,at,ADP,22.102453231811523,48083,0,0,0.0,0
119,a,DET,21.549577713012695,48083,0,0,0.0,0
120,nearby,ADJ,21.344181060791016,48083,0,0,0.0,0
121,restaurant,NOUN,19.97651481628418,48083,tema,NOUN,29.585845947265625,50610
122,",",PUNCT,20.715572357177734,48083,.,PUNCT,32.73817825317383,50610
123,several,ADJ,22.225040435791016,53050,Pasadas,ADJ,31.834911346435547,53050
124,Fast,ADV,20.00183868408203,53050,varias,DET,36.43061447143555,53050
125,forward,ADV,21.03913116455078,53050,horas,NOUN,33.93916702270508,53050
126,-,PUNCT,21.523908615112305,53050,",",PUNCT,29.840606689453125,53050
127,0,0,0.0,0,nos,PRON,31.52490997314453,55220
128,0,0,0.0,0,emborrachamos,VERB,34.78614044189453,55220
129,0,0,0.0,0,de,ADP,31.58034896850586,55220
130,hours,NOUN,20.431068420410156,53050,verdad,NOUN,31.74397850036621,55220
131,",",PUNCT,20.0981388092041,53050,.,PUNCT,33.05181884765625,55220
132,we,PRON,22.605749130249023,55692,(,PUNCT,28.748825073242188,57230
133,both,DET,22.928144454956055,55692,Risas,PROPN,34.865478515625,57230
134,got,VERB,21.76873207092285,55692,0,0,0.0,0
135,really,ADV,24.912269592285156,55692,0,0,0.0,0
136,silly,ADJ,21.411483764648438,55692,0,0,0.0,0
137,drunk,ADJ,19.463972091674805,55692,0,0,0.0,0
138,.,PUNCT,20.51201820373535,55692,),PUNCT,32.331058502197266,57230
139,(,PUNCT,19.138301849365234,57756,Así,ADV,32.9581413269043,60180
140,Laughter,PROPN,20.165264129638672,57756,más,ADV,36.217552185058594,60180
141,),PUNCT,20.96363067626953,57756,de,ADP,32.739601135253906,60180
142,0,0,0.0,0,40,NUM,35.55839538574219,60180
143,0,0,0.0,0,años,NOUN,37.03540802001953,60180
144,0,0,0.0,0,de,ADP,32.26026916503906,60180
145,0,0,0.0,0,empleo,NOUN,32.75880432128906,60180
146,0,0,0.0,0,continuo,ADJ,33.24203872680664,60180
147,So,ADV,19.035404205322266,60551,en,ADP,34.350303649902344,65060
148,40,NUM,19.51288604736328,60551,varias,DET,36.1976432800293,65060
149,years,NOUN,21.872745513916016,60551,empresas,NOUN,35.55196762084961,65060
150,",",PUNCT,19.54178237915039,60551,",",PUNCT,31.377399444580078,65060
151,plus,CCONJ,22.451831817626953,60551,grandes,ADJ,33.710166931152344,65060
152,of,ADP,22.32930564880371,60551,y,CONJ,32.7154426574707,65060
153,continuous,ADJ,19.375577926635742,60551,pequeñas,ADJ,34.127079010009766,65060
154,employment,NOUN,17.836027145385742,60551,",",PUNCT,30.78877830505371,65060
155,for,ADP,20.631933212280273,65130,se,PRON,32.89866256713867,67220
156,a,DET,23.993972778320312,65130,habían,AUX,35.185585021972656,67220
157,variety,NOUN,20.608232498168945,65130,acabado,VERB,33.81903839111328,67220
158,of,ADP,23.60926628112793,65130,0,0,0.0,0
159,companies,NOUN,20.35635757446289,65130,0,0,0.0,0
160,",",PUNCT,21.895944595336914,65130,.,PUNCT,34.89713668823242,67220
161,large,ADJ,21.329879760742188,65130,0,0,0.0,0
162,and,CCONJ,23.918926239013672,65130,0,0,0.0,0
163,small,ADJ,18.887760162353516,65130,0,0,0.0,0
164,",",PUNCT,21.157058715820312,65130,0,0,0.0,0
165,was,AUX,22.018295288085938,67590,Tenía,VERB,33.95711135864258,69020
166,over,ADV,17.326030731201172,67590,una,DET,33.979888916015625,69020
167,0,0,0.0,0,buena,ADJ,36.135719299316406,69020
168,0,0,0.0,0,red,NOUN,34.7305908203125,69020
169,.,PUNCT,22.491344451904297,67590,",",PUNCT,29.815526962280273,69020
170,0,0,0.0,0,una,DET,33.96568298339844,69020
171,0,0,0.0,0,buena,ADJ,35.59669494628906,69020
172,0,0,0.0,0,reputación,NOUN,33.19264221191406,69020
173,0,0,0.0,0,...,PUNCT,30.13634490966797,69020
174,I,PRON,24.389867782592773,69050,creí,VERB,33.561866760253906,72040
175,had,AUX,24.77008819580078,69050,estaría,AUX,37.07414245605469,72040
176,a,DET,21.196243286132812,69050,que,SCONJ,31.031002044677734,72040
177,good,ADJ,20.565702438354492,69050,bien,ADV,34.69965744018555,72040
178,a,DET,20.664268493652344,69050,0,0,0.0,0
179,network,NOUN,20.03061866760254,69050,0,0,0.0,0
180,",",PUNCT,21.024721145629883,69050,.,PUNCT,32.16627883911133,72040
181,a,DET,22.582012176513672,69050,0,0,0.0,0
182,good,ADJ,18.711429595947266,69050,0,0,0.0,0
183,reputation,NOUN,19.957698822021484,69050,0,0,0.0,0
184,--,PUNCT,20.331729888916016,69050,0,0,0.0,0
185,I,PRON,24.396364212036133,72071,0,0,0.0,0
186,thought,VERB,24.180330276489258,72071,ingeniero,NOUN,30.108829498291016,74180
187,I,PRON,23.756885528564453,72071,en,ADP,34.419654846191406,74180
188,'d,VERB,22.734071731567383,72071,fabricación,NOUN,29.459205627441406,74180
189,be,AUX,23.10520362854004,72071,Era,AUX,35.82078552246094,74180
190,just,ADV,26.606542587280273,72071,y,CONJ,34.03356170654297,74180
191,fine,ADJ,21.268587112426758,72071,envasado,ADJ,34.5335578918457,74180
192,.,PUNCT,21.609569549560547,72071,.,PUNCT,33.83024597167969,74180
193,I,PRON,24.40940284729004,74600,Tenía,VERB,34.68960952758789,79020
194,had,AUX,24.633705139160156,74600,0,0,0.0,0
195,a,DET,23.120023727416992,74600,un,DET,36.17890548706055,79020
196,good,ADJ,20.61809539794922,74600,buen,ADJ,36.55521011352539,79020
197,background,NOUN,19.909757614135742,74600,historial,NOUN,33.787620544433594,79020
198,.,PUNCT,20.84917449951172,74600,.,PUNCT,32.55162811279297,79020
199,was,AUX,20.906766891479492,81010,La,DET,35.41980743408203,81010
200,Retirement,NOUN,22.601123809814453,81010,jubilación,NOUN,30.938358306884766,81010
201,",",PUNCT,20.766719818115234,81010,",",PUNCT,30.594961166381836,81010
202,like,SCONJ,19.702735900878906,81010,como,SCONJ,34.07893753051758,81010
203,for,ADP,19.31052017211914,81010,para,ADP,33.16862487792969,81010
204,many,ADJ,22.1231632232666,81010,muchas,DET,36.1417236328125,81010
205,people,NOUN,23.155027389526367,81010,personas,NOUN,36.601139068603516,81010
206,",",PUNCT,20.764537811279297,81010,",",PUNCT,31.193405151367188,81010
207,so,ADV,19.21387481689453,81010,simplemente,ADV,35.227943420410156,84110
208,0,0,0.0,0,no,ADV,31.888397216796875,84110
209,0,0,0.0,0,era,AUX,35.45885467529297,84110
210,0,0,0.0,0,una,DET,34.71173095703125,84110
211,0,0,0.0,0,opción,NOUN,31.63113784790039,84110
212,0,0,0.0,0,para,ADP,33.87175369262695,84110
213,0,0,0.0,0,mí,PRON,33.92528533935547,84110
214,0,0,0.0,0,.,PUNCT,32.7412109375,84110
215,simply,ADV,22.224342346191406,84343,0,0,0.0,0
216,not,PART,21.035966873168945,84343,0,0,0.0,0
217,an,DET,22.19739532470703,84343,alguna,DET,33.46385192871094,86100
218,option,NOUN,20.185791015625,84343,pasión,NOUN,33.902801513671875,86100
219,for,ADP,23.001375198364258,84343,sin,ADP,34.23003005981445,86100
220,me,PRON,23.689077377319336,84343,0,0,0.0,0
221,",",PUNCT,20.682201385498047,84343,.,PUNCT,32.487911224365234,86100
222,0,0,0.0,0,Y,CONJ,33.79043960571289,91460
223,whatsoever,ADV,20.15549659729004,89160,entonces,ADV,36.54662322998047,91460
224,0,0,0.0,0,se,PRON,31.692859649658203,91460
225,0,0,0.0,0,empezó,AUX,36.31219482421875,91460
226,without,ADP,20.42560577392578,89160,a,ADP,32.65485382080078,91460
227,0,0,0.0,0,gestar,VERB,33.16658020019531,91460
228,any,DET,24.144079208374023,89160,una,DET,32.67138671875,91460
229,passion,NOUN,21.459190368652344,89160,idea,NOUN,29.861764907836914,91460
230,.,PUNCT,22.202402114868164,89160,",",PUNCT,30.144084930419922,91460
231,And,CCONJ,20.99275016784668,91779,a,ADP,34.094722747802734,95130
232,then,ADV,21.616073608398438,91779,partir,NOUN,34.92217254638672,95130
233,began,VERB,24.64203453063965,91779,de,ADP,32.03091049194336,95130
234,an,DET,22.1499080657959,91779,mi,DET,34.5838737487793,95130
235,idea,NOUN,21.996620178222656,91779,preocupación,NOUN,30.754947662353516,95130
236,to,PART,23.64139747619629,91779,por,ADP,31.376930236816406,95130
237,take,VERB,25.239566802978516,91779,nuestro,DET,31.855072021484375,95130
238,root,NOUN,21.078720092773438,91779,ambiente,NOUN,30.477754592895508,95130
239,",",PUNCT,21.283344268798828,91779,.,PUNCT,31.575868606567383,95130
240,born,VERB,22.476037979125977,95431,Quería,VERB,34.07181930541992,99470
241,from,ADP,21.93678092956543,95431,construir,VERB,34.724143981933594,99470
242,my,DET,20.978471755981445,95431,mi,DET,32.44502639770508,99470
243,concern,NOUN,19.596656799316406,95431,propio,ADJ,32.545955657958984,99470
244,for,ADP,22.551076889038086,95431,0,0,0.0,0
245,our,DET,22.11566162109375,95431,0,0,0.0,0
246,environment,NOUN,21.048269271850586,95431,negocio,NOUN,30.38606071472168,99470
247,.,PUNCT,21.207515716552734,95431,",",PUNCT,29.226652145385742,99470
248,designing,VERB,20.9345760345459,102010,diseñar,VERB,35.12522506713867,102010
249,and,CCONJ,23.26604652404785,102010,y,CONJ,33.28728103637695,102010
250,manufacturing,VERB,20.361583709716797,102010,fabricar,VERB,36.3760871887207,102010
251,from,ADP,21.48509407043457,102010,con,ADP,32.597530364990234,102010
252,biodegradable,ADJ,17.50092315673828,102010,residuos,ADJ,35.083553314208984,102010
253,packaging,NOUN,20.5760440826416,102010,embalajes,NOUN,36.44720458984375,102010
254,0,0,0.0,0,biodegradables,ADJ,34.86844253540039,102010
255,--,PUNCT,20.7780818939209,102010,",",PUNCT,29.64031982421875,102010
256,0,0,0.0,0,con,ADP,33.00397491455078,106130
257,waste,NOUN,17.999710083007812,102010,papel,NOUN,28.56807518005371,106130
258,0,0,0.0,0,y,CONJ,35.00949478149414,106130
259,0,0,0.0,0,residuos,NOUN,33.826011657714844,106130
