,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,live,VERB,23.07649803161621,12924,Vivo,VERB,34.63652038574219,12924
1,in,ADP,21.06682586669922,12924,en,ADP,30.87310218811035,12924
2,I,PRON,24.694990158081055,12924,Washington,PROPN,36.165714263916016,12924
3,Washington,PROPN,22.695505142211914,12924,D.C.,PROPN,36.46187973022461,12924
4,",",PUNCT,21.171323776245117,12924,",",PUNCT,30.111783981323242,12924
5,but,CCONJ,20.426816940307617,17112,pero,CONJ,34.11369705200195,17112
6,grew,VERB,25.57384490966797,17112,crecí,VERB,34.64793395996094,17112
7,up,ADP,18.96367835998535,17112,en,ADP,31.83287811279297,17112
8,D.C.,PROPN,23.83283042907715,12924,Sindhekela,PROPN,38.001712799072266,17112
9,",",PUNCT,19.47832679748535,12924,",",PUNCT,30.347421646118164,17112
10,I,PRON,26.536418914794922,17112,una,DET,33.388484954833984,17112
11,village,NOUN,20.343265533447266,17112,aldea,NOUN,31.273286819458008,17112
12,in,ADP,19.545879364013672,17112,en,ADP,31.113359451293945,17112
13,Sindhekela,PROPN,21.079946517944336,17112,Orissa,PROPN,37.515052795410156,17112
14,",",PUNCT,22.04940414428711,17112,",",PUNCT,31.37668228149414,17112
15,Orissa,PROPN,21.77225685119629,17112,India,PROPN,33.24248504638672,17112
16,",",PUNCT,22.1734619140625,17112,.,PUNCT,31.45570945739746,17112
17,a,DET,22.947498321533203,17112,Mi,DET,34.485477447509766,24479
18,father,NOUN,21.324024200439453,24479,padre,NOUN,33.30502700805664,24479
19,in,ADP,19.941686630249023,17112,trabajaba,VERB,35.128421783447266,24479
20,in,ADP,20.628061294555664,17112,para,ADP,34.12370681762695,24479
21,My,DET,24.32105255126953,24479,el,DET,33.2100715637207,24479
22,India,PROPN,23.496400833129883,17112,gobierno,PROPN,32.1103630065918,24479
23,.,PUNCT,19.128904342651367,17112,.,PUNCT,31.738800048828125,24479
24,a,DET,24.128503799438477,24479,Mi,DET,32.99055099487305,28973
25,government,NOUN,19.836952209472656,24479,madre,NOUN,32.65306091308594,28973
26,was,AUX,24.32488441467285,24479,no,ADV,33.11758804321289,28973
27,worker,NOUN,21.11461639404297,24479,sabía,VERB,36.41006851196289,28973
28,could,VERB,24.908510208129883,28973,leer,VERB,37.43220901489258,28973
29,My,DET,23.400880813598633,28973,ni,CONJ,33.26618194580078,28973
30,read,VERB,24.0579776763916,28973,escribir,VERB,35.24964141845703,28973
31,.,PUNCT,23.48249053955078,24479,",",PUNCT,30.265287399291992,28973
32,not,PART,25.845352172851562,28973,pero,CONJ,33.03342819213867,32539
33,or,CCONJ,22.280986785888672,28973,solía,AUX,32.8171501159668,32539
34,mother,NOUN,21.48838233947754,28973,decirme,NOUN,29.684764862060547,32539
35,write,VERB,20.727371215820312,28973,:,PUNCT,32.736297607421875,32539
36,",",PUNCT,21.48845863342285,28973,"""",PUNCT,30.60042381286621,35858
37,but,CCONJ,21.24113655090332,28973,Un,DET,33.956443786621094,35858
38,she,PRON,20.695796966552734,28973,rey,NOUN,32.44218063354492,35858
39,would,VERB,24.1420841217041,32859,es,AUX,36.211341857910156,35858
40,me,PRON,25.553234100341797,32859,solo,ADV,37.14649200439453,35858
41,say,VERB,24.149410247802734,32859,alabado,VERB,32.587921142578125,35858
42,to,ADP,21.934650421142578,32859,en,ADP,34.23827362060547,35858
43,",",PUNCT,21.7938232421875,32859,su,DET,32.94414520263672,35858
44,A,DET,22.786272048950195,32859,propio,DET,33.190162658691406,35858
45,king,NOUN,21.481904983520508,32859,reino,NOUN,32.60076141357422,35858
46,"""",PUNCT,21.88597869873047,32859,.,PUNCT,31.65296745300293,35858
47,his,DET,22.347557067871094,32859,Un,DET,33.88120651245117,40123
48,only,ADV,22.97134017944336,32859,poeta,NOUN,32.04202651977539,40123
49,is,AUX,24.430152893066406,32859,es,AUX,33.663963317871094,40123
50,worshipped,VERB,23.14102554321289,32859,respetado,VERB,35.636444091796875,40123
51,in,ADP,22.341989517211914,32859,en,ADP,34.085872650146484,40123
52,A,DET,22.172286987304688,38303,todos,DET,32.621925354003906,40123
53,kingdom,NOUN,20.065507888793945,38303,partes,NOUN,33.100284576416016,40123
54,.,PUNCT,21.590959548950195,38303,"""",PUNCT,31.92652130126953,40123
55,.,PUNCT,21.29032325744629,38303,.,PUNCT,33.583396911621094,40123
56,everywhere,ADV,21.247095108032227,38303,Así,ADV,35.69489288330078,44441
57,is,AUX,24.407264709472656,38303,que,SCONJ,30.167085647583008,44441
58,respected,VERB,22.36609649658203,38303,decidí,VERB,33.219940185546875,44441
59,be,AUX,24.741008758544922,44441,ser,AUX,34.292694091796875,44441
60,poet,NOUN,20.873214721679688,38303,poeta,NOUN,32.413307189941406,44441
61,So,ADV,17.565778732299805,44441,de,ADP,33.15752410888672,44441
62,own,ADJ,21.41016387939453,38303,grande,ADJ,31.641586303710938,44441
63,"""",PUNCT,21.30588150024414,38303,.,PUNCT,34.29742431640625,44441
64,wanted,VERB,24.752843856811523,44441,Pero,CONJ,31.282459259033203,47895
65,to,PART,21.433103561401367,44441,por,ADP,31.35099220275879,47895
66,I,PRON,24.925453186035156,44441,poco,PRON,34.06047058105469,47895
67,when,ADV,22.184568405151367,44441,no,ADV,30.684173583984375,47895
68,grew,VERB,26.102153778076172,44441,voy,VERB,32.58144760131836,47895
69,poet,NOUN,19.709077835083008,44441,a,ADP,32.907527923583984,47895
70,a,DET,21.540733337402344,44441,la,DET,34.176551818847656,47895
71,I,PRON,26.038166046142578,44441,universidad,PROPN,32.78841781616211,47895
72,up,ADP,20.64632225036621,44441,hasta,ADP,36.162357330322266,51897
