,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Melati,PROPN,20.242238998413086,12580,Melati,PROPN,34.86705780029297,12580
1,Wijsen,NOUN,18.985034942626953,12580,Wijsen,PROPN,35.0743522644043,12580
2,:,PUNCT,19.81732749938965,12580,:,PUNCT,28.053964614868164,12580
3,Bali,NOUN,19.215862274169922,12580,Bali,PROPN,34.523983001708984,12580
4,--,PUNCT,20.421030044555664,12580,",",PUNCT,30.943971633911133,12580
5,island,NOUN,21.240371704101562,12580,isla,NOUN,30.393049240112305,12580
6,of,ADP,21.754310607910156,12580,de,ADP,32.0194091796875,12580
7,0,0,0.0,0,los,DET,35.43080520629883,12580
8,gods,NOUN,20.357759475708008,12580,dioses,NOUN,35.99050521850586,12580
9,.,PUNCT,19.890247344970703,12580,.,PUNCT,33.25,12580
10,Isabel,PROPN,21.51944351196289,17301,Isabel,PROPN,32.802452087402344,17301
11,Wijsen,PROPN,18.617977142333984,17301,Wijsen,PROPN,34.6794319152832,17301
12,:,PUNCT,17.421863555908203,17301,:,PUNCT,29.834686279296875,17301
13,A,DET,21.033374786376953,17301,Un,DET,34.11420822143555,17301
14,green,ADJ,20.572433471679688,17301,verde,ADJ,33.15596389770508,17301
15,paradise,NOUN,19.898847579956055,17301,paraíso,NOUN,32.204833984375,17301
16,.,PUNCT,21.750886917114258,17301,.,PUNCT,34.31007385253906,17301
17,MW,PROPN,20.088882446289062,21139,MW,PROPN,30.39962387084961,21139
18,:,PUNCT,20.359691619873047,21139,:,PUNCT,30.63473129272461,21139
19,Or,CCONJ,19.84214210510254,21139,O,CONJ,31.749502182006836,21139
20,...,PUNCT,16.852293014526367,21139,...,PUNCT,28.478532791137695,21139
21,a,DET,22.27197265625,22576,un,DET,34.75612258911133,22576
22,paradise,PROPN,20.356460571289062,22576,paraíso,NOUN,31.879018783569336,22576
23,lost,VERB,19.1036434173584,22576,perdido,ADJ,32.23440933227539,22576
24,.,PUNCT,20.448902130126953,22576,.,PUNCT,34.078941345214844,22576
25,Bali,NOUN,18.7246036529541,25075,Bali,PROPN,33.55497360229492,25075
26,:,PUNCT,18.962831497192383,25075,",",PUNCT,30.20577049255371,25075
27,island,NOUN,20.32716941833496,26696,isla,NOUN,31.821523666381836,26696
28,of,ADP,21.402311325073242,26696,de,ADP,30.29033660888672,26696
29,garbage,NOUN,19.934797286987305,26696,basura,NOUN,31.012510299682617,26696
30,.,PUNCT,21.15495491027832,26696,la,DET,32.4420280456543,26696
31,IW,PROPN,20.60169792175293,29707,0,0,0.0,0
32,:,PUNCT,19.93698501586914,29707,.,PUNCT,33.735965728759766,26696
33,In,ADP,19.51034164428711,29707,0,0,0.0,0
34,Bali,PROPN,20.949111938476562,29707,0,0,0.0,0
35,",",PUNCT,21.860145568847656,29707,0,0,0.0,0
36,we,PRON,24.317045211791992,30883,IW,INTJ,29.267223358154297,30303
37,0,0,0.0,0,:,PUNCT,33.3616828918457,30303
38,of,ADP,23.638154983520508,30883,En,ADP,29.86264991760254,30303
39,cubic,ADJ,21.374378204345703,30883,Bali,PROPN,36.2463493347168,30303
40,meters,NOUN,21.663103103637695,30883,",",PUNCT,30.874752044677734,30303
41,generate,VERB,22.276823043823242,30883,generamos,VERB,32.50808334350586,30303
42,680,NUM,22.456876754760742,30883,680,NUM,33.50875473022461,30303
43,0,0,0.0,0,m³,PROPN,31.846214294433594,30303
44,a,DET,22.766761779785156,30883,de,ADP,30.607807159423828,30303
45,day,NOUN,21.069171905517578,30883,basura,NOUN,29.548545837402344,30303
46,0,0,0.0,0,de,ADP,31.279056549072266,30303
47,garbage,NOUN,20.626192092895508,30883,plástico,NOUN,29.439054489135742,30303
48,0,0,0.0,0,al,ADP,35.764408111572266,30303
49,plastic,NOUN,17.826562881469727,30883,día,NOUN,31.262943267822266,30303
50,.,PUNCT,21.453554153442383,30883,.,PUNCT,31.834726333618164,30303
51,That,DET,19.60310935974121,37801,Eso,PRON,32.846900939941406,37801
52,'s,AUX,22.574472427368164,37801,significa,VERB,34.64659881591797,37801
53,about,ADV,21.078380584716797,37801,alrededor,ADV,36.119056701660156,37801
54,0,0,0.0,0,de,ADP,31.587392807006836,37801
55,a,DET,20.805578231811523,37801,un,DET,36.84732437133789,37801
56,building,NOUN,21.627826690673828,37801,edificio,NOUN,31.657840728759766,37801
