,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,be,AUX,23.52998161315918,15260,Encantado,ADJ,32.6847038269043,15260
1,to,PART,22.163349151611328,15260,de,ADP,32.53689193725586,15260
2,Delighted,VERB,20.526514053344727,15260,estar,VERB,35.91120910644531,15260
3,here,ADV,20.425100326538086,15260,aquí,ADV,36.67182159423828,15260
4,and,CCONJ,21.61248207092285,18260,y,CONJ,34.02235794067383,18260
5,to,PART,22.116060256958008,18260,hablarles,ADJ,34.14384078979492,18260
6,talk,VERB,24.443695068359375,18260,0,0,0.0,0
7,to,ADP,20.139339447021484,18260,de,ADP,30.991010665893555,18260
8,you,PRON,24.08559226989746,18260,que,PRON,33.49057388305664,18260
9,about,ADP,20.7907772064209,18260,es,AUX,35.08197784423828,18260
10,a,DET,20.878620147705078,18260,un,DET,37.24073791503906,18260
11,subject,ADJ,20.881633758544922,18260,querido,ADJ,34.62029266357422,18260
12,dear,NOUN,18.918724060058594,18260,tema,NOUN,32.48038864135742,18260
13,to,ADP,21.869239807128906,18260,para,ADP,34.25629425048828,18260
14,my,DET,22.7973575592041,18260,mí,PRON,32.92597198486328,18260
15,heart,NOUN,19.69287109375,18260,muy,ADV,38.430538177490234,18260
16,",",PUNCT,21.535825729370117,18260,",",PUNCT,29.194284439086914,18260
17,0,0,0.0,0,que,SCONJ,33.00468826293945,20260
18,is,AUX,23.895994186401367,20260,es,AUX,33.481964111328125,20260
19,which,DET,20.60454559326172,20260,la,DET,32.388057708740234,20260
20,beauty,NOUN,20.374143600463867,20260,belleza,NOUN,31.996166229248047,20260
21,.,PUNCT,21.24294662475586,20260,.,PUNCT,32.915550231933594,20260
22,I,PRON,24.971242904663086,23260,Practico,VERB,31.072975158691406,23260
23,the,DET,23.326129913330078,23260,la,DET,32.967594146728516,23260
24,philosophy,NOUN,19.342741012573242,23260,filosofía,NOUN,32.26625442504883,23260
25,do,AUX,25.001636505126953,23260,del,ADP,35.48406982421875,23260
26,art,NOUN,19.304330825805664,23260,arte,NOUN,31.342529296875,23260
27,",",PUNCT,22.64727210998535,23260,",",PUNCT,30.81660270690918,23260
28,of,ADP,23.74707794189453,23260,de,ADP,32.76934051513672,23260
29,0,0,0.0,0,la,DET,32.6899299621582,23260
