,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,My,DET,23.855247497558594,12560,Mi,DET,31.91083335876465,12560
1,name,NOUN,20.717288970947266,12560,nombre,NOUN,32.088623046875,12560
2,is,AUX,23.275671005249023,12560,es,AUX,30.12796974182129,12560
3,Mwende,PROPN,19.691333770751953,12560,Mwnede,PROPN,37.136383056640625,12560
4,Katwiwa,PROPN,20.400653839111328,12560,Katwiwa,PROPN,38.16856002807617,12560
5,and,CCONJ,19.97210121154785,15680,y,CONJ,31.931488037109375,15680
6,I,PRON,25.702098846435547,15680,poetisa,ADJ,33.0926513671875,15680
7,am,AUX,22.952434539794922,15680,soy,AUX,36.24406433105469,15680
8,a,DET,20.956096649169922,15680,0,0,0.0,0
9,poet,NOUN,17.220901489257812,15680,0,0,0.0,0
10,",",PUNCT,21.1101131439209,15680,",",PUNCT,29.200885772705078,15680
11,a,DET,21.275615692138672,17160,0,0,0.0,0
12,Pan,ADJ,21.18938446044922,17160,0,0,0.0,0
13,-,NOUN,17.66057014465332,17160,0,0,0.0,0
14,Africanist,PROPN,19.710111618041992,17160,panafricana,PROPN,33.751075744628906,17160
15,and,CCONJ,18.98736000061035,18600,y,CONJ,34.20409393310547,18600
16,freedom,NOUN,19.15159034729004,18600,defensora,NOUN,30.792526245117188,18600
17,0,0,0.0,0,de,ADP,29.44140625,18600
18,a,DET,21.716598510742188,18600,la,DET,32.97789001464844,18600
19,fighter,NOUN,19.08683204650879,18600,libertad,NOUN,31.171873092651367,18600
20,.,PUNCT,20.942424774169922,18600,.,PUNCT,32.986839294433594,18600
21,I,PRON,23.75507164001465,21000,Tenía,VERB,32.38701248168945,21000
22,was,AUX,22.888134002685547,21000,0,0,0.0,0
23,23,NUM,24.130769729614258,21000,23,NUM,33.68643569946289,21000
24,years,NOUN,23.160703659057617,21000,años,NOUN,36.30424118041992,21000
25,old,ADJ,21.748394012451172,21000,0,0,0.0,0
26,when,ADV,22.965961456298828,22400,cuando,SCONJ,35.00966262817383,22400
27,I,PRON,23.438251495361328,22400,por,ADP,32.883056640625,22400
28,first,ADV,22.651187896728516,22400,primera,ADJ,34.12983322143555,22400
29,heard,VERB,22.903545379638672,22400,vez,NOUN,31.074831008911133,22400
30,Reproductive,PROPN,20.65635871887207,22400,escuché,PROPN,30.31032943725586,22400
31,about,ADP,19.963491439819336,22400,sobre,ADP,33.68913650512695,22400
32,Justice,PROPN,21.650432586669922,22400,la,DET,32.36653137207031,22400
33,0,0,0.0,0,justicia,NOUN,34.096561431884766,22400
34,0,0,0.0,0,reproductiva,ADJ,35.79914093017578,22400
35,.,PUNCT,20.224912643432617,22400,.,PUNCT,32.15079116821289,22400
36,working,VERB,23.552875518798828,25440,Trabajaba,VERB,34.45524978637695,25440
