,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,About,ADV,20.589902877807617,25626,Hace,AUX,36.08637619018555,25000
1,10,NUM,23.919626235961914,25626,10,NUM,35.17075729370117,25000
2,years,NOUN,24.830162048339844,25626,años,NOUN,35.04981231689453,25000
3,ago,ADV,20.42620277404785,25626,después,ADV,36.335086822509766,29000
4,",",PUNCT,22.627845764160156,25626,",",PUNCT,31.775634765625,25000
5,I,PRON,24.991315841674805,25626,unos,PRON,31.368282318115234,25000
6,took,VERB,25.6888370513916,25626,emprendí,VERB,33.37547302246094,25000
7,on,ADP,20.511930465698242,25626,de,ADP,32.40900802612305,25000
8,the,DET,20.91726303100586,25626,la,DET,34.51176452636719,25000
9,task,NOUN,19.201583862304688,25626,tarea,NOUN,31.460439682006836,25000
10,to,PART,21.22056770324707,25626,desarrollo,NOUN,32.824337005615234,25000
11,teach,VERB,24.033082962036133,25626,enseñar,VERB,34.369468688964844,25000
12,global,ADJ,20.95806884765625,25626,global,ADJ,33.10367202758789,25000
13,development,NOUN,19.33262062072754,25626,estudiantes,NOUN,36.185874938964844,29000
14,to,ADP,21.733112335205078,30005,a,ADP,32.35546875,29000
15,Swedish,ADJ,21.750383377075195,30005,suecos,ADJ,36.939151763916016,29000
16,undergraduate,ADJ,22.460966110229492,30005,universitarios,ADJ,33.99317932128906,29000
17,students,NOUN,22.714387893676758,30005,Fue,AUX,30.952627182006836,29000
18,.,PUNCT,21.197065353393555,30005,.,PUNCT,33.54255294799805,29000
19,That,DET,18.987648010253906,32175,las,DET,33.26051330566406,33000
20,was,AUX,22.177650451660156,32175,haber,AUX,38.64225387573242,29000
21,after,ADP,20.959999084472656,32175,de,ADP,30.94507598876953,29000
22,having,VERB,25.06160545349121,32175,pasado,VERB,34.74567794799805,29000
23,spent,VERB,20.436588287353516,32175,estudiando,VERB,33.885677337646484,33000
24,about,ADP,21.785560607910156,32175,unos,PRON,31.07023811340332,33000
25,20,NUM,24.4317569732666,32175,20,NUM,35.562843322753906,33000
26,years,NOUN,22.58935546875,32175,años,NOUN,33.938255310058594,33000
27,",",PUNCT,19.927560806274414,32175,hambrunas,NOUN,35.198429107666016,33000
28,together,ADV,21.230823516845703,35080,en,ADP,32.80881118774414,33000
29,with,ADP,22.102872848510742,35080,con,ADP,32.3979377746582,33000
30,African,ADJ,23.467979431152344,35080,africanas,ADJ,35.576202392578125,33000
31,institutions,NOUN,21.260353088378906,35080,instituciones,NOUN,34.627986907958984,33000
32,",",PUNCT,20.08791732788086,35080,",",PUNCT,30.962154388427734,33000
33,studying,VERB,22.537065505981445,36981,esperaba,VERB,36.11640930175781,37000
34,hunger,NOUN,21.296104431152344,36981,lo,DET,34.72215270996094,37000
35,in,ADP,20.989973068237305,36981,por,ADP,33.46201705932617,37000
36,Africa,PROPN,25.018817901611328,36981,África,PROPN,35.959468841552734,33000
37,.,PUNCT,20.36807632446289,36981,se,PRON,31.81365203857422,37000
38,So,ADV,18.105270385742188,38603,que,PRON,33.799964904785156,37000
39,I,PRON,24.703859329223633,38603,yo,PRON,34.77006149291992,37000
40,was,AUX,24.628263473510742,38603,que,SCONJ,31.917205810546875,37000
41,sort,ADV,22.379383087158203,38603,sobre,ADP,31.436763763427734,37000
42,of,ADV,21.065744400024414,38603,algo,PRON,34.684974670410156,37000
43,expected,VERB,20.179880142211914,38603,supiera,VERB,36.284358978271484,37000
44,to,PART,23.713621139526367,38603,el,DET,34.35383224487305,37000
45,know,VERB,24.0849666595459,38603,.,PUNCT,31.812665939331055,37000
