,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,ADV,20.28862762451172,12798,Aquí,ADV,34.76341247558594,12825
1,",",PUNCT,19.860891342163086,12798,va,VERB,32.543556213378906,12825
2,here,ADV,22.49281120300293,12798,bien,ADV,37.3217658996582,15253
3,'s,AUX,20.48638343811035,12798,podremos,AUX,32.574947357177734,15253
4,a,DET,22.842395782470703,12798,una,DET,35.157020568847656,12825
5,prediction,NOUN,20.413846969604492,12798,predicción,NOUN,32.93153381347656,12825
6,.,PUNCT,21.35045051574707,12798,:,PUNCT,33.079933166503906,12825
7,If,SCONJ,22.152673721313477,15346,si,SCONJ,33.384300231933594,15253
8,we,PRON,25.81095314025879,15346,ciudades,NOUN,34.92481994628906,15253
9,get,VERB,25.437240600585938,15346,encaminamos,VERB,32.98575210571289,15253
10,our,DET,23.12287139892578,15346,nuestras,DET,33.39982986450195,15253
11,cities,NOUN,22.60887908935547,15346,siglo,NOUN,33.42009735107422,15253
12,right,ADJ,20.87940788269043,15346,al,ADP,34.69184494018555,15253
13,",",PUNCT,20.599536895751953,15346,.,PUNCT,33.235389709472656,15253
14,we,PRON,23.942935943603516,17586,XXI,NOUN,34.135948181152344,15253
15,just,ADV,24.13823890686035,17586,mal,ADV,33.15312957763672,22365
16,might,VERB,24.02614402770996,17586,Si,SCONJ,33.878787994384766,22365
17,survive,VERB,24.279970169067383,17586,sobrevivir,VERB,35.88706970214844,15253
18,the,DET,21.665420532226562,17586,las,DET,32.068355560302734,22365
19,21st,ADJ,19.246213912963867,17586,acabados,ADJ,34.98574447631836,22365
20,century,NOUN,19.610164642333984,17586,encaminamos,NOUN,32.877079010009766,22365
21,.,PUNCT,20.700769424438477,17586,.,PUNCT,32.898616790771484,22365
22,We,PRON,25.03205108642578,22579,estamos,AUX,33.972530364990234,22365
23,get,VERB,24.864704132080078,22579,Las,DET,31.384206771850586,25977
24,them,PRON,23.097745895385742,22579,ciudades,NOUN,35.27497863769531,25977
25,wrong,ADJ,22.41613006591797,22579,extraordinario,ADJ,33.68838119506836,25977
26,",",PUNCT,20.931825637817383,22579,el,DET,34.23810958862305,25977
27,and,CCONJ,21.23849868774414,24094,más,ADV,34.04887008666992,25977
28,we,PRON,24.31075096130371,24094,experimento,NOUN,31.66427993774414,25977
29,'re,AUX,23.543577194213867,24094,son,AUX,34.732017517089844,25977
30,done,VERB,22.066059112548828,24094,inventado,VERB,35.32882308959961,29602
31,for,ADP,18.850130081176758,24094,en,ADP,33.12213897705078,25977
32,.,PUNCT,19.766075134277344,24094,.,PUNCT,34.057273864746094,29602
33,Cities,NOUN,22.711519241333008,26307,ingeniería,NOUN,32.136722564697266,25977
34,are,AUX,23.90437126159668,26307,hayamos,AUX,29.27943229675293,29602
35,the,DET,24.446786880493164,26307,los,DET,35.60297393798828,29602
36,most,ADV,21.465696334838867,26307,que,SCONJ,31.519577026367188,29602
37,extraordinary,ADJ,21.580881118774414,26307,social,ADJ,33.74782943725586,25977
38,experiment,NOUN,19.367326736450195,26307,humanos,NOUN,35.609615325927734,29602
39,in,ADP,20.3775634765625,26307,en,ADP,34.53189468383789,31702
40,social,PROPN,19.523273468017578,26307,vives,VERB,34.10775375366211,31702
41,engineering,NOUN,20.078922271728516,26307,ciudad,NOUN,33.673362731933594,31702
42,that,SCONJ,20.354740142822266,29655,Si,SCONJ,33.36927795410156,31702
43,we,PRON,20.939672470092773,29655,una,DET,35.19745635986328,31702
44,humans,NOUN,23.29791831970215,29655,barrios,NOUN,35.77341842651367,31702
45,have,AUX,22.424720764160156,29655,",",PUNCT,32.335235595703125,31702
46,ever,ADV,25.837261199951172,29655,más,ADV,37.918087005615234,31702
47,come,VERB,20.99207878112793,29655,incluyendo,VERB,33.105281829833984,31702
48,up,ADP,21.286548614501953,29655,los,DET,36.383827209472656,31702
49,with,ADP,20.85218620300293,29655,pobres,ADJ,35.3406982421875,31702
50,.,PUNCT,21.956823348999023,29655,",",PUNCT,31.142169952392578,31702
51,If,SCONJ,21.940919876098633,32006,que,SCONJ,32.759822845458984,34954
52,you,PRON,24.584623336791992,32006,donde,PRON,33.09982681274414,34954
53,live,VERB,22.251096725463867,32006,vive,VERB,36.40889358520508,34954
54,in,ADP,22.016721725463867,32006,es,AUX,34.47430419921875,34954
55,a,DET,24.03828239440918,32006,el,DET,35.60774230957031,34954
56,city,NOUN,19.55225944519043,32006,20,NUM,32.61979675292969,34954
57,",",PUNCT,21.172725677490234,32006,%,SYM,32.12980651855469,34954
58,and,CCONJ,21.44408416748047,33378,de,ADP,33.561309814453125,34954
59,even,ADV,19.714906692504883,33378,más,ADV,37.367034912109375,38270
