,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,When,ADV,22.69524383544922,12160,Cuando,SCONJ,34.457977294921875,12160
1,arrived,VERB,22.90427589416504,12160,llegué,VERB,34.08610534667969,12160
2,first,ADV,22.052108764648438,12160,a,ADP,32.539554595947266,12160
3,Zimbabwe,PROPN,21.1462345123291,12160,Zimbabwe,PROPN,36.96867752075195,12160
4,in,ADP,23.083078384399414,12160,por,ADP,33.84903335571289,12160
5,beautiful,ADJ,20.125991821289062,12160,primera,ADJ,33.862144470214844,12160
6,I,PRON,23.576112747192383,12160,vez,NOUN,30.48679542541504,12160
7,",",PUNCT,19.93134117126465,12160,",",PUNCT,29.753395080566406,12160
8,it,PRON,24.891695022583008,15160,me,PRON,32.83070755004883,15160
9,understand,VERB,24.16575813293457,15160,resultó,VERB,36.44011306762695,15160
10,to,PART,23.069913864135742,15160,muy,ADV,39.86522674560547,15160
11,difficult,ADJ,23.124025344848633,15160,difícil,ADJ,36.81465530395508,15160
12,was,AUX,25.7674560546875,15160,llegar,AUX,37.57489776611328,15160
13,0,0,0.0,0,a,ADP,33.29692459106445,15160
14,percent,NOUN,21.58374786376953,15160,entender,AUX,35.785091400146484,15160
15,that,SCONJ,19.393003463745117,15160,que,SCONJ,32.92483901977539,15160
16,the,DET,22.24168586730957,15160,el,DET,34.22858810424805,15160
17,35,NUM,23.234498977661133,15160,35,NUM,32.831581115722656,15160
18,of,ADP,22.36213493347168,15160,por,ADP,36.79775619506836,15160
19,0,0,0.0,0,ciento,NUM,36.63949966430664,15160
20,0,0,0.0,0,de,ADP,31.316715240478516,15160
21,0,0,0.0,0,la,DET,33.85921096801758,15160
22,population,NOUN,18.017789840698242,15160,población,NOUN,31.51365089416504,15160
23,is,AUX,20.93560218811035,20160,es,AUX,35.08159255981445,20160
24,HIV,PROPN,24.072206497192383,20160,0,0,0.0,0
25,positive,ADJ,18.649433135986328,20160,seropositiva,ADJ,32.89987564086914,20160
26,.,PUNCT,21.511585235595703,20160,.,PUNCT,31.729307174682617,20160
27,It,PRON,23.272308349609375,23160,Aunque,SCONJ,34.75966262817383,23160
28,was,AUX,24.63596534729004,23160,",",PUNCT,30.119564056396484,23160
29,really,ADV,23.954355239868164,23160,realmente,ADV,31.91438102722168,23160
30,n't,PART,24.05296516418457,23160,",",PUNCT,32.29439163208008,23160
31,0,0,0.0,0,no,ADV,32.25217056274414,23160
32,was,AUX,25.016576766967773,23160,fue,AUX,33.79573440551758,23160
33,until,ADP,19.68605613708496,23160,hasta,ADP,33.52688217163086,23160
34,0,0,0.0,0,que,SCONJ,33.39726257324219,23160
35,I,PRON,23.412620544433594,23160,me,PRON,31.977842330932617,23160
36,invited,VERB,21.876047134399414,23160,invitaron,VERB,35.66728591918945,23160
37,to,ADP,22.37628936767578,23160,a,ADP,34.72655487060547,23160
38,the,DET,22.42318344116211,23160,los,DET,36.27025604248047,23160
39,people,NOUN,20.47980308532715,23160,hogares,NOUN,35.88913345336914,23160
40,of,ADP,23.9802303314209,23160,de,ADP,30.870359420776367,23160
41,0,0,0.0,0,la,DET,32.58660125732422,23160
42,homes,NOUN,19.62884521484375,23160,gente,NOUN,31.12530517578125,23160
43,that,SCONJ,20.271211624145508,27160,cuando,SCONJ,36.28098678588867,27160
44,I,PRON,25.37282943725586,27160,empecé,AUX,34.69060134887695,27160
45,started,VERB,25.24422836303711,27160,a,ADP,34.11439895629883,27160
46,to,PART,23.599428176879883,27160,ser,AUX,36.89976501464844,27160
47,understand,VERB,22.74640464782715,27160,consciente,ADJ,34.91163635253906,27160
48,the,DET,20.230915069580078,27160,del,ADP,35.9051628112793,27160
49,toll,NOUN,19.309036254882812,27160,costo,NOUN,31.103200912475586,27160
50,human,ADJ,19.669620513916016,27160,humano,ADJ,30.24429702758789,27160
51,of,ADP,22.720869064331055,27160,de,ADP,29.825016021728516,27160
52,the,DET,21.941112518310547,27160,la,DET,33.717529296875,27160
53,epidemic,NOUN,18.041797637939453,27160,epidemia,NOUN,32.475284576416016,27160
54,.,PUNCT,20.965103149414062,27160,.,PUNCT,32.19875717163086,27160
55,For,ADP,20.9670352935791,32160,Por,ADP,33.97060775756836,32160
56,instance,NOUN,17.423891067504883,32160,ejemplo,NOUN,31.07621955871582,32160
57,",",PUNCT,19.635873794555664,32160,",",PUNCT,28.97915267944336,32160
58,this,DET,20.653308868408203,32160,éste,PRON,32.21550750732422,32160
59,is,AUX,21.288549423217773,32160,es,AUX,32.20514678955078,32160
60,Herbert,PROPN,21.466310501098633,32160,Herbert,PROPN,36.764793395996094,32160
61,with,ADP,22.15857696533203,32160,con,ADP,31.00709342956543,32160
62,his,DET,22.6167049407959,32160,su,DET,32.37897872924805,32160
63,grandmother,NOUN,19.105892181396484,32160,abuela,NOUN,31.630985260009766,32160
64,.,PUNCT,21.75519371032715,32160,.,PUNCT,33.425479888916016,32160
65,When,ADV,22.641145706176758,36160,Cuando,SCONJ,34.59046173095703,36160
66,I,PRON,23.864639282226562,36160,lo,PRON,33.03504180908203,36160
67,met,VERB,22.27947998046875,36160,conocí,VERB,33.14574432373047,36160
68,first,ADV,22.603126525878906,36160,por,ADP,35.66592025756836,36160
69,him,PRON,23.488161087036133,36160,primera,ADJ,34.98931884765625,36160
70,",",PUNCT,20.907835006713867,36160,vez,NOUN,32.77165222167969,36160
71,was,AUX,26.318187713623047,36160,estaba,AUX,34.48990249633789,36160
72,he,PRON,23.0878849029541,36160,sentado,ADJ,36.21736145019531,36160
73,sitting,VERB,23.779783248901367,36160,en,ADP,32.628604888916016,36160
74,his,DET,24.0562686920166,36160,el,DET,33.25200271606445,36160
75,grandmother,NOUN,17.710058212280273,36160,regazo,NOUN,32.218536376953125,36160
76,on,ADP,21.073450088500977,36160,de,ADP,30.71082878112793,36160
77,'s,PART,21.699390411376953,36160,su,DET,32.71337890625,36160
78,lap,NOUN,18.232263565063477,36160,abuela,NOUN,31.663488388061523,36160
79,.,PUNCT,20.612760543823242,36160,.,PUNCT,33.34977722167969,36160
80,He,PRON,22.32465171813965,40160,Se,PRON,31.020654678344727,40160
81,has,AUX,24.43389320373535,40160,había,AUX,34.98551940917969,40160
82,been,AUX,26.20634651184082,40160,habían,AUX,35.67786407470703,40160
83,orphaned,VERB,24.639413833618164,40160,quedado,VERB,35.513797760009766,40160
84,",",PUNCT,21.390661239624023,40160,huérfano,ADJ,33.38788604736328,40160
85,as,SCONJ,22.979310989379883,40160,porque,SCONJ,34.55324172973633,40160
86,both,DET,22.94167137145996,40160,sus,DET,33.22189712524414,40160
87,of,ADP,22.830333709716797,40160,de,ADP,28.710739135742188,40160
88,his,DET,22.879249572753906,40160,0,0,0.0,0
89,parents,NOUN,22.018016815185547,40160,padres,NOUN,35.319129943847656,40160
90,died,VERB,22.112407684326172,40160,muerto,VERB,35.723609924316406,40160
91,of,ADP,22.898277282714844,40160,0,0,0.0,0
92,AIDS,PROPN,22.221242904663086,40160,SIDA,PROPN,34.017059326171875,40160
93,",",PUNCT,20.826990127563477,40160,0,0,0.0,0
94,and,CCONJ,19.858057022094727,43160,y,CONJ,33.472328186035156,43160
95,his,DET,23.096012115478516,43160,su,DET,33.864776611328125,43160
96,grandmother,NOUN,19.60171127319336,43160,abuela,NOUN,31.006650924682617,43160
97,took,VERB,22.88471221923828,43160,cuidó,VERB,31.78919792175293,43160
98,care,NOUN,19.300079345703125,43160,0,0,0.0,0
99,of,ADP,24.377796173095703,43160,hasta,ADP,35.99668884277344,43160
100,him,PRON,22.987751007080078,43160,lo,PRON,31.338638305664062,43160
101,until,ADP,21.1033878326416,43160,que,SCONJ,34.187808990478516,43160
102,he,PRON,21.431764602661133,43160,él,PRON,30.183712005615234,43160
103,too,ADV,23.211397171020508,43160,también,ADV,33.73858642578125,43160
104,died,VERB,22.784870147705078,43160,murió,VERB,35.840396881103516,43160
105,of,ADP,21.621166229248047,43160,de,ADP,31.916481018066406,43160
106,AIDS,PROPN,22.307056427001953,43160,SIDA,PROPN,34.942039489746094,43160
107,.,PUNCT,19.2253475189209,43160,.,PUNCT,33.150875091552734,43160
108,liked,VERB,23.64225959777832,47160,A,ADP,33.65216827392578,47160
109,He,PRON,24.84992027282715,47160,él,PRON,33.1240348815918,47160
110,to,PART,23.138776779174805,47160,le,PRON,31.115924835205078,47160
111,sit,VERB,24.36613655090332,47160,gustaba,VERB,35.37626647949219,47160
112,0,0,0.0,0,sentarse,PROPN,32.867183685302734,47160
113,on,ADP,19.76532554626465,47160,en,ADP,33.38102722167969,47160
114,her,DET,21.127290725708008,47160,su,DET,33.312828063964844,47160
115,lap,NOUN,18.556795120239258,47160,regazo,NOUN,34.13319396972656,47160
116,because,SCONJ,20.60546112060547,49160,porque,SCONJ,35.845550537109375,49160
117,he,PRON,25.223880767822266,49160,era,AUX,36.518184661865234,49160
118,said,VERB,24.616098403930664,49160,decía,VERB,35.665870666503906,49160
119,that,SCONJ,19.626232147216797,49160,que,SCONJ,33.86509323120117,49160
120,it,PRON,25.04000473022461,49160,demasiado,ADV,34.712120056152344,49160
121,was,AUX,25.044933319091797,49160,estar,AUX,36.810298919677734,49160
122,painful,ADJ,21.869094848632812,49160,doloroso,ADJ,34.27257537841797,49160
123,for,ADP,22.592496871948242,49160,en,ADP,33.294010162353516,49160
124,him,PRON,23.899023056030273,49160,0,0,0.0,0
125,to,PART,20.68330955505371,49160,0,0,0.0,0
126,lie,VERB,22.855802536010742,49160,0,0,0.0,0
127,in,ADP,19.010093688964844,49160,0,0,0.0,0
128,his,DET,24.686655044555664,49160,0,0,0.0,0
129,own,ADJ,20.538375854492188,49160,0,0,0.0,0
130,bed,NOUN,20.34343910217285,49160,cama,NOUN,31.478952407836914,49160
131,.,PUNCT,20.889699935913086,49160,.,PUNCT,32.59043502807617,49160
132,When,ADV,23.73932647705078,54160,Cuando,SCONJ,34.28810119628906,54160
133,to,PART,22.7658634185791,54160,la,DET,32.43301773071289,54160
134,tea,NOUN,19.76471710205078,54160,abuela,NOUN,32.419551849365234,54160
135,she,PRON,26.37137794494629,54160,se,PRON,31.785560607910156,54160
136,got,VERB,24.05354881286621,54160,levantó,VERB,36.59276580810547,54160
137,up,ADP,21.807701110839844,54160,para,ADP,35.41574478149414,54160
138,make,VERB,24.469934463500977,54160,preparar,VERB,37.251686096191406,54160
139,she,PRON,24.89273452758789,54160,té,PRON,31.70233726501465,54160
140,",",PUNCT,21.97987174987793,54160,",",PUNCT,29.790138244628906,54160
141,0,0,0.0,0,me,PRON,32.622840881347656,54160
142,him,PRON,24.17453956604004,54160,lo,PRON,31.829015731811523,54160
143,placed,VERB,25.96563720703125,54160,puso,VERB,37.245635986328125,54160
144,in,ADP,22.175518035888672,54160,en,ADP,33.15955352783203,54160
145,my,DET,23.307342529296875,54160,el,DET,33.191654205322266,54160
146,lap,NOUN,20.631296157836914,54160,regazo,NOUN,33.550262451171875,54160
147,own,ADJ,19.01249122619629,54160,.,PUNCT,30.262447357177734,54160
148,and,CCONJ,19.655319213867188,58160,a,ADP,33.18949508666992,58160
149,I,PRON,25.166513442993164,58160,que,PRON,34.53510665893555,58160
150,had,AUX,24.512741088867188,58160,había,AUX,35.50241470336914,58160
151,never,ADV,25.066837310791016,58160,Nunca,ADV,34.28398513793945,58160
152,felt,VERB,21.203163146972656,58160,visto,VERB,35.094085693359375,58160
153,a,DET,23.321033477783203,58160,un,DET,37.77122116088867,58160
154,child,NOUN,20.964731216430664,58160,niño,NOUN,33.126014709472656,58160
155,that,DET,20.743236541748047,58160,estuvera,VERB,32.819366455078125,58160
156,was,AUX,24.581201553344727,58160,tan,ADV,36.25109100341797,58160
157,that,DET,22.571430206298828,58160,0,0,0.0,0
158,emaciated,VERB,21.408315658569336,58160,escuálido,VERB,34.30326461791992,58160
159,.,PUNCT,21.632877349853516,58160,.,PUNCT,34.78860092163086,58160
160,Before,ADP,21.691150665283203,65160,de,ADP,32.674617767333984,65160
161,I,PRON,24.78788948059082,65160,marcharme,NOUN,29.548908233642578,65160
162,left,VERB,23.59210968017578,65160,pregunté,VERB,33.49202346801758,65160
163,",",PUNCT,21.894472122192383,65160,",",PUNCT,31.3000545501709,65160
164,I,PRON,23.13374137878418,65160,le,PRON,31.124662399291992,65160
165,actually,ADV,25.526927947998047,65160,Antes,ADV,32.82367706298828,65160
166,asked,VERB,23.475677490234375,65160,quería,VERB,35.97949981689453,65160
167,him,PRON,23.22098731994629,65160,si,SCONJ,35.138248443603516,65160
168,if,SCONJ,20.70083999633789,65160,que,SCONJ,32.204437255859375,65160
169,I,PRON,24.77265739440918,65160,le,PRON,32.0516471862793,65160
170,could,VERB,26.12510108947754,65160,trajera,VERB,34.79873275756836,65160
171,get,AUX,28.013845443725586,65160,0,0,0.0,0
172,him,PRON,23.47025489807129,65160,algo,PRON,34.72417068481445,65160
173,something,PRON,22.357465744018555,65160,0,0,0.0,0
174,.,PUNCT,22.530803680419922,65160,.,PUNCT,33.440242767333984,65160
175,I,PRON,24.692365646362305,69160,que,SCONJ,31.70551872253418,69160
176,thought,VERB,24.7951602935791,69160,Pensé,VERB,33.222694396972656,69160
177,he,PRON,25.09157943725586,69160,me,PRON,33.08366012573242,69160
178,would,VERB,27.022233963012695,69160,pediría,VERB,35.13944625854492,69160
179,ask,VERB,24.660717010498047,69160,un,DET,36.105804443359375,69160
180,for,ADP,20.710046768188477,69160,o,CONJ,32.5240592956543,69160
181,a,DET,23.633296966552734,69160,un,DET,35.62504196166992,69160
182,toy,NOUN,19.228158950805664,69160,juguete,NOUN,31.360254287719727,69160
183,",",PUNCT,22.376150131225586,69160,",",PUNCT,29.450218200683594,69160
184,or,CCONJ,21.394407272338867,69160,0,0,0.0,0
185,candy,NOUN,18.185747146606445,69160,dulce,NOUN,29.46356964111328,69160
186,",",PUNCT,19.752492904663086,69160,0,0,0.0,0
187,and,CCONJ,20.354145050048828,71160,pero,CONJ,33.25316619873047,71160
188,he,PRON,24.930946350097656,71160,él,PRON,31.23323631286621,71160
189,asked,VERB,26.204296112060547,71160,pidió,VERB,37.312374114990234,71160
190,me,PRON,23.79876708984375,71160,me,PRON,31.334232330322266,71160
191,for,ADP,21.322952270507812,71160,unas,DET,33.918479919433594,71160
192,slippers,NOUN,21.373380661010742,71160,zapatillas,NOUN,35.293575286865234,71160
193,",",PUNCT,19.734357833862305,71160,0,0,0.0,0
194,because,SCONJ,20.59939193725586,74160,porque,SCONJ,34.73527526855469,74160
195,he,PRON,25.21685218811035,74160,me,PRON,33.68825912475586,74160
196,said,VERB,24.54613494873047,74160,dijo,VERB,36.00725555419922,74160
197,that,SCONJ,20.331802368164062,74160,que,SCONJ,32.958274841308594,74160
198,were,AUX,25.684011459350586,74160,tenía,VERB,36.48257064819336,74160
199,his,DET,24.7491397857666,74160,los,DET,36.7035026550293,74160
200,feet,NOUN,21.643020629882812,74160,pies,NOUN,35.94735336303711,74160
201,cold,ADJ,21.509376525878906,74160,fríos,ADJ,34.331871032714844,74160
