,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.521419525146484,13146,experto,ADJ,33.99069595336914,13146
1,am,AUX,22.59345245361328,13146,Soy,AUX,32.97395706176758,13146
2,an,DET,22.698110580444336,13146,en,ADP,34.03771209716797,13146
3,astrodynamicist,NOUN,18.81117820739746,13146,astrodinámica,NOUN,29.42226791381836,13146
4,--,PUNCT,19.5422306060791,13146,0,0,0.0,0
5,you,PRON,22.76025390625,15551,0,0,0.0,0
6,know,VERB,23.548259735107422,15551,Rich,PROPN,34.754852294921875,15551
7,",",PUNCT,19.256101608276367,15551,"""",PUNCT,31.79581642150879,15551
8,like,SCONJ,19.44774055480957,15551,como,SCONJ,36.70962142944336,15551
9,that,DET,21.034366607666016,15551,ese,DET,37.69281005859375,15551
10,guy,NOUN,20.05230712890625,15551,tipo,NOUN,32.419891357421875,15551
11,Rich,PROPN,19.624271392822266,15551,Purnell,PROPN,37.856937408447266,15551
12,Purnell,PROPN,20.45724105834961,15551,The,PROPN,32.296932220458984,15551
13,in,ADP,20.87744140625,15551,de,ADP,30.661060333251953,15551
14,the,DET,21.419225692749023,15551,la,DET,30.279499053955078,15551
15,movie,NOUN,21.07098960876465,15551,película,NOUN,30.657550811767578,15551
16,"""",PUNCT,20.800029754638672,15551,"""",PUNCT,30.717853546142578,15551
17,The,DET,18.880308151245117,15551,0,0,0.0,0
18,Martian,PROPN,20.70507049560547,15551,Martian,PROPN,37.68265151977539,15551
19,.,PUNCT,20.197912216186523,15551,.,PUNCT,33.37300109863281,15551
20,"""",PUNCT,21.094322204589844,15551,0,0,0.0,0
21,And,CCONJ,20.492700576782227,19885,Y,CONJ,33.79241180419922,19885
22,it,PRON,23.7156982421875,19885,mi,DET,34.288291931152344,19885
23,job,NOUN,19.965553283691406,19885,trabajo,NOUN,33.46809387207031,19885
24,'s,AUX,20.7633113861084,19885,es,AUX,34.78289794921875,19885
25,study,VERB,25.04084587097168,19885,estudiar,VERB,34.5262336730957,19885
26,to,PART,24.235960006713867,19885,y,CONJ,34.52925491333008,19885
27,predict,VERB,20.873502731323242,19885,predecir,VERB,35.38905715942383,19885
28,my,DET,21.689769744873047,19885,el,DET,35.9249153137207,19885
29,motion,NOUN,21.290145874023438,19885,movimiento,NOUN,29.825721740722656,19885
30,of,ADP,21.11739158630371,19885,de,ADP,31.35221290588379,19885
