,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.01517677307129,14480,empecé,AUX,34.98968505859375,14480
1,started,VERB,25.952890396118164,14480,a,ADP,33.1884880065918,14480
2,building,VERB,26.00800895690918,14480,construir,VERB,36.06093978881836,14480
3,a,DET,20.891813278198242,14480,una,DET,33.03398132324219,14480
4,decentralized,VERB,22.730958938598633,14480,descentralizada,ADJ,32.48654556274414,14480
5,web,NOUN,22.396316528320312,14480,web,NOUN,32.390506744384766,14480
6,because,SCONJ,19.942771911621094,17520,porque,SCONJ,35.671669006347656,17520
7,I,PRON,24.526451110839844,17520,0,0,0.0,0
8,was,AUX,25.983339309692383,17520,estaba,AUX,36.167930603027344,17520
9,worried,ADJ,21.778196334838867,17520,preocupado,ADJ,33.996986389160156,17520
10,about,ADP,23.14737892150879,17520,por,ADP,31.511049270629883,17520
11,the,DET,21.588417053222656,17520,el,DET,36.04780960083008,17520
12,future,NOUN,18.702373504638672,17520,futuro,NOUN,30.751996994018555,17520
13,of,ADP,23.760595321655273,17520,de,ADP,28.848867416381836,17520
14,our,DET,20.960289001464844,17520,nuestra,DET,33.703269958496094,17520
15,internet,NOUN,20.456823348999023,17520,internet,NOUN,31.427562713623047,17520
16,.,PUNCT,20.574995040893555,17520,.,PUNCT,32.92673873901367,17520
17,The,DET,20.068571090698242,21680,La,DET,33.83683395385742,21680
18,current,ADJ,18.15984344482422,21680,actual,ADJ,34.58047866821289,21680
19,internet,NOUN,21.754743576049805,21680,internet,NOUN,31.6912841796875,21680
20,we,PRON,22.935291290283203,21680,que,PRON,32.03533935546875,21680
21,are,AUX,25.35329818725586,21680,usamos,VERB,33.13779067993164,21680
22,using,VERB,23.46324348449707,21680,cuenta,VERB,34.067108154296875,21680
23,is,AUX,22.77819061279297,21680,0,0,0.0,0
24,about,ADP,22.955707550048828,21680,con,ADP,32.721702575683594,21680
25,gatekeepers,NOUN,21.70012092590332,21680,guardianes,NOUN,35.24052047729492,21680
26,.,PUNCT,20.338895797729492,21680,.,PUNCT,32.270870208740234,21680
27,If,SCONJ,21.83791160583496,24320,Si,SCONJ,33.63139724731445,24320
28,you,PRON,24.30803680419922,24320,se,PRON,33.24217987060547,24320
29,want,VERB,24.23699188232422,24320,quiere,VERB,37.37443161010742,24320
30,to,PART,24.154998779296875,24320,a,ADP,33.9057731628418,24320
31,reach,VERB,27.82627296447754,24320,llegar,VERB,37.78411102294922,24320
32,something,PRON,22.583166122436523,24320,algo,PRON,34.9319953918457,24320
33,on,ADP,21.18894386291504,24320,en,ADP,32.54616928100586,24320
34,the,DET,22.380983352661133,24320,la,DET,33.65217590332031,24320
35,web,NOUN,19.79390525817871,24320,web,NOUN,31.586322784423828,24320
36,",",PUNCT,19.265758514404297,24320,",",PUNCT,30.97074317932129,24320
37,then,ADV,22.57465934753418,26720,entonces,ADV,37.05677032470703,26720
38,you,PRON,24.322412490844727,26720,hay,AUX,32.69740295410156,26720
39,need,VERB,21.474302291870117,26720,que,SCONJ,30.82744598388672,26720
40,to,PART,23.36862564086914,26720,0,0,0.0,0
41,go,VERB,25.216732025146484,26720,pasar,VERB,33.558204650878906,26720
42,through,ADP,22.730655670166016,26720,por,ADP,33.02889633178711,26720
43,multiple,ADJ,20.1938419342041,26720,varios,DET,33.4423942565918,26720
44,middlemen,NOUN,19.62042808532715,26720,intermediarios,NOUN,35.655967712402344,26720
45,.,PUNCT,21.93769073486328,26720,.,PUNCT,33.11407470703125,26720
