,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.870410919189453,12146,0,0,0.0,0
1,'ll,VERB,22.930644989013672,12146,olvidaré,VERB,30.78260612487793,12146
2,never,ADV,25.609346389770508,12146,Nunca,ADV,31.833263397216797,12146
3,forget,VERB,23.852270126342773,12146,aquél,VERB,31.667875289916992,12146
4,that,DET,23.886186599731445,12146,0,0,0.0,0
5,day,NOUN,19.47991371154785,12146,día,NOUN,33.77264404296875,12146
6,back,ADV,19.021862030029297,13824,0,0,0.0,0
7,in,ADP,20.467323303222656,13824,de,ADP,32.63379669189453,13779
8,the,DET,23.170175552368164,13824,la,DET,30.174842834472656,13779
9,spring,NOUN,18.789932250976562,13824,primavera,NOUN,33.705230712890625,13779
10,of,ADP,24.55280303955078,13824,de,ADP,30.79886245727539,13779
11,2006,NUM,21.431873321533203,13824,2006,NOUN,34.3762092590332,13779
12,.,PUNCT,20.818706512451172,13824,.,PUNCT,32.51599884033203,13779
13,I,PRON,24.731340408325195,17723,Yo,PRON,33.37358474731445,17723
14,was,AUX,24.206735610961914,17723,era,AUX,31.965646743774414,17723
15,a,DET,25.405147552490234,17723,un,DET,35.764198303222656,17723
16,surgical,ADJ,20.316661834716797,17723,residente,NOUN,32.718116760253906,17723
17,0,0,0.0,0,de,ADP,31.791000366210938,17723
18,resident,NOUN,21.05038070678711,17723,cirugía,NOUN,31.665597915649414,17723
19,at,ADP,21.101266860961914,19302,en,ADP,32.32454299926758,19302
20,The,DET,21.255802154541016,19302,el,DET,34.54169464111328,19302
21,Johns,PROPN,21.571983337402344,19302,hospital,NOUN,31.229896545410156,19302
22,Hopkins,PROPN,21.126022338867188,19302,Johns,PROPN,36.24891662597656,19302
23,Hospital,PROPN,21.515504837036133,19302,Hopkins,PROPN,36.652076721191406,19302
24,",",PUNCT,21.376955032348633,19302,",",PUNCT,30.781635284423828,19302
25,0,0,0.0,0,que,SCONJ,32.44385528564453,21733
26,0,0,0.0,0,estaba,AUX,36.71166229248047,21733
27,taking,VERB,20.8758487701416,21733,atendiendo,VERB,36.441864013671875,21733
28,call,NOUN,18.811994552612305,21733,llamadas,NOUN,31.62272834777832,21733
29,0,0,0.0,0,de,ADP,31.92788314819336,21733
30,emergency,NOUN,20.897571563720703,21733,emergencia,NOUN,30.456050872802734,21733
31,.,PUNCT,21.222410202026367,21733,.,PUNCT,32.987361907958984,21733
32,I,PRON,24.728456497192383,23510,Me,PRON,32.388587951660156,23510
33,got,VERB,21.710168838500977,23510,llamaron,VERB,34.39191436767578,23510
34,by,ADP,23.707763671875,23510,a,ADP,33.782737731933594,23510
35,the,DET,20.928781509399414,23510,la,DET,32.56340026855469,23510
36,paged,VERB,22.33245849609375,23510,sala,NOUN,32.57102584838867,23510
37,E.R.,PROPN,22.778160095214844,23510,de,ADP,32.99265670776367,23510
38,around,ADV,21.32681655883789,23510,urgencias,NOUN,33.72229766845703,23510
39,0,0,0.0,0,a,ADP,31.63221549987793,23510
40,0,0,0.0,0,eso,PRON,33.47690200805664,23510
41,in,ADP,21.143566131591797,23510,de,ADP,28.861324310302734,23510
42,the,DET,23.115320205688477,23510,las,DET,31.565305709838867,23510
43,2,NUM,21.497859954833984,23510,2,NUM,30.344526290893555,23510
44,0,0,0.0,0,de,ADP,33.08381271362305,23510
45,0,0,0.0,0,la,DET,31.39409828186035,23510
46,morning,NOUN,18.76766014099121,23510,mañana,NOUN,29.95941162109375,23510
47,to,PART,21.07337760925293,26873,para,ADP,37.18375015258789,26873
48,come,VERB,24.853342056274414,26873,ver,VERB,37.36759948730469,26873
49,and,CCONJ,21.428396224975586,26873,a,ADP,33.498046875,26873
50,see,VERB,22.47202491760254,26873,0,0,0.0,0
51,a,DET,22.158647537231445,26873,una,DET,33.967926025390625,26873
52,woman,NOUN,21.75270652770996,26873,mujer,NOUN,32.36870193481445,26873
53,with,ADP,19.870515823364258,26873,con,ADP,33.32552719116211,26873
54,a,DET,21.241491317749023,26873,una,DET,34.4699821472168,26873
55,diabetic,ADJ,19.064104080200195,26873,diabética,ADJ,33.338809967041016,26873
56,ulcer,NOUN,20.763608932495117,26873,úlcera,ADJ,34.10535430908203,26873
57,on,ADP,19.136425018310547,28900,en,ADP,32.35973358154297,28900
58,her,DET,21.94094467163086,28900,el,DET,34.46791458129883,28900
59,foot,NOUN,20.58436393737793,28900,pie,NOUN,32.122798919677734,28900
60,.,PUNCT,22.38393783569336,28900,.,PUNCT,31.43543243408203,28900
61,I,PRON,24.182222366333008,30694,0,0,0.0,0
62,can,VERB,25.18690299987793,30694,recuerdo,VERB,34.945796966552734,30694
63,still,ADV,26.545265197753906,30694,Todavía,ADV,33.735328674316406,30694
64,remember,VERB,23.654991149902344,30694,especie,NOUN,31.140241622924805,30694
65,sort,ADV,21.360628128051758,30694,de,ADP,31.821693420410156,30694
66,of,ADV,21.872007369995117,30694,0,0,0.0,0
67,that,DET,20.433990478515625,30694,esa,DET,32.46185302734375,30694
68,smell,NOUN,20.1896915435791,30694,carne,NOUN,31.841768264770508,30694
69,of,ADP,22.997285842895508,30694,a,ADP,31.87531089782715,30694
70,rotting,VERB,22.277603149414062,30694,podrida,ADJ,34.032554626464844,30694
71,flesh,NOUN,18.246305465698242,30694,olor,NOUN,30.607820510864258,30694
72,as,SCONJ,20.65877914428711,34395,mientras,SCONJ,35.996192932128906,34395
73,I,PRON,25.672344207763672,34395,0,0,0.0,0
74,pulled,VERB,23.51497459411621,34395,corría,VERB,35.667850494384766,34395
75,the,DET,20.649333953857422,34395,la,DET,32.674930572509766,34395
76,curtain,NOUN,18.28460121154785,34395,cortina,NOUN,31.597219467163086,34395
77,back,ADV,21.107765197753906,34395,verla,PROPN,31.90171241760254,34395
78,to,PART,20.736286163330078,34395,para,ADP,34.59892654418945,34395
79,see,VERB,22.71100425720215,34395,0,0,0.0,0
80,her,PRON,21.579654693603516,34395,0,0,0.0,0
81,.,PUNCT,20.668840408325195,34395,.,PUNCT,32.47602081298828,34395
82,And,CCONJ,21.615514755249023,38022,Todo,DET,34.4991455078125,38022
83,this,DET,24.21196174621582,38022,el,DET,36.719383239746094,38022
84,everybody,PRON,20.994638442993164,38022,mundo,NOUN,30.80174446105957,38022
85,there,ADV,23.227771759033203,38022,ahí,ADV,35.743858337402344,38022
86,was,AUX,24.805707931518555,38022,estaba,AUX,35.708526611328125,38022
87,agreed,VERB,22.152565002441406,38022,de,ADP,31.458499908447266,38022
88,woman,NOUN,22.122961044311523,38022,acuerdo,NOUN,32.62846374511719,38022
89,0,0,0.0,0,con,ADP,30.962730407714844,38022
90,0,0,0.0,0,que,SCONJ,32.78431701660156,38022
91,0,0,0.0,0,esta,DET,33.705806732177734,38022
92,0,0,0.0,0,mujer,NOUN,33.248477935791016,38022
93,0,0,0.0,0,estaba,AUX,35.25349807739258,38022
94,very,ADV,25.49703598022461,38022,muy,ADV,37.70163345336914,38022
95,sick,ADJ,23.69702911376953,38022,enferma,ADJ,32.945030212402344,38022
96,and,CCONJ,19.60614013671875,40367,y,CONJ,35.4692268371582,40367
97,she,PRON,25.49680519104004,40367,que,PRON,33.800193786621094,40367
98,needed,VERB,24.90765953063965,40367,necesitaba,VERB,33.757118225097656,40367
99,to,PART,22.137975692749023,40367,estar,VERB,35.31758499145508,40367
100,be,AUX,24.731678009033203,40367,0,0,0.0,0
101,in,ADP,23.377708435058594,40367,en,ADP,32.15277099609375,40367
102,the,DET,23.151187896728516,40367,el,DET,33.655059814453125,40367
103,hospital,NOUN,19.578479766845703,40367,hospital,NOUN,31.763784408569336,40367
104,.,PUNCT,21.559038162231445,40367,.,PUNCT,32.334449768066406,40367
105,That,DET,19.468975067138672,41719,Eso,PRON,34.729103088378906,41719
