,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,When,ADV,22.701601028442383,16260,Cuando,SCONJ,34.8908576965332,16260
1,I,PRON,25.575660705566406,16260,0,0,0.0,0
2,saw,VERB,25.964458465576172,16260,vi,VERB,33.59911346435547,16260
3,a,DET,22.79021453857422,16260,una,DET,35.081268310546875,16260
4,piece,NOUN,23.118892669677734,16260,tecnología,NOUN,32.632789611816406,16260
5,of,ADP,24.79173469543457,16260,denominada,ADJ,31.20937156677246,16260
6,technology,NOUN,20.916685104370117,16260,0,0,0.0,0
7,called,VERB,20.648181915283203,16260,0,0,0.0,0
8,Kinect,PROPN,21.704788208007812,16260,Kinect,PROPN,33.29313659667969,16260
9,--,PUNCT,20.04494857788086,16260,",",PUNCT,29.698989868164062,16260
10,it,PRON,24.664318084716797,19260,se,PRON,32.68749237060547,19260
11,was,AUX,24.584402084350586,19260,antes,ADV,33.155208587646484,19260
12,called,VERB,22.54376983642578,19260,llamaba,VERB,34.53667068481445,19260
13,Natal,PROPN,18.621829986572266,19260,Natal,PROPN,34.06816101074219,19260
14,--,PUNCT,19.893043518066406,19260,",",PUNCT,29.340171813964844,19260
15,I,PRON,23.67255210876465,19260,me,PRON,32.06354904174805,19260
16,was,AUX,24.846094131469727,19260,0,0,0.0,0
17,inspired,VERB,22.540111541748047,19260,inspiró,VERB,36.411293029785156,19260
18,",",PUNCT,19.409669876098633,19260,",",PUNCT,27.801891326904297,19260
19,and,CCONJ,19.575668334960938,22260,y,CONJ,33.38533401489258,22260
20,I,PRON,25.546438217163086,22260,0,0,0.0,0
21,thought,VERB,23.70328712463379,22260,pensé,VERB,30.71575927734375,22260
22,for,ADP,19.983768463134766,22260,por,ADP,34.031829833984375,22260
23,a,DET,22.752662658691406,22260,un,DET,36.33547592163086,22260
24,moment,NOUN,20.076358795166016,22260,momento,NOUN,32.374752044677734,22260
25,",",PUNCT,22.101192474365234,22260,",",PUNCT,27.99028968811035,22260
26,maybe,ADV,22.775104522705078,24260,tal,NOUN,33.412288665771484,24260
27,it,PRON,22.635482788085938,24260,vez,NOUN,34.7277717590332,24260
28,'s,AUX,20.96508026123047,24260,sea,AUX,34.51432800292969,24260
29,possible,ADJ,21.77783966064453,24260,posible,ADJ,34.8873405456543,24260
30,address,VERB,22.64218521118164,26260,abordar,VERB,34.288963317871094,26260
31,to,PART,22.150890350341797,26260,el,DET,35.93037033081055,26260
32,that,SCONJ,19.318593978881836,26260,problema,NOUN,31.09174156188965,26260
33,one,NUM,21.168954849243164,26260,de,ADP,30.337688446044922,26260
34,0,0,0.0,0,la,DET,33.677730560302734,26260
35,problem,NOUN,20.458276748657227,26260,narración,NOUN,31.495899200439453,26260
36,of,ADP,23.827905654907227,26260,de,ADP,30.34722328186035,26260
37,storytelling,NOUN,21.943363189697266,26260,historias,NOUN,33.20271682739258,26260
38,",",PUNCT,20.131019592285156,26260,",",PUNCT,30.491588592529297,26260
39,to,PART,22.13623809814453,29260,0,0,0.0,0
40,create,VERB,24.848419189453125,29260,crear,VERB,34.342002868652344,29260
41,a,DET,22.446317672729492,29260,un,DET,37.72272872924805,29260
42,character,NOUN,20.81636619567871,29260,personaje,NOUN,34.169471740722656,29260
43,which,DET,22.28753089904785,32260,que,SCONJ,31.519620895385742,32260
44,seemed,VERB,24.715974807739258,32260,parezca,VERB,33.355552673339844,32260
45,0,0,0.0,0,que,PRON,33.985992431640625,32260
46,0,0,0.0,0,está,AUX,34.4964599609375,32260
47,alive,ADJ,20.352205276489258,32260,vivo,ADJ,34.154624938964844,32260
48,",",PUNCT,19.04218864440918,32260,",",PUNCT,29.665090560913086,32260
49,0,0,0.0,0,que,SCONJ,31.770105361938477,34260
50,noticed,VERB,23.6158504486084,34260,perciba,VERB,34.655643463134766,34260
51,which,DET,22.395315170288086,34260,mi,DET,35.98573684692383,34260
52,me,PRON,24.621625900268555,34260,presencia,NOUN,29.618488311767578,34260
53,",",PUNCT,19.973617553710938,34260,",",PUNCT,28.80521011352539,34260
54,that,DET,21.08609390258789,36260,que,SCONJ,32.28580856323242,36260
55,could,VERB,24.459348678588867,36260,pueda,AUX,33.6164665222168,36260
56,look,VERB,27.26687240600586,36260,mirarme,NOUN,33.00334167480469,36260
57,me,PRON,22.508495330810547,36260,0,0,0.0,0
58,in,ADP,23.236679077148438,36260,a,ADP,33.2896614074707,36260
59,the,DET,21.822490692138672,36260,los,DET,35.0046501159668,36260
60,eyes,NOUN,18.48804473876953,36260,ojos,NOUN,34.376705169677734,36260
61,and,CCONJ,21.086578369140625,38260,y,CONJ,31.95937156677246,38260
62,feel,VERB,21.683122634887695,38260,parecer,VERB,31.20256233215332,38260
63,real,ADJ,21.339872360229492,38260,de,ADP,32.85386657714844,38260
64,0,0,0.0,0,verdad,NOUN,30.93321990966797,38260
65,",",PUNCT,20.28053092956543,38260,",",PUNCT,29.323379516601562,38260
66,and,CCONJ,20.112571716308594,40260,y,CONJ,33.523075103759766,40260
