,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Can,VERB,22.275171279907227,15422,¿,PUNCT,29.68561553955078,15422
1,0,0,0.0,0,Puede,AUX,32.716922760009766,15422
2,a,DET,24.647262573242188,15422,una,DET,34.418949127197266,15422
3,computer,NOUN,20.871746063232422,15422,máquina,NOUN,32.49686050415039,15422
4,write,VERB,20.44222640991211,15422,escribir,VERB,35.43209457397461,15422
5,poetry,NOUN,19.187376022338867,15422,poesía,NOUN,30.386756896972656,15422
6,?,PUNCT,21.50634002685547,15422,?,PUNCT,32.97581100463867,15422
7,This,DET,23.18162727355957,18959,0,0,0.0,0
8,is,AUX,24.609844207763672,18959,Es,AUX,34.8656005859375,18959
9,a,DET,23.767473220825195,18959,una,DET,33.0298957824707,18959
10,provocative,ADJ,22.201129913330078,18959,provocativa,ADJ,35.850826263427734,18959
11,question,NOUN,22.94000816345215,18959,pregunta,NOUN,34.37273406982422,18959
12,.,PUNCT,21.314048767089844,18959,.,PUNCT,32.754486083984375,18959
13,You,PRON,24.790695190429688,21715,Lo,PRON,31.575149536132812,21715
14,think,VERB,22.163219451904297,21715,pensamos,VERB,36.11823654174805,21715
15,about,ADP,22.48318862915039,21715,0,0,0.0,0
16,it,PRON,24.735010147094727,21715,0,0,0.0,0
17,for,ADP,18.72779083251953,21715,0,0,0.0,0
18,a,DET,21.793855667114258,21715,un,DET,34.701988220214844,21715
19,minute,NOUN,17.294334411621094,21715,minuto,NOUN,32.23975372314453,21715
20,",",PUNCT,20.568866729736328,21715,",",PUNCT,29.41415023803711,21715
21,and,CCONJ,20.208755493164062,23457,y,CONJ,31.725555419921875,23457
22,you,PRON,25.556289672851562,23457,0,0,0.0,0
23,suddenly,ADV,24.077556610107422,23457,0,0,0.0,0
24,have,AUX,20.164384841918945,23457,surgen,VERB,33.75225067138672,23457
25,a,DET,22.454938888549805,23457,muchas,DET,33.39760971069336,23457
26,bunch,NOUN,20.527135848999023,23457,repente,NOUN,31.736814498901367,23457
27,of,ADP,25.348888397216797,23457,de,ADP,29.62697410583496,23457
28,other,ADJ,24.13645362854004,23457,otras,DET,32.98860549926758,23457
29,questions,NOUN,22.761659622192383,23457,preguntas,NOUN,35.550235748291016,23457
30,like,SCONJ,18.348182678222656,23457,como,SCONJ,35.262550354003906,23457
31,:,PUNCT,20.343385696411133,23457,:,PUNCT,31.19164276123047,23457
32,0,0,0.0,0,¿,PUNCT,30.642820358276367,26769
33,What,PRON,20.714895248413086,26769,Qué,PRON,32.34475326538086,26769
34,is,AUX,23.13474464416504,26769,es,AUX,32.890235900878906,26769
35,a,DET,24.06795310974121,26769,una,DET,34.26359558105469,26769
36,computer,NOUN,20.33750343322754,26769,máquina,NOUN,32.86915588378906,26769
37,?,PUNCT,21.740768432617188,26769,?,PUNCT,33.29689025878906,26769
38,0,0,0.0,0,¿,PUNCT,30.735809326171875,28710
39,What,PRON,20.773286819458008,28710,Qué,PRON,31.740886688232422,28710
40,is,AUX,21.65020179748535,28710,es,AUX,32.28965759277344,28710
41,0,0,0.0,0,la,DET,33.13655471801758,28710
42,poetry,NOUN,18.199031829833984,28710,poesía,NOUN,32.4523811340332,28710
43,?,PUNCT,20.496950149536133,28710,?,PUNCT,32.878204345703125,28710
44,0,0,0.0,0,¿,PUNCT,30.735010147094727,30707
45,What,PRON,20.54450225830078,30707,Qué,PRON,31.700185775756836,30707
46,is,AUX,22.779996871948242,30707,es,AUX,32.30509567260742,30707
47,0,0,0.0,0,la,DET,33.5352783203125,30707
48,creativity,NOUN,18.412059783935547,30707,creatividad,NOUN,31.81833839416504,30707
49,?,PUNCT,22.13895606994629,30707,?,PUNCT,33.39710235595703,30707
50,But,CCONJ,22.494888305664062,33650,Pero,CONJ,32.46686935424805,33650
51,these,DET,21.53963279724121,33650,estas,PRON,32.9334602355957,33650
52,are,AUX,21.203567504882812,33650,son,AUX,34.2369270324707,33650
53,questions,NOUN,21.065196990966797,33650,preguntas,NOUN,35.659542083740234,33650
54,that,SCONJ,20.400108337402344,34846,que,SCONJ,29.939523696899414,34846
55,people,NOUN,23.1976375579834,34846,de,ADP,31.402790069580078,34846
56,spend,VERB,25.266714096069336,34846,tratamos,VERB,32.88240432739258,34846
57,their,DET,23.272310256958008,34846,toda,DET,35.019691467285156,34846
58,entire,ADJ,20.603988647460938,34846,durante,ADP,33.76805877685547,34846
59,lifetime,NOUN,20.351171493530273,34846,vida,NOUN,31.56351661682129,34846
60,trying,VERB,21.054964065551758,34846,responder,VERB,36.16450881958008,34846
61,to,PART,23.44594955444336,34846,la,DET,30.717863082885742,34846
62,answer,VERB,24.213350296020508,34846,0,0,0.0,0
63,",",PUNCT,22.250547409057617,34846,0,0,0.0,0
64,not,PART,21.178068161010742,37940,no,PART,31.653526306152344,37940
65,single,ADJ,21.783870697021484,37940,solo,ADJ,36.441593170166016,37940
66,in,ADP,21.334745407104492,37940,durante,ADP,34.455299377441406,37940
67,a,DET,21.4623966217041,37940,una,DET,35.65074920654297,37940
68,TED,PROPN,21.372589111328125,37940,charla,NOUN,32.89289093017578,37940
69,Talk,PROPN,19.930936813354492,37940,TED,PROPN,34.69511795043945,37940
