,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,There,PRON,21.15843391418457,12496,0,0,0.0,0
1,is,AUX,24.0225772857666,12496,Hay,AUX,36.11978530883789,12496
2,something,PRON,21.259380340576172,12496,algo,PRON,33.79602813720703,12496
3,you,PRON,22.63145637512207,12496,0,0,0.0,0
4,know,VERB,23.108505249023438,12496,0,0,0.0,0
5,about,ADP,20.824010848999023,12496,0,0,0.0,0
6,me,PRON,24.258346557617188,12496,0,0,0.0,0
7,",",PUNCT,20.801666259765625,12496,0,0,0.0,0
8,0,0,0.0,0,que,SCONJ,32.3098258972168,14646
9,0,0,0.0,0,conocen,VERB,36.6964225769043,14646
10,0,0,0.0,0,de,ADP,30.1124210357666,14646
11,something,PRON,22.1238956451416,16255,mí,PRON,31.169511795043945,14646
12,",",PUNCT,20.395414352416992,16255,",",PUNCT,31.596891403198242,14646
13,0,0,0.0,0,algo,PRON,33.435264587402344,14646
14,very,ADV,24.41627311706543,16255,muy,ADV,35.80978775024414,14646
15,personal,ADJ,21.01253890991211,16255,personal,ADJ,34.21063995361328,14646
16,0,0,0.0,0,",",PUNCT,30.501941680908203,14646
17,and,CCONJ,21.37153434753418,20095,y,CONJ,33.859947204589844,19970
18,there,PRON,21.666257858276367,20095,algo,PRON,34.464656829833984,19970
19,is,AUX,23.51618194580078,20095,hay,AUX,34.7802619934082,19970
20,something,PRON,19.938228607177734,20095,que,PRON,30.075973510742188,19970
21,I,PRON,24.458253860473633,20095,0,0,0.0,0
22,know,VERB,24.189634323120117,20095,sé,VERB,32.74834442138672,19970
23,about,ADP,21.181812286376953,20095,de,ADP,27.533998489379883,19970
24,every,DET,21.60529899597168,20095,0,0,0.0,0
25,one,NUM,21.416629791259766,20095,0,0,0.0,0
26,of,ADP,24.535032272338867,20095,0,0,0.0,0
27,you,PRON,22.924516677856445,20095,0,0,0.0,0
28,and,CCONJ,18.526592254638672,24550,y,CONJ,35.41160202026367,24550
29,that,DET,20.056264877319336,24550,que,SCONJ,34.368167877197266,24550
30,'s,AUX,23.722732543945312,24550,es,AUX,34.43935012817383,24550
31,very,ADV,23.46898651123047,24550,muy,ADV,39.400184631347656,24550
32,central,ADJ,20.330541610717773,24550,central,ADJ,37.17117691040039,24550
33,to,ADP,22.236692428588867,24550,a,ADP,32.12424087524414,24550
34,your,DET,23.906538009643555,24550,sus,DET,32.54940414428711,24550
35,concerns,NOUN,21.398452758789062,24550,inquietudes,NOUN,36.553314208984375,24550
36,.,PUNCT,20.400148391723633,24550,.,PUNCT,33.426719665527344,24550
37,There,PRON,21.151823043823242,28663,algo,PRON,34.76760482788086,28663
38,is,AUX,24.191425323486328,28663,Hay,AUX,36.746620178222656,28663
39,something,PRON,22.523563385009766,28663,que,PRON,32.53786087036133,28663
40,that,DET,19.79941749572754,28663,0,0,0.0,0
41,we,PRON,25.24791145324707,28663,acerca,ADV,32.26130294799805,28663
42,know,VERB,24.285381317138672,28663,sabemos,VERB,35.2353630065918,28663
43,about,ADP,19.603485107421875,31268,de,ADP,30.471439361572266,31268
44,everyone,PRON,19.1133975982666,31268,todos,PRON,30.90201187133789,31268
45,we,PRON,24.581350326538086,31268,quienes,PRON,32.32862854003906,31268
46,meet,VERB,22.043434143066406,31268,conocemos,VERB,35.3804931640625,31268
47,anywhere,ADV,20.25520133972168,31268,a,ADP,31.16950798034668,31268
48,in,ADP,20.2658748626709,31268,en,ADP,34.99586868286133,31268
49,the,DET,22.491262435913086,31268,cualquier,DET,35.50593185424805,31268
50,world,NOUN,16.99247169494629,31268,parte,NOUN,30.789636611938477,31268
51,",",PUNCT,21.25128173828125,31268,",",PUNCT,29.820446014404297,31268
52,on,ADP,20.463930130004883,31268,del,ADP,35.248573303222656,31268
53,the,DET,23.45967674255371,31268,0,0,0.0,0
54,street,NOUN,17.543394088745117,31268,mundo,NOUN,30.6726131439209,31268
55,",",PUNCT,19.23587989807129,31268,0,0,0.0,0
56,that,DET,18.640453338623047,37326,que,SCONJ,32.71940231323242,37319
57,is,AUX,22.64681625366211,37326,es,AUX,31.504667282104492,37319
58,the,DET,22.862335205078125,37326,el,DET,34.42808151245117,37319
59,very,ADV,23.563018798828125,37326,harto,ADJ,32.731414794921875,37319
60,mainspring,NOUN,20.280105590820312,37326,motivo,NOUN,29.032758712768555,37319
61,of,ADP,23.172637939453125,37326,fundamental,ADJ,32.12326431274414,37319
62,whatever,DET,23.03657341003418,37326,0,0,0.0,0
63,they,PRON,25.859189987182617,37326,0,0,0.0,0
64,do,AUX,24.11231231689453,37326,0,0,0.0,0
65,and,CCONJ,20.859373092651367,42304,y,CONJ,31.938133239746094,42169
66,whatever,DET,22.08464813232422,42304,cualquier,DET,35.13161087036133,42169
67,they,PRON,26.39311981201172,42304,que,PRON,32.02074432373047,42169
68,put,VERB,25.273605346679688,42304,toleran,VERB,33.950294494628906,42169
69,up,ADP,22.11751937866211,42304,de,ADP,30.93741226196289,42169
70,with,ADP,21.326486587524414,42304,cosa,NOUN,33.51069259643555,42169
71,.,PUNCT,21.999483108520508,42304,",",PUNCT,28.24565315246582,42169
72,And,CCONJ,19.59141731262207,46047,y,CONJ,34.32829284667969,46047
73,that,DET,18.844831466674805,46047,0,0,0.0,0
74,is,AUX,22.879878997802734,46047,es,AUX,32.793521881103516,46047
75,that,SCONJ,20.325660705566406,46047,que,SCONJ,34.16571044921875,46047
76,all,DET,21.383317947387695,46047,todos,DET,33.674400329589844,46047
77,of,ADP,23.268823623657227,46047,0,0,0.0,0
78,us,PRON,22.490942001342773,46047,nosotros,PRON,29.885305404663086,46047
79,want,VERB,21.395130157470703,46047,0,0,0.0,0
80,to,PART,22.091859817504883,46047,0,0,0.0,0
81,be,AUX,24.568262100219727,46047,0,0,0.0,0
82,happy,ADJ,23.739931106567383,46047,0,0,0.0,0
83,.,PUNCT,22.1466007232666,46047,0,0,0.0,0
84,In,ADP,21.266794204711914,52341,En,ADP,31.722095489501953,52341
85,this,DET,22.365663528442383,52341,esto,PRON,35.57554626464844,52341
86,",",PUNCT,22.396583557128906,52341,",",PUNCT,32.08308029174805,52341
87,we,PRON,23.269729614257812,52341,todos,PRON,34.96826934814453,52341
88,are,AUX,25.301156997680664,52341,estamos,AUX,33.40694808959961,52341
89,all,ADV,21.81728172302246,52341,juntos,ADJ,32.79255676269531,52341
90,together,ADV,19.55078125,52341,0,0,0.0,0
91,.,PUNCT,22.780858993530273,52341,.,PUNCT,31.252696990966797,52341
92,How,ADV,21.00554084777832,55203,Como,SCONJ,36.883087158203125,55203
93,we,PRON,24.58625030517578,55203,nos,PRON,32.96056365966797,55203
94,imagine,VERB,23.924604415893555,55203,imaginamos,VERB,37.305519104003906,55203
95,our,DET,22.56599235534668,55203,nuestra,DET,34.14824676513672,55203
96,happiness,NOUN,18.646190643310547,55203,felicidad,NOUN,33.817935943603516,55203
97,",",PUNCT,18.365779876708984,55203,",",PUNCT,29.335803985595703,55203
98,that,DET,19.929393768310547,55203,0,0,0.0,0
99,differs,VERB,21.674537658691406,55203,0,0,0.0,0
100,from,ADP,19.210256576538086,55203,0,0,0.0,0
101,one,NUM,18.85095977783203,55203,0,0,0.0,0
102,another,DET,20.218944549560547,55203,0,0,0.0,0
103,",",PUNCT,20.213335037231445,55203,0,0,0.0,0
104,but,CCONJ,21.35044288635254,60701,pero,CONJ,34.21799850463867,60701
105,it,PRON,24.4296817779541,60701,ya,ADV,34.47313690185547,60701
106,'s,AUX,21.39735984802246,60701,es,AUX,32.414649963378906,60701
107,already,ADV,25.64676856994629,60701,mucho,ADV,34.336517333984375,60701
108,a,DET,23.154388427734375,60701,lo,DET,31.881431579589844,60701
109,lot,NOUN,21.34583854675293,60701,común,NOUN,30.05057716369629,60701
110,that,DET,21.710474014282227,60701,tenemos,VERB,35.485618591308594,60701
111,we,PRON,24.883075714111328,60701,que,PRON,31.323928833007812,60701
112,have,AUX,23.4366397857666,60701,0,0,0.0,0
113,all,DET,18.70255470275879,60701,0,0,0.0,0
114,in,ADP,21.601398468017578,60701,en,ADP,34.84061813354492,60701
115,common,ADJ,17.658912658691406,60701,0,0,0.0,0
116,",",PUNCT,20.533626556396484,60701,",",PUNCT,29.096084594726562,60701
117,that,SCONJ,20.673603057861328,65529,que,SCONJ,31.810998916625977,65529
118,we,PRON,24.7083683013916,65529,0,0,0.0,0
119,want,VERB,24.314790725708008,65529,queremos,VERB,32.50383758544922,65529
120,to,PART,21.672555923461914,65529,0,0,0.0,0
121,be,AUX,24.358657836914062,65529,ser,AUX,34.86616516113281,65529
122,happy,ADJ,23.727325439453125,65529,felices,ADJ,34.61870193481445,65529
