,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Have,AUX,21.566364288330078,15260,han,AUX,34.82415771484375,15260
1,you,PRON,24.51642608642578,15260,¿,PUNCT,28.55702018737793,15260
2,ever,ADV,25.84269905090332,15260,vez,NOUN,30.85006332397461,15260
3,wanted,VERB,22.72342872619629,15260,querido,VERB,33.12991714477539,15260
4,to,PART,23.763948440551758,15260,Alguna,DET,31.91019630432129,15260
5,stay,VERB,26.616682052612305,15260,permanecer,VERB,35.685298919677734,15260
6,young,ADJ,21.613449096679688,15260,jóvenes,NOUN,32.042572021484375,15260
7,a,DET,23.02969741821289,15260,un,DET,30.658178329467773,15260
8,little,ADJ,20.215072631835938,15260,poco,ADV,32.979576110839844,15260
9,longer,ADV,22.028079986572266,15260,más,ADV,35.90556716918945,15260
10,and,CCONJ,20.22461700439453,18260,y,CONJ,32.52118682861328,18260
11,put,VERB,21.88505744934082,18260,retrasar,VERB,36.403968811035156,18260
12,off,ADP,23.094375610351562,18260,el,DET,35.47893524169922,18260
13,aging,VERB,22.585229873657227,18260,envejecimiento,NOUN,30.74407958984375,18260
14,?,PUNCT,21.62435531616211,18260,?,PUNCT,31.208200454711914,18260
15,This,DET,23.454059600830078,20260,Este,PRON,32.94042205810547,20260
16,is,AUX,24.418310165405273,20260,ha,AUX,32.52192306518555,20260
17,a,DET,23.305509567260742,20260,sido,AUX,33.34778594970703,20260
18,dream,NOUN,20.666229248046875,20260,sueño,NOUN,30.957056045532227,20260
19,of,ADP,25.054025650024414,20260,por,ADP,33.052188873291016,20260
20,the,DET,22.443933486938477,20260,el,DET,34.3851432800293,20260
21,ages,NOUN,21.744937896728516,20260,siglos,NOUN,34.1949348449707,20260
22,.,PUNCT,21.45711326599121,20260,.,PUNCT,32.521785736083984,20260
23,But,CCONJ,21.010093688964844,23260,Pero,CONJ,31.981365203857422,23260
24,scientists,NOUN,23.593704223632812,23260,científicos,NOUN,34.672874450683594,23260
25,have,AUX,22.09144401550293,23260,los,DET,35.92671203613281,23260
26,for,ADP,19.18354034423828,23260,durante,ADP,35.01106643676758,23260
27,a,DET,22.161283493041992,23260,un,DET,35.169918060302734,23260
28,long,ADJ,19.888751983642578,23260,largo,ADJ,34.88202667236328,23260
29,time,NOUN,20.0086727142334,23260,periodo,NOUN,33.20802688598633,23260
30,thought,VERB,19.26979637145996,25260,pensado,VERB,34.28752517700195,25260
31,this,DET,20.39312744140625,25260,0,0,0.0,0
32,just,ADV,21.336179733276367,25260,que,SCONJ,30.615009307861328,25260
33,was,AUX,24.113080978393555,25260,han,AUX,35.368247985839844,25260
34,never,ADV,24.463294982910156,25260,simplemente,ADV,34.98070526123047,25260
35,going,VERB,25.371614456176758,25260,esto,PRON,32.517425537109375,25260
36,to,PART,21.28144073486328,25260,0,0,0.0,0
37,be,AUX,24.669681549072266,25260,sería,AUX,34.03181076049805,25260
38,possible,ADJ,24.85223960876465,25260,imposible,ADJ,37.417903900146484,25260
39,.,PUNCT,22.695053100585938,25260,.,PUNCT,33.0819206237793,25260
40,They,PRON,25.00926399230957,27260,que,SCONJ,33.161903381347656,27260
41,thought,VERB,24.841123580932617,27260,Pensaban,VERB,31.164794921875,27260
