,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,People,NOUN,24.008424758911133,12509,La,DET,34.65242004394531,12509
1,say,VERB,23.847644805908203,12509,habla,VERB,33.96775436401367,12509
2,things,NOUN,23.059715270996094,12509,gente,NOUN,31.31885528564453,12509
3,about,ADP,21.354188919067383,12509,sobre,ADP,32.63157653808594,12509
4,religion,NOUN,20.837425231933594,12509,religión,NOUN,29.17079734802246,12509
5,all,DET,20.72224998474121,12509,todo,DET,31.23789405822754,12509
6,the,DET,21.700641632080078,12509,el,DET,34.25021743774414,12509
7,time,NOUN,18.44365692138672,12509,tiempo,NOUN,32.64513397216797,12509
8,.,PUNCT,21.485061645507812,12509,.,PUNCT,31.120849609375,12509
9,(,PUNCT,19.138301849365234,16736,(,PUNCT,28.748825073242188,16736
10,Laughter,PROPN,20.165264129638672,16736,Risas,PROPN,34.865478515625,16736
11,),PUNCT,20.96363067626953,16736,),PUNCT,32.331058502197266,16736
12,The,DET,20.991130828857422,18710,El,DET,33.93110656738281,18710
13,late,ADJ,21.725065231323242,18710,gran,ADJ,33.50977325439453,18710
14,",",PUNCT,20.19354820251465,18710,de,ADP,31.51030731201172,18710
15,great,ADJ,19.652149200439453,18710,última,ADJ,34.4368896484375,18710
16,Christopher,PROPN,18.885744094848633,18710,Hitchens,PROPN,34.75178527832031,18710
17,Hitchens,PROPN,19.001432418823242,18710,Christopher,PROPN,36.9231071472168,18710
18,wrote,VERB,20.667091369628906,20960,0,0,0.0,0
19,a,DET,22.605594635009766,20960,la,DET,30.019636154174805,18710
20,book,NOUN,19.71200942993164,20960,etapa,NOUN,32.18778610229492,18710
21,called,VERB,19.611042022705078,20960,0,0,0.0,0
22,"""",PUNCT,21.79186248779297,20960,0,0,0.0,0
23,God,PROPN,22.19765281677246,20960,0,0,0.0,0
24,Is,AUX,24.574941635131836,20960,0,0,0.0,0
25,Not,PART,23.852128982543945,20960,0,0,0.0,0
26,Great,ADJ,22.04159927368164,20960,0,0,0.0,0
27,"""",PUNCT,22.38395118713379,20960,0,0,0.0,0
28,whose,DET,19.4587459564209,22381,un,DET,36.54615783691406,21180
29,subtitle,NOUN,20.004901885986328,22381,libro,NOUN,31.834793090820312,21180
30,was,AUX,24.000925064086914,22381,escribió,VERB,36.209754943847656,21180
31,",",PUNCT,22.15224266052246,22381,llamado,ADJ,34.911155700683594,21180
32,"""",PUNCT,20.49517059326172,22381,"""",PUNCT,30.041818618774414,21180
33,Religion,PROPN,19.5866756439209,22381,Dios,PROPN,33.24201202392578,21180
34,Poisons,PROPN,19.017410278320312,22381,no,ADV,33.32347106933594,21180
35,Everything,PROPN,21.396928787231445,22381,Genial,PROPN,36.124122619628906,21180
36,.,PUNCT,22.48701286315918,22381,es,AUX,32.764366149902344,21180
37,"""",PUNCT,21.065645217895508,22381,"""",PUNCT,30.231708526611328,21180
38,0,0,0.0,0,cuyo,PRON,32.70977783203125,23611
39,Laughter,PROPN,20.165264129638672,25913,subtítulo,NOUN,32.61582946777344,23611
40,0,0,0.0,0,era,AUX,35.01681137084961,23611
41,),PUNCT,20.96363067626953,25913,:,PUNCT,33.03946304321289,23611
42,(,PUNCT,19.138301849365234,25913,"""",PUNCT,32.23750686645508,23611
43,0,0,0.0,0,La,DET,34.57918167114258,23611
44,0,0,0.0,0,religión,NOUN,29.289735794067383,23611
45,0,0,0.0,0,lo,PRON,31.956382751464844,23611
46,0,0,0.0,0,arruina,VERB,32.960514068603516,23611
47,0,0,0.0,0,todo,DET,31.775672912597656,23611
48,0,0,0.0,0,"""",PUNCT,31.59507942199707,23611
49,0,0,0.0,0,.,PUNCT,33.131072998046875,23611
