,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Four,NUM,24.310867309570312,13087,Cuatrocientas,DET,32.78774642944336,13087
1,hundred,NUM,21.78328514099121,13087,partes,NOUN,33.512908935546875,13087
2,parts,NOUN,21.667062759399414,13087,millón,NOUN,31.86699867248535,13087
3,per,ADP,20.928050994873047,13087,por,ADP,32.984439849853516,13087
4,million,NUM,21.049684524536133,13087,0,0,0.0,0
5,:,PUNCT,19.752700805664062,13087,.,PUNCT,32.73310089111328,13087
6,that,DET,19.4138126373291,15445,Esa,PRON,31.78329086303711,15445
7,'s,AUX,21.70076560974121,15445,es,AUX,32.28554153442383,15445
8,the,DET,23.115928649902344,15445,la,DET,34.44984436035156,15445
9,concentration,NOUN,21.922346115112305,15445,concentración,NOUN,30.76406478881836,15445
10,approximate,ADJ,20.10834312438965,15445,aproximada,ADJ,33.223114013671875,15445
11,of,ADP,23.052032470703125,15445,del,ADP,34.75882339477539,15445
12,CO2,PROPN,23.590158462524414,15445,CO2,NOUN,32.2646369934082,15445
13,in,ADP,20.93999671936035,15445,en,ADP,30.90877914428711,15445
14,the,DET,23.66351890563965,15445,el,DET,33.565040588378906,15445
15,air,NOUN,19.045059204101562,15445,aire,NOUN,30.421669006347656,15445
16,0,0,0.0,0,hoy,ADV,33.23005676269531,15445
17,0,0,0.0,0,en,ADP,33.05182647705078,15445
18,today,NOUN,21.040172576904297,15445,día,NOUN,32.12678527832031,15445
19,.,PUNCT,22.7758731842041,15445,.,PUNCT,32.319637298583984,15445
20,0,0,0.0,0,¿,PUNCT,30.243438720703125,20247
21,0,0,0.0,0,Qué,PRON,31.849668502807617,20247
22,0,0,0.0,0,significa,VERB,33.709415435791016,20247
23,0,0,0.0,0,esto,PRON,32.56424331665039,20247
24,0,0,0.0,0,?,PUNCT,32.92628479003906,20247
25,For,ADP,20.225446701049805,22083,Por,ADP,34.536258697509766,22083
26,every,DET,21.937299728393555,22083,cada,NUM,32.960174560546875,22083
27,400,NUM,22.191598892211914,22083,400,NUM,34.99281692504883,22083
28,molecules,NOUN,21.475088119506836,22083,moléculas,NOUN,36.48207092285156,22083
29,of,ADP,22.240772247314453,22083,de,ADP,31.352996826171875,22083
30,carbon,NOUN,20.432510375976562,22083,dióxido,NOUN,27.82084083557129,22083
31,0,0,0.0,0,de,ADP,28.630170822143555,22083
32,dioxide,NOUN,17.74534034729004,22083,carbono,NOUN,30.005325317382812,22083
33,",",PUNCT,21.24818229675293,22083,",",PUNCT,30.0462703704834,22083
34,0,0,0.0,0,hay,AUX,34.85810470581055,25511
35,0,0,0.0,0,un,NUM,35.48283004760742,25511
36,0,0,0.0,0,millón,NOUN,31.048189163208008,25511
37,0,0,0.0,0,de,ADP,33.17209243774414,25511
38,0,0,0.0,0,moléculas,NOUN,34.99640655517578,25511
39,0,0,0.0,0,de,ADP,33.02736282348633,25511
40,0,0,0.0,0,oxígeno,NOUN,31.212047576904297,25511
41,0,0,0.0,0,y,CONJ,34.23222732543945,25511
42,0,0,0.0,0,nitrógeno,ADJ,32.19310760498047,25511
43,0,0,0.0,0,.,PUNCT,32.80841827392578,25511
44,In,ADP,20.898427963256836,30068,En,ADP,32.317054748535156,30068
45,this,DET,25.46446990966797,30068,esta,DET,33.78274917602539,30068
46,room,NOUN,19.900264739990234,30068,sala,NOUN,33.386940002441406,30068
47,today,NOUN,22.856706619262695,30068,personas,NOUN,35.2431526184082,30068
48,",",PUNCT,22.370838165283203,30068,0,0,0.0,0
49,there,PRON,22.624622344970703,30068,unas,PRON,30.543598175048828,30068
50,are,AUX,24.5180606842041,30068,hay,AUX,34.391517639160156,30068
51,about,ADV,20.269533157348633,30068,ahora,ADV,34.20870590209961,30068
52,"1,800",NUM,23.44729995727539,30068,1800,NUM,34.696266174316406,30068
53,of,ADP,25.71349334716797,30068,0,0,0.0,0
54,us,PRON,23.783992767333984,30068,0,0,0.0,0
55,.,PUNCT,21.51932144165039,30068,.,PUNCT,33.736053466796875,30068
56,Imagine,VERB,19.014678955078125,33993,Imaginen,VERB,33.400142669677734,33993
57,just,ADV,23.34807586669922,33993,si,SCONJ,36.236080169677734,33993
58,one,NUM,20.70913314819336,33993,una,DET,32.1823844909668,33993
59,of,ADP,24.5172061920166,33993,con,ADP,32.15596008300781,33993
60,us,PRON,23.242115020751953,33993,sola,ADJ,35.619773864746094,33993
61,was,AUX,24.380197525024414,33993,hubiera,AUX,35.23212814331055,33993
62,wearing,VERB,26.26406478881836,33993,persona,NOUN,33.63774871826172,33993
63,a,DET,22.220199584960938,33993,una,DET,35.489192962646484,33993
64,green,ADJ,21.103483200073242,33993,verde,ADJ,36.9505500793457,33993
65,shirt,NOUN,20.992206573486328,33993,camisa,NOUN,34.078861236572266,33993
66,",",PUNCT,21.76422119140625,33993,0,0,0.0,0
67,and,CCONJ,20.787517547607422,37850,y,CONJ,32.97150421142578,37850
68,you,PRON,23.403541564941406,37850,se,PRON,30.89012908935547,37850
69,'re,AUX,22.661645889282227,37850,nos,PRON,32.03504180908203,37850
70,asked,VERB,21.669309616088867,37850,pidiera,VERB,35.04341506958008,37850
71,to,PART,23.668123245239258,37850,0,0,0.0,0
72,find,VERB,25.214380264282227,37850,0,0,0.0,0
73,that,DET,20.945392608642578,37850,0,0,0.0,0
74,single,ADJ,22.574684143066406,37850,0,0,0.0,0
75,person,NOUN,20.30352783203125,37850,encontrarla,NOUN,31.445602416992188,37850
76,.,PUNCT,21.698583602905273,37850,.,PUNCT,33.373268127441406,37850
77,That,DET,20.115060806274414,41224,Ese,PRON,32.24474334716797,41224
78,'s,AUX,22.05474090576172,41224,es,AUX,30.185768127441406,41224
79,the,DET,23.034154891967773,41224,el,DET,35.00429153442383,41224
80,challenge,NOUN,19.223388671875,41224,reto,NOUN,29.77379608154297,41224
81,0,0,0.0,0,al,ADP,34.03063201904297,41224
82,we,PRON,22.672677993774414,41224,que,PRON,32.40427017211914,41224
83,when,ADV,25.04529571533203,41224,nos,PRON,31.635353088378906,41224
84,facing,VERB,26.277902603149414,41224,enfrentamos,VERB,34.81500244140625,41224
85,CO2,PROPN,22.54279136657715,41224,cuando,SCONJ,37.14392852783203,41224
86,'re,AUX,22.249053955078125,41224,hay,AUX,31.833784103393555,41224
87,0,0,0.0,0,que,SCONJ,32.4028205871582,41224
88,capturing,VERB,22.60567855834961,41224,capturar,VERB,36.51985549926758,41224
89,0,0,0.0,0,CO2,NOUN,34.93986892700195,41224
90,directly,ADV,21.081527709960938,44967,directamente,ADV,35.5908317565918,44967
91,out,SCONJ,21.922637939453125,44967,0,0,0.0,0
