,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Today,NOUN,19.353103637695312,12975,Hoy,NOUN,32.367340087890625,12975
1,40,NUM,22.68889808654785,12975,día,NOUN,34.12656784057617,12975
2,0,0,0.0,0,",",PUNCT,31.296592712402344,12975
3,million,NUM,23.48589515686035,12975,40,NUM,38.03007888793945,12975
4,Americans,PROPN,22.88872528076172,12975,millones,NOUN,35.53089141845703,12975
5,for,ADP,24.349632263183594,12975,de,ADP,32.46391296386719,12975
6,passage,NOUN,20.4812068939209,12975,estadounidenses,NOUN,34.874542236328125,12975
7,are,AUX,25.358247756958008,12975,están,AUX,36.647064208984375,12975
8,indebted,ADJ,22.39855194091797,12975,endeudados,ADJ,35.258148193359375,12975
9,to,ADP,20.719463348388672,12975,por,ADP,35.27041244506836,16579
10,the,DET,21.568103790283203,12975,su,DET,34.7960205078125,16579
11,economy,NOUN,19.137258529663086,12975,entrada,NOUN,32.18587875366211,16579
12,0,0,0.0,0,a,ADP,32.674293518066406,16579
13,their,DET,23.55643081665039,12975,la,DET,34.54332733154297,16579
14,new,ADJ,20.447595596313477,12975,nueva,ADJ,34.73048782348633,16579
15,0,0,0.0,0,economía,NOUN,34.6590690612793,16579
16,.,PUNCT,20.271713256835938,12975,.,PUNCT,33.1660270690918,16579
17,0,0,0.0,0,Sin,ADP,32.939170837402344,19919
18,0,0,0.0,0,dinero,NOUN,32.75937271118164,19919
19,0,0,0.0,0,para,ADP,34.877159118652344,19919
20,0,0,0.0,0,pagar,VERB,36.924320220947266,19919
21,0,0,0.0,0,sus,DET,32.70132064819336,19919
22,0,0,0.0,0,estudios,NOUN,35.2476692199707,19919
23,0,0,0.0,0,universitarios,ADJ,33.33623504638672,19919
24,0,0,0.0,0,",",PUNCT,30.809093475341797,19919
25,owe,VERB,21.170894622802734,22167,deben,VERB,34.27012252807617,22363
26,now,ADV,23.3188533782959,22167,ahora,ADV,33.60900115966797,22363
27,they,PRON,24.6636905670166,22167,a,ADP,33.064064025878906,22363
28,more,ADJ,19.124231338500977,22167,sus,DET,33.9627685546875,22363
29,lenders,NOUN,19.690004348754883,22167,acreedores,NOUN,33.21980667114258,22363
30,than,SCONJ,22.470373153686523,22167,más,ADV,34.00247573852539,22363
31,one,NUM,20.846128463745117,22167,de,ADP,32.22409439086914,22363
32,trillion,NUM,22.669963836669922,22167,un,DET,32.304222106933594,22363
33,dollars,NOUN,19.33491325378418,22167,billón,NOUN,31.00151824951172,22363
34,0,0,0.0,0,de,ADP,31.11544418334961,22363
35,US,PROPN,21.305875778198242,22167,USD,PROPN,35.383174896240234,22363
36,.,PUNCT,21.65802001953125,22167,.,PUNCT,32.12126159667969,22363
37,find,VERB,22.84463882446289,27709,Toman,VERB,33.93934631347656,27709
38,do,AUX,23.565399169921875,27709,cualquier,DET,33.93110275268555,27709
39,They,PRON,24.72905731201172,27709,trabajo,NOUN,34.71717071533203,27709
40,what,PRON,21.57149887084961,27709,para,ADP,35.96030807495117,29948
41,can,VERB,25.092952728271484,27709,pagar,VERB,36.81898880004883,29948
42,they,PRON,22.82040786743164,27709,una,DET,34.42112350463867,29948
43,jobs,NOUN,19.990201950073242,27709,deuda,NOUN,33.973331451416016,29948
44,get,AUX,25.983640670776367,27709,a,ADP,32.07576370239258,29948
45,0,0,0.0,0,su,DET,34.66331481933594,29948
46,0,0,0.0,0,nombre,NOUN,32.392311096191406,29948
47,0,0,0.0,0,.,PUNCT,31.504518508911133,29948
48,In,ADP,19.367387771606445,33201,En,ADP,32.0569953918457,33201
49,America,PROPN,22.854755401611328,33201,Estados,PROPN,34.21895217895508,33201
50,0,0,0.0,0,Unidos,PROPN,35.60114288330078,33201
51,",",PUNCT,22.430089950561523,33201,",",PUNCT,30.466169357299805,33201
52,0,0,0.0,0,aun,ADV,34.255619049072266,35249
53,0,0,0.0,0,un,DET,36.43824768066406,35249
54,0,0,0.0,0,apostador,NOUN,32.069725036621094,35249
55,0,0,0.0,0,en,ADP,33.314945220947266,35249
56,0,0,0.0,0,bancarrota,NOUN,30.13210105895996,35249
57,0,0,0.0,0,tiene,VERB,35.45450973510742,35249
58,0,0,0.0,0,una,DET,34.79814529418945,35249
59,0,0,0.0,0,segunda,ADJ,34.913597106933594,35249
60,0,0,0.0,0,oportunidad,NOUN,34.07740783691406,35249
61,0,0,0.0,0,.,PUNCT,32.98950958251953,35249
62,But,CCONJ,22.496868133544922,42351,Pero,CONJ,33.67113494873047,42351
63,is,AUX,26.829286575317383,42351,es,AUX,33.7454948425293,42351
64,nearly,ADV,23.736263275146484,42351,casi,ADV,36.855262756347656,42351
65,impossible,ADJ,23.903919219970703,42351,imposible,ADJ,33.46744918823242,42351
66,it,PRON,24.563594818115234,42351,que,SCONJ,32.49015426635742,42351
67,0,0,0.0,0,a,ADP,31.65826416015625,42351
68,0,0,0.0,0,un,DET,33.877017974853516,42351
69,0,0,0.0,0,Estadounidense,PROPN,34.46943664550781,42351
70,American,PROPN,20.347013473510742,45177,se,PRON,34.42728042602539,46293
71,an,DET,23.096817016601562,45177,le,PRON,32.26342010498047,46293
72,get,AUX,25.36833953857422,45177,puedan,AUX,34.20001983642578,46293
73,discharged,VERB,19.948484420776367,45177,condonar,VERB,37.86920166015625,46293
74,their,DET,23.789766311645508,45177,sus,DET,32.73646545410156,46293
75,student,NOUN,19.989971160888672,45177,préstamos,NOUN,34.96017837524414,46293
76,to,PART,22.36565589904785,45177,y,CONJ,33.78089141845703,46293
77,loan,NOUN,20.69011878967285,45177,deudas,NOUN,32.71677780151367,46293
78,for,ADP,20.8431453704834,45177,de,ADP,31.03112030029297,46293
