,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,then,ADV,19.927837371826172,34079,entonces,ADV,37.27032470703125,34000
1,--,PUNCT,18.805992126464844,34079,",",PUNCT,31.708616256713867,34000
2,whoosh,NOUN,18.859521865844727,34079,pum,INTJ,33.07949447631836,34000
3,!,PUNCT,19.817033767700195,34079,¡,PUNCT,32.954734802246094,34000
4,--,PUNCT,18.409860610961914,34079,!,PUNCT,31.063833236694336,34000
5,you,PRON,23.619871139526367,34079,0,0,0.0,0
6,know,VERB,23.651439666748047,34079,Vendría,VERB,31.422119140625,34000
7,",",PUNCT,19.626285552978516,34079,0,0,0.0,0
8,an,DET,21.12375259399414,34079,una,DET,34.258201599121094,34000
9,avalanche,NOUN,20.765968322753906,34079,avalancha,NOUN,31.156118392944336,34000
10,would,VERB,23.989797592163086,34079,0,0,0.0,0
11,come,VERB,24.274667739868164,34079,0,0,0.0,0
12,and,CCONJ,21.197118759155273,36932,y,CONJ,35.55672073364258,36000
13,wipe,VERB,20.772306442260742,36932,aniquilaría,VERB,32.11859893798828,36000
14,out,ADP,21.93084716796875,36932,a,ADP,32.44211959838867,36000
15,the,DET,20.351133346557617,36932,los,DET,35.879451751708984,36000
16,hobbits,NOUN,18.87907600402832,36932,hobbits,NOUN,34.61488342285156,36000
17,",",PUNCT,21.034719467163086,36932,",",PUNCT,30.347620010375977,36000
18,right,ADJ,21.29507064819336,36932,correcto,ADJ,33.42129135131836,36000
19,?,PUNCT,21.961326599121094,36932,¿,PUNCT,30.171358108520508,36000
20,So,CCONJ,19.34943199157715,38961,?,PUNCT,29.820974349975586,36000
21,this,DET,22.372739791870117,38961,0,0,0.0,0
22,is,AUX,23.47624969482422,38961,es,AUX,33.26420211791992,36000
23,a,DET,23.651884078979492,38961,una,DET,34.7252197265625,36000
24,very,ADV,27.33110237121582,38961,Entonces,ADV,31.466266632080078,36000
25,attractive,ADJ,22.557998657226562,38961,atractiva,ADJ,35.645267486572266,36000
26,idea,NOUN,19.922386169433594,38961,idea,NOUN,32.46787643432617,36000
27,",",PUNCT,21.860366821289062,38961,0,0,0.0,0
