,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.92741584777832,12844,0,0,0.0,0
1,'m,AUX,23.34319305419922,12844,Soy,AUX,32.25126647949219,12844
2,a,DET,22.647939682006836,12844,0,0,0.0,0
3,biological,ADJ,21.392677307128906,12844,biológica,ADJ,33.00663757324219,12844
4,oceanographer,NOUN,20.98129653930664,12844,oceanógrafa,NOUN,30.927642822265625,12844
5,.,PUNCT,21.338064193725586,12844,.,PUNCT,32.80091857910156,12844
6,I,PRON,25.15203285217285,15698,Tengo,VERB,32.007591247558594,15698
7,have,AUX,22.94892692565918,15698,el,DET,35.18081283569336,15698
8,the,DET,21.823585510253906,15698,la,DET,33.36057662963867,15698
9,absolute,ADJ,20.288307189941406,15698,gran,ADJ,35.821956634521484,15698
10,privilege,NOUN,19.204509735107422,15698,privilegio,NOUN,32.14436721801758,15698
11,of,ADP,24.179107666015625,15698,de,ADP,32.942787170410156,15698
12,studying,VERB,22.857213973999023,15698,estudiar,VERB,37.29976272583008,15698
13,microbial,ADJ,18.93635368347168,15698,microbiana,ADJ,34.06511688232422,15698
14,lives,NOUN,20.042600631713867,15698,vida,NOUN,32.22711181640625,15698
15,in,ADP,21.002565383911133,20349,en,ADP,32.61471176147461,20349
16,the,DET,22.173519134521484,20349,el,DET,34.69646453857422,20349
17,Pacific,PROPN,22.85264015197754,20349,océano,NOUN,31.50938606262207,20349
18,Ocean,PROPN,21.492563247680664,20349,Pacífico,PROPN,35.42030334472656,20349
19,.,PUNCT,20.242752075195312,20349,.,PUNCT,31.442180633544922,20349
20,So,ADV,19.040225982666016,22311,Enseguida,ADV,30.393035888671875,22247
21,we,PRON,24.788583755493164,22311,0,0,0.0,0
22,'ll,VERB,22.94236946105957,22311,hablaremos,VERB,32.504188537597656,22247
23,talk,VERB,23.564990997314453,22311,0,0,0.0,0
24,about,ADP,22.663551330566406,22311,de,ADP,31.73467445373535,22247
25,microbes,NOUN,18.858736038208008,22311,microbios,NOUN,34.43760299682617,22247
26,in,ADP,22.69133949279785,22311,0,0,0.0,0
27,a,DET,23.094018936157227,22311,los,DET,36.473690032958984,22247
28,minute,NOUN,17.39063262939453,22311,0,0,0.0,0
29,",",PUNCT,20.69388771057129,22311,",",PUNCT,29.713375091552734,22247
30,but,CCONJ,20.178739547729492,24311,pero,CONJ,34.27803039550781,24071
31,I,PRON,24.81732177734375,24311,0,0,0.0,0
32,first,ADV,23.174148559570312,24311,primero,ADV,32.509742736816406,24071
33,want,VERB,23.43529510498047,24311,quiero,VERB,33.833892822265625,24071
34,to,PART,23.566112518310547,24311,darles,ADJ,32.5179443359375,24071
35,give,VERB,25.6831111907959,24311,0,0,0.0,0
36,you,PRON,23.23740005493164,24311,0,0,0.0,0
37,a,DET,22.311595916748047,24311,una,DET,32.54864501953125,24071
38,sense,NOUN,19.505781173706055,24311,lugar,NOUN,30.14314842224121,24071
39,of,ADP,25.3842716217041,24311,del,ADP,34.71134948730469,24071
40,place,NOUN,20.733089447021484,24311,idea,NOUN,30.66115951538086,24071
41,",",PUNCT,22.29206657409668,24311,",",PUNCT,28.484848022460938,24071
42,a,DET,23.586355209350586,26509,0,0,0.0,0
43,sense,NOUN,18.914077758789062,26509,0,0,0.0,0
44,of,ADP,23.93622589111328,26509,0,0,0.0,0
45,scale,NOUN,19.389001846313477,26509,0,0,0.0,0
46,.,PUNCT,21.154245376586914,26509,0,0,0.0,0
47,The,DET,21.175159454345703,28193,El,DET,35.97550582885742,28193
48,Pacific,PROPN,23.330934524536133,28193,océano,NOUN,31.647933959960938,28193
49,Ocean,PROPN,21.588577270507812,28193,Pacífico,PROPN,35.248878479003906,28193
50,is,AUX,22.68021583557129,28193,es,AUX,33.26417541503906,28193
51,our,DET,23.583980560302734,28193,nuestra,DET,33.53266906738281,28193
52,ocean,NOUN,19.129199981689453,28193,cuenca,NOUN,33.75435256958008,28193
53,largest,ADJ,22.117292404174805,28193,oceánica,ADJ,32.4881706237793,28193
54,",",PUNCT,19.861135482788086,28193,más,ADV,36.6898193359375,28193
55,deepest,ADJ,20.296524047851562,28193,grande,ADJ,34.41928482055664,28193
56,basin,NOUN,18.116199493408203,28193,y,CONJ,33.2874755859375,28193
57,0,0,0.0,0,profunda,ADJ,31.240978240966797,28193
58,.,PUNCT,22.779165267944336,28193,.,PUNCT,32.397911071777344,28193
59,covers,VERB,24.899639129638672,32276,Cubre,VERB,29.533573150634766,32276
60,It,PRON,23.234045028686523,32276,unos,PRON,32.24903106689453,32276
61,60,NUM,21.909116744995117,32276,155,NUM,37.362823486328125,32276
62,million,NUM,23.30653953552246,32276,millones,NOUN,35.51006317138672,32276
63,0,0,0.0,0,de,ADP,32.427391052246094,32276
64,miles,NOUN,20.4149112701416,32276,kilómetros,NOUN,35.653167724609375,32276
65,square,ADJ,21.992965698242188,32276,cuadrados,ADJ,36.70429611206055,32276
66,.,PUNCT,20.102441787719727,32276,.,PUNCT,31.92078971862793,32276
67,If,SCONJ,21.73240089416504,35179,Si,SCONJ,31.941558837890625,35179
68,you,PRON,24.973560333251953,35179,tomáramos,AUX,31.688146591186523,35179
69,took,VERB,24.65269660949707,35179,todos,DET,34.23414611816406,35179
70,all,DET,21.13789939880371,35179,los,DET,35.22096633911133,35179
71,the,DET,21.65374183654785,35179,los,DET,33.153499603271484,35179
72,continents,NOUN,19.782073974609375,35179,continentes,NOUN,35.86521530151367,35179
73,and,CCONJ,20.65435218811035,35179,y,CONJ,35.01362228393555,35179
74,you,PRON,22.90762710571289,35179,uniéramos,NOUN,30.820491790771484,35179
75,put,VERB,23.224031448364258,35179,0,0,0.0,0
76,them,PRON,25.34398078918457,35179,0,0,0.0,0
77,together,ADV,23.565765380859375,35179,0,0,0.0,0
78,in,ADP,20.154499053955078,37899,en,ADP,34.88486862182617,37572
79,a,DET,21.859699249267578,37899,una,DET,34.47560119628906,37572
80,little,ADJ,19.967317581176758,37899,pequeña,ADJ,31.21341323852539,37572
81,Pangaea,PROPN,22.107547760009766,37899,Pangea,PROPN,34.585784912109375,37572
82,2.0,NUM,19.599340438842773,37899,II,PROPN,34.750831604003906,37572
83,",",PUNCT,21.931110382080078,37899,",",PUNCT,29.699687957763672,37572
84,they,PRON,23.722747802734375,39186,cómodamente,ADV,33.05268859863281,39186
