,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,CCONJ,17.88119888305664,13291,0,0,0.0,0
1,I,PRON,24.638219833374023,13291,mi,DET,34.05301284790039,13291
2,'ve,AUX,21.885995864868164,13291,0,0,0.0,0
3,experienced,VERB,22.507226943969727,13291,experimenté,VERB,28.7736759185791,13291
4,a,DET,23.473793029785156,13291,muchos,DET,35.420310974121094,13291
5,lot,NOUN,23.01908302307129,13291,éxitos,NOUN,35.21064758300781,13291
6,of,ADP,25.42531394958496,13291,En,ADP,33.59477615356445,13291
7,success,NOUN,19.469606399536133,13291,vida,NOUN,29.11968231201172,13291
8,in,ADP,20.66419792175293,13291,0,0,0.0,0
9,my,DET,23.418516159057617,13291,0,0,0.0,0
10,life,NOUN,18.850820541381836,13291,0,0,0.0,0
11,.,PUNCT,21.901880264282227,13291,.,PUNCT,32.77180862426758,13291
12,0,0,0.0,0,Hace,AUX,36.060508728027344,17792
13,ago,ADV,19.736488342285156,17792,más,ADV,36.78841781616211,17792
14,Over,ADP,19.311100006103516,17792,de,ADP,32.59513473510742,17792
15,a,DET,24.113554000854492,17792,una,DET,30.99372673034668,17792
16,decade,NOUN,21.433303833007812,17792,década,NOUN,30.84062385559082,17792
17,",",PUNCT,21.162992477416992,17792,",",PUNCT,30.264986038208008,17792
18,straight,ADV,18.843626022338867,19647,recién,ADV,35.74108123779297,19647
19,I,PRON,25.022890090942383,19647,salido,ADJ,33.675872802734375,19647
20,of,ADP,21.217670440673828,19647,de,ADP,30.28308868408203,19647
21,a,DET,21.867313385009766,19647,la,DET,33.632476806640625,19647
22,uni,PROPN,19.81620216369629,19647,universidad,PROPN,33.3137321472168,19647
23,",",PUNCT,20.040834426879883,19647,",",PUNCT,31.554519653320312,19647
24,started,VERB,25.5675048828125,19647,inicié,VERB,35.239646911621094,19647
25,out,SCONJ,22.478683471679688,19647,un,DET,34.9783821105957,19647
26,business,NOUN,20.452899932861328,19647,negocio,NOUN,31.07097625732422,19647
27,with,ADP,20.714235305786133,19647,con,ADP,34.53840255737305,19647
28,my,DET,20.659833908081055,19647,mi,DET,31.86433219909668,19647
29,mate,NOUN,17.998085021972656,19647,amigo,NOUN,29.145252227783203,19647
30,Scott,PROPN,21.491376876831055,19647,Scott,PROPN,33.72309875488281,19647
31,.,PUNCT,19.730119705200195,19647,.,PUNCT,32.168487548828125,19647
32,Now,ADV,23.664844512939453,24170,Ahora,ADV,31.351974487304688,24170
33,",",PUNCT,22.59442710876465,24170,",",PUNCT,31.750545501708984,24170
34,having,VERB,22.859012603759766,24170,bien,ADV,34.6097412109375,24170
35,no,DET,23.489286422729492,24170,sin,ADP,34.274925231933594,24170
36,prior,ADJ,20.265682220458984,24170,previa,ADJ,35.66967010498047,24170
37,business,NOUN,19.183012008666992,24170,experiencia,NOUN,33.049591064453125,24170
38,experience,NOUN,18.68712615966797,24170,0,0,0.0,0
39,and,CCONJ,20.666934967041016,26906,y,CONJ,32.526798248291016,26906
40,not,PART,21.929777145385742,26906,sin,ADP,32.61197280883789,26906
41,really,ADV,21.978097915649414,26906,0,0,0.0,0
42,any,DET,23.6378231048584,26906,un,DET,37.382476806640625,26906
43,grand,ADJ,19.569961547851562,26906,importante,ADJ,33.76496887207031,26906
44,plan,NOUN,18.730987548828125,26906,plan,NOUN,33.13903045654297,26906
45,--,PUNCT,20.21632194519043,26906,...,PUNCT,31.178030014038086,26906
46,in,ADP,20.798748016357422,29174,0,0,0.0,0
47,fact,NOUN,18.749164581298828,29174,objetivos,NOUN,33.862648010253906,29174
48,",",PUNCT,20.89281463623047,29174,eran,AUX,36.29840850830078,29174
