,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,0,0,0.0,0,La,DET,34.175811767578125,13024
1,Paleontology,NOUN,21.490550994873047,13024,paleontología,NOUN,32.183284759521484,13024
2,",",PUNCT,21.14958953857422,13024,",",PUNCT,30.56413459777832,13024
3,0,0,0.0,0,una,DET,34.30177688598633,13024
4,0,0,0.0,0,ciencia,NOUN,31.53605842590332,13024
5,0,0,0.0,0,para,ADP,34.19426345825195,13024
6,0,0,0.0,0,los,DET,35.956539154052734,13024
7,0,0,0.0,0,niños,NOUN,36.32893753051758,13024
8,0,0,0.0,0,pequeños,ADJ,34.963294982910156,13024
9,0,0,0.0,0,",",PUNCT,30.65056037902832,13024
10,0,0,0.0,0,trata,AUX,34.8459587097168,17648
11,on,ADP,19.561616897583008,17643,de,ADP,31.806020736694336,17648
12,digging,VERB,23.393434524536133,17643,desenterrar,VERB,38.24595642089844,17648
13,dinosaurs,NOUN,18.87826156616211,17643,dinosaurios,NOUN,33.90263748168945,17648
14,0,0,0.0,0,mientras,SCONJ,36.16569900512695,17648
15,focused,VERB,20.42957305908203,17643,visten,VERB,35.40064239501953,17648
16,0,0,0.0,0,un,DET,32.64645004272461,17648
17,0,0,0.0,0,disfraz,NOUN,33.819969177246094,17648
18,up,ADP,22.944381713867188,17643,de,ADP,31.87886619567871,17648
19,0,0,0.0,0,"""",PUNCT,32.702598571777344,17648
20,0,0,0.0,0,Parque,PROPN,36.17304611206055,17648
21,0,0,0.0,0,Jurásico,PROPN,35.1711311340332,17648
22,0,0,0.0,0,"""",PUNCT,30.113554000854492,17648
23,0,0,0.0,0,.,PUNCT,33.32610321044922,17648
24,are,AUX,25.125051498413086,23188,Los,DET,34.993995666503906,23188
25,Skulls,NOUN,25.143051147460938,23188,cráneos,NOUN,34.40563201904297,23188
26,out,SCONJ,20.97394561767578,23188,se,PRON,32.80132293701172,23188
27,popped,VERB,23.201461791992188,23188,desentierran,VERB,36.69371795654297,23188
28,0,0,0.0,0,y,CONJ,32.74502182006836,23188
29,0,0,0.0,0,se,PRON,31.60333824157715,23188
30,0,0,0.0,0,muestran,VERB,36.399497985839844,23188
31,of,ADP,24.161396026611328,23188,a,ADP,34.19078826904297,23188
32,the,DET,23.615497589111328,23188,un,DET,38.1109733581543,23188
33,ground,NOUN,17.8514404296875,23188,público,NOUN,31.746131896972656,23188
34,0,0,0.0,0,boquiabierto,ADJ,34.544532775878906,23188
35,0,0,0.0,0,.,PUNCT,31.23681640625,23188
36,0,0,0.0,0,Se,PRON,33.90514373779297,28204
37,of,ADP,25.39599609375,28204,desconoce,VERB,36.97416305541992,28204
38,The,DET,22.645458221435547,28204,su,DET,35.03841781616211,28204
39,relevance,NOUN,21.425811767578125,28204,importancia,NOUN,31.203384399414062,28204
40,",",PUNCT,21.959266662597656,28204,",",PUNCT,31.009275436401367,28204
41,0,0,0.0,0,más,ADV,31.67506980895996,28204
42,clickbait,PROPN,17.509977340698242,28204,allá,ADV,37.27665328979492,28204
43,beyond,ADP,18.903484344482422,28204,de,ADP,31.573265075683594,28204
44,this,DET,20.572647094726562,28204,los,DET,34.264461517333984,28204
45,books,NOUN,19.426305770874023,28204,ciberanzuelos,NOUN,33.65764617919922,28204
46,",",PUNCT,24.2191104888916,28204,",",PUNCT,31.143009185791016,28204
47,and,CCONJ,24.5203914642334,28204,los,DET,34.239192962646484,30981
48,movies,NOUN,20.048946380615234,28204,libros,NOUN,34.73573684692383,30981
49,0,0,0.0,0,para,ADP,36.66910934448242,30981
50,coloring,VERB,21.162700653076172,28204,colorear,VERB,37.043174743652344,30981
51,0,0,0.0,0,y,CONJ,30.801822662353516,30981
52,0,0,0.0,0,las,DET,34.95146942138672,30981
53,monster,NOUN,18.789840698242188,28204,películas,NOUN,33.78544235229492,30981
54,0,0,0.0,0,de,ADP,29.528676986694336,30981
55,0,0,0.0,0,monstruos,NOUN,34.58355712890625,30981
56,0,0,0.0,0,.,PUNCT,31.68797492980957,30981
57,No,INTJ,21.782758712768555,34792,No,ADV,32.94905090332031,34942
58,...,PUNCT,16.694360733032227,34792,...,PUNCT,33.08230972290039,34942
59,Wait,VERB,21.320919036865234,36357,Esperen,PROPN,34.37395095825195,36357
60,.,PUNCT,20.37152099609375,36357,.,PUNCT,30.353349685668945,36357
61,That,DET,19.775264739990234,38801,La,DET,33.7859001159668,38801
62,'s,AUX,22.325565338134766,38801,es,AUX,34.50453567504883,38801
63,not,PART,23.13066291809082,38801,0,0,0.0,0
64,paleontology,NOUN,21.16546058654785,38801,paleontología,NOUN,32.50145721435547,38801
65,at,ADV,21.422229766845703,38801,eso,PRON,32.255592346191406,38801
