,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.211780548095703,15910,Tengo,VERB,34.387264251708984,15910
1,have,AUX,22.88629150390625,15910,0,0,0.0,0
2,a,DET,21.91191291809082,15910,un,DET,36.22978210449219,15910
3,friend,NOUN,22.660120010375977,15910,amigo,NOUN,33.072235107421875,15910
4,in,ADP,22.89340591430664,15910,en,ADP,34.11030197143555,15910
5,Portugal,PROPN,21.990097045898438,15910,Portugal,PROPN,36.2974739074707,15910
6,whose,DET,19.775941848754883,18158,cuyo,PRON,34.49542999267578,18158
7,grandfather,NOUN,21.551923751831055,18158,abuelo,NOUN,34.51292419433594,18158
8,built,VERB,23.41510581970215,18158,construyó,VERB,36.62442398071289,18158
9,a,DET,23.90625762939453,18158,un,DET,37.8587760925293,18158
10,vehicle,NOUN,20.324460983276367,18158,vehículo,NOUN,32.83332061767578,18158
11,out,SCONJ,20.682937622070312,18158,0,0,0.0,0
12,of,ADP,24.006961822509766,18158,con,ADP,34.1895637512207,18158
13,a,DET,22.962486267089844,18158,una,DET,34.73020553588867,18158
14,bicycle,NOUN,20.833145141601562,18158,bicicleta,NOUN,31.99168586730957,18158
15,and,CCONJ,19.411733627319336,20582,y,CONJ,33.38389205932617,20582
16,a,DET,20.839506149291992,20582,una,DET,33.9863166809082,20582
17,washing,NOUN,20.19096565246582,20582,lavadora,NOUN,31.17733383178711,20582
18,machine,NOUN,19.50973129272461,20582,para,ADP,33.55738067626953,20582
19,so,SCONJ,17.916501998901367,20582,poder,AUX,35.928802490234375,20582
20,he,PRON,24.760976791381836,20582,0,0,0.0,0
21,could,VERB,24.105737686157227,20582,a,ADP,33.11387634277344,20582
22,transport,VERB,24.073286056518555,20582,transportar,VERB,36.232723236083984,20582
23,his,DET,24.32232666015625,20582,su,DET,35.63623809814453,20582
24,family,NOUN,20.914339065551758,20582,familia,NOUN,32.93059539794922,20582
25,.,PUNCT,20.644079208374023,20582,.,PUNCT,32.60853958129883,20582
26,He,PRON,23.3078670501709,23734,Lo,PRON,32.852020263671875,23734
27,did,AUX,25.96156883239746,23734,podía,AUX,35.98234176635742,23734
28,it,PRON,22.796478271484375,23734,no,ADV,35.42854690551758,23734
29,because,SCONJ,19.54813003540039,23734,porque,SCONJ,35.698368072509766,23734
30,he,PRON,24.67047119140625,23734,0,0,0.0,0
31,could,VERB,26.351354598999023,23734,pagar,VERB,37.795204162597656,23734
32,n't,PART,27.313840866088867,23734,0,0,0.0,0
33,afford,VERB,23.430601119995117,23734,construyó,VERB,35.48912048339844,23734
34,a,DET,23.030061721801758,23734,un,DET,36.885093688964844,23734
35,car,NOUN,20.781190872192383,23734,auto,NOUN,32.77299118041992,23734
36,",",PUNCT,21.373882293701172,23734,",",PUNCT,29.923675537109375,23734
37,but,CCONJ,21.6356258392334,26278,pero,CONJ,34.1187858581543,26278
38,also,ADV,20.669153213500977,26278,también,ADV,34.07543182373047,26278
39,because,SCONJ,18.732208251953125,26278,porque,SCONJ,33.91036605834961,26278
40,he,PRON,25.66742515563965,26278,cómo,PRON,34.480743408203125,26278
41,knew,VERB,26.530799865722656,26278,sabía,VERB,36.7658576965332,26278
42,how,ADV,22.272167205810547,26278,0,0,0.0,0
43,to,PART,22.05168914794922,26278,0,0,0.0,0
44,build,VERB,23.50202751159668,26278,hacerlo,VERB,32.87423324584961,26278
45,one,NUM,19.953044891357422,26278,0,0,0.0,0
46,.,PUNCT,22.049766540527344,26278,.,PUNCT,34.10939025878906,26278
47,There,PRON,22.764413833618164,29182,En,ADP,34.226417541503906,29182
48,was,AUX,22.6632080078125,29182,0,0,0.0,0
49,a,DET,24.714683532714844,29182,una,DET,33.30335235595703,29182
50,time,NOUN,20.466655731201172,29182,época,NOUN,30.937015533447266,29182
51,when,ADV,23.134235382080078,29182,0,0,0.0,0
52,we,PRON,25.32545280456543,29182,cómo,PRON,33.58928680419922,29182
53,understood,VERB,26.210037231445312,29182,funcionaban,VERB,35.34217834472656,29182
54,how,ADV,22.240800857543945,29182,las,DET,32.365779876708984,29182
55,things,NOUN,21.93133544921875,29182,cosas,NOUN,34.40556335449219,29182
56,worked,VERB,22.891332626342773,29182,sabíamos,VERB,30.31734275817871,29182
57,and,CCONJ,19.775388717651367,32318,y,CONJ,33.762142181396484,32318
58,how,ADV,22.320219039916992,32318,0,0,0.0,0
59,they,PRON,23.233318328857422,32318,cómo,PRON,34.25246047973633,32318
60,were,AUX,24.47557830810547,32318,estaban,AUX,33.09760284423828,32318
61,made,VERB,22.23705291748047,32318,hechas,ADJ,34.568016052246094,32318
62,",",PUNCT,20.699676513671875,32318,",",PUNCT,31.98804473876953,32318
63,so,SCONJ,19.005704879760742,32318,por,ADP,32.74644088745117,32318
64,we,PRON,24.933311462402344,32318,las,PRON,33.98398971557617,32318
65,could,VERB,25.16563606262207,32318,podíamos,AUX,34.01781463623047,32318
66,build,VERB,24.927663803100586,32318,construir,VERB,35.72383499145508,32318
67,and,CCONJ,24.4193115234375,32318,y,CONJ,32.400516510009766,32318
68,repair,VERB,23.26679801940918,32318,reparar,VERB,35.21001052856445,32318
69,them,PRON,22.817781448364258,32318,eso,PRON,34.88795471191406,32318
70,",",PUNCT,21.52703285217285,32318,",",PUNCT,30.791704177856445,32318
71,or,CCONJ,21.709707260131836,36150,o,CONJ,31.63485336303711,36150
72,at,ADP,20.175586700439453,36150,por,ADP,31.13972282409668,36150
73,the,DET,19.786544799804688,36150,lo,DET,33.50284957885742,36150
74,very,ADV,21.00901985168457,36150,menos,ADV,33.06262969970703,36150
75,least,ADJ,19.465167999267578,36150,0,0,0.0,0
76,make,VERB,20.951879501342773,37277,tomar,VERB,34.85889434814453,37277
77,informed,ADJ,22.793325424194336,37277,buenas,ADJ,33.5576057434082,37277
78,decisions,NOUN,21.158418655395508,37277,decisiones,NOUN,35.846824645996094,37277
79,about,ADP,22.69502067565918,37277,de,ADP,32.0622673034668,37277
80,what,PRON,22.082155227661133,37277,compra,NOUN,29.41200828552246,37277
81,to,PART,20.64641571044922,37277,0,0,0.0,0
82,buy,VERB,24.42294692993164,37277,0,0,0.0,0
83,.,PUNCT,20.448383331298828,37277,.,PUNCT,34.1502685546875,37277
84,Many,ADJ,21.341312408447266,40757,caseras,ADJ,36.22052764892578,40757
85,of,ADP,23.672569274902344,40757,de,ADP,31.448108673095703,40757
86,these,DET,21.770137786865234,40757,estas,DET,33.53947830200195,40757
87,do,AUX,21.459016799926758,40757,0,0,0.0,0
88,-,PUNCT,21.247285842895508,40757,0,0,0.0,0
89,it,PRON,20.550790786743164,40757,Muchas,PRON,32.2784538269043,40757
90,-,PUNCT,20.562042236328125,40757,0,0,0.0,0
91,yourself,PRON,22.514894485473633,40757,0,0,0.0,0
92,practices,NOUN,19.206470489501953,40757,prácticas,NOUN,37.26449203491211,40757
93,were,AUX,21.932510375976562,43149,se,PRON,31.574302673339844,43149
94,lost,VERB,21.720788955688477,43149,perdieron,VERB,35.877803802490234,43149
95,in,ADP,22.900991439819336,43149,en,ADP,34.603370666503906,43149
96,the,DET,21.787221908569336,43149,la,DET,31.971343994140625,43149
97,second,ADJ,18.108190536499023,43149,segunda,ADJ,35.49311828613281,43149
98,half,NOUN,21.27139663696289,43149,mitad,NOUN,31.545082092285156,43149
99,of,ADP,23.45671844482422,43149,del,ADP,32.86785125732422,43149
100,the,DET,21.559932708740234,43149,siglo,NOUN,32.25082015991211,43149
101,20th,ADJ,20.501794815063477,43149,0,0,0.0,0
102,century,NOUN,19.165624618530273,43149,XX,NOUN,33.827392578125,43149
103,.,PUNCT,20.240901947021484,43149,.,PUNCT,32.879486083984375,43149
104,But,CCONJ,21.80229377746582,46358,Pero,CONJ,33.45137405395508,46358
105,now,ADV,22.547292709350586,46358,ahora,ADV,32.526206970214844,46358
106,",",PUNCT,20.98986053466797,46358,",",PUNCT,31.108755111694336,46358
107,the,DET,19.984716415405273,46358,la,DET,34.07399368286133,46358
108,maker,NOUN,17.334123611450195,46358,comunidad,NOUN,31.230791091918945,46358
109,and,CCONJ,22.24525260925293,46358,de,ADP,31.795303344726562,46358
110,community,NOUN,22.383777618408203,46358,hacedores,NOUN,32.557884216308594,46358
111,0,0,0.0,0,y,CONJ,32.016239166259766,46358
112,the,DET,21.38930320739746,46358,el,DET,33.53570556640625,46358
113,source,NOUN,20.767202377319336,46358,modelo,NOUN,28.355710983276367,46358
114,-,PUNCT,22.303895950317383,46358,de,ADP,30.048290252685547,46358
115,model,NOUN,20.37036895751953,46358,código,PROPN,30.641740798950195,46358
116,open,ADJ,19.43773078918457,46358,abierto,ADJ,34.63194274902344,46358
117,are,AUX,23.552410125732422,50030,de,ADP,29.604934692382812,50030
118,bringing,VERB,24.380149841308594,50030,traen,VERB,36.191280364990234,50030
