,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,And,CCONJ,20.798269271850586,20982,vida,NOUN,32.222694396972656,15688
1,for,ADP,21.133806228637695,20982,de,ADP,31.16690444946289,15688
2,me,PRON,23.461563110351562,20982,oportunidades,NOUN,32.832550048828125,15688
3,",",PUNCT,19.724096298217773,20982,",",PUNCT,30.54845428466797,15688
4,that,DET,18.732202529907227,20982,La,DET,34.140682220458984,15688
5,was,AUX,23.727331161499023,20982,es,AUX,34.019317626953125,15688
6,the,DET,24.911012649536133,20982,crearlas,PROPN,33.084228515625,18685
7,Olympic,ADJ,22.135726928710938,20982,y,CONJ,34.638099670410156,18685
8,dream,NOUN,19.668292999267578,20982,aferrarse,NOUN,29.316320419311523,18685
9,.,PUNCT,20.94999122619629,20982,",",PUNCT,31.812570571899414,18685
10,That,DET,18.863513946533203,24093,a,ADP,32.307044982910156,18685
11,'s,AUX,24.14632225036621,24093,y,CONJ,30.6873779296875,18685
12,what,PRON,21.937040328979492,24093,ellas,PRON,34.00908660888672,18685
13,defined,VERB,22.722251892089844,24093,para,ADP,34.2794075012207,18685
14,me,PRON,25.671316146850586,24093,mí,PRON,32.83496856689453,18685
15,.,PUNCT,19.49384307861328,24093,",",PUNCT,29.136707305908203,18685
16,That,DET,19.42720603942871,24093,eso,PRON,33.539737701416016,21835
17,was,AUX,21.756908416748047,24093,era,AUX,33.74233627319336,21835
18,my,DET,21.86021614074707,24093,el,DET,34.16399383544922,21835
19,bliss,NOUN,17.69500732421875,24093,sueño,NOUN,32.73775863647461,21835
20,.,PUNCT,21.85106086730957,24093,.,PUNCT,31.935611724853516,21835
21,As,SCONJ,22.79813003540039,27771,Era,AUX,34.43690872192383,23766
22,a,DET,25.030242919921875,27771,lo,DET,33.24119186401367,23766
23,cross,ADJ,19.806713104248047,27771,olímpico,ADJ,35.699668884277344,21835
24,-,ADJ,21.27859115600586,27771,que,PRON,33.634132385253906,23766
25,country,ADJ,20.30657958984375,27771,me,PRON,32.87217330932617,23766
26,skier,NOUN,21.192716598510742,27771,definía,VERB,33.276676177978516,23766
27,and,CCONJ,24.324356079101562,27771,.,PUNCT,34.98204040527344,23766
28,member,NOUN,19.125123977661133,27771,dicha,NOUN,31.762317657470703,23766
29,of,ADP,21.141416549682617,27771,Era,AUX,33.98514175415039,23766
30,the,DET,21.88410758972168,27771,mi,DET,33.2731819152832,23766
31,Australian,ADJ,21.490028381347656,27771,.,PUNCT,32.79214859008789,23766
32,ski,NOUN,18.92857551574707,27771,fondo,NOUN,31.26823616027832,27212
