,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Last,ADJ,21.527400970458984,13917,pasado,ADJ,32.967994689941406,13917
1,summer,NOUN,21.236351013183594,13917,verano,NOUN,31.05915641784668,13917
2,",",PUNCT,22.40146827697754,13917,El,DET,35.80219268798828,13917
3,I,PRON,24.20781707763672,13917,una,DET,34.94005584716797,13917
4,was,AUX,25.893335342407227,13917,caminata,NOUN,33.338619232177734,13917
5,hiking,VERB,23.555660247802734,13917,hice,VERB,33.845481872558594,13917
6,through,ADP,23.151342391967773,13917,por,ADP,34.29534149169922,13917
7,the,DET,21.608545303344727,13917,las,DET,33.91012191772461,13917
8,Austrian,ADJ,22.28362274169922,13917,austríacas,ADJ,38.39208984375,13917
9,mountains,NOUN,22.629886627197266,13917,montañas,NOUN,36.93756866455078,13917
10,.,PUNCT,20.060327529907227,13917,.,PUNCT,33.65926742553711,13917
11,And,CCONJ,20.836917877197266,17875,Y,CONJ,33.24810028076172,17875
12,there,ADV,18.521053314208984,17875,allí,ADV,33.785884857177734,17875
13,",",PUNCT,20.472665786743164,17875,arriba,ADV,33.577781677246094,17875
14,on,ADP,17.948577880859375,17875,de,ADP,32.17231750488281,17875
15,top,NOUN,16.24587631225586,17875,0,0,0.0,0
16,",",PUNCT,22.621788024902344,17875,hermosa,ADJ,33.76958084106445,17875
17,I,PRON,24.26917839050293,17875,y,CONJ,32.10832595825195,17875
18,saw,VERB,26.11712646484375,17875,vi,VERB,30.444238662719727,17875
19,this,DET,23.08484649658203,17875,esta,DET,32.744503021240234,17875
20,beautiful,ADJ,19.670364379882812,17875,remota,ADJ,30.843835830688477,17875
21,",",PUNCT,21.88214683532715,17875,0,0,0.0,0
22,stone,NOUN,16.032155990600586,17875,0,0,0.0,0
23,",",PUNCT,21.177518844604492,17875,0,0,0.0,0
24,remote,PROPN,20.50227165222168,17875,piedra,PROPN,31.378021240234375,17875
25,hut,PROPN,21.216495513916016,17875,cabaña,PROPN,31.709604263305664,17875
26,",",PUNCT,20.697534561157227,17875,0,0,0.0,0
27,and,CCONJ,20.57511329650879,22583,0,0,0.0,0
28,it,PRON,24.7563533782959,22583,0,0,0.0,0
29,had,AUX,23.4053897857666,22583,0,0,0.0,0
30,solar,ADJ,23.63563346862793,22583,solares,ADJ,36.767738342285156,22583
31,panels,NOUN,21.93918800354004,22583,paneles,NOUN,35.00628662109375,22583
32,on,ADP,21.462915420532227,22583,con,ADP,31.921161651611328,22583
33,it,PRON,23.443857192993164,22583,0,0,0.0,0
34,.,PUNCT,21.020536422729492,22583,.,PUNCT,31.97944450378418,22583
35,And,CCONJ,19.92031478881836,24792,0,0,0.0,0
36,every,DET,23.126482009887695,24792,Cada,DET,32.74180603027344,24792
37,time,NOUN,18.268524169921875,24792,vez,NOUN,34.363277435302734,24792
38,I,PRON,25.426856994628906,24792,que,SCONJ,32.76158905029297,24792
39,see,VERB,24.623920440673828,24792,veo,VERB,32.43370819091797,24792
40,solar,ADJ,22.741771697998047,24792,solares,ADJ,34.33063888549805,24792
41,panels,NOUN,21.037378311157227,24792,paneles,NOUN,34.17597198486328,24792
42,",",PUNCT,22.20937156677246,24792,de,ADP,28.920124053955078,24792
43,I,PRON,23.78464698791504,24792,me,PRON,30.12656593322754,24792
44,get,VERB,25.511661529541016,24792,lleno,VERB,36.52455139160156,24792
45,very,ADV,25.954204559326172,24792,entusiasmo,NOUN,30.990697860717773,24792
46,enthusiastic,ADJ,20.440765380859375,24792,0,0,0.0,0
47,.,PUNCT,22.24152183532715,24792,.,PUNCT,31.87893295288086,24792
48,It,PRON,22.338029861450195,28625,que,PRON,32.88371276855469,28625
49,'s,AUX,21.98194122314453,28625,es,AUX,32.835418701171875,28625
50,this,DET,23.28632354736328,28625,Esta,DET,33.1776123046875,28625
51,technology,NOUN,20.199857711791992,28625,tecnología,NOUN,32.39077377319336,28625
52,that,DET,22.321969985961914,28625,la,DET,33.850563049316406,28625
53,takes,VERB,24.964330673217773,28625,toma,VERB,33.300636291503906,28625
54,sunlight,NOUN,17.687686920166016,28625,luz,NOUN,30.135154724121094,28625
55,",",PUNCT,20.83876609802246,28625,",",PUNCT,31.80036163330078,28625
56,which,DET,22.04701042175293,28625,solar,ADJ,32.14287185668945,28625
57,is,AUX,26.447418212890625,28625,está,AUX,33.83943557739258,28625
58,free,ADJ,23.73206329345703,28625,gratuita,ADJ,31.800243377685547,28625
59,and,CCONJ,21.272138595581055,28625,y,CONJ,34.083553314208984,28625
60,available,ADJ,19.8149471282959,28625,disponible,ADJ,33.874942779541016,28625
61,",",PUNCT,20.393321990966797,28625,",",PUNCT,30.792285919189453,28625
62,and,CCONJ,22.349763870239258,32625,y,CONJ,34.155517578125,32625
63,turns,VERB,23.35787582397461,32625,transforma,NOUN,29.70234489440918,32625
64,that,DET,19.71564292907715,32625,la,DET,34.48524856567383,32625
65,into,ADP,20.325117111206055,32625,en,ADP,32.4023323059082,32625
66,electricity,NOUN,19.787717819213867,32625,electricidad,NOUN,29.96703338623047,32625
67,.,PUNCT,20.66081428527832,32625,.,PUNCT,32.564537048339844,32625
68,So,ADV,18.454877853393555,35333,Así,ADV,35.4908447265625,35333
69,0,0,0.0,0,que,SCONJ,30.193405151367188,35333
70,this,DET,22.097829818725586,35333,esta,DET,32.70042419433594,35333
71,hut,PROPN,20.771501541137695,35333,cabaña,NOUN,33.15214157104492,35333
72,",",PUNCT,21.25718879699707,35333,",",PUNCT,30.692676544189453,35333
73,in,ADP,19.39011001586914,35333,en,ADP,31.318851470947266,35333
74,the,DET,23.090227127075195,35333,el,DET,33.29034423828125,35333
75,middle,NOUN,18.63064956665039,35333,medio,NOUN,30.224214553833008,35333
76,of,ADP,22.55064582824707,35333,de,ADP,30.62554931640625,35333
77,nowhere,ADV,19.76776885986328,35333,la,DET,31.554454803466797,35333
78,0,0,0.0,0,nada,PRON,31.248430252075195,35333
79,",",PUNCT,20.17767333984375,35333,",",PUNCT,30.85923957824707,35333
80,on,ADP,18.004676818847656,35333,en,ADP,33.71986389160156,35333
81,a,DET,22.564973831176758,35333,un,DET,38.12602615356445,35333
82,location,NOUN,21.083337783813477,35333,lugar,NOUN,32.64949417114258,35333
83,beautiful,ADJ,20.044414520263672,35333,hermoso,ADJ,34.96918869018555,35333
84,",",PUNCT,21.59134864807129,35333,",",PUNCT,30.61916160583496,35333
85,was,AUX,19.590579986572266,39667,era,AUX,35.572017669677734,39667
86,self,NOUN,22.896690368652344,39667,0,0,0.0,0
87,-,PUNCT,20.415332794189453,39667,.,PUNCT,32.4619255065918,39667
88,sufficient,ADJ,19.348268508911133,39667,autosuficiente,ADJ,35.4229621887207,39667
89,.,PUNCT,21.93399429321289,39667,0,0,0.0,0
90,But,CCONJ,20.816526412963867,42208,Pero,CONJ,33.415061950683594,42208
91,why,ADV,21.77417755126953,42208,",",PUNCT,29.4306640625,42208
92,do,AUX,23.79746437072754,42208,¿,PUNCT,30.024520874023438,42208
93,0,0,0.0,0,por,ADP,33.728397369384766,42208
94,0,0,0.0,0,qué,PRON,31.82219123840332,42208
95,have,AUX,22.816349029541016,42208,los,DET,36.31725311279297,42208
