,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Let,VERB,23.242780685424805,12152,Empezaré,AUX,31.528942108154297,12152
1,me,PRON,26.152647018432617,12152,preguntando,AUX,35.13325119018555,12152
2,start,VERB,24.135604858398438,12152,",",PUNCT,31.06180763244629,12152
3,by,ADP,23.93307113647461,12152,0,0,0.0,0
4,asking,VERB,24.35693359375,12152,levanten,VERB,36.150474548339844,12152
5,you,PRON,22.106075286865234,12152,0,0,0.0,0
6,a,DET,21.11398696899414,12152,sus,DET,32.54880905151367,12152
7,question,NOUN,20.51783561706543,12152,manos,NOUN,34.913028717041016,12152
8,",",PUNCT,21.055253982543945,12152,:,PUNCT,32.88080596923828,12152
9,just,ADV,21.994340896606445,12152,0,0,0.0,0
10,with,ADP,21.597578048706055,12152,0,0,0.0,0
11,a,DET,20.83074378967285,12152,0,0,0.0,0
12,show,NOUN,20.924970626831055,12152,0,0,0.0,0
13,of,ADP,25.59345245361328,12152,0,0,0.0,0
14,hands,NOUN,20.607803344726562,12152,0,0,0.0,0
15,:,PUNCT,19.698579788208008,12152,0,0,0.0,0
16,has,AUX,21.265201568603516,15101,¿,PUNCT,30.853525161743164,15101
17,Who,PRON,19.815385818481445,15101,Quién,PRON,34.83646011352539,15101
18,an,DET,23.61383056640625,15101,tiene,VERB,35.05329132080078,15101
19,iPhone,PROPN,21.20233726501465,15101,iPhone,PROPN,31.347410202026367,15101
20,?,PUNCT,21.380474090576172,15101,?,PUNCT,33.2634391784668,15101
21,Who,PRON,19.80743980407715,17236,Quién,PRON,34.71733856201172,17236
22,has,AUX,20.952795028686523,17236,¿,PUNCT,30.82284927368164,17236
23,an,DET,25.379213333129883,17236,tiene,VERB,35.50885009765625,17236
24,Android,PROPN,23.06326675415039,17236,Android,PROPN,34.50727844238281,17236
25,phone,NOUN,21.279085159301758,17236,0,0,0.0,0
26,?,PUNCT,20.820125579833984,17236,?,PUNCT,32.42782211303711,17236
27,has,AUX,21.29261589050293,20326,¿,PUNCT,30.85955810546875,20326
28,Who,PRON,19.940471649169922,20326,Quién,PRON,34.802001953125,20326
29,a,DET,24.45636749267578,20326,tiene,VERB,35.694129943847656,20326
30,Blackberry,PROPN,20.742544174194336,20326,Blackberry,PROPN,33.92354202270508,20326
31,?,PUNCT,20.78388786315918,20326,?,PUNCT,33.082645416259766,20326
32,Who,PRON,21.25887680053711,22394,Quién,PRON,31.365192413330078,22394
33,will,VERB,24.278905868530273,22394,¿,PUNCT,31.128271102905273,22394
34,admit,VERB,23.703353881835938,22394,admitirá,VERB,34.05154800415039,22394
35,in,ADP,22.80447769165039,22394,en,ADP,36.21303939819336,22394
36,public,NOUN,18.83157730102539,22394,público,NOUN,30.891441345214844,22394
37,to,ADP,20.639036178588867,22394,que,PRON,33.82896423339844,22394
38,having,VERB,25.114797592163086,22394,tiene,VERB,35.354122161865234,22394
39,a,DET,21.771717071533203,22394,0,0,0.0,0
40,Blackberry,PROPN,20.262235641479492,22394,Blackberry,PROPN,34.23295593261719,22394
41,?,PUNCT,20.952394485473633,22394,?,PUNCT,32.93817901611328,22394
42,(,PUNCT,19.138301849365234,24768,(,PUNCT,28.748825073242188,24768
43,Laughter,PROPN,20.165264129638672,24768,Risas,PROPN,34.865478515625,24768
44,),PUNCT,20.96363067626953,24768,),PUNCT,32.331058502197266,24768
45,And,CCONJ,20.98604393005371,27351,Déjenme,PROPN,34.06241226196289,27351
46,let,VERB,23.332273483276367,27351,adivinar,VERB,34.47998809814453,27351
47,me,PRON,26.541906356811523,27351,",",PUNCT,30.631444931030273,27351
48,guess,VERB,23.417722702026367,27351,0,0,0.0,0
49,",",PUNCT,20.907758712768555,27351,¿,PUNCT,30.176246643066406,27351
