,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.316377639770508,16260,Me,PRON,30.55303955078125,16260
1,learned,VERB,24.25458526611328,16260,enteré,VERB,37.6131706237793,16260
2,about,ADP,20.691495895385742,16260,del,ADP,32.80241775512695,16260
3,the,DET,20.28716468811035,16260,terremoto,NOUN,28.032665252685547,16260
4,0,0,0.0,0,de,ADP,29.358684539794922,16260
5,Haiti,PROPN,21.69330406188965,16260,Haití,PROPN,34.43627166748047,16260
6,by,ADP,23.378097534179688,16260,a,ADP,32.99691390991211,16260
7,earthquake,NOUN,20.41425323486328,16260,través,NOUN,34.13962173461914,16260
8,0,0,0.0,0,de,ADP,31.178133010864258,16260
9,Skype,PROPN,22.0955753326416,16260,Skype,PROPN,36.7719612121582,16260
10,.,PUNCT,19.136737823486328,16260,.,PUNCT,31.98418426513672,16260
11,My,DET,23.774208068847656,19260,Mi,DET,34.03072738647461,19260
12,wife,NOUN,23.55771827697754,19260,esposa,NOUN,31.488624572753906,19260
13,sent,VERB,24.109609603881836,19260,envió,VERB,36.024959564208984,19260
14,me,PRON,22.831602096557617,19260,me,PRON,32.515289306640625,19260
15,a,DET,22.340700149536133,19260,un,DET,38.124168395996094,19260
16,message,NOUN,19.071455001831055,19260,mensaje,NOUN,34.85517120361328,19260
17,",",PUNCT,20.151159286499023,19260,:,PUNCT,31.17980194091797,19260
18,"""",PUNCT,19.448410034179688,22260,"""",PUNCT,31.773460388183594,22260
19,Whoa,INTJ,20.1640567779541,22260,Terremoto,INTJ,31.74983024597168,22260
20,",",PUNCT,22.81449317932129,22260,¡,PUNCT,34.45084762573242,22260
21,earthquake,NOUN,18.819398880004883,22260,0,0,0.0,0
22,",",PUNCT,21.662927627563477,22260,"""",PUNCT,31.82316780090332,22260
23,"""",PUNCT,21.82647705078125,22260,!,PUNCT,31.17281150817871,22260
24,and,CCONJ,20.56168556213379,24260,y,CONJ,34.172794342041016,24260
25,then,ADV,22.536027908325195,24260,luego,ADV,33.27447509765625,24260
26,disappeared,VERB,22.404821395874023,24260,desapareció,VERB,35.301570892333984,24260
27,for,ADP,21.69286346435547,24260,durante,ADP,34.88051986694336,24260
28,25,NUM,23.247814178466797,24260,25,NUM,34.095458984375,24260
29,minutes,NOUN,22.89141082763672,24260,minutos,NOUN,35.3646125793457,24260
30,.,PUNCT,21.604021072387695,24260,.,PUNCT,33.89041519165039,24260
31,It,PRON,23.329835891723633,28260,0,0,0.0,0
32,was,AUX,23.815149307250977,28260,Fueron,AUX,28.766780853271484,28260
33,25,NUM,23.154006958007812,28260,25,NUM,35.74842834472656,28260
34,minutes,NOUN,21.284805297851562,28260,minutos,NOUN,35.84571838378906,28260
35,of,ADP,25.475879669189453,28260,de,ADP,33.289432525634766,28260
36,absolute,ADJ,17.524444580078125,28260,absoluto,ADJ,30.915908813476562,28260
37,terror,NOUN,19.871000289916992,28260,terror,NOUN,32.823219299316406,28260
38,that,SCONJ,19.89898109436035,31260,que,PRON,34.049072265625,31260
39,thousands,NOUN,21.79025650024414,31260,miles,NUM,35.27647018432617,31260
40,of,ADP,22.42041015625,31260,de,ADP,32.1224250793457,31260
41,people,NOUN,21.321958541870117,31260,personas,NOUN,34.17074203491211,31260
42,across,ADP,21.0510311126709,31260,en,ADP,32.1986198425293,31260
