,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,For,ADP,20.339393615722656,15260,Por,ADP,32.983802795410156,15260
1,a,DET,23.584157943725586,15260,mucho,DET,34.76338195800781,15260
2,long,ADJ,20.427629470825195,15260,0,0,0.0,0
3,time,NOUN,20.439157485961914,15260,tiempo,NOUN,34.57475662231445,15260
4,",",PUNCT,21.63763427734375,15260,0,0,0.0,0
5,was,AUX,24.102697372436523,17260,éramos,AUX,31.301219940185547,17260
6,there,PRON,22.307531356811523,17260,"""",PUNCT,33.22874069213867,17260
7,me,PRON,24.932701110839844,17260,yo,PRON,31.263179779052734,17260
8,",",PUNCT,21.533058166503906,17260,"""",PUNCT,31.49246597290039,17260
9,and,CCONJ,19.377925872802734,17260,y,CONJ,32.83674621582031,17260
10,my,DET,20.67691421508789,17260,mi,DET,33.03508377075195,17260
11,body,NOUN,20.29948616027832,17260,cuerpo,NOUN,31.334388732910156,17260
12,.,PUNCT,21.650123596191406,17260,.,PUNCT,32.745792388916016,17260
13,0,0,0.0,0,"""",PUNCT,34.258056640625,21260
14,Me,PRON,24.70415496826172,21260,Yo,PRON,31.698772430419922,21260
15,composed,VERB,21.804231643676758,21260,"""",PUNCT,31.47882652282715,21260
16,was,AUX,23.819156646728516,21260,estaba,AUX,35.346656799316406,21260
17,0,0,0.0,0,formada,ADJ,34.9647216796875,21260
18,of,ADP,22.925865173339844,21260,de,ADP,31.663433074951172,21260
19,stories,NOUN,21.792438507080078,21260,historias,NOUN,33.616085052490234,21260
20,",",PUNCT,21.293210983276367,21260,",",PUNCT,30.52513885498047,21260
21,of,ADP,20.87981414794922,24260,de,ADP,31.801185607910156,24260
22,cravings,NOUN,20.12789535522461,24260,anhelos,NOUN,33.63698196411133,24260
23,",",PUNCT,21.229721069335938,24260,",",PUNCT,31.564579010009766,24260
24,of,ADP,22.6207218170166,24260,de,ADP,31.179716110229492,24260
25,strivings,NOUN,20.93813133239746,24260,luchas,NOUN,33.27974319458008,24260
26,",",PUNCT,20.066913604736328,24260,",",PUNCT,30.933753967285156,24260
27,of,ADP,20.216964721679688,26260,de,ADP,30.73274803161621,26260
28,desires,NOUN,21.47428321838379,26260,deseos,NOUN,34.14261245727539,26260
29,of,ADP,22.758689880371094,26260,de,ADP,33.026153564453125,26260
30,the,DET,21.9333553314209,26260,0,0,0.0,0
31,future,NOUN,18.925018310546875,26260,futuro,NOUN,32.30894088745117,26260
32,.,PUNCT,20.84307098388672,26260,.,PUNCT,32.70060729980469,26260
33,0,0,0.0,0,"""",PUNCT,34.263671875,28260
34,Me,PRON,24.151742935180664,28260,Yo,PRON,31.7634334564209,28260
35,0,0,0.0,0,"""",PUNCT,31.786663055419922,28260
36,was,AUX,24.56629180908203,28260,estaba,AUX,35.27008819580078,28260
37,trying,VERB,22.993837356567383,28260,tratando,VERB,34.445579528808594,28260
38,0,0,0.0,0,.,PUNCT,33.37154769897461,28260
39,not,PART,20.817113876342773,30260,de,ADP,31.14850616455078,30260
40,to,PART,24.213577270507812,30260,no,ADV,32.066471099853516,30260
41,be,AUX,25.595760345458984,30260,ser,AUX,35.35520553588867,30260
42,an,DET,23.278913497924805,30260,el,DET,33.980712890625,30260
43,outcome,NOUN,21.813873291015625,30260,resultado,NOUN,30.13156509399414,30260
44,of,ADP,24.652873992919922,30260,de,ADP,30.0169677734375,30260
45,my,DET,19.651351928710938,30260,mi,DET,32.61581802368164,30260
46,violent,ADJ,20.110532760620117,30260,pasado,ADJ,32.291236877441406,30260
47,past,NOUN,18.718660354614258,30260,violento,ADJ,33.47434616088867,30260
48,",",PUNCT,21.455907821655273,30260,",",PUNCT,29.175291061401367,30260
49,but,CCONJ,20.368154525756836,33260,pero,CONJ,33.530609130859375,33260
50,the,DET,20.9919490814209,33260,la,DET,33.92375183105469,33260
51,separation,NOUN,19.110754013061523,33260,separación,NOUN,32.82780838012695,33260
