,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,how,ADV,23.23434829711914,15260,¿,PUNCT,30.634979248046875,15260
1,many,ADJ,21.642974853515625,15260,cuántos,ADJ,33.470062255859375,15260
2,different,ADJ,19.813615798950195,15260,diferentes,ADJ,31.860021591186523,15260
3,scents,NOUN,22.206876754760742,15260,olores,NOUN,35.39555358886719,15260
4,do,AUX,22.82950782775879,15260,pueden,AUX,34.47169876098633,15260
5,you,PRON,24.506439208984375,15260,que,SCONJ,32.441986083984375,15260
6,think,VERB,22.307065963745117,15260,creen,VERB,36.205013275146484,15260
7,you,PRON,23.10944938659668,15260,0,0,0.0,0
8,can,VERB,23.568035125732422,15260,oler,VERB,34.29624557495117,15260
9,smell,VERB,22.899553298950195,15260,0,0,0.0,0
10,",",PUNCT,21.00139045715332,15260,",",PUNCT,29.752071380615234,15260
11,and,CCONJ,20.07567596435547,18420,y,CONJ,34.77653503417969,18420
12,maybe,ADV,22.988046646118164,18420,quizá,ADV,34.045814514160156,18420
13,even,ADV,21.778732299804688,18420,0,0,0.0,0
14,identify,VERB,17.449562072753906,18420,identificar,VERB,35.128726959228516,18420
15,with,ADP,21.554088592529297,18420,con,ADP,35.07056427001953,18420
16,accuracy,NOUN,18.779644012451172,18420,precisión,NOUN,30.15203285217285,18420
17,?,PUNCT,21.83893394470215,18420,?,PUNCT,32.96274185180664,18420
18,0,0,0.0,0,¿,PUNCT,31.259645462036133,22620
19,100,NUM,21.176097869873047,22620,100,NUM,33.3503532409668,22620
20,?,PUNCT,21.334087371826172,22620,?,PUNCT,34.2331428527832,22620
21,300,X,20.613004684448242,24660,¿,PUNCT,31.247295379638672,24660
22,0,0,0.0,0,300,NUM,32.36161422729492,24660
23,?,PUNCT,20.355138778686523,24660,?,PUNCT,34.25034713745117,24660
24,A,DET,22.655839920043945,26900,Un,DET,32.03886413574219,26900
25,trillion,NUM,19.38786506652832,26900,billón,NOUN,32.8383674621582,26900
26,.,PUNCT,21.098468780517578,26900,.,PUNCT,31.88983154296875,26900
27,It,PRON,23.00554084777832,37740,0,0,0.0,0
28,'s,AUX,24.06070899963379,37740,Es,AUX,34.625701904296875,37740
29,hard,ADJ,23.979129791259766,37740,difícil,ADJ,33.541831970214844,37740
30,to,PART,23.381200790405273,37740,0,0,0.0,0
31,imagine,VERB,24.320812225341797,37740,imaginarlo,VERB,33.8819580078125,37740
32,",",PUNCT,20.56831932067871,37740,",",PUNCT,29.683582305908203,37740
33,but,CCONJ,20.880939483642578,39580,pero,CONJ,33.4306640625,39580
34,your,DET,21.70646858215332,39580,la,DET,33.030574798583984,39580
35,nose,NOUN,20.234724044799805,39580,nariz,NOUN,31.9527530670166,39580
36,has,AUX,23.707353591918945,39580,0,0,0.0,0
37,the,DET,23.17266082763672,39580,la,DET,33.68940353393555,39580
38,molecular,ADJ,19.22671127319336,39580,molecular,ADJ,33.68000030517578,39580
39,machinery,NOUN,19.910228729248047,39580,maquinaria,NOUN,32.768470764160156,39580
40,to,PART,22.885507583618164,39580,para,ADP,34.868595123291016,39580
41,make,VERB,24.767471313476562,39580,tiene,VERB,36.310455322265625,39580
42,it,PRON,22.33659553527832,39580,hacerlo,PROPN,33.77143096923828,39580
43,happen,VERB,21.238866806030273,39580,posible,ADJ,32.23723220825195,39580
44,.,PUNCT,22.319894790649414,39580,.,PUNCT,33.65095901489258,39580
45,Olfactory,NOUN,20.364402770996094,44780,Los,DET,34.291385650634766,44780
46,receptors,NOUN,22.066181182861328,44780,receptores,NOUN,34.23179626464844,44780
47,0,0,0.0,0,olfativos,ADJ,36.259788513183594,44780
48,--,PUNCT,20.336942672729492,44780,",",PUNCT,30.808218002319336,44780
49,tiny,ADJ,19.634563446044922,46580,pequeñísimos,VERB,33.42194747924805,46580
50,scent,NOUN,19.944942474365234,46580,detectores,NOUN,32.60710144042969,46580
51,0,0,0.0,0,de,ADP,33.29570388793945,46580
52,detectors,NOUN,21.662036895751953,46580,olor,NOUN,29.678436279296875,46580
53,--,PUNCT,20.784589767456055,46580,",",PUNCT,29.724016189575195,46580
54,are,AUX,24.062307357788086,48540,están,AUX,34.385955810546875,48540
55,packed,VERB,21.69119644165039,48540,dispuestos,ADJ,34.20348358154297,48540
56,into,ADP,20.936384201049805,48540,en,ADP,33.40132522583008,48540
57,your,DET,22.103330612182617,48540,la,DET,33.48353958129883,48540
58,nose,NOUN,19.601388931274414,48540,nariz,NOUN,30.62934112548828,48540
59,",",PUNCT,20.64120864868164,48540,",",PUNCT,30.78707504272461,48540
60,each,DET,21.340059280395508,50500,cada,DET,35.14697265625,50500
61,one,NOUN,19.632848739624023,50500,uno,PRON,35.9319953918457,50500
62,waiting,VERB,23.875106811523438,50500,esperando,VERB,35.14075469970703,50500
