,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,The,DET,22.666759490966797,12328,La,DET,34.31157684326172,12328
1,writer,NOUN,19.999971389770508,12328,escritora,NOUN,29.457868576049805,12328
2,George,PROPN,22.369478225708008,12328,George,PROPN,35.78683090209961,12328
3,Eliot,PROPN,23.50748634338379,12328,Eliot,PROPN,34.50859451293945,12328
4,cautioned,VERB,27.09113311767578,12328,advirtió,VERB,37.299278259277344,12328
5,us,PRON,23.9573974609375,12328,nos,PRON,32.526493072509766,12328
6,that,DET,19.708284378051758,12328,que,SCONJ,31.432931900024414,12328
7,",",PUNCT,21.43588638305664,12328,0,0,0.0,0
8,among,ADP,21.203794479370117,15277,de,ADP,31.80722999572754,15277
9,all,DET,21.658246994018555,15277,todas,DET,35.599205017089844,15277
10,0,0,0.0,0,las,DET,33.16917037963867,15277
11,forms,NOUN,21.163740158081055,15277,formas,NOUN,34.577884674072266,15277
12,of,ADP,24.460250854492188,15277,de,ADP,29.99091911315918,15277
13,mistake,NOUN,17.90167808532715,15277,error,NOUN,33.257408142089844,15277
14,",",PUNCT,21.540054321289062,15277,",",PUNCT,30.745594024658203,15277
15,prophesy,PROPN,20.154743194580078,17344,la,DET,33.98774337768555,17344
16,0,0,0.0,0,profesía,NOUN,30.295047760009766,17344
17,is,AUX,22.930557250976562,17344,es,AUX,32.809410095214844,17344
18,the,DET,22.05584144592285,17344,la,DET,32.734405517578125,17344
19,most,ADV,22.150529861450195,17344,más,ADV,35.16520309448242,17344
20,gratuitous,ADJ,21.420654296875,17344,gratuita,ADJ,34.834869384765625,17344
21,.,PUNCT,21.986669540405273,17344,.,PUNCT,32.443580627441406,17344
22,The,DET,23.287158966064453,19707,La,DET,34.86423873901367,19707
23,person,NOUN,21.053497314453125,19707,persona,NOUN,33.262603759765625,19707
24,that,DET,20.144275665283203,19707,la,DET,34.43824768066406,19707
25,we,PRON,25.357955932617188,19707,que,PRON,32.43527603149414,19707
26,would,VERB,26.00411033630371,19707,a,ADP,32.00851821899414,19707
27,all,ADV,22.12681007385254,19707,todos,PRON,34.54830551147461,19707
28,acknowledge,VERB,21.92979621887207,19707,consideraríamos,VERB,32.857666015625,19707
29,her,DET,23.15235710144043,21555,su,DET,31.94551658630371,21555
30,as,SCONJ,22.485694885253906,21555,contraparte,NOUN,29.048648834228516,21555
31,20th,ADJ,21.189523696899414,21555,del,ADP,34.830711364746094,21555
32,century,NOUN,21.37480354309082,21555,siglo,NOUN,33.02658462524414,21555
33,-,PUNCT,23.14504051208496,21555,20,NUM,33.515377044677734,21555
34,",",PUNCT,21.405010223388672,21555,",",PUNCT,30.966068267822266,21555
35,Yogi,PROPN,22.24571990966797,21555,Yogi,PROPN,36.80447006225586,21555
36,Berra,PROPN,21.652250289916992,21555,Berra,PROPN,37.54106140136719,21555
37,",",PUNCT,21.106006622314453,21555,",",PUNCT,30.894258499145508,21555
38,0,0,0.0,0,estuvo,AUX,34.058441162109375,21555
39,agreed,VERB,21.13875389099121,21555,de,ADP,30.868919372558594,21555
40,counterpart,NOUN,22.86838150024414,21555,acuerdo,NOUN,31.11290740966797,21555
41,.,PUNCT,20.10598373413086,21555,.,PUNCT,33.09225845336914,21555
42,He,PRON,24.95088005065918,25857,0,0,0.0,0
43,said,VERB,24.0972900390625,25857,Dijo,VERB,36.46994400024414,25857
44,",",PUNCT,23.2037410736084,25857,"""",PUNCT,30.669301986694336,25857
45,"""",PUNCT,20.07430076599121,25857,",",PUNCT,29.368318557739258,25857
46,It,PRON,22.240070343017578,25857,0,0,0.0,0
