,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,A,DET,21.06291961669922,12667,unos,DET,32.40628433227539,12667
1,few,ADJ,22.30423927307129,12667,Hace,AUX,35.53892517089844,12667
2,years,NOUN,21.533370971679688,12667,años,NOUN,36.09416580200195,12667
3,ago,ADV,20.720932006835938,12667,cerca,ADV,34.168190002441406,12667
4,",",PUNCT,22.17378807067871,12667,",",PUNCT,30.63347625732422,12667
5,about,ADV,20.3120174407959,12667,de,ADP,32.55402755737305,12667
6,seven,NUM,23.146718978881836,12667,siete,NUM,36.66224670410156,12667
7,years,NOUN,24.415626525878906,12667,años,NOUN,36.15342712402344,12667
8,ago,ADV,20.708641052246094,12667,0,0,0.0,0
9,",",PUNCT,21.765710830688477,12667,",",PUNCT,31.143239974975586,12667
10,I,PRON,24.742509841918945,14786,estaba,AUX,36.12657928466797,14786
11,found,VERB,26.564350128173828,14786,escondida,ADJ,35.121421813964844,14786
12,myself,PRON,24.072879791259766,14786,en,ADP,32.05549621582031,14786
13,hiding,VERB,21.786550521850586,14786,el,DET,33.16612243652344,14786
14,festival,NOUN,20.69319725036621,14786,baño,NOUN,31.377416610717773,14786
15,in,ADP,21.347627639770508,14786,de,ADP,31.61213493347168,14786
16,a,DET,24.01200294494629,14786,un,DET,36.05420684814453,14786
17,toilet,NOUN,18.636337280273438,14786,festival,NOUN,31.181114196777344,14786
18,",",PUNCT,19.2824649810791,14786,",",PUNCT,30.172443389892578,14786
19,a,DET,22.66949462890625,18559,un,DET,34.60564041137695,18559
20,music,NOUN,17.634737014770508,18559,baño,NOUN,30.128427505493164,18559
21,festival,NOUN,19.241100311279297,18559,de,ADP,30.01003074645996,18559
22,toilet,NOUN,18.423261642456055,18559,festival,PROPN,28.472942352294922,18559
23,0,0,0.0,0,de,ADP,33.07718276977539,18559
24,0,0,0.0,0,música,PROPN,31.418140411376953,18559
25,",",PUNCT,19.468904495239258,18559,",",PUNCT,31.058032989501953,18559
26,and,CCONJ,19.54676628112793,20382,y,CONJ,32.962345123291016,20382
27,if,SCONJ,19.59878158569336,20382,si,SCONJ,34.55746841430664,20382
28,anyone,PRON,19.49485206604004,20382,alguien,PRON,33.47288513183594,20382
29,'s,AUX,19.601652145385742,20382,ha,AUX,35.49309539794922,20382
30,been,AUX,20.910614013671875,20382,estado,VERB,33.10995864868164,20382
31,to,ADP,20.17660140991211,20382,en,ADP,34.77143859863281,20382
32,a,DET,22.999631881713867,20382,un,DET,36.406394958496094,20382
33,music,NOUN,18.41946029663086,20382,festival,NOUN,30.372821807861328,20382
34,0,0,0.0,0,de,ADP,32.99728012084961,20382
35,festival,NOUN,19.59425163269043,20382,música,NOUN,31.43415641784668,20382
36,",",PUNCT,21.33402442932129,20382,",",PUNCT,31.110280990600586,20382
37,yeah,INTJ,24.599992752075195,23533,0,0,0.0,0
38,",",PUNCT,20.094343185424805,23533,0,0,0.0,0
39,you,PRON,22.9280948638916,23533,0,0,0.0,0
40,'ll,VERB,21.391014099121094,23533,sabrá,VERB,33.449920654296875,23533
41,know,VERB,24.058202743530273,23533,0,0,0.0,0
42,that,SCONJ,19.918563842773438,23533,que,SCONJ,33.228050231933594,23533
43,by,ADP,22.322643280029297,23533,para,ADP,33.53387451171875,23533
44,the,DET,21.65043067932129,23533,el,DET,30.913801193237305,23533
45,third,ADJ,19.711002349853516,23533,tercer,ADJ,32.543678283691406,23533
46,day,NOUN,19.613815307617188,23533,día,NOUN,32.4144287109375,23533
47,",",PUNCT,20.255956649780273,23533,",",PUNCT,29.65502166748047,23533
48,it,PRON,23.91335105895996,27478,0,0,0.0,0
49,'s,AUX,21.954654693603516,27478,es,AUX,35.828800201416016,27478
50,pretty,ADV,25.06974983215332,27478,bastante,ADV,36.17053985595703,27478
51,nasty,ADJ,22.023746490478516,27478,desagradable,ADJ,34.96310806274414,27478
52,.,PUNCT,22.112009048461914,27478,.,PUNCT,34.59983825683594,27478
53,I,PRON,24.841876983642578,29191,parada,ADJ,31.948286056518555,29191
54,was,AUX,25.665660858154297,29191,Estaba,AUX,35.08706283569336,29191
55,standing,VERB,22.8218936920166,29191,baño,NOUN,31.275941848754883,29191
56,in,ADP,22.410253524780273,29191,en,ADP,32.14171600341797,29191
57,the,DET,22.21734046936035,29191,el,DET,33.795841217041016,29191
58,toilet,NOUN,20.02185821533203,29191,siquiera,NOUN,34.74619674682617,29191
59,because,SCONJ,20.47216033935547,29191,porque,SCONJ,32.20613479614258,29191
60,I,PRON,25.575271606445312,29191,ni,CONJ,32.67938232421875,29191
61,could,VERB,26.135316848754883,29191,podía,AUX,32.292057037353516,29191
62,n't,PART,25.878755569458008,29191,sentarme,ADJ,29.613924026489258,29191
63,even,ADV,23.795154571533203,29191,0,0,0.0,0
64,sit,VERB,22.942737579345703,29191,0,0,0.0,0
65,down,ADP,22.27738380432129,29191,0,0,0.0,0
66,",",PUNCT,21.108814239501953,29191,",",PUNCT,29.246017456054688,29191
67,because,SCONJ,20.227846145629883,32501,porque,SCONJ,34.874046325683594,32501
68,the,DET,21.81429100036621,32501,el,DET,36.109962463378906,32501
69,toilet,NOUN,19.44289207458496,32501,papel,NOUN,30.54924774169922,32501
70,roll,NOUN,19.91320037841797,32501,higiénico,ADJ,31.495878219604492,32501
71,out,ADP,21.069520950317383,32501,se,PRON,30.256444931030273,32501
72,had,AUX,24.49617576599121,32501,había,AUX,34.16157531738281,32501
73,run,VERB,20.91668128967285,32501,acabado,VERB,34.107906341552734,32501
74,",",PUNCT,20.966938018798828,32501,",",PUNCT,30.46080780029297,32501
75,was,AUX,23.652572631835938,35208,había,AUX,34.342716217041016,35208
76,mud,NOUN,19.93622398376465,35208,barro,NOUN,29.421588897705078,35208
77,there,PRON,22.773094177246094,35208,por,ADP,34.15919494628906,35208
78,everywhere,ADV,19.445812225341797,35208,todas,DET,35.30783462524414,35208
79,0,0,0.0,0,partes,NOUN,35.26155090332031,35208
80,",",PUNCT,21.174333572387695,35208,",",PUNCT,30.661378860473633,35208
81,and,CCONJ,20.11002540588379,36676,y,CONJ,33.65016555786133,36676
82,it,PRON,26.40064239501953,36676,olía,NOUN,32.64554214477539,36676
83,smelled,VERB,23.185199737548828,36676,bastante,ADV,35.06466293334961,36676
84,pretty,ADV,23.3244686126709,36676,mal,ADV,35.223392486572266,36676
85,bad,ADJ,22.103458404541016,36676,0,0,0.0,0
86,.,PUNCT,21.641267776489258,36676,.,PUNCT,32.09968185424805,36676
87,And,CCONJ,19.52500343322754,38125,Y,CONJ,31.41532325744629,38125
88,I,PRON,25.792768478393555,38125,me,PRON,31.56688690185547,38125
