,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,For,ADP,19.729433059692383,12715,Por,ADP,32.894779205322266,12715
1,over,ADP,18.54801368713379,12715,de,ADP,31.489578247070312,12715
2,a,DET,23.946475982666016,12715,más,ADV,34.439231872558594,12715
3,decade,NOUN,20.082155227661133,12715,década,NOUN,33.01133728027344,12715
4,as,SCONJ,22.9665584564209,12715,como,SCONJ,36.76988983154297,12715
5,a,DET,23.930240631103516,12715,una,DET,31.370981216430664,12715
6,doctor,NOUN,19.513208389282227,12715,médico,NOUN,31.292816162109375,12715
7,",",PUNCT,21.310598373413086,12715,",",PUNCT,30.280033111572266,14464
8,I,PRON,24.20293426513672,14464,indigentes,NOUN,33.425994873046875,14464
9,'ve,AUX,20.875370025634766,14464,he,AUX,35.59546661376953,14464
10,cared,VERB,21.489017486572266,14464,atendido,VERB,34.36880874633789,14464
11,for,ADP,20.494531631469727,14464,a,ADP,33.449493408203125,14464
12,homeless,ADJ,20.660701751708984,14464,mayores,ADJ,35.937564849853516,14464
13,veterans,NOUN,21.041234970092773,14464,familias,NOUN,34.02433395385742,17130
14,",",PUNCT,20.212886810302734,14464,trabajadora,ADJ,32.527626037597656,17130
15,for,ADP,20.12864875793457,17130,de,ADP,31.690746307373047,17130
16,working,VERB,22.119159698486328,17130,viven,VERB,36.77288818359375,19975
17,-,PUNCT,24.00666046142578,17130,",",PUNCT,30.97897720336914,17130
18,class,NOUN,23.713960647583008,17130,pacientes,NOUN,34.95973205566406,19975
19,families,NOUN,21.061016082763672,17130,clase,NOUN,31.96820640563965,17130
20,.,PUNCT,21.67586326599121,17130,y,CONJ,32.80780029296875,19975
21,I,PRON,24.21634864807129,19185,que,PRON,34.19846725463867,19975
22,'ve,AUX,20.92432975769043,19185,difíciles,ADJ,33.02980422973633,19975
23,cared,VERB,21.68447494506836,19185,trabajan,VERB,35.77199172973633,19975
24,for,ADP,21.302425384521484,19185,en,ADP,33.0866813659668,19975
25,people,NOUN,22.639087677001953,19185,condiciones,NOUN,35.90504455566406,19975
26,who,PRON,24.191926956176758,19185,me,PRON,34.18282699584961,25825
27,live,VERB,23.321435928344727,19185,muy,ADV,34.852516174316406,19975
28,and,CCONJ,24.834117889404297,19185,o,CONJ,33.00663757324219,19975
29,work,VERB,21.662076950073242,19185,.,PUNCT,33.23931121826172,19975
30,in,ADP,21.052410125732422,19185,a,ADP,33.57990264892578,25825
31,conditions,NOUN,21.80141830444336,19185,trabajo,NOUN,32.78598403930664,25825
32,that,DET,20.794288635253906,23406,Este,DET,36.02547073364258,25825
33,can,VERB,23.96869468688965,23406,llevado,VERB,34.83867645263672,25825
34,be,AUX,25.8350772857666,23406,ha,AUX,35.42244338989258,25825
35,hard,ADJ,22.556625366210938,23406,duras,ADJ,35.01875305175781,19975
36,",",PUNCT,20.894330978393555,23406,pensar,AUX,36.15068817138672,25825
37,if,SCONJ,22.038713455200195,23406,que,SCONJ,33.8169059753418,25825
38,not,PART,22.134857177734375,23406,hace,VERB,35.68437194824219,25825
39,harsh,ADJ,19.658018112182617,23406,diferente,ADJ,35.19382858276367,28258
40,",",PUNCT,19.534151077270508,23406,falta,NOUN,33.75463104248047,25825
41,and,CCONJ,18.992321014404297,25855,fundamentalmente,ADV,36.41370391845703,28258
42,that,DET,19.96103858947754,25855,una,DET,34.40736770629883,28258
43,work,NOUN,20.558923721313477,25855,forma,NOUN,34.60322189331055,28258
44,has,AUX,22.10388946533203,25855,de,ADP,32.97202682495117,28258
45,led,VERB,23.29836654663086,25855,ver,VERB,36.11277389526367,28258
46,me,PRON,25.360301971435547,25855,el,DET,34.189369201660156,28258
47,to,PART,21.868680953979492,25855,cuidado,NOUN,30.459354400634766,28258
48,believe,VERB,22.967714309692383,25855,de,ADP,30.00213050842285,28258
49,that,SCONJ,21.251510620117188,27608,la,DET,32.39939880371094,28258
50,we,PRON,24.771793365478516,27608,salud,NOUN,31.390666961669922,28258
51,need,VERB,24.76091194152832,27608,Necesitamos,VERB,31.451496124267578,31734
52,a,DET,22.359804153442383,27608,un,DET,37.1109733581543,31734
53,fundamentally,ADV,25.68221092224121,27608,más,ADV,32.63780212402344,33293
54,different,ADJ,23.600231170654297,27608,que,SCONJ,30.43539810180664,33293
55,way,NOUN,20.35671043395996,27608,sistema,NOUN,32.36104202270508,31734
56,of,ADP,20.153783798217773,29553,de,ADP,31.310123443603516,31734
57,looking,VERB,21.304075241088867,29553,vaya,VERB,35.31987380981445,33293
58,at,ADP,22.599212646484375,29553,de,ADP,31.66776466369629,33293
59,healthcare,NOUN,19.934743881225586,29553,salud,NOUN,31.73262596130371,31734
60,.,PUNCT,21.496339797973633,29553,.,PUNCT,33.90350341796875,28258
61,We,PRON,24.238784790039062,31787,que,PRON,32.0830078125,35244
62,simply,ADV,24.35126495361328,31787,allá,ADV,36.449039459228516,33293
63,need,VERB,22.748634338378906,31787,llevan,VERB,37.01583480834961,35244
64,a,DET,23.259483337402344,31787,los,DET,33.20231628417969,33293
65,healthcare,NOUN,21.42753028869629,31787,síntomas,NOUN,35.4166259765625,33293
66,system,NOUN,21.03685760498047,31787,gente,NOUN,31.804386138916016,35244
67,that,DET,19.67600440979004,33193,la,DET,32.672447204589844,35244
68,moves,VERB,22.417957305908203,33193,a,ADP,33.84033966064453,35244
69,beyond,ADP,19.115468978881836,33193,a,ADP,33.020591735839844,35244
70,just,ADV,24.99611473083496,33193,que,SCONJ,30.770666122436523,37260
71,looking,VERB,23.652069091796875,33193,necesitamos,VERB,32.4842529296875,37260
72,at,ADP,22.013614654541016,33193,",",PUNCT,32.1356315612793,35244
73,the,DET,21.993104934692383,33193,las,DET,33.32139587402344,35244
74,symptoms,NOUN,19.78137969970703,33193,clínicas,NOUN,35.05937194824219,35244
75,that,DET,21.535343170166016,35294,la,DET,32.48410415649414,39850
76,bring,VERB,22.441322326660156,35294,mirar,VERB,35.76091003417969,37260
77,people,NOUN,22.080493927001953,35294,y,CONJ,33.86765670776367,39850
78,into,ADP,21.998781204223633,35294,mejorar,VERB,36.00849914550781,39850
79,clinics,NOUN,20.80716323852539,35294,salud,NOUN,33.52881622314453,39850
80,",",PUNCT,20.48749351501465,35294,.,PUNCT,31.59370231628418,39850
81,but,CCONJ,21.346351623535156,36973,donde,PRON,34.702880859375,39850
82,instead,ADV,20.622337341308594,36973,comienza,VERB,32.72644805908203,39850
83,actually,ADV,23.588838577270508,36973,Y,CONJ,34.11021423339844,42445
84,is,AUX,24.039447784423828,36973,pueda,AUX,36.04587173461914,37260
85,able,ADJ,23.323579788208008,36973,la,DET,33.90102767944336,42445
86,to,PART,24.62116241455078,36973,salud,NOUN,33.360374450683594,42445
87,look,VERB,25.56272315979004,36973,comienza,VERB,32.01789855957031,42445
88,and,CCONJ,19.64612579345703,39850,las,DET,32.68824768066406,43932
89,improve,VERB,21.604814529418945,39850,en,ADP,33.1164665222168,43932
90,health,NOUN,19.358928680419922,39850,paredes,NOUN,32.999732971191406,43932
91,where,ADV,22.128337860107422,39850,no,ADV,33.46761703491211,43932
92,it,PRON,24.169172286987305,39850,4,NUM,34.14434814453125,43932
93,begins,VERB,25.29243278503418,39850,de,ADP,32.1158447265625,43932
94,.,PUNCT,20.64495086669922,39850,",",PUNCT,30.216218948364258,43932
95,And,CCONJ,20.31869125366211,42445,un,DET,35.776119232177734,43932
96,where,ADV,20.79265594482422,42445,médico,ADJ,32.990867614746094,43932
97,health,NOUN,20.245336532592773,42445,consultorio,NOUN,31.03496551513672,43932
98,begins,VERB,23.243045806884766,42445,vivimos,VERB,33.25590133666992,46692
99,is,AUX,23.101150512695312,43932,sino,CONJ,35.85731887817383,46692
100,not,PART,20.981029510498047,43932,donde,PRON,33.00128936767578,46692
101,in,ADP,21.950763702392578,43932,y,CONJ,33.765262603759766,48102
102,the,DET,20.118104934692383,43932,trabajamos,VERB,33.587039947509766,48102
103,four,NUM,21.54595947265625,43932,",",PUNCT,29.855690002441406,48102
104,walls,NOUN,21.586044311523438,43932,donde,PRON,31.249460220336914,50321
105,of,ADP,23.8355770111084,43932,comemos,VERB,33.094825744628906,50321
106,a,DET,23.193891525268555,43932,",",PUNCT,30.45973014831543,50321
107,doctor,NOUN,18.91927719116211,43932,dormimos,VERB,33.233497619628906,50321
108,'s,PART,22.748760223388672,43932,",",PUNCT,31.335723876953125,50321
109,office,NOUN,19.021665573120117,43932,aprendemos,ADJ,31.65666389465332,50321
110,",",PUNCT,19.910531997680664,43932,",",PUNCT,29.932832717895508,50321
111,but,CCONJ,21.94029426574707,46692,jugamos,ADJ,34.946231842041016,50321
112,where,ADV,21.68235969543457,46692,y,CONJ,31.979585647583008,50321
113,we,PRON,24.252710342407227,46692,donde,PRON,33.02670669555664,53473
114,live,VERB,23.66636085510254,46692,pasamos,VERB,34.47883605957031,53473
115,and,CCONJ,20.67254066467285,48102,la,DET,33.4333610534668,53473
116,where,ADV,21.253170013427734,48102,mayor,ADJ,35.12329864501953,53473
117,we,PRON,22.442413330078125,48102,parte,NOUN,32.521305084228516,53473
118,work,VERB,22.649141311645508,48102,de,ADP,29.592050552368164,53473
119,",",PUNCT,21.098752975463867,48102,.,PUNCT,33.145904541015625,53473
120,where,ADV,21.987764358520508,50321,vidas,NOUN,34.1722412109375,53473
121,we,PRON,24.92767906188965,50321,Cómo,PRON,32.02985382080078,56900
122,eat,VERB,22.238079071044922,50321,nuestras,DET,32.90782928466797,53473
123,",",PUNCT,22.803590774536133,50321,¿,PUNCT,30.336708068847656,56900
124,sleep,VERB,19.89124870300293,50321,es,AUX,32.07241439819336,56900
125,",",PUNCT,20.82047462463379,50321,esta,DET,35.55577850341797,56900
126,learn,VERB,22.97264862060547,50321,perspectiva,NOUN,33.81334686279297,56900
127,and,CCONJ,23.946245193481445,50321,diferente,ADJ,33.971702575683594,56900
128,play,VERB,21.551631927490234,50321,ver,VERB,35.763206481933594,56900
129,",",PUNCT,20.708202362060547,50321,",",PUNCT,30.561046600341797,56900
130,where,ADV,22.018043518066406,53473,salud,NOUN,32.07050323486328,56900
131,we,PRON,25.230886459350586,53473,que,PRON,34.61488723754883,59788
132,spend,VERB,25.490381240844727,53473,mejorar,VERB,36.62472152709961,59788
133,the,DET,22.331058502197266,53473,una,DET,32.477081298828125,59788
134,majority,NOUN,19.35171127319336,53473,perspectiva,NOUN,34.506771087646484,59788
135,of,ADP,23.322078704833984,53473,de,ADP,32.59341812133789,56900
136,our,DET,24.299285888671875,53473,la,DET,32.4720573425293,56900
137,lives,NOUN,20.60224151611328,53473,salud,NOUN,33.60858154296875,59788
138,.,PUNCT,21.564760208129883,53473,?,PUNCT,30.609737396240234,59788
139,So,ADV,20.166051864624023,56900,comienza,VERB,34.58345031738281,59788
140,what,PRON,23.65110206604004,56900,donde,PRON,34.74025344848633,59788
141,does,AUX,24.422147750854492,56900,puede,AUX,36.04384231567383,59788
142,this,DET,22.955785751342773,56900,la,DET,32.968971252441406,59788
143,different,ADJ,24.197778701782227,56900,ilustrar,VERB,37.22999954223633,62794
144,approach,NOUN,21.070926666259766,56900,esto,PRON,34.4567985534668,62794
145,to,ADP,22.241130828857422,56900,Para,ADP,34.91781234741211,62794
146,healthcare,PROPN,21.946531295776367,56900,Verónica,PROPN,35.539188385009766,62794
147,look,VERB,19.235727310180664,56900,voy,VERB,33.68320083618164,62794
148,like,SCONJ,18.519180297851562,56900,a,ADP,34.10481262207031,62794
149,",",PUNCT,20.68678855895996,56900,",",PUNCT,31.5811710357666,62794
150,an,DET,22.246671676635742,59568,de,ADP,30.794424057006836,62794
151,approach,NOUN,20.162633895874023,59568,hablarles,NOUN,34.35847473144531,62794
152,that,DET,20.25640106201172,59568,mi,DET,34.03837966918945,66601
153,can,VERB,24.0052490234375,59568,Verónica,PROPN,32.639564514160156,66601
154,improve,VERB,25.20132064819336,59568,era,AUX,33.52663803100586,66601
155,health,NOUN,20.677553176879883,59568,número,NOUN,33.587398529052734,66601
156,where,ADV,22.17865753173828,59568,paciente,ADJ,36.011451721191406,66601
157,it,PRON,24.248741149902344,59568,en,ADP,34.67829132080078,68320
158,begins,VERB,24.460132598876953,59568,17,NUM,32.314857482910156,66601
159,?,PUNCT,20.437602996826172,59568,.,PUNCT,32.69052505493164,62794
160,To,PART,20.54853057861328,62794,un,DET,36.58698654174805,68320
161,illustrate,VERB,23.185575485229492,62794,día,NOUN,32.65435791015625,68320
162,this,DET,20.817710876464844,62794,el,DET,34.69824981689453,68320
163,",",PUNCT,20.981552124023438,62794,en,ADP,32.42995071411133,68320
164,I,PRON,24.760841369628906,62794,que,PRON,31.70887565612793,68320
165,'ll,VERB,22.956892013549805,62794,tuve,VERB,32.81096649169922,68320
166,tell,VERB,24.205310821533203,62794,26,NUM,33.3853759765625,68320
167,you,PRON,26.386398315429688,62794,pacientes,NOUN,37.65712356567383,68320
168,about,ADP,21.876005172729492,62794,en,ADP,34.4168701171875,70227
169,Veronica,PROPN,24.236759185791016,62794,clínica,NOUN,30.961299896240234,70227
170,.,PUNCT,20.26621437072754,62794,",",PUNCT,30.647747039794922,68320
171,Veronica,PROPN,25.26026153564453,66601,Ángeles,PROPN,37.69032287597656,70227
172,was,AUX,24.222806930541992,66601,del,ADP,33.91183090209961,70227
173,the,DET,23.115808486938477,66601,esa,DET,35.1682014465332,70227
174,17th,ADJ,18.530893325805664,66601,de,ADP,29.608434677124023,70227
175,patient,NOUN,18.32315444946289,66601,sur,NOUN,30.328998565673828,70227
176,out,SCONJ,19.113046646118164,68320,.,PUNCT,32.07440185546875,70227
177,of,ADP,22.264156341552734,68320,a,ADP,32.30991744995117,73174
178,my,DET,20.76813507080078,68320,Los,DET,35.5069580078125,70227
179,26-patient,NUM,21.986957550048828,68320,Llegó,VERB,33.52203369140625,73174
180,day,NOUN,19.93821907043457,68320,clínica,NOUN,33.334129333496094,73174
181,at,ADP,21.728622436523438,70227,con,ADP,33.95326232910156,73174
182,that,DET,21.17980194091797,70227,nuestra,DET,33.18853759765625,73174
183,clinic,NOUN,18.184364318847656,70227,dolor,NOUN,31.6063289642334,73174
184,in,ADP,21.808271408081055,70227,de,ADP,30.077945709228516,73174
185,South,PROPN,20.46457290649414,70227,crónico,ADJ,32.797584533691406,73174
186,Central,PROPN,19.87163543701172,70227,cabeza,NOUN,29.519668579101562,73174
187,Los,PROPN,20.46684455871582,70227,cabeza,NOUN,29.106494903564453,75753
188,Angeles,PROPN,22.987720489501953,70227,dolor,NOUN,31.466970443725586,75753
189,.,PUNCT,19.057350158691406,70227,.,PUNCT,33.113983154296875,73174
190,She,PRON,24.607532501220703,73174,lo,PRON,29.863813400268555,75753
191,came,VERB,26.258743286132812,73174,sufría,VERB,35.161468505859375,75753
192,into,ADP,20.70540428161621,73174,de,ADP,31.674880981445312,75753
193,our,DET,22.151531219482422,73174,El,DET,35.22578430175781,75753
194,clinic,NOUN,19.344562530517578,73174,años,NOUN,36.58567810058594,77206
195,with,ADP,21.883548736572266,73174,desde,ADP,32.43638229370117,77206
196,a,DET,20.850574493408203,73174,hacía,AUX,32.0153923034668,77206
197,chronic,ADJ,20.20424461364746,73174,y,CONJ,33.14382553100586,77206
198,headache,NOUN,21.05670738220215,73174,vez,NOUN,33.36878967285156,77206
199,.,PUNCT,20.54460906982422,73174,",",PUNCT,32.616363525390625,79179
200,This,DET,22.74445915222168,75693,esta,DET,33.24284744262695,77206
201,headache,NOUN,21.231266021728516,75693,particular,NOUN,32.252559661865234,77206
202,had,AUX,24.177265167236328,75693,era,AUX,35.5174560546875,79179
203,been,AUX,26.168075561523438,75693,muy,ADV,34.83216857910156,79179
204,going,VERB,26.2836971282959,75693,muy,ADV,36.05759811401367,79179
205,on,ADP,20.702917098999023,75693,en,ADP,33.391258239746094,77206
206,for,ADP,20.316171646118164,76856,de,ADP,30.444047927856445,81490
207,a,DET,23.331436157226562,76856,alarmante,ADJ,35.46288299560547,79179
208,number,NOUN,22.25813865661621,76856,Tres,NUM,33.43450927734375,81490
209,of,ADP,22.640663146972656,76856,por,ADP,35.52143859863281,81490
210,years,NOUN,19.647296905517578,76856,semanas,NOUN,35.12639236450195,81490
211,",",PUNCT,21.339353561401367,76856,.,PUNCT,33.17832565307617,79179
212,and,CCONJ,20.758041381835938,76856,que,SCONJ,33.0721549987793,81490
213,this,DET,21.46538734436035,76856,nos,PRON,32.74452209472656,81490
214,particular,ADJ,20.81625747680664,76856,visitara,VERB,34.755916595458984,81490
215,episode,NOUN,20.02069854736328,76856,vez,NOUN,30.649559020996094,81490
216,was,AUX,22.66935920715332,78809,había,AUX,33.54398727416992,84394
217,very,ADV,22.193084716796875,78809,antes,ADV,36.12570571899414,81490
218,",",PUNCT,20.78706932067871,78809,",",PUNCT,29.738723754882812,81490
219,very,ADV,25.398273468017578,78809,ya,ADV,34.90412521362305,84394
220,troubling,ADJ,19.880569458007812,78809,primera,ADJ,34.0263671875,81490
221,.,PUNCT,22.07521629333496,78809,estado,VERB,31.86572265625,84394
222,In,ADP,21.370893478393555,81260,en,ADP,34.3188591003418,84394
223,fact,NOUN,20.736818313598633,81260,sala,NOUN,33.37762451171875,84394
224,",",PUNCT,21.525358200073242,81260,una,DET,33.770477294921875,84394
225,three,NUM,23.962364196777344,81260,de,ADP,32.832645416259766,84394
226,weeks,NOUN,24.1602725982666,81260,emergencias,NOUN,32.826881408691406,84394
227,before,ADP,21.65925407409668,81260,en,ADP,31.9439697265625,84394
228,she,PRON,26.345897674560547,81260,Los,DET,33.702674865722656,84394
229,came,VERB,26.153820037841797,81260,Ángeles,PROPN,37.30595397949219,84394
230,to,PART,22.43692970275879,81260,.,PUNCT,32.171905517578125,84394
231,visit,VERB,24.361513137817383,81260,Los,DET,34.021934509277344,87370
232,us,PRON,23.006168365478516,81260,médicos,NOUN,34.26287078857422,87370
233,for,ADP,20.054262161254883,83974,de,ADP,31.36799430847168,87370
234,the,DET,22.924646377563477,83974,la,DET,31.78826332092285,87370
235,first,ADJ,19.856122970581055,83974,de,ADP,32.8009033203125,87370
236,time,NOUN,20.815717697143555,83974,sala,NOUN,32.1123161315918,87370
237,",",PUNCT,21.696840286254883,83974,"""",PUNCT,32.830772399902344,89710
238,she,PRON,25.028030395507812,83974,le,PRON,32.02592468261719,87370
239,went,VERB,26.30196762084961,83974,dijeron,VERB,36.083961486816406,87370
240,to,ADP,19.983030319213867,83974,:,PUNCT,32.31779861450195,87370
241,an,DET,22.981895446777344,83974,algunos,DET,35.7388916015625,89710
242,emergency,NOUN,19.959203720092773,83974,Te,PRON,29.296710968017578,89710
243,room,NOUN,21.13372039794922,83974,exámenes,NOUN,35.09391403198242,89710
244,in,ADP,18.53996467590332,83974,hicimos,AUX,31.32060432434082,89710
245,Los,PROPN,22.924654006958008,83974,emergencias,PROPN,32.75447082519531,87370
246,Angeles,PROPN,23.300731658935547,83974,Verónica,PROPN,32.49718475341797,89710
247,.,PUNCT,19.059158325195312,83974,",",PUNCT,29.94765853881836,89710
248,The,DET,21.26272964477539,87130,Los,DET,34.049652099609375,91675
249,emergency,NOUN,20.052642822265625,87130,.,PUNCT,32.4283561706543,89710
250,room,NOUN,20.282184600830078,87130,resultados,NOUN,36.66728973388672,91675
251,doctors,NOUN,20.457637786865234,87130,medicinas,NOUN,35.210166931152344,91675
252,said,VERB,22.427019119262695,87130,normales,ADJ,37.595367431640625,91675
253,",",PUNCT,20.5145206451416,87130,",",PUNCT,32.3298225402832,91675
254,"""",PUNCT,21.198137283325195,89597,así,ADV,33.184364318847656,91675
255,We,PRON,23.189119338989258,89597,que,SCONJ,31.141714096069336,91675
256,'ve,AUX,21.099119186401367,89597,son,AUX,35.497703552246094,91675
257,run,VERB,21.855897903442383,89597,ten,VERB,32.62407302856445,91675
258,some,DET,22.554845809936523,89597,unas,DET,32.3475456237793,91675
259,tests,NOUN,19.134828567504883,89597,dolor,NOUN,30.6933650970459,91675
260,",",PUNCT,20.740327835083008,89597,para,ADP,34.74347686767578,91675
261,Veronica,PROPN,23.1229248046875,89597,el,DET,33.79239273071289,91675
262,.,PUNCT,20.118305206298828,89597,y,CONJ,32.99354934692383,94977
263,The,DET,22.58016014099121,91555,un,DET,37.2402458190918,94977
264,results,NOUN,22.513080596923828,91555,has,NOUN,30.883108139038086,94977
265,are,AUX,25.36467170715332,91555,con,ADP,35.10464096069336,94977
266,normal,ADJ,21.966114044189453,91555,seguimiento,ADJ,32.545799255371094,94977
267,",",PUNCT,22.699302673339844,91555,",",PUNCT,30.331050872802734,94977
268,so,CCONJ,20.724895477294922,91555,general,ADJ,33.299991607666016,94977
269,here,ADV,21.541698455810547,91555,si,SCONJ,33.781944274902344,97156
270,'s,AUX,20.286970138549805,91555,pero,CONJ,32.0070915222168,97156
271,some,DET,23.28725242614746,91555,el,DET,34.84579086303711,97156
272,pain,NOUN,19.501197814941406,91555,médico,NOUN,32.62324523925781,94977
273,medication,NOUN,20.896642684936523,91555,dolor,NOUN,32.48952865600586,97156
274,",",PUNCT,22.01645278930664,91555,",",PUNCT,29.86178970336914,97156
275,and,CCONJ,21.99319076538086,94267,o,CONJ,29.93453025817871,97156
276,follow,VERB,22.016345977783203,94267,continúa,VERB,33.104759216308594,97156
277,up,ADP,20.75019645690918,94267,se,PRON,31.284975051879883,97156
278,with,ADP,21.287086486816406,94267,agudiza,VERB,36.11056900024414,97156
279,a,DET,21.12755012512207,94267,regresa,VERB,32.94245147705078,97156
280,primary,ADJ,20.97264289855957,94267,"""",PUNCT,31.903209686279297,97156
281,care,NOUN,20.38319206237793,94267,instrucciones,NOUN,35.15375518798828,100398
282,doctor,NOUN,20.103599548339844,94267,Verónica,PROPN,33.238426208496094,100398
283,",",PUNCT,21.500240325927734,94267,.,PUNCT,33.35405731201172,97156
284,but,CCONJ,22.21196174621582,96786,siguió,VERB,36.02434158325195,100398
285,if,SCONJ,20.519807815551758,96786,y,CONJ,34.97725296020508,103260
286,the,DET,21.95001220703125,96786,estas,DET,34.404422760009766,100398
287,pain,NOUN,19.90605926513672,96786,vez,NOUN,32.59490966796875,105570
288,persists,VERB,24.61716651916504,96786,regresó,VERB,36.372440338134766,103260
289,or,CCONJ,20.125024795532227,96786,Y,CONJ,32.5533332824707,105570
290,if,SCONJ,20.299530029296875,96786,.,PUNCT,32.385562896728516,103260
291,it,PRON,23.49278450012207,96786,solo,NOUN,32.589664459228516,105570
292,worsens,VERB,20.965078353881836,96786,una,DET,30.561655044555664,105570
293,",",PUNCT,19.74497413635254,96786,",",PUNCT,30.53731918334961,105570
294,then,ADV,22.636751174926758,98529,no,ADV,32.21161651611328,105570
295,come,VERB,20.951557159423828,98529,sino,CONJ,32.236507415771484,105570
296,on,ADP,21.161649703979492,98529,dos,NUM,34.08381652832031,105570
297,back,ADV,19.57477569580078,98529,más,ADV,37.28059005737305,105570
298,.,PUNCT,21.386112213134766,98529,veces,NOUN,34.48200607299805,105570
299,"""",PUNCT,22.142269134521484,98529,.,PUNCT,33.823081970214844,105570
300,Veronica,PROPN,24.899703979492188,100258,Verónica,PROPN,34.98750686645508,108333
301,followed,VERB,26.47731590270996,100258,Tres,NUM,33.43450927734375,108333
302,those,DET,22.416776657104492,100258,antes,ADV,36.20039367675781,108333
303,standard,ADJ,22.212646484375,100258,de,ADP,30.286056518554688,108333
304,instructions,NOUN,19.584951400756836,100258,semanas,NOUN,35.13050079345703,108333
305,and,CCONJ,19.429027557373047,103350,que,SCONJ,33.10380172729492,108333
306,she,PRON,25.925308227539062,103350,nosotros,PRON,31.95512580871582,108333
307,went,VERB,26.20594596862793,103350,viniera,VERB,35.2186164855957,108333
308,back,ADV,21.50094223022461,103350,ya,ADV,34.953468322753906,110921
309,.,PUNCT,20.848155975341797,103350,",",PUNCT,31.019311904907227,108333
310,In,ADP,20.37091064453125,105100,a,ADP,33.68552780151367,108333
311,the,DET,21.259309768676758,105100,la,DET,32.63204574584961,110921
312,three,NUM,21.962905883789062,105100,3,NUM,33.948421478271484,110921
313,weeks,NOUN,23.43574333190918,105100,sala,NOUN,33.0002555847168,110921
314,before,ADP,22.10851287841797,105100,a,ADP,33.41876220703125,110921
315,Veronica,PROPN,25.413204193115234,105100,había,AUX,34.49544906616211,110921
316,met,VERB,25.050148010253906,105100,ido,VERB,32.72589111328125,110921
317,us,PRON,24.25971794128418,105100,emergencia,NOUN,27.74949836730957,110921
318,",",PUNCT,20.07859230041504,105100,.,PUNCT,32.1624870300293,110921
319,she,PRON,25.926036834716797,110791,Había,AUX,33.10462188720703,113250
320,went,VERB,25.779794692993164,110791,ido,VERB,32.028053283691406,113250
321,to,ADP,19.375844955444336,110791,de,ADP,32.16803741455078,110921
322,the,DET,21.9609432220459,110791,diferentes,DET,32.710567474365234,114807
323,emergency,NOUN,19.258995056152344,110791,veces,NOUN,33.241668701171875,110921
324,room,NOUN,19.648361206054688,110791,venido,ADJ,33.334598541259766,113250
325,three,NUM,22.04547119140625,110791,y,CONJ,33.24079895019531,113250
326,times,NOUN,20.74577522277832,110791,hospitales,NOUN,34.32965087890625,114807
327,.,PUNCT,20.307079315185547,110791,",",PUNCT,30.316486358642578,113250
328,She,PRON,24.72140884399414,112940,lo,PRON,32.90062713623047,116506
329,went,VERB,26.3221435546875,112940,hecho,VERB,32.4422492980957,116506
330,back,ADV,22.11404037475586,112940,clínicas,ADJ,36.34221649169922,114807
331,and,CCONJ,22.956220626831055,112940,y,CONJ,32.8439826965332,114807
332,forth,ADV,19.167865753173828,112940,tal,NOUN,32.35304260253906,116506
333,",",PUNCT,20.452354431152344,112940,",",PUNCT,32.282623291015625,114807
334,in,ADP,19.088075637817383,114807,a,ADP,32.94087219238281,114807
335,and,CCONJ,21.98023223876953,114807,había,AUX,34.6854133605957,116506
336,out,SCONJ,20.4345703125,114807,como,SCONJ,34.05827331542969,116506
337,of,ADP,20.505781173706055,114807,en,ADP,36.01750564575195,116506
338,hospitals,NOUN,21.1839542388916,114807,años,NOUN,35.601600646972656,116506
339,and,CCONJ,25.633480072021484,114807,anteriores,ADJ,34.87532424926758,116506
340,clinics,NOUN,19.902856826782227,114807,cura,NOUN,32.24262619018555,118502
341,",",PUNCT,19.510332107543945,114807,de,ADP,31.20758819580078,118502
342,just,ADV,21.326923370361328,116506,buscar,VERB,36.710994720458984,118502
343,like,SCONJ,21.023515701293945,116506,una,DET,35.18647384643555,118502
344,she,PRON,24.04897117614746,116506,sin,ADP,34.49950408935547,118502
345,had,AUX,24.388870239257812,116506,tratando,AUX,34.48080062866211,118502
346,done,VERB,22.617267608642578,116506,llegó,VERB,35.07970428466797,122292
347,in,ADP,19.68206787109375,116506,a,ADP,32.37057876586914,122292
348,years,NOUN,20.825342178344727,116506,encontrarla,NOUN,32.47676086425781,118502
