,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,have,AUX,20.599180221557617,13404,Han,AUX,35.01710891723633,13404
1,passed,VERB,23.298194885253906,13404,pasado,VERB,34.24550247192383,13404
2,Almost,ADV,20.89638900756836,13404,casi,ADV,34.19213104248047,13404
3,20,NUM,24.34998893737793,13404,20,NUM,34.19706344604492,13404
4,years,NOUN,24.621707916259766,13404,años,NOUN,34.196067810058594,13404
5,since,SCONJ,22.368759155273438,13404,desde,ADP,34.689109802246094,13404
6,0,0,0.0,0,el,DET,32.42721176147461,13404
7,9/11,NUM,22.067487716674805,13404,11,NUM,34.50247573852539,13404
8,0,0,0.0,0,de,ADP,33.301414489746094,13404
9,0,0,0.0,0,septiembre,NOUN,30.67569923400879,13404
10,.,PUNCT,22.299633026123047,13404,.,PUNCT,32.214111328125,13404
11,It,PRON,24.57740592956543,18120,de,ADP,32.719032287597656,18120
12,is,AUX,25.369956970214844,18120,Es,AUX,34.60026168823242,18120
13,time,NOUN,20.168527603149414,18120,hora,NOUN,34.98529052734375,18120
14,to,PART,23.041067123413086,18120,un,DET,38.53849792480469,18120
15,take,VERB,23.721845626831055,18120,hacer,VERB,35.13584518432617,18120
16,stock,NOUN,20.383197784423828,18120,balance,NOUN,34.15459060668945,18120
17,of,ADP,21.50013542175293,18120,de,ADP,29.644580841064453,18120
18,where,ADV,20.817468643188477,18120,dónde,PRON,34.620018005371094,18120
19,we,PRON,24.33596420288086,18120,nos,PRON,29.773420333862305,18120
20,stand,VERB,22.467275619506836,18120,encontramos,VERB,33.07185745239258,18120
21,and,CCONJ,22.026432037353516,21360,y,CONJ,33.2870979309082,21360
22,stop,VERB,22.8508243560791,21360,pararnos,ADJ,31.751054763793945,21360
23,and,CCONJ,21.94397735595703,21360,a,ADP,33.78042221069336,21360
24,think,VERB,21.022321701049805,21360,pensar,VERB,36.695003509521484,21360
25,.,PUNCT,20.65118408203125,21360,.,PUNCT,33.86997985839844,21360
26,It,PRON,24.551498413085938,24000,hora,NOUN,32.67639923095703,24000
27,is,AUX,25.23984146118164,24000,Es,AUX,34.558807373046875,24000
28,time,NOUN,19.852739334106445,24000,preguntarnos,NOUN,33.17246627807617,24000
29,to,PART,23.41451644897461,24000,de,ADP,31.686073303222656,24000
30,ask,VERB,26.40619659423828,24000,0,0,0.0,0
31,ourselves,PRON,21.766870498657227,24000,0,0,0.0,0
32,",",PUNCT,19.433746337890625,24000,",",PUNCT,31.301389694213867,24000
33,have,AUX,20.29138946533203,26120,si,SCONJ,34.9937629699707,26120
34,the,DET,21.50829315185547,26120,las,DET,32.471900939941406,26120
35,assumptions,NOUN,20.451723098754883,26120,suposiciones,NOUN,34.38086700439453,26120
36,and,CCONJ,25.10147476196289,26120,y,CONJ,34.288387298583984,26120
37,policies,NOUN,19.795473098754883,26120,políticas,ADJ,36.018192291259766,26120
38,truly,ADV,21.25592803955078,28280,realmente,ADV,32.12421798706055,28280
39,made,VERB,23.52867889404297,28280,hicieron,VERB,34.71273422241211,28280
40,us,PRON,23.331544876098633,28280,nos,PRON,31.343481063842773,28280
41,more,ADV,20.270904541015625,28280,más,ADV,38.08123016357422,28280
42,secure,ADJ,23.207904815673828,28280,seguros,ADJ,34.985321044921875,28280
43,?,PUNCT,20.552833557128906,28280,.,PUNCT,33.273624420166016,28280
44,Have,AUX,20.957311630249023,33880,Han,AUX,33.54545593261719,33880
45,they,PRON,23.128705978393555,33880,a,ADP,32.43692398071289,33880
46,made,VERB,24.936025619506836,33880,hecho,VERB,32.54261016845703,33880
47,our,DET,23.651399612426758,33880,nuestras,DET,32.01958084106445,33880
48,societies,NOUN,22.057979583740234,33880,sociedades,NOUN,35.9553337097168,33880
49,",",PUNCT,21.94350242614746,33880,¿,PUNCT,31.12298583984375,33880
50,both,DET,20.79400634765625,33880,tanto,ADV,34.936492919921875,33880
51,in,ADP,18.971542358398438,33880,en,ADP,31.66850471496582,33880
52,Europe,PROPN,21.854248046875,33880,Europa,PROPN,37.963600158691406,33880
53,and,CCONJ,19.63051986694336,33880,como,SCONJ,32.832183837890625,33880
54,in,ADP,20.452007293701172,33880,en,ADP,32.3145866394043,33880
55,the,DET,21.97372817993164,33880,.,PUNCT,32.11852264404297,33880
56,United,PROPN,22.210851669311523,33880,EE,PROPN,34.85326385498047,33880
57,States,PROPN,21.27899932861328,33880,UU,PROPN,30.709394454956055,33880
58,",",PUNCT,19.599681854248047,33880,.,PUNCT,32.73059844970703,33880
59,more,ADV,21.892316818237305,38440,más,ADV,34.84537887573242,38440
60,resilient,ADJ,21.96229362487793,38440,resilientes,NOUN,36.29862976074219,38440
61,?,PUNCT,22.011808395385742,38440,?,PUNCT,31.95024299621582,38440
62,'ve,AUX,22.78814697265625,40720,He,AUX,34.76369857788086,40720
