,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.452499389648438,12315,unos,PRON,30.167158126831055,12315
1,was,AUX,24.67999839782715,12315,Tenía,VERB,33.3091926574707,12315
2,about,ADV,21.12523651123047,12315,0,0,0.0,0
3,10,NUM,24.28999137878418,12315,diez,NUM,36.48649978637695,12315
4,years,NOUN,23.444774627685547,12315,años,NOUN,36.44361877441406,12315
5,old,ADJ,21.084815979003906,12315,0,0,0.0,0
6,on,ADP,20.381868362426758,14572,a,ADP,34.49119186401367,14572
7,a,DET,22.156917572021484,14572,fui,AUX,32.28870391845703,14572
8,camping,NOUN,20.461715698242188,14572,y,CONJ,34.00907516479492,14572
9,trip,NOUN,21.774656295776367,14572,acampar,VERB,34.65604782104492,14572
10,with,ADP,21.10100746154785,14572,con,ADP,33.109779357910156,14572
11,my,DET,20.388845443725586,14572,mi,DET,34.14283752441406,14572
12,dad,NOUN,18.941740036010742,14572,papá,NOUN,32.26721954345703,14572
13,in,ADP,20.264968872070312,16271,en,ADP,33.35149383544922,16271
14,the,DET,20.876333236694336,16271,las,DET,32.60055923461914,16271
15,Adirondack,PROPN,19.62579917907715,16271,montañas,NOUN,34.00186538696289,16271
16,Mountains,PROPN,20.612529754638672,16271,Adirondack,PROPN,35.996376037597656,16271
17,",",PUNCT,19.859169006347656,16271,",",PUNCT,30.045669555664062,16271
18,a,DET,20.47960662841797,16271,un,DET,34.4345703125,16271
19,wilderness,NOUN,19.165319442749023,16271,área,NOUN,30.019405364990234,16271
20,area,NOUN,21.307086944580078,16271,agreste,ADJ,33.432518005371094,16271
21,in,ADP,21.15780258178711,19031,al,ADP,36.151344299316406,19031
22,the,DET,21.86048126220703,19031,norte,NOUN,30.88986587524414,19031
23,northern,ADJ,19.882369995117188,19031,del,ADP,34.198829650878906,19031
24,part,NOUN,21.085111618041992,19031,estado,NOUN,31.21139907836914,19031
25,of,ADP,23.779993057250977,19031,de,ADP,30.044387817382812,19031
26,New,PROPN,21.535802841186523,19031,Nueva,PROPN,37.12191390991211,19031
27,York,PROPN,19.699771881103516,19031,York,PROPN,36.19206619262695,19031
28,State,PROPN,20.874164581298828,19031,0,0,0.0,0
29,.,PUNCT,19.662715911865234,19031,.,PUNCT,32.59313201904297,19031
30,It,PRON,24.43640899658203,22026,0,0,0.0,0
31,was,AUX,25.07289695739746,22026,Era,AUX,34.52935791015625,22026
32,a,DET,25.331134796142578,22026,un,DET,35.86792755126953,22026
33,beautiful,ADJ,20.88861656188965,22026,hermoso,ADJ,34.83427810668945,22026
34,day,NOUN,20.271677017211914,22026,día,NOUN,34.26711654663086,22026
35,.,PUNCT,20.949127197265625,22026,.,PUNCT,32.7282600402832,22026
36,The,DET,21.429471969604492,23467,El,DET,34.08784866333008,23467
37,forest,NOUN,19.596036911010742,23467,bosque,NOUN,32.320072174072266,23467
38,was,AUX,25.670467376708984,23467,0,0,0.0,0
39,sparkling,VERB,21.651670455932617,23467,centelleaba,VERB,32.8759880065918,23467
40,.,PUNCT,21.54974365234375,23467,.,PUNCT,32.30501174926758,23467
41,The,DET,22.241872787475586,25469,El,DET,34.664581298828125,25469
42,sun,NOUN,21.58492088317871,25469,sol,NOUN,34.098087310791016,25469
43,made,VERB,24.29462242126465,25469,hacía,VERB,32.87532043457031,25469
44,0,0,0.0,0,que,SCONJ,33.27201461791992,25469
45,the,DET,22.491226196289062,25469,las,DET,32.88235092163086,25469
