,0,1,2,3,4,5,6,7
0,So,ADV,18.103490829467773,12717,aquí,ADV,35.797542572021484,12717
1,I,PRON,25.28843116760254,12717,Estoy,VERB,31.579143524169922,12717
2,'m,AUX,21.582475662231445,12717,para,ADP,34.03961563110352,12717
3,here,ADV,19.343658447265625,12717,hablarles,NOUN,34.42248916625977,12717
4,to,PART,22.93122291564941,12717,ciudad,NOUN,33.342029571533196,12717
5,talk,VERB,24.91394805908203,12717,la,DET,34.25142288208008,12717
6,to,ADP,20.37651252746582,12717,sobre,ADP,33.13833236694336,12717
7,you,PRON,24.24320411682129,12717,.,PUNCT,33.84437942504883,12717
8,about,ADP,21.60539054870605,12717,En,ADP,32.14880752563477,17013
9,the,DET,20.349079132080078,12717,una,DET,35.50090408325195,15630
10,walkable,ADJ,19.250370025634766,12717,peatonal,ADJ,34.10308074951172,12717
11,city,NOUN,20.00916290283203,12717,ciudad,NOUN,34.773372650146484,15630
12,.,PUNCT,21.05497169494629,12717,¿,PUNCT,30.64448165893555,15630
13,What,PRON,20.63521957397461,15630,Qué,PRON,32.332748413085945,15630
14,is,AUX,22.756898880004886,15630,es,AUX,32.99906539916992,15630
15,the,DET,22.54374122619629,15630,una,DET,32.82095718383789,17013
16,walkable,ADJ,19.800024032592773,15630,peatonal,ADJ,34.061222076416016,15630
17,city,NOUN,19.597047805786133,15630,espera,NOUN,34.33756256103516,17013
18,?,PUNCT,21.39069938659668,15630,?,PUNCT,33.28402328491211,15630
19,Well,INTJ,24.82773208618164,17013,es,AUX,35.133289337158196,19518
20,",",PUNCT,20.18138313293457,17013,",",PUNCT,30.461584091186523,17013
21,for,ADP,20.813798904418945,17013,de,ADP,30.91571044921875,17013
22,want,NOUN,20.17463493347168,17013,definición,NOUN,32.57022476196289,17013
23,of,ADP,21.99793243408203,17013,en,ADP,32.111690521240234,19518
24,a,DET,22.650909423828125,17013,una,DET,34.688308715820305,19518
25,better,ADJ,21.12681579589844,17013,mejor,ADJ,33.68115997314453,17013
26,definition,NOUN,22.24001884460449,17013,ciudad,NOUN,34.105457305908196,19518
27,",",PUNCT,20.531721115112305,17013,la,DET,34.58375930786133,19518
28,it,PRON,24.4241943359375,19518,que,PRON,34.08009719848633,19518
29,'s,AUX,21.509748458862305,19518,es,AUX,32.34869766235352,19518
30,a,DET,22.817363739013672,19518,el,DET,34.773048400878906,19518
31,city,NOUN,20.568960189819336,19518,automóvil,NOUN,31.698177337646484,19518
32,in,ADP,21.248056411743164,19518,de,ADP,32.123077392578125,19518
33,which,DET,24.32229804992676,19518,opcional,ADJ,34.217403411865234,19518
34,the,DET,20.05364799499512,19518,instrumento,NOUN,34.46556854248047,19518
