,0,1,2,3,4,5,6,7
0,0,0,0,0,Bonjour,PROPN,3517466432968360467,15260
1,",",PUNCT,2593208677638477497,15260,",",PUNCT,2593208677638477497,15260
2,Good,ADJ,717880881345064706,15260,tout,ADJ,15661096398690594318,15260
3,everybody,PRON,1466605324003414912,15260,le,DET,13361843836202591494,15260
4,afternoon,NOUN,945086212746794651,15260,monde,NOUN,6271367927324676804,15260
5,.,PUNCT,12646065887601541794,15260,.,PUNCT,12646065887601541794,15260
6,I,PRON,4690420944186131903,17260,J',PRON,13625533891298606388,17260
7,'ve,AUX,2989924464908128948,17260,quelque,DET,12166229204512560195,17260
8,got,VERB,12579384389446384672,17260,ai,VERB,4489555979637837711,17260
9,something,PRON,17370494668576369452,17260,chose,NOUN,16094856241113769018,17260
10,to,PART,3791531372978436496,17260,à,ADP,1840659177240090782,17260
11,show,VERB,1916734850589852068,17260,montrer,VERB,18072471512532703544,17260
12,you,PRON,7624161793554793053,17260,vous,PRON,6151699640482831038,17260
13,.,PUNCT,12646065887601541794,17260,.,PUNCT,12646065887601541794,17260
14,(,PUNCT,12638816674900267446,37260,(,PUNCT,12638816674900267446,37260
15,Laughter,PROPN,9911806888783028371,37260,Rires,NOUN,11291050488124262083,37260
16,),PUNCT,3842344029291005339,37260,),PUNCT,3842344029291005339,37260
17,Think,VERB,12704440443326352104,39260,Imaginez,NOUN,1769169142376435964,39260
18,as,SCONJ,7437575085468336610,39260,que,SCONJ,11474801393294414462,39260
19,this,DET,1995909169258310477,39260,c',PRON,3614287697118523228,39260
20,about,ADP,942632335873952620,39260,est,AUX,14619786160612475726,39260
21,a,DET,11901859001352538922,39260,un,DET,12188161997964598936,39260
22,pixel,NOUN,8139534951506195194,39260,pixel,NOUN,8139534951506195194,39260
23,",",PUNCT,2593208677638477497,39260,",",PUNCT,2593208677638477497,39260
24,a,DET,11901859001352538922,39260,un,DET,12188161997964598936,39260
25,pixel,NOUN,8139534951506195194,39260,pixel,NOUN,8139534951506195194,39260
26,0,0,0,0,qui,PRON,18025162834834030610,39260
27,flying,VERB,10201567516353534822,39260,vole,VERB,10034493448582622638,39260
28,.,PUNCT,12646065887601541794,39260,.,PUNCT,12646065887601541794,39260
29,This,DET,12943039165150086467,42260,C',PRON,13529430013742482571,42260
30,is,AUX,3411606890003347522,42260,est,AUX,14619786160612475726,42260
31,what,PRON,5865838185239622912,42260,ce,PRON,5293259605002647980,42260
32,we,PRON,16064069575701507746,42260,que,PRON,11474801393294414462,42260
33,0,0,0,0,nous,PRON,15994519860812886258,42260
34,call,VERB,14229572451745258962,42260,appelons,VERB,16987042881009889412,42260
35,",",PUNCT,2593208677638477497,42260,",",PUNCT,2593208677638477497,42260
36,in,ADP,3002984154512732771,42260,dans,ADP,6959196919681770914,42260
37,our,DET,17577015140245084783,42260,notre,DET,16699583448167008180,42260
38,lab,NOUN,16340153075702429707,42260,laboratoire,NOUN,7789997290019831470,42260
39,",",PUNCT,2593208677638477497,42260,",",PUNCT,2593208677638477497,42260
40,0,0,0,0,du,DET,17166863280368009634,42260
41,design,NOUN,4105053907530138126,42260,design,NOUN,4105053907530138126,42260
42,sensible,ADJ,2202905983456491721,42260,sensible,ADJ,2202905983456491721,42260
43,.,PUNCT,12646065887601541794,42260,.,PUNCT,12646065887601541794,42260
44,Let,VERB,16084663469996431762,45260,Permettez,VERB,4373644764325343816,45260
45,0,0,0,0,-,PUNCT,9153284864653046197,45260
46,me,PRON,18197037023634208128,45260,moi,PRON,3970053486024285833,45260
47,about,ADP,942632335873952620,45260,de,ADP,11144093025662894627,45260
48,you,PRON,7624161793554793053,45260,vous,PRON,6151699640482831038,45260
49,it,PRON,10239237003504588839,45260,en,PRON,14626626061804382878,45260
50,tell,VERB,63172552626595070,45260,parler,VERB,3955094953687558631,45260
51,a,DET,11901859001352538922,45260,un,DET,12188161997964598936,45260
52,bit,NOUN,1794436035373472204,45260,peu,ADV,8637690577923243362,45260
53,.,PUNCT,12646065887601541794,45260,.,PUNCT,12646065887601541794,45260
54,if,SCONJ,12446819118446800910,47260,Si,SCONJ,17232677785023700288,47260
55,you,PRON,7624161793554793053,47260,vous,PRON,6151699640482831038,47260
56,take,VERB,6789454535283781228,47260,prenez,VERB,16222308218421992806,47260
57,this,DET,1995909169258310477,47260,cette,DET,13014437646612957149,47260
58,picture,NOUN,9284188139451966413,47260,photo,NOUN,12453600060201764970,47260
59,--,PUNCT,10501404726543969396,47260,-,PUNCT,9153284864653046197,47260
60,I,PRON,4690420944186131903,47260,je,PRON,8612506203511071854,47260
61,'m,AUX,8504683628951808721,47260,suis,AUX,9227762830378992001,47260
62,Italian,ADJ,2467304008471796504,47260,italien,ADJ,16966581409790046872,47260
63,Now,ADV,13923566239961886281,47260,à,ADP,1840659177240090782,47260
64,originally,ADV,15725443782770600941,47260,l',DET,11055277117081255759,47260
65,0,0,0,0,origine,NOUN,11667695531344937885,47260
66,",",PUNCT,2593208677638477497,47260,",",PUNCT,2593208677638477497,47260
67,and,CCONJ,2283656566040971221,50260,et,CCONJ,13620178847145827813,50260
68,every,DET,2739543297294151269,50260,chaque,DET,7090854322111392997,50260
69,boy,NOUN,6943052338024606995,50260,garçon,NOUN,10934414907323639137,50260
70,in,ADP,3002984154512732771,50260,en,ADP,14626626061804382878,50260
71,Italy,PROPN,5879186332814567530,50260,Italie,PROPN,14518923809127262434,50260
72,grows,VERB,6115445568100627063,50260,grandit,NOUN,357324740740611768,50260
73,up,ADP,2199259611705938403,50260,0,0,0,0
74,with,ADP,12510949447758279278,52260,avec,ADP,18367549186037839347,52260
75,this,DET,1995909169258310477,52260,cette,DET,13014437646612957149,52260
76,picture,NOUN,9284188139451966413,52260,photo,NOUN,12453600060201764970,52260
77,on,ADP,5640369432778651323,52260,sur,ADP,14175982410302701706,52260
78,the,DET,7425985699627899538,52260,le,DET,13361843836202591494,52260
79,wall,NOUN,14432890480967458232,52260,mur,NOUN,11780301535245577754,52260
80,of,ADP,886050111519832510,52260,de,ADP,11144093025662894627,52260
81,his,DET,2661093235354845946,52260,sa,DET,397185324164439704,52260
82,bedroom,NOUN,2120120869437579251,52260,chambre,NOUN,9435463418922001486,52260
83,--,PUNCT,10501404726543969396,52260,.,PUNCT,12646065887601541794,52260
84,but,CCONJ,14560795576765492085,54260,Mais,CCONJ,3985832202445185970,54260
85,the,DET,7425985699627899538,54260,la,DET,6804705863737483857,54260
