,0,1,2,3,4,5,6,7
0,Hola,PROPN,3582392325224160178,18330,Bonjour,PROPN,3517466432968360467,18330
1,.,PUNCT,12646065887601541794,18330,",",PUNCT,2593208677638477497,18330
2,Estoy,VERB,17107300623539537124,18330,je,PRON,8612506203511071854,18330
3,0,0,0,0,suis,AUX,9227762830378992001,18330
4,aquí,ADV,11304695278136339124,18330,ici,ADV,16082578346872542639,18330
5,para,ADP,17491956544424926374,18330,pour,ADP,4302925298007755726,18330
6,de,ADP,11144093025662894627,18330,vous,PRON,6151699640482831038,18330
7,hablar,VERB,18160074541727627272,18330,parler,VERB,3955094953687558631,18330
8,de,ADP,11144093025662894627,18330,de,ADP,11144093025662894627,18330
9,la,DET,6804705863737483857,18330,l',DET,11055277117081255759,18330
10,importancia,NOUN,16951250483006520754,18330,importance,NOUN,14560146131139610552,18330
11,elogiar,VERB,11011373596084820203,22330,de,ADP,11144093025662894627,22330
12,mostrar,VERB,13137225793666447060,22330,l',DET,11055277117081255759,22330
13,admiración,NOUN,1726405295700099496,22330,éloge,NOUN,5739880101622238747,22330
14,",",PUNCT,2593208677638477497,22330,",",PUNCT,2593208677638477497,22330
15,y,CONJ,9409450202036847209,22330,de,ADP,11144093025662894627,22330
16,decir,VERB,8511968184309850901,22330,l',DET,11055277117081255759,22330
17,gracias,NOUN,801102441491386663,22330,admiration,NOUN,15662421291574549702,22330
18,0,0,0,0,",",PUNCT,2593208677638477497,22330
19,0,0,0,0,et,CCONJ,13620178847145827813,22330
20,0,0,0,0,du,DET,17166863280368009634,22330
21,0,0,0,0,remerciement,NOUN,2218388951225006720,22330
22,0,0,0,0,",",PUNCT,2593208677638477497,22330
23,haciéndolo,PROPN,3230410697617392835,25330,lorsqu',SCONJ,14291511952930789757,25330
24,de,ADP,11144093025662894627,25330,ils,PRON,7400529878339724166,25330
25,específica,ADJ,10188295256201406449,25330,sont,AUX,2183785841973629617,25330
26,auténtica,ADJ,14513378975829369205,25330,spécifiques,ADJ,2131816759249907190,25330
27,y,CONJ,9409450202036847209,25330,et,CCONJ,13620178847145827813,25330
28,manera,NOUN,498987833452431579,25330,sincères,NOUN,12032919283547529943,25330
29,.,PUNCT,12646065887601541794,25330,.,PUNCT,12646065887601541794,25330
30,Lo,DET,3892584616005055440,27330,Ce,PRON,10217257574287006157,27330
31,que,PRON,11474801393294414462,27330,qui,PRON,18025162834834030610,27330
32,me,PRON,18197037023634208128,27330,m',PRON,9871122146191930138,27330
33,fue,AUX,6922200418372124953,27330,a,AUX,11901859001352538922,27330
34,interesó,VERB,5366188456513030952,27330,amené,VERB,8324943949206694869,27330
35,en,ADP,14626626061804382878,27330,vers,ADP,8756464630490101817,27330
36,este,DET,15654890294676217493,27330,ce,DET,5293259605002647980,27330
37,tema,NOUN,6682549395736523950,27330,sujet,NOUN,16509512374981535802,27330
38,0,0,0,0,",",PUNCT,2593208677638477497,27330
39,algo,PRON,16528986040643271495,29330,c',PRON,3614287697118523228,29330
40,que,PRON,11474801393294414462,29330,est,AUX,14619786160612475726,29330
41,en,ADP,14626626061804382878,29330,qu',SCONJ,13574260379477198189,29330
42,desde,ADP,15141126369269946138,29330,avec,ADP,18367549186037839347,29330
43,una,DET,1019041181156623609,29330,l',DET,11055277117081255759,29330
44,niña,NOUN,14296515436416493542,29330,âge,NOUN,17763632480819941238,29330
45,mí,PRON,12975109311118457898,29330,j',PRON,7275302914444174311,29330
46,era,AUX,7478797442728669872,29330,ai,AUX,4489555979637837711,29330
47,noté,VERB,7694993188124477112,29330,remarqué,VERB,16415139698820749825,29330
48,que,SCONJ,11474801393294414462,29330,que,SCONJ,11474801393294414462,29330
49,0,0,0,0,",",PUNCT,2593208677638477497,29330
50,hasta,ADP,16854082586272343925,32330,jusqu',ADP,10373369020310480197,32330
51,hace,AUX,12135968124517883173,32330,à,ADP,1840659177240090782,32330
52,0,0,0,0,il,PRON,8081183868394845856,32330
53,0,0,0,0,y,PRON,9409450202036847209,32330
54,0,0,0,0,a,VERB,11901859001352538922,32330
55,0,0,0,0,encore,ADV,11855764264454003551,32330
56,unos,DET,692935343199726814,32330,quelques,DET,9823807482778656159,32330
57,años,NOUN,8746864843512539013,32330,années,NOUN,13944270784215112439,32330
58,0,0,0,0,",",PUNCT,2593208677638477497,32330
59,que,SCONJ,11474801393294414462,33330,je,PRON,8612506203511071854,33330
60,de,ADP,11144093025662894627,33330,pouvais,AUX,680683831647888653,33330
61,sentía,VERB,1948756737307096512,33330,avoir,VERB,11059948118366003969,33330
62,ganas,NOUN,2922835674101674145,33330,envie,NOUN,14830539383150081533,33330
63,a,ADP,11901859001352538922,33330,de,ADP,11144093025662894627,33330
64,agradecer,VERB,937974412965477789,33330,remercier,VERB,18294814775886093875,33330
65,alguna,DET,9476533234829010752,33330,quelqu',SCONJ,1723082619084964570,33330
66,persona,NOUN,17688060688588333503,33330,un,PRON,12188161997964598936,33330
67,0,0,0,0,",",PUNCT,2593208677638477497,33330
68,ganas,NOUN,2922835674101674145,35330,ou,CCONJ,7904677917145870628,35330
69,de,ADP,11144093025662894627,35330,de,ADP,11144093025662894627,35330
70,0,0,0,0,vanter,VERB,9809233516118952186,35330
71,0,0,0,0,ses,DET,1588056499098558155,35330
72,elogiarla,NOUN,13984581757742045717,35330,mérites,NOUN,10074847992596272427,35330
73,.,PUNCT,12646065887601541794,35330,.,PUNCT,12646065887601541794,35330
74,0,0,0,0,Et,CCONJ,1620920187821177431,36330
75,sus,DET,11087495102510657763,36330,je,PRON,8612506203511071854,36330
76,Quería,VERB,10663287276208466686,36330,pouvais,VERB,680683831647888653,36330
77,hacia,ADP,7757292051082942970,36330,aussi,ADV,10514909888095890428,36330
78,aceptar,VERB,17256503236919394247,36330,avoir,VERB,11059948118366003969,36330
79,elogios,NOUN,13695156313797305887,36330,envie,NOUN,14830539383150081533,36330
80,0,0,0,0,qu',SCONJ,13574260379477198189,36330
81,0,0,0,0,on,PRON,5640369432778651323,36330
82,0,0,0,0,vante,VERB,572986655954135197,36330
83,mi,DET,8676063341920465065,36330,les,DET,5902437463952755554,36330
84,0,0,0,0,miens,NOUN,13715136241429086569,36330
85,0,0,0,0,.,PUNCT,12646065887601541794,36330
86,pero,CONJ,4949779210556390094,38330,Et,CCONJ,1620920187821177431,38330
