,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.763471603393555,15617,a,ADP,34.40599060058594,15617
1,'m,AUX,23.233854293823242,15617,Voy,AUX,34.91926193237305,15617
2,going,VERB,24.940526962280273,15617,hablar,VERB,36.611663818359375,15617
3,to,PART,23.412126541137695,15617,0,0,0.0,0
4,talk,VERB,25.096691131591797,15617,0,0,0.0,0
5,about,ADP,21.755901336669922,15617,de,ADP,32.39398956298828,15617
6,religion,NOUN,19.79138946533203,15617,religión,NOUN,31.293140411376953,15617
7,.,PUNCT,21.439830780029297,15617,.,PUNCT,33.22148895263672,15617
8,But,CCONJ,22.180639266967773,19482,0,0,0.0,0
9,it,PRON,25.100635528564453,19482,0,0,0.0,0
10,'s,AUX,22.76119613647461,19482,Es,AUX,33.84366226196289,19482
11,a,DET,22.913848876953125,19482,un,DET,38.716224670410156,19482
12,broad,ADJ,21.08558464050293,19482,amplio,ADJ,33.82284927368164,19482
13,and,CCONJ,23.715911865234375,19482,y,CONJ,31.874914169311523,19482
14,very,ADV,25.824199676513672,19482,muy,ADV,36.47382354736328,19482
15,delicate,ADJ,20.62316131591797,19482,delicado,ADJ,35.20207214355469,19482
16,subject,NOUN,18.73928451538086,19482,tema,NOUN,31.980072021484375,19482
17,",",PUNCT,21.91335105895996,19482,",",PUNCT,29.8081111907959,19482
18,so,CCONJ,18.25482177734375,24734,así,ADV,36.78360366821289,24734
19,I,PRON,25.863183975219727,24734,que,SCONJ,32.071598052978516,24734
20,have,AUX,21.757925033569336,24734,tengo,VERB,37.164649963378906,24734
21,to,PART,22.888851165771484,24734,que,SCONJ,30.77960205078125,24734
22,limit,VERB,25.25311279296875,24734,establecer,VERB,35.49843978881836,24734
23,myself,PRON,22.4235782623291,24734,los,DET,35.78538131713867,24734
24,0,0,0.0,0,límites,NOUN,34.32778549194336,24734
25,.,PUNCT,21.52901268005371,24734,.,PUNCT,32.545372009277344,24734
26,And,CCONJ,21.343093872070312,26405,Por,ADP,33.81602096557617,26405
27,0,0,0.0,0,lo,DET,32.29650115966797,26405
28,I,PRON,24.13735580444336,26405,tanto,NOUN,34.07684326171875,26405
29,will,VERB,25.417810440063477,26405,",",PUNCT,29.996850967407227,26405
30,0,0,0.0,0,voy,AUX,35.315364837646484,26405
31,myself,PRON,21.77410316467285,26405,a,ADP,34.84336471557617,26405
32,limit,VERB,23.912261962890625,26405,hablar,VERB,37.332786560058594,26405
33,therefore,ADV,18.087818145751953,26405,solamente,ADV,35.84695816040039,26405
34,to,PART,23.750797271728516,28885,de,ADP,32.79700469970703,28885
35,only,ADV,21.720714569091797,28885,0,0,0.0,0
36,talk,VERB,22.81110382080078,28885,0,0,0.0,0
37,about,ADP,21.42217445373535,28885,entre,ADP,33.67179489135742,28885
38,the,DET,22.103429794311523,28885,los,DET,35.14765167236328,28885
39,links,NOUN,20.940643310546875,28885,vínculos,NOUN,34.928932189941406,28885
40,between,ADP,21.5240421295166,28885,y,CONJ,34.58212661743164,28885
41,religion,NOUN,19.933000564575195,28885,sexualidad,NOUN,32.3968391418457,28885
42,and,CCONJ,23.825899124145508,28885,0,0,0.0,0
43,sexuality,NOUN,19.49334144592285,28885,religión,NOUN,30.548959732055664,28885
44,.,PUNCT,21.237810134887695,28885,.,PUNCT,33.094627380371094,28885
45,(,PUNCT,19.138301849365234,33294,(,PUNCT,28.748825073242188,33294
46,Laughter,PROPN,20.165264129638672,33294,Risas,PROPN,34.865478515625,33294
47,),PUNCT,20.96363067626953,33294,),PUNCT,32.331058502197266,33294
48,This,DET,23.236539840698242,34860,No,ADV,33.06385803222656,34860
49,0,0,0.0,0,",",PUNCT,32.08436584472656,34860
50,0,0,0.0,0,esta,PRON,31.59583854675293,34860
