,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,My,DET,22.151512145996094,12160,Mi,DET,33.13207244873047,12160
1,work,NOUN,21.886659622192383,12160,trabajo,NOUN,33.9512825012207,12160
2,is,AUX,24.223608016967773,12160,es,AUX,33.45375442504883,12160
3,about,ADP,22.811119079589844,12160,de,ADP,33.12722396850586,12160
4,the,DET,20.158626556396484,12160,acerca,ADV,34.04093933105469,12160
5,behaviors,NOUN,21.92898941040039,12160,comportamientos,NOUN,33.65312957763672,12160
6,that,DET,22.369340896606445,12160,la,DET,30.100231170654297,12160
7,we,PRON,24.456212997436523,12160,que,PRON,32.85565185546875,12160
8,all,DET,22.44830894470215,12160,0,0,0.0,0
9,engage,VERB,23.000734329223633,12160,adoptamos,VERB,34.88976287841797,12160
10,in,ADP,20.117345809936523,12160,0,0,0.0,0
11,unconsciously,ADV,20.173486709594727,12160,inconscientemente,ADV,33.4210319519043,12160
12,",",PUNCT,20.96611785888672,12160,",",PUNCT,30.567672729492188,12160
13,on,ADP,21.02617645263672,17160,de,ADP,32.00518035888672,17160
14,a,DET,22.243282318115234,17160,0,0,0.0,0
15,collective,ADJ,22.28339958190918,17160,colectiva,ADJ,34.965057373046875,17160
16,level,NOUN,21.069738388061523,17160,manera,NOUN,34.740901947021484,17160
17,.,PUNCT,21.23674774169922,17160,.,PUNCT,33.58280563354492,17160
18,And,CCONJ,21.164011001586914,19160,con,ADP,33.58380889892578,19160
19,what,PRON,21.409114837646484,19160,Me,PRON,29.2731876373291,19160
20,I,PRON,26.138534545898438,19160,esto,PRON,32.88001251220703,19160
21,mean,VERB,22.550138473510742,19160,refiero,VERB,39.168617248535156,19160
22,by,ADP,21.784549713134766,19160,a,ADP,33.366783142089844,19160
23,that,DET,17.65809440612793,19160,los,DET,36.43195724487305,19160
24,",",PUNCT,21.044750213623047,19160,",",PUNCT,30.96192741394043,19160
25,it,PRON,24.072616577148438,19160,0,0,0.0,0
26,'s,AUX,22.074472427368164,19160,0,0,0.0,0
27,the,DET,20.886579513549805,19160,0,0,0.0,0
28,behaviors,NOUN,19.88213348388672,19160,comportamientos,NOUN,36.05622863769531,19160
29,that,SCONJ,20.41312599182129,21160,que,SCONJ,30.06709098815918,21160
30,we,PRON,24.29752540588379,21160,negamos,VERB,32.890533447265625,21160
31,'re,AUX,22.20622444152832,21160,0,0,0.0,0
32,in,ADP,22.56354522705078,21160,0,0,0.0,0
33,denial,NOUN,20.782548904418945,21160,0,0,0.0,0
34,about,ADP,20.36276626586914,21160,0,0,0.0,0
35,",",PUNCT,20.349658966064453,21160,",",PUNCT,30.455242156982422,21160
36,and,CCONJ,18.694734573364258,22160,y,CONJ,32.64207458496094,22160
37,the,DET,22.090072631835938,22160,a,ADP,32.090431213378906,22160
38,that,DET,23.013330459594727,22160,los,DET,34.81193161010742,22160
39,ones,NOUN,19.290863037109375,22160,que,PRON,34.41720962524414,22160
40,operate,VERB,23.83951759338379,22160,operan,VERB,37.00716018676758,22160
41,below,ADP,21.47443389892578,22160,por,ADP,30.74203109741211,22160
42,0,0,0.0,0,debajo,ADV,33.9805908203125,22160
43,of,ADP,22.562837600708008,22160,de,ADP,32.441749572753906,22160
44,the,DET,21.686891555786133,22160,la,DET,33.671443939208984,22160
45,surface,NOUN,19.64665985107422,22160,superficie,NOUN,30.568355560302734,22160
46,0,0,0.0,0,de,ADP,29.7142391204834,22160
47,our,DET,24.778535842895508,22160,nuestra,DET,35.88182067871094,22160
48,awareness,NOUN,18.57788848876953,22160,conciencia,NOUN,33.65364074707031,22160
49,daily,ADJ,19.18608856201172,22160,diaria,ADJ,34.80524444580078,22160
50,.,PUNCT,22.59423065185547,22160,.,PUNCT,32.75905990600586,22160
51,And,CCONJ,19.935123443603516,29160,0,0,0.0,0
52,as,SCONJ,21.33999252319336,29160,Como,SCONJ,34.4375,29160
