,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Beijing,PROPN,22.12864875793457,2000,Beijing,PROPN,32.93935775756836,2000
1,",",PUNCT,20.21396827697754,2000,",",PUNCT,29.36944580078125,2000
2,China,PROPN,23.550182342529297,2000,China,PROPN,35.37528610229492,2000
3,.,PUNCT,19.617929458618164,2000,.,PUNCT,32.072322845458984,2000
4,I,PRON,25.568008422851562,13875,0,0,0.0,0
5,am,AUX,22.109949111938477,13875,Soy,AUX,29.92705726623535,13875
6,an,DET,23.371206283569336,13875,0,0,0.0,0
7,architect,NOUN,19.932571411132812,13875,arquitecto,NOUN,35.27601623535156,13875
8,.,PUNCT,22.28002166748047,13875,.,PUNCT,31.886537551879883,13875
9,And,CCONJ,19.58940315246582,16083,Y,CONJ,34.12754821777344,16083
10,this,DET,21.689002990722656,16083,esta,DET,36.070960998535156,16083
11,picture,NOUN,21.840333938598633,16083,imagen,NOUN,31.940073013305664,16083
12,shows,VERB,25.6097469329834,16083,muestra,VERB,33.038265228271484,16083
13,the,DET,22.073808670043945,16083,la,DET,34.273372650146484,16083
14,city,NOUN,20.469402313232422,16083,ciudad,NOUN,31.298465728759766,16083
15,that,DET,20.552719116210938,16083,0,0,0.0,0
16,I,PRON,25.579580307006836,16083,donde,PRON,31.272937774658203,16083
17,come,VERB,23.36104965209961,16083,vengo,VERB,32.95964813232422,16083
18,from,ADP,18.095252990722656,16083,de,ADP,29.07413673400879,16083
19,",",PUNCT,21.08948516845703,16083,",",PUNCT,28.00575065612793,16083
20,And,CCONJ,21.529722213745117,21958,El,DET,33.96297836303711,21958
21,old,ADJ,20.07098960876465,21958,viejo,ADJ,30.708133697509766,21958
22,Beijing,PROPN,20.55535125732422,21958,Beijing,PROPN,35.895957946777344,21958
23,is,AUX,23.6315860748291,21958,es,AUX,33.38107681274414,21958
24,like,SCONJ,18.934803009033203,21958,como,SCONJ,35.53778839111328,21958
25,a,DET,21.827356338500977,21958,un,DET,36.84125518798828,21958
