,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,A,DET,22.125734329223633,12870,Una,DET,32.9769401550293,12870
1,brain,NOUN,18.695438385009766,12870,lesión,NOUN,32.03074264526367,12870
2,traumatic,ADJ,20.30762481689453,12870,cerebral,ADJ,32.73527908325195,12870
3,injury,NOUN,18.77044105529785,12870,traumática,ADJ,32.96151351928711,12870
4,",",PUNCT,22.00135040283203,12870,",",PUNCT,31.230730056762695,12870
5,or,CCONJ,19.945085525512695,12870,o,CONJ,33.956809997558594,12870
6,TBI,PROPN,21.516712188720703,12870,LCT,PROPN,33.71176528930664,12870
7,",",PUNCT,20.927358627319336,12870,",",PUNCT,29.854232788085938,12870
8,is,AUX,20.459674835205078,15148,es,AUX,35.20171356201172,15148
9,a,DET,23.51559066772461,15148,una,DET,34.82119369506836,15148
10,disruption,NOUN,21.200349807739258,15148,interrupción,NOUN,31.14542579650879,15148
11,in,ADP,20.841442108154297,15148,de,ADP,31.432239532470703,15148
12,brain,NOUN,19.858224868774414,15148,la,DET,33.671939849853516,15148
13,function,NOUN,19.784557342529297,15148,función,NOUN,31.254135131835938,15148
14,caused,VERB,23.41654396057129,15148,cerebral,ADJ,33.248008728027344,15148
15,external,ADJ,19.774206161499023,15148,causada,ADJ,35.4133186340332,15148
16,by,ADP,22.82048988342285,15148,por,ADP,33.06412887573242,15148
17,an,DET,23.485565185546875,15148,un,DET,37.354434967041016,15148
18,blow,NOUN,20.573139190673828,15148,golpe,NOUN,32.337135314941406,15148
19,0,0,0.0,0,externo,ADJ,34.43857192993164,15148
20,to,ADP,20.36845588684082,15148,en,ADP,31.758094787597656,15148
21,the,DET,21.983739852905273,15148,la,DET,33.380592346191406,15148
22,head,NOUN,19.903745651245117,15148,cabeza,NOUN,31.042736053466797,15148
23,.,PUNCT,21.87027931213379,15148,.,PUNCT,33.013580322265625,15148
24,And,CCONJ,21.32927703857422,21046,Y,CONJ,32.09486389160156,21046
25,when,ADV,23.443260192871094,21046,cuando,SCONJ,35.66560363769531,21046
26,you,PRON,24.428722381591797,21046,uno,PRON,33.37765121459961,21046
27,hear,VERB,23.994586944580078,21046,escucha,VERB,34.65155792236328,21046
28,that,DET,19.75058937072754,21046,esta,DET,34.145042419433594,21046
29,definition,NOUN,17.70477294921875,21046,definición,NOUN,32.39201736450195,21046
30,",",PUNCT,20.421701431274414,21046,0,0,0.0,0
31,might,VERB,24.160303115844727,23265,piensa,VERB,36.38745880126953,23265
32,about,ADP,22.513931274414062,23265,en,ADP,31.8953857421875,23265
33,you,PRON,23.618669509887695,23265,los,DET,34.987674713134766,23265
34,sports,NOUN,19.426616668701172,23265,deportes,NOUN,35.94792938232422,23265
35,think,VERB,24.795482635498047,23265,y,CONJ,34.97695541381836,23265
36,and,CCONJ,25.596057891845703,23265,los,DET,34.55746841430664,23265
37,athletes,NOUN,21.63429069519043,23265,atletas,NOUN,35.54189682006836,23265
38,professional,ADJ,19.446731567382812,23265,profesionales,ADJ,34.50046157836914,23265
39,",",PUNCT,21.239280700683594,23265,",",PUNCT,31.189790725708008,23265
40,it,PRON,24.86838150024414,26549,ya,ADV,35.57987976074219,26549
41,since,SCONJ,22.655698776245117,26549,que,SCONJ,33.223365783691406,26549
42,'s,AUX,21.338804244995117,26549,es,AUX,33.72240447998047,26549
43,the,DET,22.557838439941406,26549,la,DET,34.28189468383789,26549
44,kind,NOUN,18.824871063232422,26549,clase,NOUN,29.638792037963867,26549
45,of,ADP,22.339094161987305,26549,de,ADP,32.06383514404297,26549
46,injury,NOUN,20.775920867919922,26549,lesión,NOUN,31.716598510742188,26549
47,we,PRON,22.458908081054688,26549,que,PRON,33.09468460083008,26549
48,'re,AUX,22.14826202392578,26549,estamos,AUX,33.5633430480957,26549
49,used,VERB,22.091293334960938,26549,acostumbrados,ADJ,33.674564361572266,26549
50,to,ADP,20.368488311767578,26549,a,ADP,33.75206756591797,26549
51,seeing,VERB,22.144515991210938,26549,ver,VERB,35.05844497680664,26549
52,on,ADP,20.316726684570312,26549,en,ADP,34.09528350830078,26549
53,the,DET,20.9976806640625,26549,el,DET,34.87345504760742,26549
54,playing,VERB,20.317718505859375,26549,campo,NOUN,32.34653854370117,26549
55,0,0,0.0,0,de,ADP,31.232059478759766,26549
56,field,NOUN,19.940805435180664,26549,juego,NOUN,31.82869529724121,26549
57,.,PUNCT,21.43778419494629,26549,.,PUNCT,31.326425552368164,26549
58,And,CCONJ,19.493938446044922,31162,Y,CONJ,34.07086944580078,31162
59,this,DET,22.055072784423828,31162,esta,DET,35.635189056396484,31162
60,imagery,NOUN,20.616981506347656,31162,imagen,NOUN,31.72643280029297,31162
61,has,AUX,23.319189071655273,31162,es,AUX,33.23118209838867,31162
62,really,ADV,25.40965461730957,31162,la,DET,32.73878860473633,31162
63,come,VERB,21.097267150878906,31162,que,PRON,34.50813674926758,31162
64,to,PART,21.82530975341797,31162,ha,AUX,33.67253112792969,31162
65,define,VERB,22.253498077392578,31162,definido,VERB,32.98380661010742,31162
66,in,ADP,22.55499839782715,31162,a,ADP,32.95675277709961,31162
67,the,DET,22.80258560180664,31162,las,DET,31.47376251220703,31162
68,TBI,PROPN,21.7834529876709,31162,LCT,PROPN,32.585933685302734,31162
69,0,0,0.0,0,en,ADP,31.04637336730957,31162
70,0,0,0.0,0,la,DET,33.32771301269531,31162
71,consciousness,NOUN,19.70153045654297,31162,conciencia,NOUN,33.078773498535156,31162
72,public,ADJ,19.766048431396484,31162,pública,ADJ,34.97705841064453,31162
73,.,PUNCT,21.24969482421875,31162,.,PUNCT,33.279945373535156,31162
74,I,PRON,23.052724838256836,37410,Yo,PRON,34.57235336303711,37410
75,myself,PRON,21.364707946777344,37410,misma,DET,35.044464111328125,37410
76,research,NOUN,22.170759201049805,37410,estudio,NOUN,34.40517044067383,37410
77,do,AUX,20.265790939331055,37410,las,DET,29.79358673095703,37410
78,TBI,PROPN,23.027753829956055,37410,LCT,PROPN,31.765560150146484,37410
79,on,ADP,21.627769470214844,37410,en,ADP,32.162174224853516,37410
80,college,NOUN,19.514667510986328,37410,atletas,NOUN,35.281681060791016,37410
81,retired,VERB,19.256803512573242,37410,retirados,ADJ,33.1573371887207,37410
82,and,CCONJ,23.28591537475586,37410,y,CONJ,34.10368728637695,37410
83,in,ADP,21.46056365966797,37410,en,ADP,31.73259735107422,37410
84,athletes,NOUN,20.939659118652344,37410,universitarios,NOUN,35.09663009643555,37410
85,.,PUNCT,21.312074661254883,37410,.,PUNCT,32.334999084472656,37410
86,I,PRON,24.880813598632812,41716,En,ADP,30.812835693359375,41716
87,stood,VERB,24.716861724853516,41716,2010,NOUN,31.6920166015625,41716
88,on,ADP,21.493070602416992,41716,en,ADP,33.66407775878906,41716
