,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,As,SCONJ,22.646337509155273,12877,Como,SCONJ,36.59498596191406,12877
1,a,DET,24.561450958251953,12877,científica,PROPN,31.211137771606445,12877
2,scientist,NOUN,20.13477897644043,12877,y,CONJ,31.303401947021484,12877
3,",",PUNCT,21.280170440673828,12877,",",PUNCT,31.681394577026367,12877
4,and,CCONJ,20.124855041503906,12877,0,0,0.0,0
5,also,ADV,20.40512466430664,12877,también,ADV,33.66640853881836,12877
6,as,SCONJ,21.569515228271484,12877,como,SCONJ,36.298606872558594,12877
7,a,DET,23.3253231048584,12877,humano,ADJ,37.188724517822266,12877
8,human,NOUN,19.73539161682129,12877,ser,NOUN,34.06635665893555,12877
9,being,NOUN,21.832653045654297,12877,0,0,0.0,0
10,",",PUNCT,21.440567016601562,12877,",",PUNCT,30.113143920898438,12877
11,I,PRON,24.179880142211914,16120,0,0,0.0,0
12,'ve,AUX,22.576509475708008,16120,he,AUX,35.77211380004883,16120
13,been,AUX,26.270366668701172,16120,ser,AUX,36.20893478393555,16120
14,trying,VERB,23.831228256225586,16120,intentado,VERB,35.48082733154297,16120
15,to,PART,24.702537536621094,16120,capaz,ADJ,37.92219543457031,16120
16,make,VERB,25.733112335205078,16120,0,0,0.0,0
17,myself,PRON,22.027339935302734,16120,0,0,0.0,0
18,to,ADP,22.17600440979004,18124,de,ADP,31.267732620239258,18124
19,susceptible,ADJ,19.047054290771484,18124,sentir,VERB,38.1300163269043,18124
20,wonder,NOUN,19.9838924407959,18124,asombro,NOUN,32.075157165527344,18124
21,.,PUNCT,22.766380310058594,18124,.,PUNCT,32.674835205078125,18124
22,I,PRON,24.874820709228516,21499,que,SCONJ,30.711181640625,21499
23,think,VERB,23.717792510986328,21499,Creo,VERB,35.520320892333984,21499
24,Jason,PROPN,23.072818756103516,21499,Jason,PROPN,36.47981643676758,21499
25,Webley,PROPN,23.694120407104492,21499,Webley,PROPN,34.666500091552734,21499
26,last,ADJ,21.754613876342773,21499,0,0,0.0,0
27,night,NOUN,22.309419631958008,21499,anoche,ADV,35.17008590698242,21499
28,called,VERB,19.511911392211914,21499,habló,VERB,35.73762512207031,21499
29,it,PRON,21.283700942993164,21499,de,ADP,29.34374237060547,21499
30,"""",PUNCT,21.767932891845703,24368,"""",PUNCT,31.160701751708984,24368
31,conspiring,VERB,22.085372924804688,24368,conspirar,VERB,33.957279205322266,24368
32,to,PART,22.476594924926758,24368,para,ADP,34.332820892333984,24368
33,be,AUX,24.375961303710938,24368,ser,AUX,39.07009506225586,24368
34,part,NOUN,20.693849563598633,24368,parte,NOUN,33.539180755615234,24368
35,of,ADP,24.400739669799805,24368,de,ADP,30.550308227539062,24368
36,the,DET,22.09075355529785,24368,la,DET,32.77544021606445,24368
37,magic,NOUN,17.61986541748047,24368,magia,NOUN,30.52146339416504,24368
38,.,PUNCT,19.177907943725586,24368,"""",PUNCT,32.217567443847656,24368
39,"""",PUNCT,21.369945526123047,24368,.,PUNCT,33.52936553955078,24368
40,So,ADV,19.670673370361328,28395,Así,ADV,35.801109313964844,28395
41,it,PRON,24.51746368408203,28395,que,SCONJ,31.904829025268555,28395
42,'s,AUX,20.674301147460938,28395,he,AUX,35.29387664794922,28395
43,fortunate,ADJ,19.078622817993164,28395,tenido,VERB,34.47397994995117,28395
44,0,0,0.0,0,suerte,NOUN,32.759464263916016,28395
45,my,DET,22.0408878326416,28395,de,ADP,30.01278305053711,28395
46,that,SCONJ,21.805517196655273,28395,que,SCONJ,33.05343246459961,28395
47,a,DET,22.49769401550293,28395,mi,DET,32.89295196533203,28395
48,career,NOUN,21.243682861328125,28395,carrera,NOUN,32.805274963378906,28395
49,as,SCONJ,22.435911178588867,28395,como,SCONJ,36.31276321411133,28395
50,biologist,NOUN,18.87691307067871,28395,bióloga,NOUN,33.06657791137695,28395
51,lets,VERB,20.410221099853516,31216,permita,VERB,35.053558349609375,31216
52,me,PRON,22.655426025390625,31216,me,PRON,32.08381271362305,31216
53,dive,VERB,19.938085556030273,31216,adentrarme,ADJ,34.9404411315918,31216
54,deeply,ADV,20.99073600769043,31216,0,0,0.0,0
55,into,ADP,18.886138916015625,31216,en,ADP,34.028480529785156,31216
56,the,DET,20.404680252075195,31216,las,DET,32.15888977050781,31216
57,lives,NOUN,19.104965209960938,31216,vidas,NOUN,34.49760818481445,31216
58,of,ADP,18.77619171142578,33860,de,ADP,32.17068099975586,33860
59,some,DET,21.720365524291992,33860,ciertas,DET,35.031890869140625,33860
60,creatures,NOUN,19.88228416442871,33860,criaturas,NOUN,33.684661865234375,33860
61,truly,ADV,24.472103118896484,33860,realmente,ADV,33.135677337646484,33860
62,wondrous,ADJ,20.62066078186035,33860,asombrosas,ADJ,33.982582092285156,33860
63,0,0,0.0,0,con,ADP,33.29356002807617,36378
64,that,DET,21.409887313842773,36378,las,DET,33.43703079223633,36378
65,0,0,0.0,0,que,PRON,33.44374084472656,36378
66,share,VERB,21.779891967773438,36378,compartimos,VERB,35.11762619018555,36378
67,our,DET,22.307804107666016,36378,el,DET,35.248695373535156,36378
68,planet,NOUN,19.71586036682129,36378,planeta,NOUN,31.68068504333496,36378
69,:,PUNCT,18.687686920166016,36378,:,PUNCT,32.42807388305664,36378
70,0,0,0.0,0,las,DET,31.719236373901367,38757
71,fireflies,NOUN,19.53339195251465,38757,luciérnagas,NOUN,35.22454833984375,38757
72,.,PUNCT,20.3842830657959,38757,.,PUNCT,33.11188507080078,38757
73,Now,ADV,23.394325256347656,40452,Sé,AUX,32.632205963134766,40452
74,",",PUNCT,21.82823944091797,40452,",",PUNCT,30.857053756713867,40452
75,for,ADP,21.86362648010254,40452,para,ADP,32.873077392578125,40452
76,many,ADJ,19.752269744873047,40452,0,0,0.0,0
77,of,ADP,22.790014266967773,40452,de,ADP,30.244731903076172,40452
78,you,PRON,20.935548782348633,40452,muchos,PRON,35.21419143676758,40452
79,",",PUNCT,22.13231658935547,40452,",",PUNCT,29.102981567382812,40452
80,I,PRON,24.318065643310547,40452,Uds.,PROPN,35.77660369873047,40452
81,know,VERB,23.84928321838379,40452,las,DET,34.14122772216797,40452
82,that,SCONJ,20.830472946166992,40452,que,SCONJ,32.43172073364258,40452
83,fireflies,NOUN,20.793392181396484,40452,luciérnagas,NOUN,35.685359954833984,40452
84,might,VERB,22.58007049560547,42735,evocan,VERB,34.8004150390625,42735
85,conjure,VERB,23.54453468322754,42735,0,0,0.0,0
86,up,ADP,22.842857360839844,42735,0,0,0.0,0
87,some,DET,23.093852996826172,42735,ciertos,DET,34.63530731201172,42735
88,really,ADV,23.541275024414062,42735,0,0,0.0,0
89,great,ADJ,19.5423526763916,42735,maravillosos,ADJ,36.467254638671875,42735
90,memories,NOUN,20.205354690551758,42735,recuerdos,NOUN,34.894500732421875,42735
91,:,PUNCT,18.623130798339844,42735,:,PUNCT,31.81058692932129,42735
92,childhood,NOUN,18.653865814208984,45478,infancia,NOUN,30.8673152923584,45478
93,",",PUNCT,21.072649002075195,45478,",",PUNCT,30.423980712890625,45478
94,summertime,PROPN,17.745119094848633,45478,verano,NOUN,28.810701370239258,45478
95,",",PUNCT,20.67470359802246,45478,",",PUNCT,29.929052352905273,45478
96,even,ADV,19.835269927978516,48532,incluso,ADV,34.44588851928711,48532
97,other,ADJ,20.134403228759766,48532,otras,DET,35.30673599243164,48532
98,TED,PROPN,22.149940490722656,48532,TED,PROPN,34.582340240478516,48532
99,Talks,PROPN,21.48586082458496,48532,Talks,PROPN,34.816226959228516,48532
100,.,PUNCT,20.08013916015625,48532,.,PUNCT,33.1413688659668,48532
101,like,SCONJ,20.91057586669922,50302,Tal,NOUN,33.28010177612305,50302
102,this,DET,22.083789825439453,50302,vez,NOUN,34.92314910888672,50302
103,something,PRON,19.766616821289062,50302,algo,PRON,32.25283432006836,50302
104,Maybe,ADV,20.632492065429688,50302,así,ADV,33.75395202636719,50302
105,.,PUNCT,21.30898094177246,50302,.,PUNCT,32.538543701171875,50302
106,My,DET,23.060176849365234,57360,Mi,DET,34.03913116455078,57360
107,seduction,NOUN,20.805885314941406,57360,atracción,NOUN,32.249977111816406,57360
108,into,ADP,22.598142623901367,57360,por,ADP,31.36564826965332,57360
109,the,DET,23.0299015045166,57360,el,DET,35.633602142333984,57360
110,world,NOUN,18.782785415649414,57360,mundo,NOUN,30.62067985534668,57360
111,of,ADP,22.76295280456543,57360,de,ADP,29.774715423583984,57360
112,0,0,0.0,0,las,DET,33.214637756347656,57360
113,fireflies,NOUN,19.08135223388672,57360,luciérnagas,NOUN,34.977882385253906,57360
114,began,VERB,22.365840911865234,59815,empezó,VERB,35.40815353393555,59815
115,when,ADV,21.23918914794922,59815,cuando,SCONJ,36.43537902832031,59815
116,I,PRON,25.05855941772461,59815,haciendo,VERB,36.16676330566406,59815
117,was,AUX,24.741342544555664,59815,estaba,AUX,37.6636848449707,59815
118,back,ADV,19.770530700683594,59815,el,DET,35.106258392333984,59815
119,in,ADP,19.80262565612793,59815,0,0,0.0,0
120,graduate,ADJ,17.972064971923828,59815,0,0,0.0,0
121,school,NOUN,20.04612922668457,59815,doctorado,NOUN,31.173316955566406,59815
122,.,PUNCT,21.04848289489746,59815,.,PUNCT,32.11127853393555,59815
123,One,NUM,23.775983810424805,63664,Una,DET,31.294565200805664,63664
124,evening,NOUN,23.11107063293457,63664,tarde,NOUN,30.066024780273438,63664
125,",",PUNCT,20.978790283203125,63664,",",PUNCT,31.420324325561523,63664
126,I,PRON,23.985782623291016,63664,0,0,0.0,0
127,was,AUX,25.884984970092773,63664,estaba,AUX,36.64595413208008,63664
128,sitting,VERB,24.627553939819336,63664,sentada,ADJ,33.63452911376953,63664
129,out,ADP,21.565946578979492,63664,en,ADP,32.751564025878906,63664
130,in,ADP,22.150348663330078,63664,trasero,ADJ,31.29436492919922,63664
131,my,DET,21.703083038330078,63664,mi,DET,34.23435592651367,63664
132,backyard,NOUN,18.54071617126465,63664,patio,NOUN,30.847829818725586,63664
133,in,ADP,19.980764389038086,66488,en,ADP,33.26658630371094,66488
134,North,PROPN,21.95353889465332,66488,Carolina,PROPN,35.73297882080078,66488
135,0,0,0.0,0,del,ADP,33.70804977416992,66488
136,Carolina,PROPN,22.282127380371094,66488,Norte,PROPN,36.260189056396484,66488
137,",",PUNCT,20.703489303588867,66488,",",PUNCT,29.788541793823242,66488
138,and,CCONJ,21.84558868408203,68426,y,CONJ,31.826824188232422,68426
139,suddenly,ADV,19.033884048461914,68426,de,ADP,29.21875762939453,68426
140,0,0,0.0,0,repente,NOUN,30.713666915893555,68426
141,",",PUNCT,18.54551887512207,68426,",",PUNCT,31.9779052734375,68426
142,these,DET,19.263303756713867,68426,estas,DET,31.559213638305664,68426
143,sparks,NOUN,21.702224731445312,68426,chispas,NOUN,34.852745056152344,68426
144,silent,ADJ,18.215152740478516,68426,silenciosas,ADJ,35.929664611816406,68426
145,me,PRON,23.85782241821289,73725,se,PRON,32.27056121826172,73725
146,rose,VERB,22.644542694091797,73725,elevaron,VERB,35.78403091430664,73725
147,up,ADP,23.929946899414062,73725,a,ADP,33.455780029296875,73725
148,around,ADP,22.73811912536621,73725,mi,DET,33.44261932373047,73725
149,all,ADV,22.236736297607422,73725,alrededor,ADV,31.857357025146484,73725
150,",",PUNCT,20.704225540161133,73725,",",PUNCT,31.395034790039062,73725
151,and,CCONJ,19.91563606262207,75579,y,CONJ,34.47640609741211,75579
152,I,PRON,26.875150680541992,75579,empecé,AUX,34.601871490478516,75579
153,began,VERB,25.06037139892578,75579,a,ADP,31.36818504333496,75579
154,to,PART,23.069602966308594,75579,preguntarme,NOUN,30.72406005859375,75579
155,wonder,VERB,21.227092742919922,75579,0,0,0.0,0
156,:,PUNCT,19.36093521118164,75579,:,PUNCT,32.51727294921875,75579
157,How,ADV,21.38121223449707,76961,¿,PUNCT,30.210161209106445,76961
158,do,AUX,22.11406898498535,76961,Cómo,PRON,31.393798828125,76961
159,make,VERB,24.666702270507812,76961,crean,VERB,33.46925735473633,76961
160,creatures,NOUN,23.471498489379883,76961,luz,NOUN,33.43518829345703,76961
161,these,DET,22.001558303833008,76961,estas,DET,30.927539825439453,76961
162,light,NOUN,20.061819076538086,76961,criaturas,NOUN,33.42568588256836,76961
163,",",PUNCT,21.509689331054688,76961,",",PUNCT,31.020549774169922,76961
164,and,CCONJ,20.320083618164062,79651,y,CONJ,34.855133056640625,79651
165,what,PRON,21.02510643005371,79651,qué,PRON,34.1177978515625,79651
166,'s,AUX,22.449520111083984,79651,quiere,VERB,35.0075569152832,79651
167,with,ADP,21.278671264648438,79651,decir,NOUN,34.385555267333984,79651
168,all,DET,20.456195831298828,79651,ese,DET,36.50121307373047,79651
169,this,DET,21.195329666137695,79651,0,0,0.0,0
170,flashing,NOUN,21.448999404907227,79651,parpadeo,NOUN,32.723995208740234,79651
171,?,PUNCT,21.707012176513672,79651,?,PUNCT,31.921424865722656,79651
172,one,NUM,19.859838485717773,81341,¿,PUNCT,29.609052658081055,81341
173,Are,AUX,22.378217697143555,81341,Están,AUX,33.41674041748047,81341
174,talking,VERB,22.925142288208008,81341,hablando,VERB,35.297359466552734,81341
175,another,DET,20.558095932006836,81341,unas,DET,33.83989715576172,81341
176,to,ADP,20.787921905517578,81341,con,ADP,33.53982162475586,81341
177,they,PRON,22.64165687561035,81341,otras,PRON,34.61604690551758,81341
178,?,PUNCT,21.819639205932617,81341,?,PUNCT,30.133277893066406,81341
179,And,CCONJ,20.62264633178711,83180,¿,PUNCT,29.81928825378418,83180
180,0,0,0.0,0,Y,CONJ,33.41939926147461,83180
181,what,PRON,21.41329002380371,83180,qué,PRON,32.750431060791016,83180
182,happens,VERB,23.477733612060547,83180,pasa,VERB,37.95547103881836,83180
183,after,ADP,20.902774810791016,83180,cuando,SCONJ,36.07709503173828,83180
184,the,DET,21.963211059570312,83180,las,DET,33.2891960144043,83180
